
[00:00:00.000 --> 00:00:07.000]   Okay, good morning.
[00:25:44.600 --> 00:25:50.200]   The curtain was closed for them, they could not enter God's rest by the Old Testament
[00:25:50.200 --> 00:25:51.940]   sacrificial system.
[00:25:51.940 --> 00:25:59.200]   They could not enter God's rest by the Old Testament sacrificial system.
[00:25:59.200 --> 00:26:04.680]   If it could make perfect those who come near, then there would have been no need for more
[00:26:04.680 --> 00:26:05.680]   sacrifices.
[00:26:05.680 --> 00:26:08.020]   It would have been it.
[00:26:08.020 --> 00:26:13.400]   But it was a continual, continual ceremony, continual thing that they had to do.
[00:26:13.400 --> 00:26:18.220]   And because it could not, the Day of Atonement and the Sabbath was a reminder of sins year
[00:26:18.220 --> 00:26:23.360]   by year, that is why Christ had to come.
[00:26:23.360 --> 00:26:25.320]   So next point.
[00:26:25.320 --> 00:26:29.680]   So Jesus inaugurated a new and living way.
[00:26:29.680 --> 00:26:38.100]   Jesus inaugurated a new and living way because the old system was inadequate.
[00:26:38.100 --> 00:26:42.400]   So it was a foreshadow of coming Christ.
[00:26:42.400 --> 00:26:48.860]   So when Hebrew writer says he takes away the first in order to establish the second, he's
[00:26:48.860 --> 00:26:53.620]   not saying that Jesus nullifies or abolishes the Old Covenant.
[00:26:53.620 --> 00:26:59.020]   And that might be maybe the thought that you have, or we might have, but that is not the
[00:26:59.020 --> 00:27:00.460]   case.
[00:27:00.460 --> 00:27:05.740]   Even though the law brought death, but the intent of the law was good.
[00:27:05.740 --> 00:27:10.220]   But because of the sin in man, it only brought to light the sin in us.
[00:27:10.220 --> 00:27:13.220]   And Romans discusses that, right?
[00:27:13.220 --> 00:27:19.700]   The law was there to bring about the sin in us because we were sinners.
[00:27:19.700 --> 00:27:25.340]   So Jesus said, because he was criticized, are you coming to abolish the law?
[00:27:25.340 --> 00:27:28.660]   But this is what Jesus says in Matthew 5, 17 to 18.
[00:27:28.660 --> 00:27:32.140]   Do not think that I came to abolish the law or the prophets.
[00:27:32.140 --> 00:27:35.340]   I did not come to abolish but to fulfill.
[00:27:35.340 --> 00:27:40.700]   For truly I say to you, until heaven and earth pass away, not the smallest letter or stroke
[00:27:40.700 --> 00:27:44.540]   shall pass from the law until all is accomplished.
[00:27:44.540 --> 00:27:49.180]   So God was going to establish a new covenant through Jesus Christ, a covenant that is not
[00:27:49.180 --> 00:27:57.300]   about rules and regulation, but one where the law is fulfilled in us because it is written
[00:27:57.300 --> 00:27:59.220]   in our hearts.
[00:27:59.220 --> 00:28:09.060]   In Jeremiah 31, 33, this is after the nation of Israel is taken, right, sacked by the Babylonian
[00:28:09.060 --> 00:28:10.060]   Empire.
[00:28:10.060 --> 00:28:16.600]   The temple is destroyed and God prophesies through Jeremiah and this is what he says.
[00:28:16.600 --> 00:28:21.220]   But this is the covenant which I will make with the house of Israel after those days
[00:28:21.220 --> 00:28:22.680]   because of the Lord.
[00:28:22.680 --> 00:28:27.620]   I will put my law within them and on their heart I will write it and I will be their
[00:28:27.620 --> 00:28:30.380]   God and they shall be my people.
[00:28:30.380 --> 00:28:35.540]   They will not teach again each man his neighbor and each man his brother, saying, Know the
[00:28:35.540 --> 00:28:38.220]   Lord, for they will all know me.
[00:28:38.220 --> 00:28:43.260]   From the least of them to the greatest of them, declares the Lord, for I will forgive
[00:28:43.260 --> 00:28:48.200]   their iniquity and their sin I will remember no more.
[00:28:48.200 --> 00:28:56.940]   Sin and judgment, God prophesies mercy, God prophesies redemption.
[00:28:56.940 --> 00:29:03.260]   By one offering, Jesus Christ perfected for all time those who are sanctified.
[00:29:03.260 --> 00:29:10.140]   What the continual yearly sacrifice that was done on the day of atonement could not do
[00:29:10.140 --> 00:29:15.860]   what Jesus by his one sacrifice paid, the price for sins and purchased forgiveness of
[00:29:15.860 --> 00:29:17.280]   sin.
[00:29:17.280 --> 00:29:21.020]   So also the Sabbath was a shadow of what was to come.
[00:29:21.020 --> 00:29:27.680]   So once Christ came, the true and living rest, Pastor Peter talked about the true and living
[00:29:27.680 --> 00:29:33.220]   rest that he was the rest.
[00:29:33.220 --> 00:29:36.540]   Observance of the Sabbath was no longer needed.
[00:29:36.540 --> 00:29:43.120]   So once Christ came, he fulfilled the law as a result, he fulfilled the requirement
[00:29:43.120 --> 00:29:49.060]   of the Sabbath, then we are no longer under the Sabbath, right?
[00:29:49.060 --> 00:29:50.060]   Sabbath law.
[00:29:50.060 --> 00:29:56.220]   So in Colossians 2.16 says, Therefore no one is to act as your judge in regard to food
[00:29:56.220 --> 00:30:02.020]   or drink or in respect to a festival or a new moon or a Sabbath day, things which are
[00:30:02.020 --> 00:30:08.440]   a mere shadow of what is to come, but the substance belongs to Christ.
[00:30:08.440 --> 00:30:14.340]   This is why we do not meet on the last day of the week, like the seventh day Adventists
[00:30:14.340 --> 00:30:18.700]   do because Jesus fulfilled the Sabbath in himself.
[00:30:18.700 --> 00:30:26.620]   So this brings us to our next point, why Christians have service on Sunday and not Saturday.
[00:30:26.620 --> 00:30:34.220]   So the point is, and I put an exclamation when he is alive, I wanted to scream and put
[00:30:34.220 --> 00:30:38.220]   the emphasis because how important it is, right?
[00:30:38.220 --> 00:30:42.060]   This is the excitement of coming together on Sunday.
[00:30:42.060 --> 00:30:49.180]   We have to think about what happened on Sunday that those Jews who are meeting together,
[00:30:49.180 --> 00:30:58.460]   right, religiously, literally, on Saturday change their service and gathering to Sunday.
[00:30:58.460 --> 00:31:02.620]   So one of the problems with the old covenant priesthood was that the high priest would
[00:31:02.620 --> 00:31:06.140]   die because they were human beings, right?
[00:31:06.140 --> 00:31:12.500]   Their days were numbered, and I love the way the Hebrew writer puts it in Hebrews 7.23.
[00:31:12.500 --> 00:31:18.380]   The former priests, on the one hand, existed in greater numbers because they were prevented
[00:31:18.380 --> 00:31:20.580]   by death from continuing.
[00:31:20.580 --> 00:31:30.180]   Hebrew says we have a greater priest because the high priest died and as a result could
[00:31:30.180 --> 00:31:39.580]   not continue as a result of death, but instead we have Jesus Christ who lives forever.
[00:31:39.580 --> 00:31:48.460]   So the fact that he was resurrected tells us that he is able to save for eternity, which
[00:31:48.460 --> 00:31:54.300]   the high priest in the old covenant system was not able to do.
[00:31:54.300 --> 00:31:58.220]   So because he lives, he is able to save us.
[00:31:58.220 --> 00:32:02.700]   Put it another way, if Jesus was not resurrected from the grave, we would still bear the guilt
[00:32:02.700 --> 00:32:05.700]   and penalty of our sins.
[00:32:05.700 --> 00:32:14.260]   So we gather to worship on Sunday because Jesus was resurrected on Sunday.
[00:32:14.260 --> 00:32:20.900]   Let's turn to Luke 24, examine the greatness of the resurrection of Jesus Christ, okay?
[00:32:20.900 --> 00:32:33.780]   On Luke 24, "But on the first day of the week, at early dawn, they came to the tomb bringing
[00:32:33.780 --> 00:32:36.620]   the spices which they had prepared.
[00:32:36.620 --> 00:32:42.660]   And they found the stone rolled away for the tomb, but when they entered, they did not
[00:32:42.660 --> 00:32:45.140]   find the body of the Lord Jesus.
[00:32:45.140 --> 00:32:50.940]   While they were perplexed about this, behold, two men suddenly stood near them in dazzling
[00:32:50.940 --> 00:32:51.940]   clothing.
[00:32:51.940 --> 00:32:57.940]   And as the women were terrified and bowed their faces to the ground, the men said to
[00:32:57.940 --> 00:33:02.740]   them, 'Why do you seek the living one among the dead?
[00:33:02.740 --> 00:33:06.500]   He is not here, but he has risen.'"
[00:33:06.500 --> 00:33:15.340]   Right, on Easter we gather together to celebrate the resurrection of Jesus Christ because of
[00:33:15.340 --> 00:33:16.340]   its significance.
[00:33:16.340 --> 00:33:21.780]   So I want to quote John MacArthur on this passage and what he says about it.
[00:33:21.780 --> 00:33:27.580]   "Very early in the morning that the Lord is risen and he is alive, which means that he
[00:33:27.580 --> 00:33:31.180]   has accomplished redemption on the cross.
[00:33:31.180 --> 00:33:37.500]   He has been raised for our justification, he has conquered sin and death and hell.
[00:33:37.500 --> 00:33:43.820]   He has borne our sins in his own body on the cross, been made sin for us, and he has risen
[00:33:43.820 --> 00:33:46.260]   from the dead in triumph."
[00:33:46.260 --> 00:33:52.100]   Second Corinthians 520, "He who knew no sin became sin for us so that we might become
[00:33:52.100 --> 00:33:56.100]   the righteousness of God."
[00:33:56.100 --> 00:34:03.020]   The day of resurrection is why we gather on Sunday to celebrate the greatness of Jesus
[00:34:03.020 --> 00:34:11.580]   Christ because everything that the old covenant symbolized, the shadow, was realized on the
[00:34:11.580 --> 00:34:14.300]   day of resurrection.
[00:34:14.300 --> 00:34:18.980]   The resurrection of Jesus Christ is the single most important event in history.
[00:34:18.980 --> 00:34:19.980]   Think about it.
[00:34:19.980 --> 00:34:23.980]   The world denies it, that it ever happened.
[00:34:23.980 --> 00:34:24.980]   But you know what?
[00:34:24.980 --> 00:34:30.980]   It is our testimony and the testimony of the church, of the living God, that confirms his
[00:34:30.980 --> 00:34:32.980]   resurrection.
[00:34:32.980 --> 00:34:39.260]   Jesus is risen and now sits at the right hand of God because his work has been completed.
[00:34:39.260 --> 00:34:44.940]   There's no more work to do and that is the symbolism of somebody who sits down.
[00:34:44.940 --> 00:34:50.700]   The priest had to continually work because there's so much sin, there's so much work
[00:34:50.700 --> 00:34:59.100]   to do in sacrifices, covering up sin, but Jesus Christ by his one sacrifice finished.
[00:34:59.100 --> 00:35:02.020]   So when he was crucified, what did he say?
[00:35:02.020 --> 00:35:06.580]   It is finished.
[00:35:06.580 --> 00:35:13.980]   So every time the church gathers on Sunday, we proclaim the resurrection of Christ to
[00:35:13.980 --> 00:35:16.380]   the world.
[00:35:16.380 --> 00:35:20.580]   So at the beginning of the message, I've read somewhere, not at the beginning, but I've
[00:35:20.580 --> 00:35:25.900]   read somewhere that some people say that we worship on Sunday because it was kind of a
[00:35:25.900 --> 00:35:29.620]   counter to a pagan holiday.
[00:35:29.620 --> 00:35:35.900]   But instead, there's evidence to show that the early believers, early Christians, started
[00:35:35.900 --> 00:35:39.760]   gathering on Sunday and not on Saturday.
[00:35:39.760 --> 00:35:45.780]   So this was happening soon as the resurrection of Jesus Christ.
[00:35:45.780 --> 00:35:51.400]   So in Acts 27, it says, "On the first day of the week, when we were gathered together
[00:35:51.400 --> 00:35:57.780]   to break bread, Paul began talking to them, intending to leave the next day, and he prolonged
[00:35:57.780 --> 00:35:59.060]   the message until midnight."
[00:35:59.060 --> 00:36:04.620]   So this is the story where Paul on his third missionary journey is traveling through and
[00:36:04.620 --> 00:36:11.980]   he is gathering together at Troas, I believe, and then it says, "On the first day of the
[00:36:11.980 --> 00:36:16.740]   week they're meeting because his message was so long there was a guy who dropped and he
[00:36:16.740 --> 00:36:20.340]   died, right, fell off the window, he brought him back to life."
[00:36:20.340 --> 00:36:24.260]   But that shows that they were gathering on the first day.
[00:36:24.260 --> 00:36:29.180]   And this was, you know, Paul by this time was ministering, what, 20, 30, 40 years in
[00:36:29.180 --> 00:36:31.020]   ministry by this time.
[00:36:31.020 --> 00:36:36.660]   In 1 Corinthians 16, 1 to 2, "Now concerning the collection for the saints, as I directed
[00:36:36.660 --> 00:36:42.540]   the churches of Galatia, so do you also on the first day of every week.
[00:36:42.540 --> 00:36:47.780]   Each one of you is to put aside and save, as he may prosper, that no collections be
[00:36:47.780 --> 00:36:49.740]   made when I come."
[00:36:49.740 --> 00:36:52.260]   So it makes sense if you're going to collect, right?
[00:36:52.260 --> 00:36:58.220]   Paul was collecting money for poor churches, mainly in Jerusalem, and he says, "When you
[00:36:58.220 --> 00:37:02.700]   gather on the first day of the week," which is Sunday, "collect."
[00:37:02.700 --> 00:37:06.300]   So they were gathering on Sunday, the first day of the week.
[00:37:06.300 --> 00:37:11.940]   And also in Acts 2, 1-4, this is about the Pentecost, it says, "When the day of Pentecost
[00:37:11.940 --> 00:37:15.700]   had come, they were all together in one place."
[00:37:15.700 --> 00:37:18.940]   And the day of Pentecost is when the Spirit is given, right?
[00:37:18.940 --> 00:37:24.380]   Jesus said, you know, "Stay," Acts 1a, "until the Spirit has come upon you and given you
[00:37:24.380 --> 00:37:25.740]   power."
[00:37:25.740 --> 00:37:27.860]   So Pentecost means 50.
[00:37:27.860 --> 00:37:34.820]   So it's 50 days from the start, the Sabbath, of the Feast of Unleavened Bread.
[00:37:34.820 --> 00:37:41.220]   So if you go seven weeks, that will take you to 49 days, rest of another Sabbath, so one
[00:37:41.220 --> 00:37:43.900]   more day after that is a Sunday.
[00:37:43.900 --> 00:37:48.540]   So we see that they were gathering on Sunday.
[00:37:48.540 --> 00:37:51.140]   So gathering on Sunday is not a random occurrence.
[00:37:51.140 --> 00:37:57.360]   We gather on Sunday to proclaim the resurrection of Jesus and all that it symbolizes.
[00:37:57.360 --> 00:38:04.140]   We gather for our own purposes as well, for our own encouragement.
[00:38:04.140 --> 00:38:07.580]   So what about the question, "Why do I have to come to church to have service with other
[00:38:07.580 --> 00:38:08.580]   people?"
[00:38:08.580 --> 00:38:11.380]   Okay, we could have it on Sunday, but why with other people?
[00:38:11.380 --> 00:38:16.980]   Why can't I do it at home by myself as long as I am doing it on Sunday?
[00:38:16.980 --> 00:38:22.940]   If this is you, this type of attitude is contrary to the teaching of Scripture.
[00:38:22.940 --> 00:38:28.300]   Let me ask you this question, do you have a personal relationship with Jesus or do you
[00:38:28.300 --> 00:38:32.180]   have a corporate relationship with Jesus?
[00:38:32.180 --> 00:38:37.180]   And before you answer it, in other words, if you do not have a relationship with the
[00:38:37.180 --> 00:38:44.660]   Church of Jesus Christ, then you do not have a relationship with Jesus because it is so
[00:38:44.660 --> 00:38:49.940]   integral that our relationship with Jesus, that it is through the Church, right?
[00:38:49.940 --> 00:38:58.700]   When we are baptized into Christ, we are baptized into His body, His Church.
[00:38:58.700 --> 00:39:00.480]   And this is what the Bible teaches us.
[00:39:00.480 --> 00:39:08.420]   So this brings us to the next point, that is that Jesus called us to a gathering.
[00:39:08.420 --> 00:39:11.100]   That Jesus called us to a gathering.
[00:39:11.100 --> 00:39:19.980]   In 1 Peter 2, 4, 5, and 9, it says, "As you come to Him, a living stone, rejected by men,
[00:39:19.980 --> 00:39:23.740]   but in the sight of God, chosen and precious.
[00:39:23.740 --> 00:39:28.780]   You yourselves, like living stones, are being built up as a spiritual house."
[00:39:28.780 --> 00:39:37.300]   So we as the Church are being built up because the door is open now for those who are elect,
[00:39:37.300 --> 00:39:44.620]   those who do not know Him yet, can come into the Church and be built up to be a holy priesthood,
[00:39:44.620 --> 00:39:49.700]   to offer spiritual sacrifices acceptable to God through Jesus Christ.
[00:39:49.700 --> 00:39:55.460]   Verse 9, "But you are a chosen race, a royal priesthood, a holy nation, a people for His
[00:39:55.460 --> 00:39:57.060]   own possession.
[00:39:57.060 --> 00:40:03.220]   So very precious to our Lord, for what purpose that you may proclaim the excellencies of
[00:40:03.220 --> 00:40:08.860]   Him who called you out of darkness into His marvelous light."
[00:40:08.860 --> 00:40:14.980]   So when He called us, He called us to the body, right, which is being built up, the
[00:40:14.980 --> 00:40:15.980]   Church.
[00:40:15.980 --> 00:40:21.980]   So the definition of the Church is, the word itself is ecclesia, right?
[00:40:21.980 --> 00:40:28.820]   And ecclesia means a gathering of citizens called out from their home into some public
[00:40:28.820 --> 00:40:32.140]   place, an assembly.
[00:40:32.140 --> 00:40:41.100]   So the fact that we are a Church means that it's a place of gathering of believers.
[00:40:41.100 --> 00:40:45.340]   And Paul's letters were written to local churches in a particular region.
[00:40:45.340 --> 00:40:50.220]   It says, you know, "To the church of Philippi," or "To the church of," it doesn't mean to
[00:40:50.220 --> 00:40:55.780]   the universal church, but it's the church gathering in a particular location.
[00:40:55.780 --> 00:41:05.100]   So we are called as believers to worship and express our calling in the local church setting,
[00:41:05.100 --> 00:41:06.720]   to gather.
[00:41:06.720 --> 00:41:13.520]   So we are the body of Christ, so we are baptized into His body, and we are members of His body.
[00:41:13.520 --> 00:41:22.100]   So in 1 Corinthians chapter 12, 12 to 13, "For just as the body is one and has many
[00:41:22.100 --> 00:41:28.560]   members and all the members of the body, though many are one body, so it is with Christ.
[00:41:28.560 --> 00:41:35.760]   For in one spirit we were all baptized into one body, Jews or Greeks, slaves or free,
[00:41:35.760 --> 00:41:40.320]   and all were made to drink of one spirit."
[00:41:40.320 --> 00:41:45.880]   So some are a pinky, some are a hand, some are other parts of His body, but we are all
[00:41:45.880 --> 00:41:47.280]   essential.
[00:41:47.280 --> 00:41:54.120]   And I love what Pastor Mark talked about and said, that we are like pillars, that we are
[00:41:54.120 --> 00:41:55.120]   essential.
[00:41:55.120 --> 00:42:01.800]   So when you do not come to church, it makes a difference.
[00:42:01.800 --> 00:42:06.480]   So what about, I'll come to church on Sunday with other people, some I don't like, but
[00:42:06.480 --> 00:42:09.820]   I'll do it, but I'm just going to be an observer.
[00:42:09.820 --> 00:42:14.920]   I'm going to come on Sunday, I'll commit to that, but I'm just going to come and be an
[00:42:14.920 --> 00:42:15.920]   observer.
[00:42:15.920 --> 00:42:20.080]   Are we to be just an observer in the church?
[00:42:20.080 --> 00:42:23.560]   Obviously you know the answer, that is no.
[00:42:23.560 --> 00:42:28.800]   So the next point is that God expects us to live out our Christian lives in the local
[00:42:28.800 --> 00:42:30.960]   community.
[00:42:30.960 --> 00:42:37.320]   So we are to proclaim the excellencies of Him, right, who called us, and we are to do
[00:42:37.320 --> 00:42:43.720]   it in the local body, the local community.
[00:42:43.720 --> 00:42:53.200]   So verse 25, focusing on verse 25, it says, "Not to neglect to meet together," this is
[00:42:53.200 --> 00:42:59.920]   reference to the local church, as we gather as a local church, "not to neglect meeting
[00:42:59.920 --> 00:43:00.920]   together."
[00:43:00.920 --> 00:43:06.400]   So we are baptized into the universal church, but our membership in the body of Christ is
[00:43:06.400 --> 00:43:10.520]   expressed in the local church, right?
[00:43:10.520 --> 00:43:15.480]   So for us it is at Borean Community Church, it is in the local church that we exercise
[00:43:15.480 --> 00:43:23.640]   our gifts for the edification of the body.
[00:43:23.640 --> 00:43:29.580]   So I hope all this does not sound like an obligation, that I have to come every Sunday,
[00:43:29.580 --> 00:43:35.800]   I have to miss important events like vacation or other commitments, because I'm committed
[00:43:35.800 --> 00:43:37.600]   to church.
[00:43:37.600 --> 00:43:45.840]   Sunday was given to us as a gift, and let us think that way when we come on Sundays.
[00:43:45.840 --> 00:43:51.800]   I am encouraged every Sunday when I am at church with fellow believers.
[00:43:51.800 --> 00:43:53.680]   Throughout the week, even Bible study is different.
[00:43:53.680 --> 00:44:01.400]   I feel like when we come on Sunday, that I am personally encouraged, when I am of the
[00:44:01.400 --> 00:44:08.560]   right mindset and heart and know what this day represents, on Sunday, that I am always
[00:44:08.560 --> 00:44:13.120]   filled and encouraged.
[00:44:13.120 --> 00:44:21.600]   That Sunday is for our benefit, that you think that it's a gift for our encouragement, because
[00:44:21.600 --> 00:44:25.400]   the last point, we were made for corporate worship.
[00:44:25.400 --> 00:44:32.680]   Think about it, we were made for corporate worship.
[00:44:32.680 --> 00:44:40.440]   Read Hebrews chapter 12 and just set this up.
[00:44:40.440 --> 00:44:48.040]   This is a comparison between Mount Sinai, where the law was given to the nation of Israel.
[00:44:48.040 --> 00:44:52.440]   This is a description of God and the people's reaction to God's presence when they drew
[00:44:52.440 --> 00:44:56.680]   near to him at Mount Sinai, representing the old covenant.
[00:44:56.680 --> 00:45:01.760]   And this is what it says, "For you have not come to a mountain that can be touched, and
[00:45:01.760 --> 00:45:08.600]   to a blazing fire, and to darkness, and gloom, and whirlwind, and to the blast of a trumpet,
[00:45:08.600 --> 00:45:14.840]   and the sound of words which sound was such that those who heard begged that no further
[00:45:14.840 --> 00:45:17.440]   word be spoken to them.
[00:45:17.440 --> 00:45:25.640]   For they could not bear the command, if even a beast said, 'I am full of fear and trembling.'"
[00:45:25.640 --> 00:45:29.260]   This was the old covenant, this was their Sabbath.
[00:45:29.260 --> 00:45:37.160]   The Sabbath under the law was not rest, but a reminder of sins, of the fall, and of judgment.
[00:45:37.160 --> 00:45:40.800]   In Christ, we are under a new covenant of grace.
[00:45:40.800 --> 00:45:47.240]   The original rest Adam and Eve had in the Garden of Eden has been restored in Christ
[00:45:47.240 --> 00:45:53.200]   through, though not fully, until we either die or after Christ returns.
[00:45:53.200 --> 00:45:59.400]   Now the contrast drawing near to God at Mount Sinai to drawing near to God at Mount Zion,
[00:45:59.400 --> 00:46:06.760]   the city of God, is this, "But you have come to Mount Zion and to the city of the living
[00:46:06.760 --> 00:46:13.600]   God, to heavenly Jerusalem, and to myriads of angels, to the General Assembly and Church
[00:46:13.600 --> 00:46:18.800]   of the Firstborn, who are enrolled in heaven and to God, the Judge of all, and to the Spirit
[00:46:18.800 --> 00:46:27.120]   of the Righteous made perfect, and to Jesus, the Mediator of a new covenant."
[00:46:27.120 --> 00:46:31.280]   The picture here is the entire church is gathered in heaven.
[00:46:31.280 --> 00:46:37.600]   God is there, Jesus is there, myriads of angels, believers who have passed away and now are
[00:46:37.600 --> 00:46:38.940]   in heaven.
[00:46:38.940 --> 00:46:44.040]   The church is still growing, we are being built up.
[00:46:44.040 --> 00:46:50.520]   So I shared at the start of this message that there are 800 million to about a billion Protestants
[00:46:50.520 --> 00:46:53.520]   gathering on Sunday, giving praise to God.
[00:46:53.520 --> 00:46:59.600]   This does not include the myriad and myriads of angels and those believers who have gone
[00:46:59.600 --> 00:47:07.640]   before us, gathered together on Sunday, worshiping and celebrating what Jesus did on the cross.
[00:47:07.640 --> 00:47:08.720]   Think about it.
[00:47:08.720 --> 00:47:14.580]   We only see ourselves here, but on this day, there are millions of people on earth that
[00:47:14.580 --> 00:47:16.340]   are worshiping God.
[00:47:16.340 --> 00:47:24.400]   But not only that, heaven is stirred, that the angels and the elders, in the presence
[00:47:24.400 --> 00:47:32.480]   of God and Jesus, is also worshiping with us, that we are called to worship.
[00:47:32.480 --> 00:47:40.260]   That Sunday is not a day that is just a day, but it's a day that represents the resurrection
[00:47:40.260 --> 00:47:46.080]   of Jesus Christ and all that it represents, that we are proclaiming His resurrection when
[00:47:46.080 --> 00:47:53.580]   we gather, that we are not the only ones praising and lifting up our voices, but there are millions
[00:47:53.580 --> 00:48:02.760]   of other Christians, as well as heaven, angels are proclaiming worship to God.
[00:48:02.760 --> 00:48:06.500]   And this is what Martin Luther says about corporate worship.
[00:48:06.500 --> 00:48:11.840]   At home in my own house there is no warmth or vigor in me, but in the church when the
[00:48:11.840 --> 00:48:17.860]   multitude is gathered together, a fire is kindled in my heart and it breaks its way
[00:48:17.860 --> 00:48:20.960]   through.
[00:48:20.960 --> 00:48:29.400]   We are made to worship, that Sunday is for our benefit, because we are made to worship
[00:48:29.400 --> 00:48:33.040]   our heavenly Father who created us.
[00:48:33.040 --> 00:48:39.540]   So if we are not gathering and not worshiping together, then we are missing something in
[00:48:39.540 --> 00:48:42.960]   our walk with the Lord.
[00:48:42.960 --> 00:48:47.320]   We are members of Christ's body, which is growing and being built up.
[00:48:47.320 --> 00:48:52.500]   Once all the elect are gathered, Christ will return.
[00:48:52.500 --> 00:48:57.280]   So in Revelations, I'm almost at the end, here's a depiction of what worship will be
[00:48:57.280 --> 00:49:00.440]   like in heaven.
[00:49:00.440 --> 00:49:01.440]   We'll read this together.
[00:49:01.440 --> 00:49:06.920]   If this does not get you excited and juiced up, you don't want to be in heaven, because
[00:49:06.920 --> 00:49:11.400]   this is what we are going to do.
[00:49:11.400 --> 00:49:16.820]   Sunday gathering is the closest thing to heaven, if you really think about it, that we get
[00:49:16.820 --> 00:49:18.320]   on earth.
[00:49:18.320 --> 00:49:22.400]   When we are saved, the whole idea of here and not yet.
[00:49:22.400 --> 00:49:32.200]   So here we experience and taste the flavor of being in heaven, as we gather together,
[00:49:32.200 --> 00:49:38.520]   until the fullness is realized in Jesus Christ when he returns.
[00:49:38.520 --> 00:49:44.120]   So Revelations 5, 11-14, "Then I looked and I heard the voice of many angels around the
[00:49:44.120 --> 00:49:50.080]   throne and the living creatures and the elders, and the number of them was myriads of myriads
[00:49:50.080 --> 00:49:55.660]   and thousands of thousands, basically probably a sea of heads.
[00:49:55.660 --> 00:50:01.640]   And there is no end, saying with a loud voice, 'Worthy is the Lamb that was slain to receive
[00:50:01.640 --> 00:50:07.980]   power and riches and wisdom and might and honor and glory and blessing and every created
[00:50:07.980 --> 00:50:13.460]   thing which is in heaven and on earth and under the earth and on the sea and all things
[00:50:13.460 --> 00:50:20.060]   in them I heard saying, 'To him who sits on the throne and to the Lamb be blessing and
[00:50:20.060 --> 00:50:27.660]   honor and glory and dominion forever and ever.'"
[00:50:27.660 --> 00:50:33.460]   So Sunday worship is the closest thing to a taste of heaven that we will get.
[00:50:33.460 --> 00:50:39.100]   At the man's prayer or man's breakfast list prayer meeting, okay, although we ate very
[00:50:39.100 --> 00:50:47.500]   well thanks to our loving sisters, I shared my experience at my first Shepherds Conference.
[00:50:47.500 --> 00:50:51.260]   You know, Shepherds Conference is held at Grace Community Church and it's really for
[00:50:51.260 --> 00:50:53.260]   pastors and elders.
[00:50:53.260 --> 00:50:57.940]   So I don't think, you know, women, okay, don't get offended, but I don't think women generally
[00:50:57.940 --> 00:51:02.860]   are not to be at the main service because it's for pastors, for men.
[00:51:02.860 --> 00:51:10.220]   So I was there for the first time and I think it holds about 3,000 or more people and we
[00:51:10.220 --> 00:51:13.220]   were praising.
[00:51:13.220 --> 00:51:14.820]   Everybody was standing up.
[00:51:14.820 --> 00:51:20.380]   These were old men, you know, you look at me, I'm old, right?
[00:51:20.380 --> 00:51:21.380]   They were older than me.
[00:51:21.380 --> 00:51:23.440]   They were old guys.
[00:51:23.440 --> 00:51:31.980]   They were pastors who have ministered, right, in ministry, suffered for years, persevered.
[00:51:31.980 --> 00:51:34.680]   Some of them probably pastored larger churches.
[00:51:34.680 --> 00:51:36.900]   Some of them pastoring small churches.
[00:51:36.900 --> 00:51:42.520]   Some of them are struggling because, you know, ministry is tough.
[00:51:42.520 --> 00:51:50.200]   But 3,000 men who have experienced personal relationship with God, know Him in an intimate
[00:51:50.200 --> 00:51:55.660]   way because they walked the walk, were gathered together and singing a song.
[00:51:55.660 --> 00:51:57.020]   I think it was just a piano.
[00:51:57.020 --> 00:52:00.460]   There was no guitar, no drums.
[00:52:00.460 --> 00:52:07.860]   It was just a piano and you hear the voices of this men, 3,000, singing a hymn.
[00:52:07.860 --> 00:52:13.540]   And I have to say my soul was so filled, so filled.
[00:52:13.540 --> 00:52:20.780]   It was like a buffet for my spiritual soul when hearing them.
[00:52:20.780 --> 00:52:27.260]   And to me that looked like the closest thing to heaven that I would experience.
[00:52:27.260 --> 00:52:34.420]   I was in awe because I knew that every one of those pastors, every one of those men,
[00:52:34.420 --> 00:52:37.340]   when they were singing, they meant it.
[00:52:37.340 --> 00:52:42.240]   They were not here just clapping because there's something on the screen and they got to say
[00:52:42.240 --> 00:52:47.060]   it and somebody next to them is looking, so they got to do it, right?
[00:52:47.060 --> 00:52:49.260]   Instead they didn't care.
[00:52:49.260 --> 00:52:52.500]   They were looking and they were thinking of Jesus.
[00:52:52.500 --> 00:52:56.620]   They're thinking of the time when they are going to be in heaven and see Him face to
[00:52:56.620 --> 00:53:01.180]   face and praising Him.
[00:53:01.180 --> 00:53:09.380]   So our Sunday worship is a time that we can experience heaven, taste of heaven.
[00:53:09.380 --> 00:53:12.140]   But it really depends what your attitude is, right?
[00:53:12.140 --> 00:53:19.220]   If you come to Sunday worship because you're dragged here, you had a bad morning or that
[00:53:19.220 --> 00:53:24.820]   the night before you did something you weren't supposed to do, you feel very guilty in coming,
[00:53:24.820 --> 00:53:30.340]   burdened by sin, you slept, you know, you didn't sleep all night.
[00:53:30.340 --> 00:53:34.820]   You know, if it was for studying for your finals, that's one thing, but it was for something
[00:53:34.820 --> 00:53:37.580]   else, you feel guilty.
[00:53:37.580 --> 00:53:45.260]   How can you experience the benefit and the grace and the mercy and the love and all that
