
[00:00:00.000 --> 00:00:02.500]   (organ music)
[00:33:53.780 --> 00:33:56.780]   ♪ You will reign forever ♪
[00:33:56.780 --> 00:34:00.780]   ♪ Let your glory fill the earth ♪
[00:34:00.780 --> 00:34:03.780]   ♪ You will reign forever ♪
[00:34:04.780 --> 00:34:07.780]   ♪ Let your glory fill the earth ♪
[00:34:07.780 --> 00:34:10.780]   ♪ You will reign forever ♪
[00:34:10.780 --> 00:34:13.780]   ♪ Let your glory fill the earth ♪
[00:34:13.780 --> 00:34:21.780]   ♪ Behold our God seated on his throne ♪
[00:34:21.780 --> 00:34:26.780]   ♪ Come let us adore him ♪
[00:34:26.780 --> 00:34:31.780]   ♪ Behold our king ♪
[00:34:32.780 --> 00:34:34.780]   ♪ Nothing can compare ♪
[00:34:34.780 --> 00:34:39.780]   ♪ Come let us adore him ♪
[00:34:39.780 --> 00:34:47.780]   ♪ Behold our God seated on his throne ♪
[00:34:47.780 --> 00:34:52.780]   ♪ Come let us adore him ♪
[00:34:52.780 --> 00:34:58.780]   ♪ Behold our king ♪
[00:34:59.780 --> 00:35:02.780]   ♪ Nothing can compare ♪
[00:35:02.780 --> 00:35:10.780]   ♪ Come let us adore him ♪
[00:35:10.780 --> 00:35:13.780]   - Amen, you may be seated.
[00:35:13.780 --> 00:35:16.780]   (soft music)
[00:35:16.780 --> 00:35:34.780]   - Okay, just to kind of give you a heads up,
[00:35:34.780 --> 00:35:36.780]   what we're planning to do today is,
[00:35:36.780 --> 00:35:42.780]   after I give a brief encouragement,
[00:35:42.780 --> 00:35:44.780]   we're gonna ask those of you up in the front,
[00:35:44.780 --> 00:35:46.780]   we're gonna move out the chairs,
[00:35:46.780 --> 00:35:47.780]   the white chairs completely,
[00:35:47.780 --> 00:35:50.780]   and then we're gonna have you guys kind of sit on there.
[00:35:50.780 --> 00:35:52.780]   That's why we have carpet on there.
[00:35:52.780 --> 00:35:55.780]   And I don't know how many of you guys kind of brought mats.
[00:35:55.780 --> 00:35:57.780]   Again, we're just leaving it up to you.
[00:35:57.780 --> 00:36:00.780]   And then at some point in our prayer time,
[00:36:00.780 --> 00:36:03.780]   we're gonna ask those of you who want to pray
[00:36:03.780 --> 00:36:05.780]   and ask for prayer to come up
[00:36:05.780 --> 00:36:07.780]   and sit up in the front area somewhere.
[00:36:07.780 --> 00:36:09.780]   And one of the pastors and the elders will come
[00:36:09.780 --> 00:36:12.780]   and we'll pray with you during that time.
[00:36:12.780 --> 00:36:15.780]   Okay, so I'll give you the more specific instructions
[00:36:15.780 --> 00:36:19.780]   as we go, but let me begin with a word of prayer
[00:36:19.780 --> 00:36:21.780]   before we give the encouragement, let's pray.
[00:36:21.780 --> 00:36:33.780]   Heavenly Father, we come before you as unworthy vessels
[00:36:33.780 --> 00:36:36.780]   in needing of your grace, again,
[00:36:38.780 --> 00:36:44.780]   needing of your presence in our lives.
[00:36:44.780 --> 00:36:46.780]   And even in our prayers, Lord God,
[00:36:46.780 --> 00:36:48.780]   we are weak without your help.
[00:36:48.780 --> 00:36:52.780]   We pray, Father, that you would give us alertness,
[00:36:52.780 --> 00:36:57.780]   soberness, a sense of urgency that we may pray
[00:36:57.780 --> 00:36:59.780]   and to seek you out with all our heart.
[00:36:59.780 --> 00:37:03.780]   Open our eyes, Father, and soften our hearts.
[00:37:03.780 --> 00:37:05.780]   And as we have gathered together to worship,
[00:37:05.780 --> 00:37:08.780]   to pray that you would help us, Lord God,
[00:37:08.780 --> 00:37:11.780]   to build this church as a house of prayer.
[00:37:11.780 --> 00:37:13.780]   So we pray for your guidance and your Holy Spirit's
[00:37:13.780 --> 00:37:16.780]   empowerment, in Jesus' name we pray, amen.
[00:37:16.780 --> 00:37:22.780]   I don't have a specific text that we're gonna be going to,
[00:37:22.780 --> 00:37:24.780]   I'm gonna be jumping from different things,
[00:37:24.780 --> 00:37:27.780]   but whenever we talk about prayer,
[00:37:27.780 --> 00:37:31.780]   I would say one of the biggest things that affects
[00:37:31.780 --> 00:37:35.780]   our ability to pray is our soberness.
[00:37:35.780 --> 00:37:40.780]   If you've come this evening with some sort of urgency,
[00:37:40.780 --> 00:37:43.780]   and you haven't prayed before,
[00:37:43.780 --> 00:37:45.780]   you haven't been in the habit of praying,
[00:37:45.780 --> 00:37:49.780]   but if you came tonight with some sense of urgency,
[00:37:49.780 --> 00:37:51.780]   like something's happening in your life,
[00:37:51.780 --> 00:37:54.780]   something that you desperately need God to answer,
[00:37:54.780 --> 00:37:58.780]   I can almost guarantee you're gonna have effective prayer,
[00:37:58.780 --> 00:38:00.780]   because you know what to pray for.
[00:38:01.780 --> 00:38:04.780]   And oftentimes, prayer is a groaning of your heart
[00:38:04.780 --> 00:38:07.780]   for something that is absolutely needed.
[00:38:07.780 --> 00:38:11.780]   But if that's not the case, and you come into this room
[00:38:11.780 --> 00:38:13.780]   distracted, maybe you just watched a movie
[00:38:13.780 --> 00:38:16.780]   right before you came, or maybe you were doing something
[00:38:16.780 --> 00:38:18.780]   that kind of distracted, and your mind is full
[00:38:18.780 --> 00:38:22.780]   of whatever else that has preoccupied your mind,
[00:38:22.780 --> 00:38:26.780]   even if you've been in prayer before,
[00:38:26.780 --> 00:38:28.780]   and you've been to school of prayer,
[00:38:28.780 --> 00:38:30.780]   you're gonna have a difficult time praying,
[00:38:30.780 --> 00:38:33.780]   because your mind and your heart is gonna lead you
[00:38:33.780 --> 00:38:36.780]   to other places other than to pray.
[00:38:36.780 --> 00:38:40.780]   So our soberness, our sense of urgency,
[00:38:40.780 --> 00:38:44.780]   is directly linked to the effectiveness of how we pray.
[00:38:44.780 --> 00:38:47.780]   Prayer is not something that you can turn on and off,
[00:38:47.780 --> 00:38:51.780]   because prayer is an extension of where you are
[00:38:51.780 --> 00:38:53.780]   before you entered prayer.
[00:38:53.780 --> 00:38:56.780]   Everybody knows how to pray when it is urgent.
[00:38:57.780 --> 00:39:00.780]   When there's something desperate in your heart,
[00:39:00.780 --> 00:39:02.780]   when there's something that you really want
[00:39:02.780 --> 00:39:05.780]   to cry out to God, everybody knows how to pray.
[00:39:05.780 --> 00:39:07.780]   You don't need to have the words,
[00:39:07.780 --> 00:39:09.780]   you don't need to be theologically minded,
[00:39:09.780 --> 00:39:11.780]   you don't need to have many verses,
[00:39:11.780 --> 00:39:14.780]   you don't even have to have practiced it for years.
[00:39:14.780 --> 00:39:18.780]   Because prayer ultimately is an outpouring
[00:39:18.780 --> 00:39:20.780]   of something that you desperately need
[00:39:20.780 --> 00:39:22.780]   answered before God.
[00:39:22.780 --> 00:39:26.780]   But the greatest hindrance to prayer is callousness.
[00:39:26.780 --> 00:39:29.780]   So if you come into this room with a callous heart,
[00:39:29.780 --> 00:39:33.780]   distracted heart, where you came because it's Friday,
[00:39:33.780 --> 00:39:37.780]   this is what Christians do, you're supposed to do this,
[00:39:37.780 --> 00:39:40.780]   then obviously you will have some time struggling.
[00:39:40.780 --> 00:39:44.780]   There are some jobs that we have that requires you
[00:39:44.780 --> 00:39:47.780]   to be to some degree callous.
[00:39:47.780 --> 00:39:50.780]   If you're a soldier in time of war,
[00:39:50.780 --> 00:39:53.780]   and you get overly sensitive,
[00:39:53.780 --> 00:39:57.780]   and you get overly sensitive about everything that happens,
[00:39:57.780 --> 00:39:59.780]   then you can't fight.
[00:39:59.780 --> 00:40:02.780]   I've talked to doctors who are oncologists,
[00:40:02.780 --> 00:40:05.780]   and they're in a habit of giving bad news to people,
[00:40:05.780 --> 00:40:08.780]   saying that your mother or father, your son, daughter,
[00:40:08.780 --> 00:40:11.780]   may only have a few days or a few months to live.
[00:40:11.780 --> 00:40:13.780]   And I remember asking them,
[00:40:13.780 --> 00:40:16.780]   "How do you handle that, going home each night,
[00:40:16.780 --> 00:40:20.780]   "having to have given these horrific news to families?"
[00:40:20.780 --> 00:40:23.780]   He said, "You know, we have to learn to turn it off."
[00:40:23.780 --> 00:40:25.780]   In fact, sometimes they become so callous
[00:40:25.780 --> 00:40:27.780]   that they would tell somebody that they're going to die
[00:40:27.780 --> 00:40:29.780]   in the next few weeks, and then they'll go out
[00:40:29.780 --> 00:40:31.780]   and just joke around with their doctor friends.
[00:40:31.780 --> 00:40:33.780]   And he says, "I know that sounds horrible."
[00:40:33.780 --> 00:40:35.780]   But he said, "If they don't learn how to do that,
[00:40:35.780 --> 00:40:37.780]   "they can't continue to work."
[00:40:37.780 --> 00:40:39.780]   And I know police officers,
[00:40:39.780 --> 00:40:41.780]   that if you don't learn to turn that off,
[00:40:41.780 --> 00:40:43.780]   and you bring home everything that's going on,
[00:40:43.780 --> 00:40:46.780]   it's very difficult to do that for a long period of time.
[00:40:46.780 --> 00:40:52.780]   Some jobs require to be able to turn that off.
[00:40:52.780 --> 00:40:56.780]   But this is exactly the opposite of our Christian faith.
[00:40:56.780 --> 00:40:59.780]   If you turn off your heart,
[00:40:59.780 --> 00:41:01.780]   it affects everything that you do.
[00:41:01.780 --> 00:41:03.780]   If you become callous,
[00:41:03.780 --> 00:41:07.780]   it affects everything that you do.
[00:41:07.780 --> 00:41:09.780]   First, it affects your prayer.
[00:41:09.780 --> 00:41:11.780]   You can't pray,
[00:41:11.780 --> 00:41:13.780]   because your heart is not leading you
[00:41:13.780 --> 00:41:15.780]   to the words that you're saying.
[00:41:15.780 --> 00:41:17.780]   It doesn't actually mean.
[00:41:17.780 --> 00:41:19.780]   What your heart desires and what you are saying
[00:41:19.780 --> 00:41:21.780]   doesn't necessarily matter.
[00:41:21.780 --> 00:41:23.780]   So, the first place where you see,
[00:41:23.780 --> 00:41:25.780]   if you have a callous heart, where you can't,
[00:41:25.780 --> 00:41:28.780]   and you have a very difficult time praying,
[00:41:28.780 --> 00:41:30.780]   is when we have a callous heart.
[00:41:30.780 --> 00:41:33.780]   You cannot worship, because worship is a response
[00:41:33.780 --> 00:41:35.780]   of how you are being affected.
[00:41:35.780 --> 00:41:37.780]   So, if you're not being affected,
[00:41:37.780 --> 00:41:39.780]   and your mind and your heart and your life
[00:41:39.780 --> 00:41:42.780]   is engaged and entangled in civilian affairs,
[00:41:42.780 --> 00:41:45.780]   and all of a sudden you want to go into battle,
[00:41:45.780 --> 00:41:49.780]   you'll find that it is almost impossible.
[00:41:49.780 --> 00:41:53.780]   Our whole Christian life is driven
[00:41:53.780 --> 00:41:56.780]   by what God is doing in our hearts.
[00:41:56.780 --> 00:42:00.780]   So, if we allow our hearts to become callous,
[00:42:00.780 --> 00:42:03.780]   and there's obviously various different terms
[00:42:03.780 --> 00:42:05.780]   that they use for that.
[00:42:05.780 --> 00:42:07.780]   Lukewarmness, right?
[00:42:07.780 --> 00:42:10.780]   Where we become inoculated by the truth
[00:42:10.780 --> 00:42:12.780]   that we hear so often,
[00:42:12.780 --> 00:42:15.780]   that it's just information.
[00:42:15.780 --> 00:42:17.780]   It no longer moves you.
[00:42:17.780 --> 00:42:20.780]   It doesn't stir up a sense of worship or urgency.
[00:42:20.780 --> 00:42:24.780]   Psychologists call this a hedonic adaptation.
[00:42:24.780 --> 00:42:27.780]   Hedonic adaptation basically is a mental habit
[00:42:27.780 --> 00:42:29.780]   of overstimulation of the same thing,
[00:42:29.780 --> 00:42:32.780]   which eventually becomes mundane.
[00:42:32.780 --> 00:42:34.780]   Let me say that again.
[00:42:34.780 --> 00:42:36.780]   Mental habit of overstimulation of the same thing,
[00:42:36.780 --> 00:42:40.780]   which eventually becomes mundane.
[00:42:40.780 --> 00:42:42.780]   Where, as Christians,
[00:42:42.780 --> 00:42:45.780]   because we come to praise this magnificent God
[00:42:45.780 --> 00:42:47.780]   and the glory of Christ and the gospel
[00:42:47.780 --> 00:42:48.780]   and heaven and hell,
[00:42:48.780 --> 00:42:51.780]   but after a year, two years, four years, five years,
[00:42:51.780 --> 00:42:52.780]   it's just you've heard...
[00:42:52.780 --> 00:42:53.780]   How many times have you heard this?
[00:42:53.780 --> 00:42:55.780]   How many times do you memorize this?
[00:42:55.780 --> 00:42:58.780]   And you've allowed your heart to become callous,
[00:42:58.780 --> 00:43:00.780]   and now it's just, well,
[00:43:00.780 --> 00:43:04.780]   let's see who can give the better variation
[00:43:04.780 --> 00:43:07.780]   of the same thing that I already know.
[00:43:07.780 --> 00:43:09.780]   Maybe whose illustration is better?
[00:43:09.780 --> 00:43:11.780]   Who put the sermon together better?
[00:43:11.780 --> 00:43:16.780]   But the content of the message no longer stirs us.
[00:43:16.780 --> 00:43:18.780]   And wanting to find something new,
[00:43:18.780 --> 00:43:20.780]   that only works for a few years,
[00:43:20.780 --> 00:43:24.780]   but after a while, there's nothing new under the sun.
[00:43:24.780 --> 00:43:30.780]   Our Christian faith is often driven into lukewarmness.
[00:43:30.780 --> 00:43:33.780]   And according to the book of Revelation,
[00:43:33.780 --> 00:43:36.780]   lukewarmness is not something that just happens.
[00:43:36.780 --> 00:43:38.780]   The Bible says in Revelation chapter 2,
[00:43:38.780 --> 00:43:41.780]   it says you have forsaken your first love.
[00:43:41.780 --> 00:43:43.780]   It's something that we choose to do.
[00:43:43.780 --> 00:43:45.780]   Now, you don't choose to be lukewarm.
[00:43:45.780 --> 00:43:48.780]   You don't say, "I want my heart to be callous,"
[00:43:48.780 --> 00:43:50.780]   but we deliberately choose things
[00:43:50.780 --> 00:43:52.780]   that causes us to become callous.
[00:43:52.780 --> 00:43:56.780]   We don't run from things that causes us to be lukewarm.
[00:43:56.780 --> 00:43:58.780]   We don't actively pursue with all our heart
[00:43:58.780 --> 00:44:02.780]   the things that cause us heart to melt
[00:44:02.780 --> 00:44:03.780]   and to be softened.
[00:44:03.780 --> 00:44:05.780]   So as a result of that,
[00:44:05.780 --> 00:44:07.780]   one, two, three steps down the line,
[00:44:07.780 --> 00:44:09.780]   we have chosen.
[00:44:09.780 --> 00:44:13.780]   We have chosen the steps that will lead us to a callous heart.
[00:44:13.780 --> 00:44:16.780]   And once we become callous,
[00:44:16.780 --> 00:44:18.780]   nothing gets through.
[00:44:18.780 --> 00:44:19.780]   We go through the habit.
[00:44:19.780 --> 00:44:20.780]   We do what's right,
[00:44:20.780 --> 00:44:22.780]   but we're no longer actively engaged.
[00:44:22.780 --> 00:44:25.780]   And where that is demonstrated more than anything else
[00:44:25.780 --> 00:44:27.780]   is prayer.
[00:44:27.780 --> 00:44:28.780]   You can open up your lips,
[00:44:28.780 --> 00:44:30.780]   and you can be touched by the music,
[00:44:30.780 --> 00:44:33.780]   and you can, depending on the style,
[00:44:33.780 --> 00:44:35.780]   depending on the musician,
[00:44:35.780 --> 00:44:37.780]   you may be manipulated for a period,
[00:44:37.780 --> 00:44:39.780]   but prayer is something you cannot do
[00:44:39.780 --> 00:44:44.780]   if your heart is callous.
[00:44:44.780 --> 00:44:48.780]   Some of the words that are synonyms to the word callous,
[00:44:48.780 --> 00:44:52.780]   cauterized, thick-skinned, hardened, insensitive,
[00:44:52.780 --> 00:44:55.780]   deadened to feelings, indifference to suffering,
[00:44:55.780 --> 00:44:59.780]   cold-blooded, emotionally unavailable.
[00:44:59.780 --> 00:45:03.780]   We're no longer moved by the things that move us.
[00:45:03.780 --> 00:45:06.780]   Scripture tells us sin, first and foremost,
[00:45:06.780 --> 00:45:09.780]   is at the heart of callousness.
[00:45:09.780 --> 00:45:11.780]   2 Corinthians 3.14, Paul says,
[00:45:11.780 --> 00:45:15.780]   "But their minds were hardened for until this very day
[00:45:15.780 --> 00:45:17.780]   at the reading of the old covenant,
[00:45:17.780 --> 00:45:18.780]   the same veil remains unlifted
[00:45:18.780 --> 00:45:21.780]   because it is removed in Christ."
[00:45:21.780 --> 00:45:25.780]   He says their minds were hardened.
[00:45:25.780 --> 00:45:26.780]   Their minds are hardened.
[00:45:26.780 --> 00:45:28.780]   So when they hear the truth,
[00:45:28.780 --> 00:45:30.780]   when the glory of God is revealed,
[00:45:30.780 --> 00:45:32.780]   nothing happens.
[00:45:32.780 --> 00:45:34.780]   It's like hardened clay.
[00:45:34.780 --> 00:45:35.780]   It's no longer moldable.
[00:45:35.780 --> 00:45:37.780]   And he said that's how a non-Christian is described.
[00:45:37.780 --> 00:45:40.780]   But even a Christian, Hebrews 3.13,
[00:45:40.780 --> 00:45:44.780]   is warned, "But encourage one another day after day,
[00:45:44.780 --> 00:45:45.780]   as long as it is still called today,
[00:45:45.780 --> 00:45:48.780]   so that none of you will be hardened
[00:45:48.780 --> 00:45:52.780]   by the deceitfulness of sin."
[00:45:52.780 --> 00:45:56.780]   When we have sin,
[00:45:56.780 --> 00:45:58.780]   that is whether it's external
[00:45:58.780 --> 00:46:01.780]   or whether it's internal,
[00:46:01.780 --> 00:46:06.780]   whether it is just bitterness, anger, slander, judgment,
[00:46:06.780 --> 00:46:09.780]   prejudice, whatever that may be,
[00:46:09.780 --> 00:46:13.780]   when we allow sin and you allow callousness,
[00:46:13.780 --> 00:46:16.780]   and once callousness steps in,
[00:46:16.780 --> 00:46:19.780]   there's nothing.
[00:46:19.780 --> 00:46:20.780]   There's no amount of preaching,
[00:46:20.780 --> 00:46:22.780]   no amount of accountability,
[00:46:22.780 --> 00:46:24.780]   no amount of having a good community around you.
[00:46:24.780 --> 00:46:30.780]   Eventually we become inoculated by the truth.
[00:46:30.780 --> 00:46:34.780]   Callousness affects the way we see Scripture.
[00:46:34.780 --> 00:46:36.780]   Not only does it prevent us from praying,
[00:46:36.780 --> 00:46:38.780]   prevent us from worshiping,
[00:46:38.780 --> 00:46:41.780]   but even the way you understand Scripture,
[00:46:41.780 --> 00:46:44.780]   it's not, our ability to understand the heart of God
[00:46:44.780 --> 00:46:47.780]   is not purely a mental exercise.
[00:46:47.780 --> 00:46:49.780]   It is a spiritual exercise.
[00:46:49.780 --> 00:46:51.780]   This is what Jesus says to the disciples,
[00:46:51.780 --> 00:46:53.780]   and Jesus, aware of this, said to them,
[00:46:53.780 --> 00:46:54.780]   to the disciples,
[00:46:54.780 --> 00:46:57.780]   "Why do you discuss the fact that you have no bread?
[00:46:57.780 --> 00:46:59.780]   Do you not yet see or understand?
[00:46:59.780 --> 00:47:03.780]   Do you have a hardened heart?"
[00:47:03.780 --> 00:47:05.780]   After everything that God made clear,
[00:47:05.780 --> 00:47:07.780]   Jesus made clear to them,
[00:47:07.780 --> 00:47:09.780]   they still couldn't understand.
[00:47:09.780 --> 00:47:11.780]   And the way Jesus described that, he says,
[00:47:11.780 --> 00:47:13.780]   "It's because of your hardened heart,
[00:47:13.780 --> 00:47:17.780]   that even though I made it very plain to you,
[00:47:17.780 --> 00:47:18.780]   it's not getting through.
[00:47:18.780 --> 00:47:20.780]   Having eyes do you not see,
[00:47:20.780 --> 00:47:21.780]   and having ears do you not hear,
[00:47:21.780 --> 00:47:23.780]   and do you not remember,
[00:47:23.780 --> 00:47:25.780]   when I broke the five loaves for the five thousand,
[00:47:25.780 --> 00:47:28.780]   how many baskets full of broken pieces you picked up?"
[00:47:28.780 --> 00:47:29.780]   They said to him, "Twelve."
[00:47:29.780 --> 00:47:31.780]   "When I broke the seven for the four thousand,
[00:47:31.780 --> 00:47:34.780]   how many large baskets full of broken pieces did you pick up?"
[00:47:34.780 --> 00:47:35.780]   And they said to him, "Seven."
[00:47:35.780 --> 00:47:37.780]   And he was saying to them,
[00:47:37.780 --> 00:47:41.780]   "Do you not yet understand?"
[00:47:41.780 --> 00:47:45.780]   After having made it so crystal clear,
[00:47:45.780 --> 00:47:49.780]   he said, "Even the obvious things,"
[00:47:49.780 --> 00:47:51.780]   he said, "Why do you not understand?"
[00:47:51.780 --> 00:47:54.780]   So sometimes the non-Christians,
[00:47:54.780 --> 00:47:56.780]   who do not believe God,
[00:47:56.780 --> 00:47:58.780]   see the way the Christians respond
[00:47:58.780 --> 00:47:59.780]   to the things that we sing,
[00:47:59.780 --> 00:48:01.780]   and things that we profess, and say,
[00:48:01.780 --> 00:48:04.780]   "I don't know if you really believe that.
[00:48:04.780 --> 00:48:06.780]   I can't believe people who believe that
[00:48:06.780 --> 00:48:11.780]   would be that callous toward the things that they say."
[00:48:11.780 --> 00:48:14.780]   We are told repeatedly, over and over again,
[00:48:14.780 --> 00:48:15.780]   the danger for Christians,
[00:48:15.780 --> 00:48:17.780]   if you've been a Christian for a while,
[00:48:17.780 --> 00:48:18.780]   or even for a short period of time,
[00:48:18.780 --> 00:48:20.780]   is to not to drift.
[00:48:20.780 --> 00:48:23.780]   And that's what the whole book of Hebrews was about.
[00:48:23.780 --> 00:48:24.780]   Do not drift. Pay attention.
[00:48:24.780 --> 00:48:27.780]   Do not drift. Pay attention.
[00:48:27.780 --> 00:48:30.780]   How will we escape if we neglect such a great salvation?
[00:48:30.780 --> 00:48:32.780]   Simply out of neglect.
[00:48:32.780 --> 00:48:33.780]   Simply because you're raising your children,
[00:48:33.780 --> 00:48:36.780]   you're paying your bills, going to school.
[00:48:36.780 --> 00:48:39.780]   That in the context of living,
[00:48:39.780 --> 00:48:40.780]   you've just drifted,
[00:48:40.780 --> 00:48:44.780]   and you've allowed your heart to become callous.
[00:48:44.780 --> 00:48:46.780]   I know how easy it is to become callous,
[00:48:46.780 --> 00:48:48.780]   because even as I prepare sermons,
[00:48:48.780 --> 00:48:52.780]   I can become callous.
[00:48:52.780 --> 00:48:54.780]   I mean, if you don't preach for a living,
[00:48:54.780 --> 00:48:57.780]   you might not understand what I'm saying.
[00:48:57.780 --> 00:48:59.780]   But even as I'm preparing scripture,
[00:48:59.780 --> 00:49:01.780]   even as I am preparing to encourage you,
[00:49:01.780 --> 00:49:03.780]   to challenge you,
[00:49:03.780 --> 00:49:06.780]   this can become habitual.
[00:49:06.780 --> 00:49:08.780]   And my heart becomes callous,
[00:49:08.780 --> 00:49:10.780]   and I focus on what I need to put together,
[00:49:10.780 --> 00:49:12.780]   how this is going to sound.
[00:49:12.780 --> 00:49:14.780]   Is this right? Is this wrong?
[00:49:14.780 --> 00:49:17.780]   And all this can be done with a callous heart,
[00:49:17.780 --> 00:49:19.780]   and none of it affecting me,
[00:49:19.780 --> 00:49:22.780]   hoping all of it would affect you.
[00:49:22.780 --> 00:49:24.780]   Easily.
[00:49:24.780 --> 00:49:28.780]   And if I don't carefully watch my own heart,
[00:49:28.780 --> 00:49:33.780]   even this can be done in callousness.
[00:49:33.780 --> 00:49:36.780]   We are told to be careful not to neglect,
[00:49:36.780 --> 00:49:38.780]   not to be hardened.
[00:49:38.780 --> 00:49:42.780]   Ephesus says, "Do not forsake your first love."
[00:49:42.780 --> 00:49:45.780]   1 Corinthians, "Do not be lukewarm."
[00:49:45.780 --> 00:49:46.780]   Over and over again.
[00:49:46.780 --> 00:49:49.780]   Why is this such a big problem?
[00:49:49.780 --> 00:49:55.780]   Because the next step of callousness is unbelief.
[00:49:55.780 --> 00:49:58.780]   The next step of,
[00:49:58.780 --> 00:50:02.780]   if you continue to accept callousness and lukewarmness
[00:50:02.780 --> 00:50:04.780]   and neglect of your salvation,
[00:50:04.780 --> 00:50:07.780]   and that becomes a normal pattern of your life,
[00:50:07.780 --> 00:50:11.780]   you're one crisis away from walking away from your faith.
[00:50:11.780 --> 00:50:12.780]   You're one crisis away.
[00:50:12.780 --> 00:50:14.780]   Because you're not grounded.
[00:50:14.780 --> 00:50:16.780]   So what's keeping you is not the love of Christ.
[00:50:16.780 --> 00:50:20.780]   What's keeping you is not truth.
[00:50:20.780 --> 00:50:23.780]   What's keeping you is habit.
[00:50:23.780 --> 00:50:26.780]   That's why when the pandemic hit,
[00:50:26.780 --> 00:50:29.780]   so many people who are hanging on out of habit,
[00:50:29.780 --> 00:50:31.780]   when the habit of going to church was broken,
[00:50:31.780 --> 00:50:34.780]   they no longer felt the need to go to church.
[00:50:34.780 --> 00:50:36.780]   Because what was keeping them going
[00:50:36.780 --> 00:50:38.780]   was not passion and love for Christ,
[00:50:38.780 --> 00:50:40.780]   was not truth, was not conviction,
[00:50:40.780 --> 00:50:43.780]   was not love, but simply habit.
[00:50:43.780 --> 00:50:45.780]   And all that needed to happen for that to be broken
[00:50:45.780 --> 00:50:49.780]   was for that habit to be broken.
[00:50:49.780 --> 00:50:52.780]   We have to watch our callousness.
[00:50:52.780 --> 00:50:55.780]   If we're lukewarm, you are in danger.
[00:50:55.780 --> 00:50:57.780]   We are all in danger
[00:50:57.780 --> 00:51:02.780]   that we do not accept that as a normal pattern of life.
[00:51:02.780 --> 00:51:04.780]   And callousness is not obvious.
[00:51:04.780 --> 00:51:06.780]   No one's going to point you out and say,
[00:51:06.780 --> 00:51:07.780]   "Hey, you didn't sing loud enough,"
[00:51:07.780 --> 00:51:10.780]   or, "You didn't pray with passion."
[00:51:10.780 --> 00:51:11.780]   No one's going to point that out.
[00:51:11.780 --> 00:51:13.780]   Only you know that.
[00:51:13.780 --> 00:51:15.780]   Some people's passions are quiet.
[00:51:15.780 --> 00:51:16.780]   Some people's passions are loud.
[00:51:16.780 --> 00:51:21.780]   You can't just determine that passion from external things.
[00:51:21.780 --> 00:51:23.780]   But you know that.
[00:51:23.780 --> 00:51:28.780]   I know that if my heart is lukewarm.
[00:51:28.780 --> 00:51:31.780]   Over and over again, the Bible tells us
[00:51:31.780 --> 00:51:35.780]   that God is anything but callous.
[00:51:35.780 --> 00:51:38.780]   If God was callous toward us, lukewarm toward us,
[00:51:38.780 --> 00:51:39.780]   you and I would not be here.
[00:51:39.780 --> 00:51:41.780]   We would have been a long time ago.
[00:51:41.780 --> 00:51:44.780]   He would have just handed us over, let you just do,
[00:51:44.780 --> 00:51:47.780]   because out of callousness.
[00:51:47.780 --> 00:51:48.780]   He would have just kind of allowed us.
[00:51:48.780 --> 00:51:50.780]   In fact, that's what the Bible says,
[00:51:50.780 --> 00:51:53.780]   that final stage of judgment is that He just releases us.
[00:51:53.780 --> 00:51:54.780]   He just kind of lets it go, lets you drift,
[00:51:54.780 --> 00:51:56.780]   lets you go on your path.
[00:51:56.780 --> 00:51:59.780]   Instead of fighting for us.
[00:51:59.780 --> 00:52:03.780]   47 times in the Bible, the Scripture tells us
[00:52:03.780 --> 00:52:05.780]   that because He is compassionate,
[00:52:05.780 --> 00:52:08.780]   we are not consumed.
[00:52:08.780 --> 00:52:10.780]   Number 3, 22, 23.
[00:52:10.780 --> 00:52:12.780]   The Lord's love and kindness indeed never cease,
[00:52:12.780 --> 00:52:14.780]   for His compassion never fail.
[00:52:14.780 --> 00:52:17.780]   They are new every morning, great is your faithfulness.
[00:52:17.780 --> 00:52:19.780]   In the NIV, it says because of His great love,
[00:52:19.780 --> 00:52:22.780]   we are not consumed.
[00:52:22.780 --> 00:52:25.780]   We're not simply here because we chose the right path
[00:52:25.780 --> 00:52:26.780]   and we're walking toward the right things
[00:52:26.780 --> 00:52:27.780]   and we're doing the right things.
[00:52:27.780 --> 00:52:29.780]   He said it's because of His loving kindness,
[00:52:29.780 --> 00:52:32.780]   because of His compassion toward us,
[00:52:32.780 --> 00:52:35.780]   that He's not allowing us to just simply drift.
[00:52:35.780 --> 00:52:38.780]   He is fighting for us.
[00:52:38.780 --> 00:52:40.780]   In Psalm 103, 10-13,
[00:52:40.780 --> 00:52:44.780]   He has not dealt with us according to our sins,
[00:52:44.780 --> 00:52:47.780]   nor rewarded us according to our iniquities.
[00:52:47.780 --> 00:52:49.780]   For as high as the heavens are above the earth,
[00:52:49.780 --> 00:52:52.780]   so great is His loving kindness toward those who fear Him.
[00:52:52.780 --> 00:52:53.780]   As far as the east is from the west,
[00:52:53.780 --> 00:52:56.780]   so far has He removed our transgressions from us.
[00:52:56.780 --> 00:52:59.780]   Just as a father has compassion on his children,
[00:52:59.780 --> 00:53:04.780]   so the Lord has compassion on those who fear Him.
[00:53:04.780 --> 00:53:05.780]   It's because of His compassion.
[00:53:05.780 --> 00:53:08.780]   You know, for God to judge us
[00:53:08.780 --> 00:53:10.780]   and deal with us according to our sins,
