
[00:00:00.000 --> 00:00:02.000]   >> One minute.
[00:20:52.000 --> 00:20:57.000]   to work remote.
[00:20:57.000 --> 00:20:59.000]   You're so selfish, and I don't know who you are,
[00:20:59.000 --> 00:21:05.000]   so I can just say that at a blanket.
[00:21:05.000 --> 00:21:13.000]   If you consider the totality of your life
[00:21:13.000 --> 00:21:17.000]   as a missionary while you're here,
[00:21:17.000 --> 00:21:20.000]   and the obsession for every Christian
[00:21:20.000 --> 00:21:24.000]   is the Great Commission, making disciples of all nations
[00:21:24.000 --> 00:21:27.000]   by going, baptizing, and teaching them to do everything
[00:21:27.000 --> 00:21:29.000]   that Christ has taught, right?
[00:21:29.000 --> 00:21:33.000]   If the obsession of your life is to glorify God
[00:21:33.000 --> 00:21:42.000]   and to build his church and to save the lost,
[00:21:42.000 --> 00:21:45.000]   are you handling the place where you are spending
[00:21:45.000 --> 00:21:50.000]   most of your week well?
[00:21:50.000 --> 00:21:53.000]   Shame on you if you prefer working remote.
[00:21:53.000 --> 00:21:55.000]   And again, commute and all this stuff,
[00:21:55.000 --> 00:21:58.000]   I'm just throwing out as a blanket statement,
[00:21:58.000 --> 00:22:01.000]   because how are you going to reach those people
[00:22:01.000 --> 00:22:05.000]   if you don't get face-to-face time with them?
[00:22:05.000 --> 00:22:07.000]   How are you going to build relationships
[00:22:07.000 --> 00:22:09.000]   to win them over to Christ
[00:22:09.000 --> 00:22:13.000]   if you don't want to have anything to do with them?
[00:22:13.000 --> 00:22:15.000]   And you're more worried about your comfort
[00:22:15.000 --> 00:22:18.000]   and your convenience, be able to work on your pajamas,
[00:22:18.000 --> 00:22:20.000]   wake up and just do this with your eyes
[00:22:20.000 --> 00:22:24.000]   and just get to work.
[00:22:24.000 --> 00:22:28.000]   Second question, in your mission field,
[00:22:28.000 --> 00:22:30.000]   are you making progress in silencing
[00:22:30.000 --> 00:22:33.000]   every anti-Christian critic?
[00:22:33.000 --> 00:22:36.000]   Or are you the one that, like, you're a Christian
[00:22:36.000 --> 00:22:38.000]   and everyone knows you're a Christian,
[00:22:38.000 --> 00:22:43.000]   but people don't think you're that great a worker?
[00:22:43.000 --> 00:22:45.000]   Are you well-pleasing?
[00:22:45.000 --> 00:22:47.000]   Or are you argumentative?
[00:22:47.000 --> 00:22:51.000]   Are you pilfering your boss's time?
[00:22:51.000 --> 00:22:54.000]   Okay, those are things that you need to consider.
[00:22:54.000 --> 00:22:58.000]   Third, are you showing yourself
[00:22:58.000 --> 00:23:01.000]   to be trustworthy in everything
[00:23:01.000 --> 00:23:07.000]   when the boss is not looking at your workplace?
[00:23:07.000 --> 00:23:08.000]   Because remember, it is the Lord Christ
[00:23:08.000 --> 00:23:12.000]   whom you are serving.
[00:23:12.000 --> 00:23:15.000]   Are you being a good witness to other fellow bond slaves
[00:23:15.000 --> 00:23:17.000]   who might not be Christian bond slaves,
[00:23:17.000 --> 00:23:21.000]   but they're also there?
[00:23:21.000 --> 00:23:25.000]   Are you a good bond slave,
[00:23:25.000 --> 00:23:34.000]   making the gospel attractive to other bond slaves?
[00:23:34.000 --> 00:23:36.000]   Are you willing to make sacrifices
[00:23:36.000 --> 00:23:42.000]   to be a more effective missionary?
[00:23:42.000 --> 00:23:44.000]   If you were to say, "Hey, Pastor Peter,
[00:23:44.000 --> 00:23:49.000]   I want to go to China,"
[00:23:49.000 --> 00:23:53.000]   most likely, I'll tell you,
[00:23:53.000 --> 00:23:56.000]   have some sellable skill,
[00:23:56.000 --> 00:23:57.000]   because people aren't going to--
[00:23:57.000 --> 00:23:59.000]   like, they're not always down to support you,
[00:23:59.000 --> 00:24:03.000]   and that financial support, it's going to dry up.
[00:24:03.000 --> 00:24:05.000]   So if you want to do mission work,
[00:24:05.000 --> 00:24:07.000]   one of the best things to do is to be a tent maker,
[00:24:07.000 --> 00:24:10.000]   which means you're just a Christian
[00:24:10.000 --> 00:24:12.000]   in a cross-cultural context,
[00:24:12.000 --> 00:24:13.000]   and the only reason you're working
[00:24:13.000 --> 00:24:15.000]   is just to make ends meet,
[00:24:15.000 --> 00:24:18.000]   because your job there is not your goal.
[00:24:18.000 --> 00:24:22.000]   What is your goal in the mission field?
[00:24:22.000 --> 00:24:23.000]   To be a missionary.
[00:24:23.000 --> 00:24:27.000]   Why is that different here?
[00:24:27.000 --> 00:24:29.000]   Right?
[00:24:29.000 --> 00:24:31.000]   So we're willing to make sacrifices
[00:24:31.000 --> 00:24:33.000]   to go out of our comfort zone
[00:24:33.000 --> 00:24:37.000]   only if he calls us abroad to be a missionary,
[00:24:37.000 --> 00:24:39.000]   but you don't realize that same call
[00:24:39.000 --> 00:24:41.000]   is for you where you're at right now.
[00:24:41.000 --> 00:24:45.000]   You're supposed to, even if it means,
[00:24:45.000 --> 00:24:47.000]   "I will stay at this job
[00:24:47.000 --> 00:24:52.000]   "even if that job can offer me better, like, package.
[00:24:52.000 --> 00:25:01.000]   "I will stay here because there are souls to be won here."
[00:25:01.000 --> 00:25:06.000]   Are you actively looking for opportunities to share?
[00:25:06.000 --> 00:25:09.000]   And I think this is such an important topic
[00:25:09.000 --> 00:25:10.000]   to discuss with us,
[00:25:10.000 --> 00:25:17.000]   because a lot of us think of our careers
[00:25:17.000 --> 00:25:22.000]   being something that exists for our happiness
[00:25:22.000 --> 00:25:27.000]   and our comfort.
[00:25:27.000 --> 00:25:30.000]   That's a worldly desire.
[00:25:30.000 --> 00:25:32.000]   That's ungodliness.
[00:25:32.000 --> 00:25:34.000]   If you guys have memorized Titus 2,
[00:25:34.000 --> 00:25:36.000]   you know what happens in verse 12?
[00:25:36.000 --> 00:25:39.000]   "For the grace of God has appeared,
[00:25:39.000 --> 00:25:42.000]   "bringing salvation to all men," verse 12,
[00:25:42.000 --> 00:25:45.000]   "instructing us to deny ungodliness and worldly desires,
[00:25:45.000 --> 00:25:49.000]   "but to live sensibly, righteously, godly in the present age."
[00:25:49.000 --> 00:25:50.000]   Okay?
[00:25:50.000 --> 00:25:51.000]   So we're going to get there.
[00:25:51.000 --> 00:25:56.000]   This is like a--just--we're transitioning into that.
[00:25:56.000 --> 00:26:01.000]   But you thinking your career is for you
[00:26:01.000 --> 00:26:06.000]   is a very immature Christian thought.
[00:26:06.000 --> 00:26:11.000]   Nod your heads if you understand what I'm trying to get at.
[00:26:11.000 --> 00:26:17.000]   Your job is a vehicle to give glory to God
[00:26:17.000 --> 00:26:21.000]   and to save souls.
[00:26:21.000 --> 00:26:25.000]   Think of that next time you look at the packages
[00:26:25.000 --> 00:26:28.000]   that are offered to you.
[00:26:28.000 --> 00:26:31.000]   Hey, but because if someone goes to China as a missionary,
[00:26:31.000 --> 00:26:33.000]   someone decides to go to India as a missionary,
[00:26:33.000 --> 00:26:35.000]   you're not expecting them to take the best financial package.
[00:26:35.000 --> 00:26:36.000]   Oh, no.
[00:26:36.000 --> 00:26:37.000]   They've forsaken the world.
[00:26:37.000 --> 00:26:38.000]   They've taken up the cross,
[00:26:38.000 --> 00:26:41.000]   and they've committed to follow Christ.
[00:26:41.000 --> 00:26:43.000]   But that's for those guys.
[00:26:43.000 --> 00:26:48.000]   That's not for us here.
[00:26:48.000 --> 00:26:51.000]   And that's a lot harder to shake
[00:26:51.000 --> 00:26:57.000]   than anything else in our culture where we live.
[00:26:57.000 --> 00:26:58.000]   Okay?
[00:26:58.000 --> 00:27:02.000]   So I'm picking on verses 9 and 10
[00:27:02.000 --> 00:27:04.000]   because sometimes when we look at this
[00:27:04.000 --> 00:27:07.000]   and we scrutinize it academically,
[00:27:07.000 --> 00:27:10.000]   we kind of forget the heart behind this.
[00:27:10.000 --> 00:27:15.000]   You as a bond slave with an earthly master,
[00:27:15.000 --> 00:27:19.000]   you as a missionary in whatever mission field you're in,
[00:27:19.000 --> 00:27:24.000]   you're supposed to make this doctrine of God our Savior
[00:27:24.000 --> 00:27:27.000]   attractive in every respect.
[00:27:27.000 --> 00:27:29.000]   Is that verse 10?
[00:27:29.000 --> 00:27:30.000]   Yeah.
[00:27:30.000 --> 00:27:35.000]   To cosmeo the doctrine of God in every respect.
[00:27:35.000 --> 00:27:36.000]   Are you faithful to that
[00:27:36.000 --> 00:27:39.000]   where you're spending 40-plus hours a week?
[00:27:39.000 --> 00:27:40.000]   Okay?
[00:27:40.000 --> 00:27:44.000]   And so I want to close with this Romans 12, 1 to 3.
[00:27:44.000 --> 00:27:49.000]   Romans is the book we all go to for just pure gospel,
[00:27:49.000 --> 00:27:52.000]   like doctrinal richness.
[00:27:52.000 --> 00:27:54.000]   And then if you guys have studied Romans,
[00:27:54.000 --> 00:27:57.000]   1 through 11 is a lot of theology and doctrine.
[00:27:57.000 --> 00:27:59.000]   12 and on is application.
[00:27:59.000 --> 00:28:04.000]   So here's chapter 12 of Romans.
[00:28:04.000 --> 00:28:07.000]   This is, like, where it transitions, okay?
[00:28:07.000 --> 00:28:11.000]   "Therefore I urge you, brethren, by the mercies of God,
[00:28:11.000 --> 00:28:15.000]   "to present your bodies a living and holy sacrifice
[00:28:15.000 --> 00:28:16.000]   "acceptable to God,
[00:28:16.000 --> 00:28:20.000]   "which is your spiritual service of worship.
[00:28:20.000 --> 00:28:23.000]   "Do not be conformed to this world,
[00:28:23.000 --> 00:28:26.000]   "but be transformed by the renewal of your mind,
[00:28:26.000 --> 00:28:31.000]   "henna, so that you may prove what the will of God is,
[00:28:31.000 --> 00:28:35.000]   "that which is good and acceptable and perfect.
[00:28:35.000 --> 00:28:37.000]   "For through the grace given to me,
[00:28:37.000 --> 00:28:39.000]   "I say to everyone among you,
[00:28:39.000 --> 00:28:42.000]   "not to think more highly of himself than he ought to think,
[00:28:42.000 --> 00:28:45.000]   "but to think so as to have sofron,
[00:28:45.000 --> 00:28:51.000]   "as God has allotted to each measure of faith."
[00:28:51.000 --> 00:29:00.000]   You're not the first Christian on this planet.
[00:29:00.000 --> 00:29:06.000]   You don't exist for you.
[00:29:06.000 --> 00:29:10.000]   You're created by God and for God to love God and to serve God.
[00:29:10.000 --> 00:29:12.000]   That's your identity as a Christian.
[00:29:12.000 --> 00:29:15.000]   Amen?
[00:29:15.000 --> 00:29:16.000]   So are you going to be so--
[00:29:16.000 --> 00:29:21.000]   are you going to have a sofron mentality?
[00:29:21.000 --> 00:29:27.000]   Here's just two things recently that I found
[00:29:27.000 --> 00:29:31.000]   that was very helpful for me.
[00:29:31.000 --> 00:29:35.000]   So just kind of think clearly here.
[00:29:35.000 --> 00:29:37.000]   The gospel, Paul Washer says,
[00:29:37.000 --> 00:29:43.000]   does not call us to receive Christ as an addition to our life,
[00:29:43.000 --> 00:29:46.000]   but as our life.
[00:29:46.000 --> 00:29:49.000]   Amen?
[00:29:49.000 --> 00:29:57.000]   But is that true of you in your workplace?
[00:29:57.000 --> 00:30:00.000]   Martin Luther uses this word "bondslave,"
[00:30:00.000 --> 00:30:03.000]   so I think that's why it caught my eye.
[00:30:03.000 --> 00:30:06.000]   "The will of man without the grace of God is not free at all,
[00:30:06.000 --> 00:30:10.000]   "but is the permanent prisoner and bondslave of evil,
[00:30:10.000 --> 00:30:14.000]   "since it cannot turn itself to good."
[00:30:14.000 --> 00:30:17.000]   But you know what Titus teaches us?
[00:30:17.000 --> 00:30:21.000]   We've been free because of who?
[00:30:21.000 --> 00:30:24.000]   Because of Christ.
[00:30:24.000 --> 00:30:26.000]   So you're no longer a slave to sin.
[00:30:26.000 --> 00:30:30.000]   It's also elaborated on in Romans 8.
[00:30:30.000 --> 00:30:33.000]   On earth, you may be a slave,
[00:30:33.000 --> 00:30:35.000]   but you're not a slave to sin.
[00:30:35.000 --> 00:30:40.000]   So live as free men.
[00:30:40.000 --> 00:30:43.000]   So the question today is,
[00:30:43.000 --> 00:30:48.000]   as you are called to be a bondslave who is a missionary
[00:30:48.000 --> 00:30:53.000]   in your earthly master's home,
[00:30:53.000 --> 00:30:54.000]   are you trustworthy?
[00:30:54.000 --> 00:30:56.000]   Are you excellent?
[00:30:56.000 --> 00:30:58.000]   Are you adorning the gospel in every respect?
[00:30:58.000 --> 00:30:59.000]   Or are you pilfering?
[00:30:59.000 --> 00:31:01.000]   Are you argumentative?
[00:31:01.000 --> 00:31:04.000]   Are you selfish?
[00:31:04.000 --> 00:31:07.000]   Because there are gospel ramifications
[00:31:07.000 --> 00:31:10.000]   to your witness at work.
[00:31:10.000 --> 00:31:13.000]   And your families.
[00:31:13.000 --> 00:31:15.000]   Some of you guys, I mean, sometimes you come in for counseling
[00:31:15.000 --> 00:31:17.000]   and say, "Oh yeah, I'm having trouble with my non-Christian mom
[00:31:17.000 --> 00:31:20.000]   "or my non-Christian dad."
[00:31:20.000 --> 00:31:23.000]   And maybe you consider maybe it's your fault.
[00:31:23.000 --> 00:31:26.000]   Maybe you're the one hindering them
[00:31:26.000 --> 00:31:28.000]   with certain attitudes.
[00:31:28.000 --> 00:31:33.000]   Or maybe they see you as more religious and kind of insane
[00:31:33.000 --> 00:31:37.000]   than sound.
[00:31:37.000 --> 00:31:43.000]   So today, that verse 9 and 10 of this bondslave mentality
[00:31:43.000 --> 00:31:48.000]   will bleed into the doctrine-heavy section next week.
[00:31:48.000 --> 00:31:52.000]   And I want to just give us a little bit of a head start, okay?
[00:31:52.000 --> 00:31:56.000]   Urge bondslaves to be subject to their own masters in everything
[00:31:56.000 --> 00:31:58.000]   to be well-pleasing and not argumentative, not pilfering,
[00:31:58.000 --> 00:32:01.000]   but showing all good faith
[00:32:01.000 --> 00:32:03.000]   so that they will adorn the doctrine of God our Savior
[00:32:03.000 --> 00:32:05.000]   in every respect.
[00:32:05.000 --> 00:32:07.000]   Why?
[00:32:07.000 --> 00:32:13.000]   For the grace of God has appeared, bringing salvation to all men,
[00:32:13.000 --> 00:32:16.000]   instructing us to deny ungodliness and worldly desires
[00:32:16.000 --> 00:32:22.000]   and to live so fraught, sensibly, righteously, godly in the present age.
[00:32:22.000 --> 00:32:26.000]   The point of all these lists
[00:32:26.000 --> 00:32:29.000]   is not to be a better Christian.
[00:32:29.000 --> 00:32:31.000]   That's a natural byproduct.
[00:32:31.000 --> 00:32:36.000]   The point of all of this is to say,
[00:32:36.000 --> 00:32:39.000]   God is real, God is good,
[00:32:39.000 --> 00:32:42.000]   he died for me, not just to save me,
[00:32:42.000 --> 00:32:45.000]   but to transform me, to make me a new creation.
[00:32:45.000 --> 00:32:48.000]   The old is gone and the new has come.
[00:32:48.000 --> 00:32:52.000]   And that's changed every fabric of my being.
[00:32:52.000 --> 00:32:56.000]   So whether I eat or drink, I do it all for the glory of God.
[00:32:56.000 --> 00:33:00.000]   Whether I'm filling out a spreadsheet or doing a presentation,
[00:33:00.000 --> 00:33:02.000]   whether I'm driving a client,
[00:33:02.000 --> 00:33:06.000]   whether I'm fixing up something that's completely meaningless,
[00:33:06.000 --> 00:33:09.000]   if there's a coffee spill, I don't wait for someone else to do it,
[00:33:09.000 --> 00:33:12.000]   I'll come and do it.
[00:33:12.000 --> 00:33:14.000]   And guess what happens?
[00:33:14.000 --> 00:33:18.000]   Your non-Christian workers will have nothing bad to say.
[00:33:18.000 --> 00:33:20.000]   They will look at you and be like,
[00:33:20.000 --> 00:33:24.000]   "Dang, what does that person have that I don't?"
[00:33:24.000 --> 00:33:26.000]   I'm not going to embarrass this person,
[00:33:26.000 --> 00:33:28.000]   but one of the most encouraging things I heard
[00:33:28.000 --> 00:33:31.000]   about 17, 18 years ago at Berean
[00:33:31.000 --> 00:33:37.000]   was there was a person whose co-worker came to church
[00:33:37.000 --> 00:33:40.000]   and was there for about a month.
[00:33:40.000 --> 00:33:47.000]   And the reason, like, the person said that they came to visit the church was,
[00:33:47.000 --> 00:33:53.000]   this individual, this person is such a beautiful person.
[00:33:53.000 --> 00:34:00.000]   I had to come to the church to check out what makes him/her tick.
[00:34:00.000 --> 00:34:04.000]   And I was like, "Dang, that's a good witness."
[00:34:04.000 --> 00:34:07.000]   That person comes in on Saturday?
[00:34:07.000 --> 00:34:11.000]   That person, before I even ask, takes care of stuff?
[00:34:11.000 --> 00:34:15.000]   And again, I'm hearing this through other channels.
[00:34:15.000 --> 00:34:18.000]   But I remember 17, 18 years ago hearing that, I'm like,
[00:34:18.000 --> 00:34:24.000]   "Wow, this person's pretty cool."
[00:34:24.000 --> 00:34:29.000]   Can you be that kind of a witness at your job?
[00:34:29.000 --> 00:34:32.000]   So that even without saying anything,
[00:34:32.000 --> 00:34:36.000]   that there's something magnetic about the way you do your work.
[00:34:36.000 --> 00:34:39.000]   When people see you, there's an aroma of Christ.
[00:34:39.000 --> 00:34:43.000]   And they can't quite put a finger on what it is, but you're weird, you're different.
[00:34:43.000 --> 00:34:45.000]   Is that how you can work?
[00:34:45.000 --> 00:34:48.000]   Because whether or not you realize it,
[00:34:48.000 --> 00:34:55.000]   you're either a good missionary or a horrible one.
[00:34:55.000 --> 00:34:57.000]   You guys following this?
[00:34:57.000 --> 00:35:00.000]   And why is all of our behavior and action important?
[00:35:00.000 --> 00:35:07.000]   Verse 11, salvation is here.
[00:35:07.000 --> 00:35:11.000]   And for some mysterious reason, God chooses to use man
[00:35:11.000 --> 00:35:15.000]   to bring other men to the place where their eyes are open
[00:35:15.000 --> 00:35:18.000]   and see the glory of God.
[00:35:18.000 --> 00:35:20.000]   So what I want you guys to do in your groups,
[00:35:20.000 --> 00:35:24.000]   a lot of this is not heavy, it's just like a little slap to be like,
[00:35:24.000 --> 00:35:30.000]   "Oh yeah, we're missionaries here."
[00:35:30.000 --> 00:35:34.000]   To think through, what is--like, I need to fix this.
[00:35:34.000 --> 00:35:37.000]   I need to be more sensible.
[00:35:37.000 --> 00:35:39.000]   One, in what ways is our workplace a mission field?
[00:35:39.000 --> 00:35:43.000]   Have we been faithful missionaries?
[00:35:43.000 --> 00:35:46.000]   Two, how are you in your speech, in your doctrine?
[00:35:46.000 --> 00:35:50.000]   In what areas do you need prayer coverage to help you to be sensible?
[00:35:50.000 --> 00:35:53.000]   One thing is, I don't like sharing prayer requests.
[00:35:53.000 --> 00:35:56.000]   Not me personally.
[00:35:56.000 --> 00:35:59.000]   But sometimes when I hear your prayer requests,
[00:35:59.000 --> 00:36:01.000]   I'm like, "That's not a prayer request.
[00:36:01.000 --> 00:36:04.000]   That's like a wish list to Santa."
[00:36:04.000 --> 00:36:08.000]   What a prayer request is, is I'm in spiritual warfare,
[00:36:08.000 --> 00:36:11.000]   trying to figure out how to--
[00:36:11.000 --> 00:36:14.000]   like, my struggle is not against flesh and blood,
[00:36:14.000 --> 00:36:15.000]   it's against the principalities.
[00:36:15.000 --> 00:36:17.000]   I need help.
[00:36:17.000 --> 00:36:19.000]   Right?
[00:36:19.000 --> 00:36:20.000]   I struggle with pride.
[00:36:20.000 --> 00:36:21.000]   I struggle with anger.
[00:36:21.000 --> 00:36:23.000]   I struggle with addiction.
[00:36:23.000 --> 00:36:26.000]   I struggle with just resentment toward my boss.
[00:36:26.000 --> 00:36:28.000]   Help me.
[00:36:28.000 --> 00:36:30.000]   And maybe tomorrow will be a different day.
[00:36:30.000 --> 00:36:34.000]   Okay, so those are what I call prayer coverage,
[00:36:34.000 --> 00:36:36.000]   in order for you to be more so front.
[00:36:36.000 --> 00:36:37.000]   All right?
[00:36:37.000 --> 00:36:45.000]   So next week is this doctrinal, 2.11-15.
[00:36:45.000 --> 00:36:48.000]   We're just going in five-verse clumps now.
[00:36:48.000 --> 00:36:52.000]   But I would like us to wrap up with this.
[00:36:52.000 --> 00:36:53.000]   Okay?
[00:36:53.000 --> 00:36:59.000]   Let me pray for us.
[00:36:59.000 --> 00:37:05.000]   Father, help us to represent you well to this dark and dying world.
[00:37:05.000 --> 00:37:09.000]   Lord, not for our benefit, but ultimately for your joy
[00:37:09.000 --> 00:37:11.000]   and for your glory.
[00:37:11.000 --> 00:37:14.000]   And I pray, Father God, that you would help us in this endeavor,
[00:37:14.000 --> 00:37:18.000]   for it's easy for us to get distracted, to drift, and forget.
[00:37:18.000 --> 00:37:24.000]   Lord, we love you and help our lives to really match
[00:37:24.000 --> 00:37:27.000]   just the things that we say, we believe,
[00:37:27.000 --> 00:37:29.000]   and the things that we feel.
[00:37:29.000 --> 00:37:30.000]   Help it to match.
[00:37:30.000 --> 00:37:37.000]   And by your grace, Lord, would you save souls through just our prayers
[00:37:37.000 --> 00:37:41.000]   and through our witness.
[00:37:41.000 --> 00:37:43.000]   I pray these things in Jesus' name.
[00:37:44.000 --> 00:37:45.000]   Amen.
[00:37:45.000 --> 00:37:46.000]   [end]
[00:37:46.000 --> 00:37:47.000]   [applause]
[00:37:48.000 --> 00:37:49.000]   [music]
[00:37:50.000 --> 00:37:51.000]   [music]
[00:37:51.000 --> 00:38:01.000]   [BLANK_AUDIO]

