
[00:00:00.000 --> 00:00:06.880]   [Pause]
[00:21:13.480 --> 00:21:19.400]   Are you making decisions, being concerned that where we've come, that somehow God's
[00:21:19.400 --> 00:21:23.120]   not going to shake this up and go back to where we were?
[00:21:23.120 --> 00:21:25.120]   Now, I don't know.
[00:21:25.120 --> 00:21:26.120]   Don't worry.
[00:21:26.120 --> 00:21:27.120]   I don't have any crazy thoughts.
[00:21:27.120 --> 00:21:30.880]   This is just me just wrestling.
[00:21:30.880 --> 00:21:33.840]   Is that my aim in life?
[00:21:33.840 --> 00:21:37.840]   I look at what's happening all over the world, and in particular because I just came back
[00:21:37.840 --> 00:21:39.680]   from Philippines.
[00:21:39.680 --> 00:21:46.160]   And a question that I am convicted with, whether I'm in China, whether I'm in India, whether
[00:21:46.160 --> 00:21:50.480]   I'm in Philippines or anywhere else in the world, the question that I come back with,
[00:21:50.480 --> 00:21:52.640]   "What are you going to do?"
[00:21:52.640 --> 00:21:55.200]   Yes, you saw this.
[00:21:55.200 --> 00:21:56.720]   Yes, you heard this.
[00:21:56.720 --> 00:21:58.320]   And you experienced this.
[00:21:58.320 --> 00:22:01.740]   Now what are you going to do?
[00:22:01.740 --> 00:22:04.960]   My honest answer to you is, "I don't know.
[00:22:04.960 --> 00:22:07.860]   I don't know."
[00:22:07.860 --> 00:22:12.960]   But there's a stirring in my heart, whether you want to call that just my emotions or
[00:22:12.960 --> 00:22:20.640]   Holy Spirit conviction, there's a stirring in my heart that we're not there.
[00:22:20.640 --> 00:22:23.240]   That God has tremendously blessed us.
[00:22:23.240 --> 00:22:24.920]   You guys have money.
[00:22:24.920 --> 00:22:26.120]   You guys have freedom.
[00:22:26.120 --> 00:22:27.120]   You guys have health.
[00:22:27.120 --> 00:22:32.360]   You have everything that 99% of the world wishes that they had.
[00:22:32.360 --> 00:22:35.140]   You and I have already.
[00:22:35.140 --> 00:22:38.560]   So the next question is, "What are you going to do?"
[00:22:38.560 --> 00:22:41.500]   Again, "I don't know."
[00:22:41.500 --> 00:22:42.680]   And I'm going to be wrestling with this.
[00:22:42.680 --> 00:22:44.800]   I'm going to continue to wrestle with this.
[00:22:44.800 --> 00:22:48.040]   I want you to wrestle with me with this.
[00:22:48.040 --> 00:22:50.640]   What are we going to do with this?
[00:22:50.640 --> 00:22:53.480]   What are we going to do with this blessing?
[00:22:53.480 --> 00:22:57.680]   What imprint, what footprints are we going to leave behind for our children and for our
[00:22:57.680 --> 00:23:00.200]   next generation?
[00:23:00.200 --> 00:23:04.860]   Are we going to simply say, "I saved up this money and I give it to you as an inheritance.
[00:23:04.860 --> 00:23:06.680]   Look at this nice house.
[00:23:06.680 --> 00:23:09.920]   If I pass, I'm going to give that to you."
[00:23:09.920 --> 00:23:16.700]   Are we going to leave behind imprints so that they can work for eternal things?
[00:23:16.700 --> 00:23:21.440]   They can labor in value and be broken for the lost.
[00:23:21.440 --> 00:23:22.440]   And so I wrestle with that.
[00:23:22.440 --> 00:23:26.220]   And Paul says to Timothy, "Timothy, you're not on the wrong path.
[00:23:26.220 --> 00:23:28.500]   Yes, hardship is coming.
[00:23:28.500 --> 00:23:30.180]   Yes, persecution is.
[00:23:30.180 --> 00:23:31.180]   Yes, I may die.
[00:23:31.180 --> 00:23:34.300]   But Timothy, you're not on the wrong path.
[00:23:34.300 --> 00:23:36.300]   You're not like those people.
[00:23:36.300 --> 00:23:38.480]   Even if you die, you shall live."
[00:23:38.480 --> 00:23:43.620]   And so he says, again, "Follow my teaching, my conduct, my aim in life."
[00:23:43.620 --> 00:23:47.320]   And then the part where we left off when it says, "My faith."
[00:23:47.320 --> 00:23:49.900]   The faith that he's talking about is not talking about creed.
[00:23:49.900 --> 00:23:51.420]   It's not talking about doctrine.
[00:23:51.420 --> 00:23:55.060]   But the outworking of our confession.
[00:23:55.060 --> 00:23:58.780]   Faithfulness, maybe that's a better way to put it.
[00:23:58.780 --> 00:24:02.300]   Faith is observable.
[00:24:02.300 --> 00:24:05.060]   Despite what we hear in our generation, faith is something you feel.
[00:24:05.060 --> 00:24:06.060]   It's deep inside.
[00:24:06.060 --> 00:24:10.100]   And no one judge you because it's something in here you can't see.
[00:24:10.100 --> 00:24:12.820]   Faith is tangible.
[00:24:12.820 --> 00:24:19.360]   Because logically, everything you do, you do because you believe something.
[00:24:19.360 --> 00:24:22.780]   Somebody tells me, if I watch the news and they say it's going to rain today, and if
[00:24:22.780 --> 00:24:27.780]   I believe what they tell me, I would grab a raincoat or an umbrella.
[00:24:27.780 --> 00:24:30.380]   And say, "Well, it may not rain, so I don't believe."
[00:24:30.380 --> 00:24:32.980]   If I don't believe what they're saying, I'm not going to grab it.
[00:24:32.980 --> 00:24:33.980]   Right?
[00:24:33.980 --> 00:24:35.580]   Every day, you and I live by it.
[00:24:35.580 --> 00:24:40.220]   Every time you get in your car and you drive by a light and it's green.
[00:24:40.220 --> 00:24:43.620]   And every time you go through that intersection, you're living by faith.
[00:24:43.620 --> 00:24:46.700]   You believe that because it's green, you're safe.
[00:24:46.700 --> 00:24:49.300]   And that other one is red, so it's going to stop the other car.
[00:24:49.300 --> 00:24:51.540]   Imagine if you didn't believe that.
[00:24:51.540 --> 00:24:55.140]   If you were going through an intersection, going 50 miles per hour, and another car is
[00:24:55.140 --> 00:24:59.140]   coming 50 miles per hour, and you didn't believe that that car was going to stop, would you
[00:24:59.140 --> 00:25:00.140]   go through the intersection?
[00:25:00.140 --> 00:25:02.020]   No, you would not.
[00:25:02.020 --> 00:25:04.180]   Because the consequence is you're going to get in an accident.
[00:25:04.180 --> 00:25:08.020]   That car coming 50 miles per hour, you going 50 miles per hour, you have a collision, you're
[00:25:08.020 --> 00:25:09.100]   going to die.
[00:25:09.100 --> 00:25:11.300]   So the consequence is too great.
[00:25:11.300 --> 00:25:15.500]   If you don't believe it, you're not going to go through that intersection.
[00:25:15.500 --> 00:25:21.900]   Every day, every decision that we make is an out-product of what we believe.
[00:25:21.900 --> 00:25:23.780]   Because I believe it, this is what I do.
[00:25:23.780 --> 00:25:25.500]   I believe that I'm going to be safe.
[00:25:25.500 --> 00:25:27.180]   Now, it's not 100%.
[00:25:27.180 --> 00:25:32.100]   Obviously, there are times when people cross red light and tragedy happens.
[00:25:32.100 --> 00:25:37.500]   But every day, I'm living because I believe in something.
[00:25:37.500 --> 00:25:42.980]   So when it comes to our faith in Christ, it is only logical that our faith in Christ would
[00:25:42.980 --> 00:25:46.620]   have tangible evidence in the way that we live.
[00:25:46.620 --> 00:25:51.940]   Paul sends Timothy back to the Thessalonians because he's afraid that these false prophets
[00:25:51.940 --> 00:25:53.940]   are going to come in and destroy their faith.
[00:25:53.940 --> 00:26:00.060]   Timothy comes back to Paul and he says, "Not only did they not fault, but they're thriving
[00:26:00.060 --> 00:26:01.060]   in their faith."
[00:26:01.060 --> 00:26:06.180]   Timothy comes back to Paul and he reports it, "For not only has the word of the Lord
[00:26:06.180 --> 00:26:11.940]   sounded forth from you in Macedonia and Achaia, but your faith in God has gone forth everywhere
[00:26:11.940 --> 00:26:14.660]   so that we need not say anything."
[00:26:14.660 --> 00:26:17.420]   What does it mean that their faith went out?
[00:26:17.420 --> 00:26:18.940]   What does that mean?
[00:26:18.940 --> 00:26:23.700]   If faith is intangible, it's just deeply inside here, and this is how I feel, what does it
[00:26:23.700 --> 00:26:26.020]   mean for it to go out?
[00:26:26.020 --> 00:26:30.820]   See, Timothy went to Thessalonica and he observed their life.
[00:26:30.820 --> 00:26:33.900]   He saw the out-product of what they believed.
[00:26:33.900 --> 00:26:39.540]   And so, when Timothy says that their faith is going out, he's talking about the response
[00:26:39.540 --> 00:26:42.900]   that they had to the gospel of Jesus Christ.
[00:26:42.900 --> 00:26:44.980]   So faith is tangible.
[00:26:44.980 --> 00:26:51.900]   If you believe that Jesus Christ is the only answer to the greatest problem of this world.
[00:26:51.900 --> 00:26:56.340]   If you look at something like that, if you look at these young children being taken advantage
[00:26:56.340 --> 00:27:00.900]   of because they don't have money by people who have money, and that doesn't somehow cause
[00:27:00.900 --> 00:27:03.820]   you to cringe, something has gone wrong in our heart.
[00:27:03.820 --> 00:27:08.180]   I think you don't have to be a Christian to feel compassion for them.
[00:27:08.180 --> 00:27:12.580]   When you see a mother and children who may die simply because they don't have enough
[00:27:12.580 --> 00:27:20.180]   medicine for a simple fix for us, and we're not moved at all, there's something deeply
[00:27:20.180 --> 00:27:21.500]   wrong with our humanity.
[00:27:21.500 --> 00:27:26.820]   I don't know if I'm Christian or not Christian.
[00:27:26.820 --> 00:27:30.380]   But if we believe something and it has absolutely no effect in our lives other than the fact
[00:27:30.380 --> 00:27:36.220]   that we come to church, can that be genuine faith?
[00:27:36.220 --> 00:27:44.220]   You know, Paul says, not Paul, but John says in 1 John 1, 9, and again, this is a verse
[00:27:44.220 --> 00:27:48.500]   that probably many of you have memorized, have repeated over and over, and I've repeated
[00:27:48.500 --> 00:27:50.400]   over and over.
[00:27:50.400 --> 00:27:54.380]   But this is a verse that if you, at the surface, doesn't make any sense.
[00:27:54.380 --> 00:28:00.080]   And that's 1 John 1, 9, it says, "If we confess our sins, he is faithful and just to forgive
[00:28:00.080 --> 00:28:03.420]   us our sins and to cleanse us from all unrighteousness."
[00:28:03.420 --> 00:28:07.220]   How many of you have memorized this verse?
[00:28:07.220 --> 00:28:09.500]   And how many of you refuse to raise your hand?
[00:28:09.500 --> 00:28:10.500]   All right.
[00:28:10.500 --> 00:28:14.180]   I know a lot more of you have memorized this verse.
[00:28:14.180 --> 00:28:19.660]   But if you really think about it, if you confess your sins, He is faithful and He is just to
[00:28:19.660 --> 00:28:21.020]   forgive you of your sins.
[00:28:21.020 --> 00:28:23.040]   Does that make any sense?
[00:28:23.040 --> 00:28:29.040]   If you came into the court of law and you come and say, "I confess, I did it, I'm guilty."
[00:28:29.040 --> 00:28:33.880]   If that judge is faithful and just, He will convict him.
[00:28:33.880 --> 00:28:39.660]   If you are the lawbreaker and you just confessed it, and you saved us all this time and money
[00:28:39.660 --> 00:28:42.760]   and energy, and you confessed it, done.
[00:28:42.760 --> 00:28:43.860]   This is what the law says.
[00:28:43.860 --> 00:28:47.580]   It requires that you get a minimum sentence of 5 years, 10 years, depending on what you
[00:28:47.580 --> 00:28:48.580]   did.
[00:28:48.580 --> 00:28:53.340]   But we would never say, "That judge is faithful and just, and so he forgave him and he pardoned
[00:28:53.340 --> 00:28:54.340]   him."
[00:28:54.340 --> 00:28:57.380]   That's what that verse says.
[00:28:57.380 --> 00:28:59.860]   So how does this verse make any sense?
[00:28:59.860 --> 00:29:06.880]   Why does His faithfulness and His justice lead to our forgiveness?
[00:29:06.880 --> 00:29:09.600]   Sometimes we read these verses and we don't really put much thought into it because we
[00:29:09.600 --> 00:29:12.260]   assume we know what it's talking about.
[00:29:12.260 --> 00:29:14.660]   But what is He talking about?
[00:29:14.660 --> 00:29:23.060]   That verse would only make sense if His faithfulness and justice is referring to something else.
[00:29:23.060 --> 00:29:24.980]   What is He referring to?
[00:29:24.980 --> 00:29:27.420]   He's referring to His promise.
[00:29:27.420 --> 00:29:30.020]   It's referring to His nature.
[00:29:30.020 --> 00:29:34.620]   That because God does not delight in punishing the wicked.
[00:29:34.620 --> 00:29:39.660]   Because He has promised that one day, that through His Son, that all our sins are going
[00:29:39.660 --> 00:29:43.420]   to be washed away and that He would never remember it anymore.
[00:29:43.420 --> 00:29:50.420]   And because He allowed His Son to be crucified and absorb your sins and my sins, past, present,
[00:29:50.420 --> 00:29:56.340]   and future, that it is only faithful for Him because He said He would do it.
[00:29:56.340 --> 00:30:02.740]   And the just thing for Him to do is to not punish us twice because His Son took the punishment
[00:30:02.740 --> 00:30:04.620]   for us.
[00:30:04.620 --> 00:30:09.940]   And that's why when that verse says, "If we confess our sins, He is faithful to what He
[00:30:09.940 --> 00:30:11.500]   has said."
[00:30:11.500 --> 00:30:16.220]   And He is just because He's already done it unto His Son.
[00:30:16.220 --> 00:30:19.740]   That He will cleanse us from all our unrighteousness.
[00:30:19.740 --> 00:30:22.700]   That's what the word means when He says He is faithful.
[00:30:22.700 --> 00:30:25.020]   To be consistent.
[00:30:25.020 --> 00:30:27.420]   And is it any different for us?
[00:30:27.420 --> 00:30:30.860]   For us to confess that we have been forgiven.
[00:30:30.860 --> 00:30:35.820]   For us to confess that Jesus Christ is the only way.
[00:30:35.820 --> 00:30:40.660]   And then to not have the evidence of that in our life?
[00:30:40.660 --> 00:30:42.980]   It is illogical.
[00:30:42.980 --> 00:30:44.100]   It doesn't make any sense.
[00:30:44.100 --> 00:30:52.500]   It's inconsistent to confess and not have the byproduct of our confession to be true.
[00:30:52.500 --> 00:30:56.500]   That's why Paul said in Philippians 4, 12, 13, "I know how to be brought low and I know
[00:30:56.500 --> 00:30:58.300]   how to be abound.
[00:30:58.300 --> 00:31:02.600]   In any and every circumstance, I have learned the secret of facing plenty and hunger, abundance
[00:31:02.600 --> 00:31:03.600]   and need.
[00:31:03.600 --> 00:31:05.700]   I can do all things through Him who strengthens me."
[00:31:05.700 --> 00:31:07.700]   Well, how did Paul come to know this?
[00:31:07.700 --> 00:31:09.580]   He didn't come there and he just meditated on it.
[00:31:09.580 --> 00:31:13.180]   It's like all of a sudden, you know, all of a sudden, "Oh, now I got it.
[00:31:13.180 --> 00:31:14.180]   Now I get it."
[00:31:14.180 --> 00:31:17.580]   He was some greater enlightenment that he didn't have before.
[00:31:17.580 --> 00:31:23.580]   When he says, "I have learned how to be brought low," how did he learn it?
[00:31:23.580 --> 00:31:26.220]   Because God brought him low.
[00:31:26.220 --> 00:31:28.060]   Because he couldn't pay his bills.
[00:31:28.060 --> 00:31:31.380]   He's an apostle of God and sometimes he had to make tents.
[00:31:31.380 --> 00:31:33.600]   And sometimes he had to go hungry.
[00:31:33.600 --> 00:31:35.220]   And sometimes he had to be beaten.
[00:31:35.220 --> 00:31:37.000]   Sometimes he was chained in prison.
[00:31:37.000 --> 00:31:40.060]   And in those circumstances, he learned how to be brought low.
[00:31:40.060 --> 00:31:42.320]   He knew how to cling to Christ.
[00:31:42.320 --> 00:31:44.800]   And his faith sustained him.
[00:31:44.800 --> 00:31:49.180]   He knew even when he was plenty, when people were giving him money and giving him honor,
[00:31:49.180 --> 00:31:52.140]   he knows not to cling to that.
[00:31:52.140 --> 00:31:53.680]   That that's not his treasure.
[00:31:53.680 --> 00:31:58.500]   That even in abundance, even in honor, that ultimately his treasure is Christ.
[00:31:58.500 --> 00:31:59.500]   And that's what he means.
[00:31:59.500 --> 00:32:03.540]   He didn't just learn this sitting in meditation because he heard some teaching.
[00:32:03.540 --> 00:32:05.220]   He said he was faithful.
[00:32:05.220 --> 00:32:10.300]   His faith in Christ carried him through these things and kept him centered on Christ.
[00:32:10.300 --> 00:32:12.480]   See, that's what he means.
[00:32:12.480 --> 00:32:17.800]   He said, "Follow me in my example, in my faith, in my perseverance."
[00:32:17.800 --> 00:32:21.100]   Next thing he says, "In patience, macrothermia."
[00:32:21.100 --> 00:32:24.100]   Let me read you exactly what it says in the Bible dictionary.
[00:32:24.100 --> 00:32:28.680]   Macrothermia, which is translated "patience" in some of your Bible's long-suffering,
[00:32:28.680 --> 00:32:35.380]   it says, "The quality of a person who is able to avenge himself and yet refrains from doing so."
[00:32:35.380 --> 00:32:37.240]   Let me read it again.
[00:32:37.240 --> 00:32:43.360]   "The quality of a person who is able to avenge himself and yet refrains from doing so."
[00:32:43.360 --> 00:32:47.520]   It's talking specifically about being slandered.
[00:32:47.520 --> 00:32:50.260]   About somebody who wrongs you.
[00:32:50.260 --> 00:32:56.480]   Because our natural reaction when somebody slanders us is to, like, "Wow, that was unfair."
[00:32:56.480 --> 00:32:58.000]   You know, we want justice.
[00:32:58.000 --> 00:33:00.180]   If they slammed us, somebody needs to expose that.
[00:33:00.180 --> 00:33:03.460]   We can't possibly let them get away with that.
[00:33:03.460 --> 00:33:05.760]   And so we slander.
[00:33:05.760 --> 00:33:07.900]   So we talk about them.
[00:33:07.900 --> 00:33:14.240]   He's not talking about patience as in, you know, refraining yourself from slashing their tires.
[00:33:14.240 --> 00:33:15.740]   He's saying, "You have the ability to do that.
[00:33:15.740 --> 00:33:16.740]   You can easily do that.
[00:33:16.740 --> 00:33:21.180]   I can open my mouth and say all of these things."
[00:33:21.180 --> 00:33:23.440]   You have the ability, but you don't.
[00:33:23.440 --> 00:33:25.500]   Why is Paul saying that?
[00:33:25.500 --> 00:33:29.220]   Because he was constantly under pressure.
[00:33:29.220 --> 00:33:32.060]   From the very church that he sacrificed.
[00:33:32.060 --> 00:33:33.260]   From Corinthians.
[00:33:33.260 --> 00:33:34.900]   From the Galatians.
[00:33:34.900 --> 00:33:36.900]   From the church of Ephesus.
[00:33:36.900 --> 00:33:38.940]   The people that he loved.
[00:33:38.940 --> 00:33:40.260]   People were questioning this guy.
[00:33:40.260 --> 00:33:46.160]   You know, the best way to undermine somebody's teaching is to nullify the guy.
[00:33:46.160 --> 00:33:48.660]   And that's what he was afraid of when he went to Thessalonica.
[00:33:48.660 --> 00:33:52.760]   These false teachers came in and said, "All that guy, he wants money.
[00:33:52.760 --> 00:33:56.300]   He's like any other false prophet that comes in, and he's trying to take advantage of you.
[00:33:56.300 --> 00:33:58.540]   In the end, all he wants is honor and money."
[00:33:58.540 --> 00:34:02.000]   And that's why when he writes 1 and 2 Thessalonians, he defends himself.
[00:34:02.000 --> 00:34:03.800]   You know how we behave.
[00:34:03.800 --> 00:34:05.300]   How we didn't take your money.
[00:34:05.300 --> 00:34:09.740]   We set an example for you to work hard with your hands.
[00:34:09.740 --> 00:34:12.960]   Paul was constantly under pressure.
[00:34:12.960 --> 00:34:17.580]   But despite that, Paul says, remember at the end of chapter 2, Paul tells Timothy, "Who
[00:34:17.580 --> 00:34:19.460]   knows, be gentle with them.
[00:34:19.460 --> 00:34:22.420]   They may come to Christ as well."
[00:34:22.420 --> 00:34:23.620]   So that's what Paul is telling you.
[00:34:23.620 --> 00:34:26.860]   He said, "Here's this pressure, and people are questioning you."
[00:34:26.860 --> 00:34:32.140]   And he says, "Don't worry about them, because that's what Christ did for us."
[00:34:32.140 --> 00:34:38.940]   See, the cross does not point us to fairness.
[00:34:38.940 --> 00:34:39.940]   Every single one of us.
[00:34:39.940 --> 00:34:41.660]   We're not asking for more.
[00:34:41.660 --> 00:34:45.240]   We're just asking to be treated fairly.
[00:34:45.240 --> 00:34:48.900]   If at work you worked hard, somebody else comes in and they get an advanced position,
[00:34:48.900 --> 00:34:49.900]   what do we say?
[00:34:49.900 --> 00:34:50.900]   "That's not fair."
[00:34:50.900 --> 00:34:51.900]   Right?
[00:34:51.900 --> 00:34:53.520]   "That's not fair."
[00:34:53.520 --> 00:34:56.620]   If you're going on the highway and you're going 75 miles per hour, and the next guy's
[00:34:56.620 --> 00:35:00.660]   going 80, but you're the one who gets pulled over, even though you both broke the law,
[00:35:00.660 --> 00:35:03.060]   you say, "That guy went… he's worse than I am."
[00:35:03.060 --> 00:35:04.580]   That's not fair.
[00:35:04.580 --> 00:35:09.260]   Something inside of us is always crying out, "Fairness, fairness."
[00:35:09.260 --> 00:35:14.260]   But when we look at the cross, the cross does not yell out, "Fairness."
[00:35:14.260 --> 00:35:20.420]   The greatest injustice, according to your definition and my definition, happened at
[00:35:20.420 --> 00:35:21.420]   the cross.
[00:35:21.420 --> 00:35:27.360]   Because the only person that was absolutely innocent was Jesus.
[00:35:27.360 --> 00:35:34.420]   And all of sin, your sins, my sins, have been placed, and He absorbed that all upon Himself.
[00:35:34.420 --> 00:35:37.180]   The cross does not shout out, "Fairness."
[00:35:37.180 --> 00:35:40.860]   It cries out, "Mercy and grace."
[00:35:40.860 --> 00:35:51.540]   So there is no one who is affected by the cross who can yell out, "Fairness."
[00:35:51.540 --> 00:35:56.000]   You and I would not be here if it was fairness that we received.
[00:35:56.000 --> 00:36:01.100]   You and I would not be here to be able to understand His Word if God treated us justly
[00:36:01.100 --> 00:36:03.200]   according to His law.
[00:36:03.200 --> 00:36:04.980]   He was merciful to us.
[00:36:04.980 --> 00:36:11.620]   And He had every power and every right to condemn us, and yet He demonstrated His own
[00:36:11.620 --> 00:36:14.380]   love toward us, and while we were yet sinners, He died for us.
[00:36:14.380 --> 00:36:18.060]   And that's why He says, "To follow my faith as I follow Christ.
[00:36:18.060 --> 00:36:19.620]   Follow my patience."
[00:36:19.620 --> 00:36:21.140]   Macrothermia.
[00:36:21.140 --> 00:36:24.020]   As He practiced macrothermia on us.
[00:36:24.020 --> 00:36:27.320]   And then He says, "To follow my love."
[00:36:27.320 --> 00:36:32.200]   And again, you know, if you don't know the importance of love in the church, you haven't
[00:36:32.200 --> 00:36:33.200]   been here.
[00:36:33.200 --> 00:36:34.200]   You haven't read your Word.
[00:36:34.200 --> 00:36:39.520]   Because love is the first of the fruit of the Spirit mentioned in Galatians chapter
[00:36:39.520 --> 00:36:40.520]   6.
[00:36:40.520 --> 00:36:43.960]   Of the three virtues, love, faith, and hope, the greatest is love.
[00:36:43.960 --> 00:36:47.280]   Imagine faith is what we're saved by.
[00:36:47.280 --> 00:36:48.480]   By faith and faith alone.
[00:36:48.480 --> 00:36:51.160]   Hope is what causes us to persevere.
[00:36:51.160 --> 00:36:56.080]   And as great as these things are, He said, without love, it means nothing.
[00:36:56.080 --> 00:36:58.200]   It means nothing.
[00:36:58.200 --> 00:37:03.840]   If our laboring in the Gospels, if our laboring in the Word of God, and study of theology,
[00:37:03.840 --> 00:37:08.080]   and spreading of the Gospel, and doing mission work, and helping the poor, if that doesn't
[00:37:08.080 --> 00:37:12.400]   ultimately lead us to a greater love for God, and greater love for His people, He says,
[00:37:12.400 --> 00:37:13.400]   it means nothing.
[00:37:13.400 --> 00:37:14.400]   You've missed the whole point.
[00:37:15.400 --> 00:37:24.720]   And that's why Paul says, and reminds Timothy, he says that the aim of this command is love.
[00:37:24.720 --> 00:37:25.720]   That's our aim.
[00:37:25.720 --> 00:37:26.720]   That's our ultimate goal.
[00:37:26.720 --> 00:37:28.880]   Why are we gathered here together this morning to worship?
[00:37:28.880 --> 00:37:31.440]   It's not simply, "Oh, okay, I know why Timothy wrote this letter."
[00:37:31.440 --> 00:37:35.320]   You know, and then leave at the end of today and say, "Oh, okay, I know what it is.
[00:37:35.320 --> 00:37:36.320]   I know what Paul means."
[00:37:36.320 --> 00:37:37.320]   So follow his steps.
[00:37:37.320 --> 00:37:38.920]   And you can miss the whole point.
[00:37:38.920 --> 00:37:42.720]   You can know everything about the Bible and miss the whole point if our goal is not to
[00:37:42.720 --> 00:37:43.720]   love.
[00:37:43.720 --> 00:37:45.440]   If our application isn't love.
[00:37:45.440 --> 00:37:49.640]   If every text doesn't lead us to loving God and loving others, you've missed the whole
[00:37:49.640 --> 00:37:52.040]   point.
[00:37:52.040 --> 00:37:55.980]   Love is what God desires from us.
[00:37:55.980 --> 00:37:59.600]   And then he says, "My steadfastness in perseverance."
[00:37:59.600 --> 00:38:04.720]   And this is, again, it sounds the same as the word patience, but it actually has a different
[00:38:04.720 --> 00:38:05.720]   nuance to it.
[00:38:05.720 --> 00:38:06.720]   Huppamone.
[00:38:06.720 --> 00:38:11.000]   Again, I'm going to read you exactly what it says in the Bible dictionary.
[00:38:11.000 --> 00:38:15.400]   The word translated for steadfastness, it says, "is associated with hope and refers
[00:38:15.400 --> 00:38:19.800]   to that quality of character which does not allow one to surrender to circumstances or
[00:38:19.800 --> 00:38:22.280]   succumb under trial."
[00:38:22.280 --> 00:38:23.600]   And then here's the second part.
[00:38:23.600 --> 00:38:30.240]   "This is in direct contrast to macrothermia, long-suffering, or endurance toward people."
[00:38:30.240 --> 00:38:33.800]   So the first word, patience, is about people.
[00:38:33.800 --> 00:38:37.660]   How people are treating you and people slandering you and how you react toward that.
[00:38:37.660 --> 00:38:41.180]   But the second word is about circumstance.
[00:38:41.180 --> 00:38:44.580]   It may not have happened because somebody else did it to you, but God allows you to
[00:38:44.580 --> 00:38:47.040]   experience various trials.
[00:38:47.040 --> 00:38:52.580]   And in those trials, recognizing and trusting that our God is a sovereign God.
[00:38:52.580 --> 00:38:54.900]   Yes, trials are coming.
[00:38:54.900 --> 00:38:56.660]   Persecution has intensified.
[00:38:56.660 --> 00:38:59.340]   The apostles are being rounded up.
[00:38:59.340 --> 00:39:01.400]   Some of them are being killed.
[00:39:01.400 --> 00:39:04.200]   And you guys are next.
[00:39:04.200 --> 00:39:08.740]   But in that context, he tells him to persevere.
[00:39:08.740 --> 00:39:16.440]   Persevering isn't telling Timothy to now, you know, we've done great using this technique,
[00:39:16.440 --> 00:39:20.360]   but now this is leading us to prison.
[00:39:20.360 --> 00:39:22.620]   Maybe we should switch it up.
[00:39:22.620 --> 00:39:27.920]   And again, we have a tendency to think that only if we train people a certain way, or
[00:39:27.920 --> 00:39:31.560]   if we had a program, and if we did, you know, step one to step two, if we had a two-year
[00:39:31.560 --> 00:39:34.800]   program of this and three-year program of that, maybe we need to go.
[00:39:34.800 --> 00:39:42.320]   So we have people studying, writing dissertations, PhD papers all over the world trying to figure
[00:39:42.320 --> 00:39:46.220]   out maybe this generation needs something different.
[00:39:46.220 --> 00:39:53.760]   So every day, PhD papers are being defended in seminaries trying to figure out how to
[00:39:53.760 --> 00:39:57.280]   do ministry differently in this new generation.
[00:39:57.280 --> 00:40:03.120]   But the warning and the encouragement that we constantly get is to continue.
[00:40:03.120 --> 00:40:04.120]   To continue.
[00:40:04.120 --> 00:40:08.720]   It's like, God didn't call us to be clever.
[00:40:08.720 --> 00:40:11.920]   God didn't call us to be smart.
[00:40:11.920 --> 00:40:16.080]   God called us to obey.
[00:40:16.080 --> 00:40:17.600]   We don't have to be a PhD.
[00:40:17.600 --> 00:40:22.200]   We don't have to be the next scholar, or the smartest, or most articulate.
[00:40:22.200 --> 00:40:24.120]   He says, "Pay attention."
[00:40:24.120 --> 00:40:26.400]   That's why Jesus said when he was leaving them, what did he say?
[00:40:26.400 --> 00:40:27.400]   "What are we going to do?
[00:40:27.400 --> 00:40:29.160]   We've been following you.
[00:40:29.160 --> 00:40:30.640]   If you leave us, where do we go?"
[00:40:30.640 --> 00:40:32.840]   He said, "I'm going to send the Holy Spirit.
[00:40:32.840 --> 00:40:34.640]   I'm not going to leave you as orphans.
[00:40:34.640 --> 00:40:38.880]   When the Holy Spirit comes, he's going to remind you of what I said, so you don't forget.
[00:40:38.880 --> 00:40:41.160]   He's not going to teach you new things.
[00:40:41.160 --> 00:40:42.840]   He didn't say the Holy Spirit was going to come.
[00:40:42.840 --> 00:40:46.440]   He's going to take you to the next level, and everything that I forgot to teach you,
[00:40:46.440 --> 00:40:47.440]   he's going to teach you."
[00:40:47.440 --> 00:40:48.440]   He didn't say that.
[00:40:48.440 --> 00:40:52.600]   He's going to come, and he's going to remind you of everything that I said.
[00:40:52.600 --> 00:40:56.160]   And he's going to be the one who convicts the world of sin.
[00:40:56.160 --> 00:40:57.160]   And you stick to him.
[00:40:57.160 --> 00:40:59.200]   That's why he says, "Remain in him.
[00:40:59.200 --> 00:41:02.000]   I am the true vine.
[00:41:02.000 --> 00:41:04.320]   No one can bear fruit if he doesn't abide in me."
[00:41:04.320 --> 00:41:05.320]   So what does he say?
[00:41:05.320 --> 00:41:07.240]   "You've been following me up to this point.
[00:41:07.240 --> 00:41:08.920]   Keep following me.
[00:41:08.920 --> 00:41:11.320]   Keep following me."
[00:41:11.320 --> 00:41:16.040]   Didn't the Scripture say in 1 Peter, "Everything that you need for a life of godliness, you
[00:41:16.040 --> 00:41:19.880]   have been given in the knowledge of his Son, Jesus Christ."
[00:41:19.880 --> 00:41:21.000]   Everything.
[00:41:21.000 --> 00:41:23.000]   That's not just me and you sitting here.
[00:41:23.000 --> 00:41:26.640]   That's also to the North Koreans who don't have a church building, who don't have the
