
[00:00:00.000 --> 00:00:09.400]   - Good evening, everyone.
[00:17:04.440 --> 00:17:07.480]   I mean, 2 Timothy 3.16,
[00:17:07.480 --> 00:17:09.560]   "The word of God is sufficient for everything,
[00:17:09.560 --> 00:17:11.400]   "to make us wise unto salvation,
[00:17:11.400 --> 00:17:13.440]   "but to make sure that we are all equipped,
[00:17:13.440 --> 00:17:15.480]   "thoroughly equipped that we can be,
[00:17:15.480 --> 00:17:17.200]   "you know, to do every work."
[00:17:17.200 --> 00:17:19.720]   However, the scriptures talk about the fact
[00:17:19.720 --> 00:17:22.200]   that our prayers continue to equip us.
[00:17:22.200 --> 00:17:24.160]   What's more, the exhortation that we hear
[00:17:24.160 --> 00:17:25.280]   from our brothers and sisters,
[00:17:25.280 --> 00:17:28.440]   the accountability, the admonishment to flee sin
[00:17:28.440 --> 00:17:30.160]   and to obey in greater measure,
[00:17:30.160 --> 00:17:31.960]   that's all equipping too.
[00:17:31.960 --> 00:17:34.240]   The testing and suffering, whoa.
[00:17:35.040 --> 00:17:39.520]   Testing and suffering is actually a huge disciplinary,
[00:17:39.520 --> 00:17:41.160]   equipping and training.
[00:17:41.160 --> 00:17:43.360]   I mean, you think about the passage in James,
[00:17:43.360 --> 00:17:46.040]   you think about the passage in 1 Peter 1,
[00:17:46.040 --> 00:17:49.320]   we essentially need to go through these various trials
[00:17:49.320 --> 00:17:51.560]   because those trials is going to have
[00:17:51.560 --> 00:17:54.440]   its necessary effect in us.
[00:17:54.440 --> 00:17:57.120]   What I'm saying is, more broadly speaking,
[00:17:57.120 --> 00:17:59.440]   the scripture is talking about equipping
[00:17:59.440 --> 00:18:02.960]   maybe more than what perhaps we presume equipping might mean.
[00:18:02.960 --> 00:18:04.920]   The observation and engagement of our community,
[00:18:04.920 --> 00:18:07.000]   the people around us who are mature,
[00:18:07.000 --> 00:18:09.640]   the practice of our faith in discernment.
[00:18:09.640 --> 00:18:11.720]   Scripture essentially says,
[00:18:11.720 --> 00:18:13.560]   our maturity is going to come,
[00:18:13.560 --> 00:18:14.720]   our discernment is going to come
[00:18:14.720 --> 00:18:16.520]   by those who actually practice it
[00:18:16.520 --> 00:18:17.800]   and in greater measure,
[00:18:17.800 --> 00:18:20.720]   a fuller application of what we already know.
[00:18:20.720 --> 00:18:22.440]   And so Apostle Peter says, "You know what?
[00:18:22.440 --> 00:18:25.200]   "I don't mind repeating stuff over and over again."
[00:18:25.200 --> 00:18:27.320]   And as a matter of fact, I think about my own ministry,
[00:18:27.320 --> 00:18:29.400]   just the teaching that I've done over the years.
[00:18:29.400 --> 00:18:30.880]   And in that teaching,
[00:18:30.880 --> 00:18:32.120]   there's so many things I repeated
[00:18:32.120 --> 00:18:33.920]   over and over again.
[00:18:33.920 --> 00:18:35.240]   And thank goodness the word of God
[00:18:35.240 --> 00:18:37.960]   never ceases to amaze, it's so deep.
[00:18:37.960 --> 00:18:40.240]   But a lot of that actually is repetition
[00:18:40.240 --> 00:18:41.480]   of the same concepts,
[00:18:41.480 --> 00:18:43.880]   just in fuller measure and fuller application.
[00:18:43.880 --> 00:18:47.880]   And so all that to say is,
[00:18:47.880 --> 00:18:50.240]   I want you to take a moment to think about this.
[00:18:50.240 --> 00:18:51.080]   If I'm not thinking like,
[00:18:51.080 --> 00:18:52.320]   "Yeah, I need to be equipped to lead."
[00:18:52.320 --> 00:18:53.880]   But I'm thinking like,
[00:18:53.880 --> 00:18:57.120]   "I need to be equipped to go love my brother,
[00:18:57.120 --> 00:18:59.080]   "to bear his burdens."
[00:18:59.080 --> 00:19:02.040]   Like what is it that you're not equipped with
[00:19:02.040 --> 00:19:03.600]   that you can't go to a brother and be like,
[00:19:03.600 --> 00:19:04.760]   "How are you doing this week?"
[00:19:04.760 --> 00:19:07.480]   Especially during this time of the shelter at home,
[00:19:07.480 --> 00:19:09.360]   "Are you doing okay?"
[00:19:09.360 --> 00:19:10.200]   Brother says, "Yeah, I'm struggling
[00:19:10.200 --> 00:19:11.040]   "with this and this and this."
[00:19:11.040 --> 00:19:12.280]   And he says, "I'll pray for you."
[00:19:12.280 --> 00:19:13.960]   Call him again and say, "You know, no, I was just curious,
[00:19:13.960 --> 00:19:14.920]   "like how are your parents doing?
[00:19:14.920 --> 00:19:17.120]   "'Cause man, they are at risk and stuff like that.
[00:19:17.120 --> 00:19:18.320]   "And I know their health is not good.
[00:19:18.320 --> 00:19:20.240]   "Are they doing okay?"
[00:19:20.240 --> 00:19:21.440]   And you continue to check up on him.
[00:19:21.440 --> 00:19:22.680]   And then you start saying, "Oh, you share,
[00:19:22.680 --> 00:19:24.040]   "can I share with you my encouragements
[00:19:24.040 --> 00:19:24.880]   "and how I'm struggling?"
[00:19:24.880 --> 00:19:26.400]   And you go and interact.
[00:19:26.400 --> 00:19:27.720]   And then you eventually say to like,
[00:19:27.720 --> 00:19:30.080]   "More specifically with your love for Christ
[00:19:30.080 --> 00:19:31.920]   "and your private faith in the Lord,
[00:19:31.920 --> 00:19:33.160]   "like how's that doing?
[00:19:33.160 --> 00:19:36.600]   "What equipping do you lack?"
[00:19:36.600 --> 00:19:41.960]   I'm saying this not to say that you don't need training
[00:19:41.960 --> 00:19:43.880]   and that equipping is all bad.
[00:19:43.880 --> 00:19:46.160]   I'm saying this to say that perhaps sometimes
[00:19:46.160 --> 00:19:48.760]   what we think about as equipping
[00:19:48.760 --> 00:19:51.520]   is not necessarily done specifically
[00:19:51.520 --> 00:19:53.760]   in a formalized classroom setting,
[00:19:53.760 --> 00:19:55.960]   which a lot of people sometimes expect.
[00:19:55.960 --> 00:19:57.600]   And so I just wanted to highlight that by saying
[00:19:57.600 --> 00:19:59.360]   the equipping is probably broader
[00:19:59.360 --> 00:20:01.840]   than what we normally may think of.
[00:20:01.840 --> 00:20:04.280]   Next, as we think about this though,
[00:20:04.280 --> 00:20:08.840]   Apostle Paul has shown to us Christ's intent
[00:20:08.840 --> 00:20:10.480]   as he gives gifts,
[00:20:10.480 --> 00:20:14.640]   that he desires this purpose that the saints be equipped,
[00:20:14.640 --> 00:20:18.400]   that we be trained and that we are grown
[00:20:18.400 --> 00:20:21.200]   and that we're maturing by doing the works of service,
[00:20:21.200 --> 00:20:23.840]   the works of service that includes far more
[00:20:23.840 --> 00:20:25.440]   than just leading stuff.
[00:20:25.440 --> 00:20:27.720]   Works of service that means serving the brother next to us,
[00:20:27.720 --> 00:20:29.120]   serving the needs that we see
[00:20:29.120 --> 00:20:31.000]   and applying everything that we can.
[00:20:31.000 --> 00:20:33.120]   And then what he says is,
[00:20:33.120 --> 00:20:35.680]   "All of that is going to build to
[00:20:35.680 --> 00:20:38.880]   "until we all attain and have this result."
[00:20:38.880 --> 00:20:41.400]   So the way I label this is when I see again,
[00:20:41.400 --> 00:20:42.920]   these prepositional phrases,
[00:20:42.920 --> 00:20:45.920]   "Until we all attain to and as a result,"
[00:20:45.920 --> 00:20:49.960]   I should be thinking, man, this is like a broader goal.
[00:20:49.960 --> 00:20:52.240]   Like God has a very order and structure
[00:20:52.240 --> 00:20:54.080]   where he's thinking there are purposes and objectives
[00:20:54.080 --> 00:20:57.080]   that are leading to a grand vision of the church.
[00:20:57.080 --> 00:21:00.000]   And that's why this passage is great and amazing
[00:21:00.000 --> 00:21:02.520]   and we should take time to appreciate it
[00:21:02.520 --> 00:21:05.480]   because it gives to us kind of the idea that God has
[00:21:05.480 --> 00:21:08.520]   when he's thinking about the picture of the church.
[00:21:08.520 --> 00:21:09.960]   And what does he say?
[00:21:09.960 --> 00:21:13.680]   He says, "Until we all attain to the unity of faith
[00:21:13.680 --> 00:21:15.800]   "and of the knowledge of the son of God,
[00:21:15.800 --> 00:21:18.480]   "to a mature man and to the measure of the stature
[00:21:18.480 --> 00:21:21.220]   "which belongs to the fullness of Christ.
[00:21:21.220 --> 00:21:23.240]   "As a result, we are no longer to be children
[00:21:23.240 --> 00:21:25.000]   "tossed here and there by waves
[00:21:25.000 --> 00:21:26.920]   "and carried about by every wind of doctrine
[00:21:26.920 --> 00:21:28.400]   "by the trickery of men,
[00:21:28.400 --> 00:21:30.720]   "by craftiness and deceitful scheming.
[00:21:30.720 --> 00:21:32.200]   "But speaking the truth in love,
[00:21:32.200 --> 00:21:34.800]   "we are to grow up in all aspects
[00:21:34.800 --> 00:21:39.480]   "into him who is the head, even Christ."
[00:21:39.480 --> 00:21:43.280]   Brothers and sisters, this is a tall, tall order.
[00:21:43.280 --> 00:21:45.320]   This is a big vision.
[00:21:45.320 --> 00:21:49.360]   This is perhaps in some people's mind like impossible, right?
[00:21:49.360 --> 00:21:50.560]   This is huge.
[00:21:50.560 --> 00:21:52.520]   So let's take a moment to appreciate all this stuff.
[00:21:52.520 --> 00:21:55.960]   First, he talks about the unity of faith.
[00:21:55.960 --> 00:21:57.200]   Unity of faith.
[00:21:57.200 --> 00:22:02.920]   He is talking about the fact that we have this one baptism,
[00:22:02.920 --> 00:22:07.920]   one faith, one spirit, one father, one truth.
[00:22:07.920 --> 00:22:11.940]   And so we are bound together in such a way
[00:22:11.940 --> 00:22:15.440]   where we have the same dedication
[00:22:15.440 --> 00:22:18.560]   to the same doctrine, the same truth.
[00:22:18.560 --> 00:22:21.920]   And so we're supposed to have in other parts of scripture
[00:22:21.920 --> 00:22:24.480]   a same intent.
[00:22:24.480 --> 00:22:27.920]   Intent on the same thing, set on the same purposes.
[00:22:27.920 --> 00:22:30.400]   And the passage actually commands us
[00:22:30.400 --> 00:22:32.760]   to have similarity of mind.
[00:22:32.760 --> 00:22:36.120]   Now, somebody perhaps might look at that and say,
[00:22:36.120 --> 00:22:37.080]   "What?
[00:22:37.080 --> 00:22:39.540]   "What a herd mentality, right?
[00:22:39.540 --> 00:22:43.120]   "We're being brainwashed to think the exact same stuff."
[00:22:43.120 --> 00:22:46.920]   But the thing about it is, yes, if we have a unity,
[00:22:46.920 --> 00:22:49.860]   but for the sake of pragmatism or practicality,
[00:22:49.860 --> 00:22:51.920]   you all should just believe what I say,
[00:22:51.920 --> 00:22:53.360]   then that would be wrong.
[00:22:53.360 --> 00:22:55.600]   Or if in the sense of, "Hey, this is not gonna work
[00:22:55.600 --> 00:22:57.320]   "if we have different types of people,
[00:22:57.320 --> 00:23:00.160]   "so we're just gonna all move in the same pattern,"
[00:23:00.160 --> 00:23:01.680]   that would be wrong.
[00:23:01.680 --> 00:23:04.440]   But the fact of the matter is we are one herd.
[00:23:04.440 --> 00:23:05.340]   We're sheep.
[00:23:05.340 --> 00:23:09.520]   But the great truth is we are sheep of the great shepherd.
[00:23:09.520 --> 00:23:12.240]   And just like that video we saw a couple of weeks ago,
[00:23:12.240 --> 00:23:15.200]   we all perk up when we hear the voice of our master,
[00:23:15.200 --> 00:23:16.200]   and we all come running
[00:23:16.200 --> 00:23:18.520]   when we hear the voice of our master.
[00:23:18.520 --> 00:23:21.920]   That is no faulty thing, that is no foolish thing,
[00:23:21.920 --> 00:23:24.920]   when in fact you have the foundation of God's own voice
[00:23:24.920 --> 00:23:27.360]   being what unites us.
[00:23:27.360 --> 00:23:28.780]   It would be a foolish thing
[00:23:28.780 --> 00:23:30.960]   to just be thinking outside the box
[00:23:30.960 --> 00:23:33.080]   for the sake of thinking outside the box.
[00:23:33.080 --> 00:23:34.680]   You can't be different just to be different.
[00:23:34.680 --> 00:23:37.800]   That in and of itself is also foolishness as well.
[00:23:37.800 --> 00:23:40.960]   But the point that I'm kinda getting at here is this.
[00:23:40.960 --> 00:23:44.840]   The kind of unity that God desires to see in us,
[00:23:44.840 --> 00:23:47.360]   the degree and level of like-mindedness
[00:23:47.360 --> 00:23:49.440]   that God wants to see in all of us,
[00:23:49.440 --> 00:23:52.640]   I want us to understand that that unity is so high
[00:23:52.640 --> 00:23:55.160]   'cause he wants us to have that element
[00:23:55.160 --> 00:23:57.680]   where we are of absolute one faith.
[00:23:57.680 --> 00:24:02.040]   So moving forward to next, the knowledge of the Son of God.
[00:24:02.040 --> 00:24:05.040]   I would like to highlight and draw your attention
[00:24:05.040 --> 00:24:07.200]   to an observation of a word study here
[00:24:07.200 --> 00:24:09.220]   on the term knowledge.
[00:24:09.220 --> 00:24:12.640]   In the Greek there are several terms for the word to know.
[00:24:12.640 --> 00:24:15.080]   There's oida, there's gnosko.
[00:24:15.080 --> 00:24:19.240]   This passage particularly uses the word epignosko.
[00:24:19.240 --> 00:24:21.320]   It is absolutely intensified.
[00:24:21.320 --> 00:24:24.200]   Again, from the word dictionary of the New Testament,
[00:24:24.200 --> 00:24:26.760]   it says, "This knowledge is intensified
[00:24:26.760 --> 00:24:29.320]   because it expresses a more thorough participation
[00:24:29.320 --> 00:24:32.080]   in acquiring of the knowledge on the part of the learner.
[00:24:32.080 --> 00:24:34.460]   It often refers to knowledge
[00:24:34.460 --> 00:24:37.160]   which very powerfully influences
[00:24:37.160 --> 00:24:39.000]   every form of religious life,
[00:24:39.000 --> 00:24:43.280]   a knowledge-laying claim to personal involvement."
[00:24:43.280 --> 00:24:44.740]   Take a moment to think about that,
[00:24:44.740 --> 00:24:47.520]   that your experiences,
[00:24:47.520 --> 00:24:49.360]   it's both personal,
[00:24:49.360 --> 00:24:53.160]   there is personal investment and engagement.
[00:24:53.160 --> 00:24:56.040]   And all of that happens to surround your experience
[00:24:56.040 --> 00:24:58.240]   with the person of Christ, right?
[00:24:58.240 --> 00:25:00.920]   If you've had experience with another individual
[00:25:00.920 --> 00:25:03.400]   and you've had shared life patterns
[00:25:03.400 --> 00:25:07.800]   and moments when you can, you know, reminisce together,
[00:25:07.800 --> 00:25:09.320]   those are such unique ties.
[00:25:09.320 --> 00:25:11.960]   Right now, a lot of people are sharing their reflections
[00:25:11.960 --> 00:25:13.640]   but also their testimony
[00:25:13.640 --> 00:25:16.200]   and moments of hardship that drawn them closer to God
[00:25:16.200 --> 00:25:18.520]   on the Facebook and over the internet.
[00:25:18.520 --> 00:25:19.640]   And some people comments like,
[00:25:19.640 --> 00:25:22.320]   "Oh, I remember your before Christ days
[00:25:22.320 --> 00:25:24.080]   and you're crazy and all that kind of stuff."
[00:25:24.080 --> 00:25:24.920]   And then they're like,
[00:25:24.920 --> 00:25:27.160]   "But remembering Christ, how He's good to you,
[00:25:27.160 --> 00:25:30.520]   how He changed you, like, thank you so much for sharing."
[00:25:30.520 --> 00:25:33.600]   And when we do that, there is immediately a connection.
[00:25:33.600 --> 00:25:36.880]   Because we're talking about the picture of the church,
[00:25:36.880 --> 00:25:39.440]   think about this, every single one of us
[00:25:39.440 --> 00:25:40.960]   has some of the most moving
[00:25:40.960 --> 00:25:43.560]   and deepest experiences with Christ.
[00:25:43.560 --> 00:25:45.500]   And we all can share it
[00:25:45.500 --> 00:25:47.040]   because we've been walking with the Lord.
[00:25:47.040 --> 00:25:49.200]   What an amazing thing that would be.
[00:25:49.200 --> 00:25:52.720]   What's more, he says, that there should be maturity,
[00:25:52.720 --> 00:25:54.960]   maturity, that we would all, again,
[00:25:54.960 --> 00:25:57.440]   this is not satisfied with a bunch of people,
[00:25:57.440 --> 00:25:58.560]   with a bunch of people over here
[00:25:58.560 --> 00:26:00.060]   and a bunch of people over there being mature,
[00:26:00.060 --> 00:26:04.560]   but until we all attain to the maturity, that of Christ.
[00:26:04.560 --> 00:26:05.800]   And I want you to think about this.
[00:26:05.800 --> 00:26:08.280]   I mean, to the church,
[00:26:08.280 --> 00:26:12.900]   its unity would be so developed and heightened
[00:26:12.900 --> 00:26:15.760]   if people were growing in their personal maturity.
[00:26:15.760 --> 00:26:17.440]   If we were selfish, we would be thinking,
[00:26:17.440 --> 00:26:18.520]   "You know what?
[00:26:18.520 --> 00:26:20.640]   I want what I want, I want it now."
[00:26:20.640 --> 00:26:23.420]   Like, that would be absolute childishness, right?
[00:26:23.420 --> 00:26:24.640]   That's immaturity.
[00:26:24.640 --> 00:26:25.920]   A lack of self-control, it's like,
[00:26:25.920 --> 00:26:27.900]   "I'm just gonna do it, I don't care.
[00:26:27.900 --> 00:26:29.160]   Not thinking about consequences.
[00:26:29.160 --> 00:26:31.360]   I don't care if it hurts you, who cares?"
[00:26:31.360 --> 00:26:33.360]   Like, that's all childishness.
[00:26:33.360 --> 00:26:37.160]   But if you're able to think about having self-control,
[00:26:37.160 --> 00:26:38.820]   being able to die to self,
[00:26:38.820 --> 00:26:40.480]   having that kind of maturity
[00:26:40.480 --> 00:26:43.440]   to think above and beyond your own wants,
[00:26:43.440 --> 00:26:44.300]   that would be such a thing
[00:26:44.300 --> 00:26:46.420]   where our Father in heaven would look down.
[00:26:46.420 --> 00:26:48.440]   And again, because we're talking about the grand vision,
[00:26:48.440 --> 00:26:49.980]   think about the vision of the Father.
[00:26:49.980 --> 00:26:53.520]   Why would He not want us to mature in that fashion?
[00:26:53.520 --> 00:26:55.560]   Us as His sons and daughters.
[00:26:55.560 --> 00:26:57.860]   And you know, I do believe
[00:26:57.860 --> 00:26:59.300]   that there is this interaction
[00:26:59.300 --> 00:27:02.260]   where God is looking at His sons and daughters
[00:27:02.260 --> 00:27:04.840]   and desiring to be proud
[00:27:04.840 --> 00:27:08.360]   as we grow in maturity towards the image of Christ.
[00:27:08.360 --> 00:27:10.140]   There's a thought that I think about.
[00:27:10.140 --> 00:27:11.600]   One time I went on a mission trip
[00:27:11.600 --> 00:27:13.620]   and you know, even with a great team,
[00:27:13.620 --> 00:27:14.940]   sometimes within mission trips,
[00:27:14.940 --> 00:27:16.220]   as you're trying to do hard stuff,
[00:27:16.220 --> 00:27:18.380]   moving from here to here and the discomforts,
[00:27:18.380 --> 00:27:19.980]   there was some strife.
[00:27:19.980 --> 00:27:21.780]   And there was this time, there was an intense moment
[00:27:21.780 --> 00:27:24.820]   where it started getting all kind of crazy.
[00:27:24.820 --> 00:27:26.940]   Some words were said,
[00:27:26.940 --> 00:27:29.900]   words weren't, you know, weren't careful.
[00:27:29.900 --> 00:27:32.220]   And then things started to escalate.
[00:27:32.220 --> 00:27:33.660]   And within that kind of escalation,
[00:27:33.660 --> 00:27:36.060]   things got really heated and emotional and stuff like that.
[00:27:36.060 --> 00:27:37.940]   But one of the team members,
[00:27:37.940 --> 00:27:40.260]   as they kind of noticed and saw,
[00:27:40.260 --> 00:27:41.940]   they could have easily just been like,
[00:27:41.940 --> 00:27:43.100]   what's going on?
[00:27:43.100 --> 00:27:43.940]   Right?
[00:27:43.940 --> 00:27:45.420]   And been like, I'm out of here.
[00:27:45.420 --> 00:27:46.260]   No, thank you.
[00:27:46.260 --> 00:27:47.100]   Right?
[00:27:47.100 --> 00:27:48.220]   But instead they stepped in.
[00:27:48.220 --> 00:27:49.940]   Now they didn't step in a manner where it was like,
[00:27:49.940 --> 00:27:50.760]   you know what?
[00:27:50.760 --> 00:27:51.600]   What are you talking about?
[00:27:51.600 --> 00:27:52.420]   What are you talking about?
[00:27:52.420 --> 00:27:53.260]   And say your piece.
[00:27:53.260 --> 00:27:54.100]   Right?
[00:27:54.100 --> 00:27:54.920]   It wasn't like that.
[00:27:54.920 --> 00:27:56.580]   They stepped in with a sense of just like,
[00:27:56.580 --> 00:27:57.420]   you know what?
[00:27:57.420 --> 00:27:58.780]   I want to take responsibility.
[00:27:58.780 --> 00:28:00.500]   Like we could have done a lot better.
[00:28:00.500 --> 00:28:01.340]   Right?
[00:28:01.340 --> 00:28:02.180]   Apologize.
[00:28:02.180 --> 00:28:03.440]   They heard the personnel
[00:28:03.440 --> 00:28:06.260]   and they completely deescalated by their humility,
[00:28:06.260 --> 00:28:07.820]   their willingness to absorb.
[00:28:07.820 --> 00:28:10.640]   Like maybe their expectation was wrong.
[00:28:10.640 --> 00:28:12.720]   Maybe their expectation was unfair,
[00:28:12.720 --> 00:28:13.560]   but nevertheless,
[00:28:13.560 --> 00:28:16.760]   they like submitted to one another in that fashion.
[00:28:16.760 --> 00:28:18.180]   Man, on the bus ride home,
[00:28:18.180 --> 00:28:19.380]   I was just like so proud of them.
[00:28:19.380 --> 00:28:20.660]   I leaned over and I was like,
[00:28:20.660 --> 00:28:22.940]   so proud of you, you know?
[00:28:22.940 --> 00:28:24.500]   Because I was.
[00:28:24.500 --> 00:28:25.340]   But again,
[00:28:25.340 --> 00:28:27.500]   thinking about the larger church picture,
[00:28:27.500 --> 00:28:30.500]   when we are exercising greater maturity
[00:28:30.500 --> 00:28:34.060]   because of our ability to express
[00:28:34.060 --> 00:28:35.700]   and do what Christ has done,
[00:28:36.300 --> 00:28:38.300]   our father would be proud.
[00:28:38.300 --> 00:28:40.620]   Now, moving forward,
[00:28:40.620 --> 00:28:41.540]   here in this passage,
[00:28:41.540 --> 00:28:43.460]   it says to the measure,
[00:28:43.460 --> 00:28:44.300]   or sorry,
[00:28:44.300 --> 00:28:45.700]   yeah, to the measure of the stature,
[00:28:45.700 --> 00:28:48.120]   which belongs to the fullness of Christ.
[00:28:48.120 --> 00:28:49.740]   If you actually take a moment to think about that,
[00:28:49.740 --> 00:28:50.700]   that's crazy.
[00:28:50.700 --> 00:28:53.180]   To the stature of Jesus Christ?
[00:28:53.180 --> 00:28:54.900]   This must be talking about the end times.
[00:28:54.900 --> 00:28:55.740]   This must be talking about
[00:28:55.740 --> 00:28:57.780]   when we're glorified in heaven.
[00:28:57.780 --> 00:28:58.620]   No.
[00:28:58.620 --> 00:29:03.340]   Our God desires us to move in that direction now.
[00:29:04.260 --> 00:29:06.780]   And even if we think in our own minds,
[00:29:06.780 --> 00:29:10.540]   like that's like asking us to clean the ocean.
[00:29:10.540 --> 00:29:11.820]   Can't do that.
[00:29:11.820 --> 00:29:12.860]   I'm a land animal, right?
[00:29:12.860 --> 00:29:14.540]   Like what are we supposed to say to that
[00:29:14.540 --> 00:29:17.300]   when God asks us to do something far above beyond
[00:29:17.300 --> 00:29:18.660]   what we think is capable?
[00:29:18.660 --> 00:29:21.420]   God's going to look at us and say,
[00:29:21.420 --> 00:29:23.540]   how many things that I call you to do
[00:29:23.540 --> 00:29:26.100]   that's impossible for man,
[00:29:26.100 --> 00:29:28.620]   but that he is going to empower.
[00:29:28.620 --> 00:29:31.120]   And so be encouraged that this desire of God
[00:29:31.120 --> 00:29:33.420]   to strengthen and cause us to mature
[00:29:33.420 --> 00:29:37.380]   to the measure of Christ is something he is working in us.
[00:29:37.380 --> 00:29:39.980]   And he desires to see in the grand picture,
[00:29:39.980 --> 00:29:42.260]   all of us attain to that.
[00:29:42.260 --> 00:29:44.060]   And the question to you is,
[00:29:44.060 --> 00:29:46.940]   have you said, yes, Lord, thank you.
[00:29:46.940 --> 00:29:49.580]   Or have you said, no, Lord, that's impossible.
[00:29:49.580 --> 00:29:51.700]   That is for us to submit to,
[00:29:51.700 --> 00:29:54.180]   not only submit to, but buy into.
[00:29:54.180 --> 00:29:56.000]   And then he says, as a result,
[00:29:56.000 --> 00:29:57.620]   we are no longer children,
[00:29:57.620 --> 00:29:59.980]   tossed here and there by waves and carried about
[00:29:59.980 --> 00:30:02.600]   by every wind of doctrine, by the trickery of men,
[00:30:02.600 --> 00:30:05.780]   by craftiness and deceitful scheming.
[00:30:05.780 --> 00:30:07.300]   But speaking the truth in love,
[00:30:07.300 --> 00:30:09.660]   we are to grow up in all aspects into him,
[00:30:09.660 --> 00:30:12.620]   who is the head, even Christ.
[00:30:12.620 --> 00:30:14.100]   Let's take a moment to think about that again,
[00:30:14.100 --> 00:30:17.220]   continuing this vision, the goals,
[00:30:17.220 --> 00:30:19.540]   he wants the resulting effect
[00:30:19.540 --> 00:30:21.900]   to be that we are like adults.
[00:30:21.900 --> 00:30:22.940]   We're maturing in a way
[00:30:22.940 --> 00:30:24.700]   where we're no longer like children,
[00:30:24.700 --> 00:30:26.340]   tossed here and tossed there.
[00:30:26.340 --> 00:30:28.680]   And he described what children are like.
[00:30:28.680 --> 00:30:30.380]   What are children like?
[00:30:30.380 --> 00:30:33.500]   Well, we can think about everything wrong with children,
[00:30:33.500 --> 00:30:36.280]   but here he's talking specifically about the fact
[00:30:36.280 --> 00:30:37.920]   there is no stability.
[00:30:37.920 --> 00:30:39.620]   You're just tossed here and there.
[00:30:39.620 --> 00:30:42.760]   Car goes by, you're chasing that.
[00:30:42.760 --> 00:30:44.440]   Ball rolls by, you're chasing that.
[00:30:44.440 --> 00:30:46.400]   Horses just come and you're way over there.
[00:30:46.400 --> 00:30:48.840]   And rather than being able to resist the tides
[00:30:48.840 --> 00:30:49.680]   that are coming,
[00:30:49.680 --> 00:30:53.080]   you're locked up and you're miles away from home, right?
[00:30:53.080 --> 00:30:57.280]   What's more, being unable to discern,
[00:30:57.280 --> 00:30:59.560]   this is false, right?
[00:30:59.560 --> 00:31:01.660]   Adulthood means you've experienced life enough,
[00:31:01.660 --> 00:31:03.440]   you've exercised your brain,
[00:31:03.440 --> 00:31:06.160]   you've learned something to the degree that you can say,
[00:31:06.160 --> 00:31:07.360]   that's not true.
[00:31:07.360 --> 00:31:10.520]   We should grow in our ability to do that.
[00:31:10.520 --> 00:31:12.160]   What's more, being able to tell
[00:31:12.160 --> 00:31:15.560]   what is the crafty scheming of our enemy,
[00:31:15.560 --> 00:31:18.120]   that we're able to exercise our discernment
[00:31:18.120 --> 00:31:20.800]   and that we're able to see these are not in pattern
[00:31:20.800 --> 00:31:23.360]   in keeping with God's truth.
[00:31:23.360 --> 00:31:25.320]   We're supposed to be able to do those things.
[00:31:25.320 --> 00:31:28.000]   And the question is, are you growing in them?
[00:31:28.000 --> 00:31:30.360]   Are you learning to be able to discern?
[00:31:30.360 --> 00:31:32.680]   And rather than just going here and there,
[00:31:32.680 --> 00:31:35.560]   rather than following words here and word there,
[00:31:35.560 --> 00:31:38.160]   we are to be able to have the word of God in us
[00:31:38.160 --> 00:31:42.080]   that we are able to speak the truth in love.
[00:31:42.080 --> 00:31:43.920]   And that's the kind of maturity and adulthood
[00:31:43.920 --> 00:31:45.800]   that God wants to see.
[00:31:45.800 --> 00:31:48.200]   And the thing about it is simple,
[00:31:48.200 --> 00:31:49.640]   speak the truth in love.
[00:31:49.640 --> 00:31:51.480]   It's not that easy, is it?
[00:31:51.480 --> 00:31:53.520]   I mean, as a father,
[00:31:53.520 --> 00:31:57.840]   I want so dearly to speak to my children always
[00:31:57.840 --> 00:32:00.320]   with both strong instruction,
[00:32:00.320 --> 00:32:02.560]   but to make sure they know I love them.
[00:32:02.560 --> 00:32:04.600]   You know, I'm sure you guys can relate.
[00:32:04.600 --> 00:32:07.280]   It's difficult to not speak truth
[00:32:07.280 --> 00:32:10.320]   with a tone of annoyance, right?
[00:32:10.320 --> 00:32:12.080]   Like, what are you doing?
[00:32:12.080 --> 00:32:15.480]   Right, it's just so hard not to be so annoyed.
[00:32:15.480 --> 00:32:17.640]   But the thing about it is maturity will teach you,
[00:32:17.640 --> 00:32:20.520]   and through the practice of speaking truth,
[00:32:20.520 --> 00:32:22.160]   you have to do it in love, you realize.
[00:32:22.160 --> 00:32:23.000]   Why?
[00:32:23.000 --> 00:32:24.160]   Because scripture straight up tells you,
[00:32:24.160 --> 00:32:26.200]   you're going to be noisy.
[00:32:26.200 --> 00:32:28.360]   If we think, you know what, I want to speak truth,
[00:32:28.360 --> 00:32:30.000]   I'm just going to say whatever comes,
[00:32:30.000 --> 00:32:32.320]   and you take it, that's like machine gunning everybody,
[00:32:32.320 --> 00:32:33.360]   it's like, blah, blah, blah, blah,
[00:32:33.360 --> 00:32:34.960]   and I hope that it hits you, right?
[00:32:34.960 --> 00:32:37.360]   No, it's not going to, you're just going to spray.
[00:32:37.360 --> 00:32:40.200]   You're not going to be poignantly hitting what's needed,
[00:32:40.200 --> 00:32:41.920]   and you're going to be useless.
[00:32:41.920 --> 00:32:44.360]   Scripture says that you need to speak with love.
[00:32:44.360 --> 00:32:48.160]   On the flip side, if you speak just with care and sympathy,
