
[00:00:00.000 --> 00:00:07.000]   Leviticus chapter 26.
[00:22:18.000 --> 00:22:20.000]   We're not just talking about one generation.
[00:22:20.000 --> 00:22:26.000]   We're talking about generations and generations of sins that have piled up, one on top of the other.
[00:22:26.000 --> 00:22:32.000]   And so by the time Christ comes, there is no way possible.
[00:22:32.000 --> 00:22:36.000]   I mean, there's no way possible, even in the beginning of Israel's history, to pay off even one sin.
[00:22:36.000 --> 00:22:37.000]   Right?
[00:22:37.000 --> 00:22:41.000]   But God wanted to make it absolutely crystal clear.
[00:22:41.000 --> 00:22:49.000]   Every curse that God says that they deserve, at some point in their history, broke it.
[00:22:49.000 --> 00:22:53.000]   So every one of these things that he says, "These curses are going to come upon you,"
[00:22:53.000 --> 00:22:57.000]   every one of these things, at some point in their history, they broke it.
[00:22:57.000 --> 00:23:02.000]   So all of these curses were upon the nation of Israel before Christ comes.
[00:23:02.000 --> 00:23:07.000]   And he does that, again, to show them their need for Christ.
[00:23:07.000 --> 00:23:14.000]   Again, the curses were not simply meant to punish, but to restore his people back to obedience.
[00:23:14.000 --> 00:23:18.000]   Even though it points to Christ, it doesn't mean that God didn't want them to live in obedience.
[00:23:18.000 --> 00:23:20.000]   Of course he did.
[00:23:20.000 --> 00:23:26.000]   But the ultimate fulfillment of all of this was going to come upon Christ.
[00:23:26.000 --> 00:23:30.000]   Many of the curses were the exact opposite of the blessing that were to be promised.
[00:23:30.000 --> 00:23:35.000]   He said, "If you obey, I will give you land. If you disobey, I will take away your land.
[00:23:35.000 --> 00:23:39.000]   If you obey, you will conquer your enemies. If you don't obey, your enemies will conquer you.
[00:23:39.000 --> 00:23:43.000]   If you obey, the wild beast will not be among you. You will be able to rest.
[00:23:43.000 --> 00:23:48.000]   If you don't obey, the wild beast will divide your families, and you will not be able to rest."
[00:23:48.000 --> 00:23:53.000]   And all of this is, "Is God among you walking, or is he not?"
[00:23:53.000 --> 00:24:00.000]   And if he is not, sin is going to have its way in your life.
[00:24:00.000 --> 00:24:03.000]   And that's what he's basically outlining.
[00:24:03.000 --> 00:24:07.000]   What happens when God is walking among you, and what happens when God is not walking among you?
[00:24:07.000 --> 00:24:11.000]   That's the difference between blessing and curses.
[00:24:11.000 --> 00:24:16.000]   In the cursing, there's five groupings of curses.
[00:24:16.000 --> 00:24:20.000]   Each one increasing in intensity.
[00:24:20.000 --> 00:24:32.000]   When you read this, did this remind you of any other book?
[00:24:32.000 --> 00:24:35.000]   No?
[00:24:35.000 --> 00:24:43.000]   But when you read these cursings, did it kind of trigger anything that we studied in the past?
[00:24:43.000 --> 00:24:46.000]   Last time?
[00:24:46.000 --> 00:24:48.000]   Revelation, right?
[00:24:48.000 --> 00:24:56.000]   You know, you have the seven seals, and then you have the seven trumpets, and then you have the seven bowls.
[00:24:56.000 --> 00:25:00.000]   And then each one increasing in intensity.
[00:25:00.000 --> 00:25:05.000]   And then by the time it gets to the end, it's like a punch in the mouth.
[00:25:05.000 --> 00:25:09.000]   And then the question is, "Why does he drag this on?
[00:25:09.000 --> 00:25:12.000]   Why does he go seven, and then another seven, and then another seven?"
[00:25:12.000 --> 00:25:15.000]   Remember we talked about that?
[00:25:15.000 --> 00:25:23.000]   Why this drama of seven years, plus another seven years, and another seven years, or seven one of them?
[00:25:23.000 --> 00:25:26.000]   Remember we talked about that?
[00:25:26.000 --> 00:25:28.000]   Yes?
[00:25:28.000 --> 00:25:33.000]   He does that, again, increasing in judgment, and each part, what does he do?
[00:25:33.000 --> 00:25:35.000]   He's waiting for them to repent.
[00:25:35.000 --> 00:25:41.000]   Even if there's one more soul who's going to be scared out of their minds, saying, "Oh my gosh, he's real.
[00:25:41.000 --> 00:25:44.000]   This judgment is real," and to bring them to repentance.
[00:25:44.000 --> 00:25:51.000]   Because once the final judgment, the great wine-thrown judgment comes, there is no other judgments coming because it's finished.
[00:25:51.000 --> 00:25:53.000]   It's complete.
[00:25:53.000 --> 00:25:56.000]   Hell is opened up, and then it's finished.
[00:25:56.000 --> 00:26:00.000]   So even in this judgment, you'll see, you know how he says over and over again, "Sevenfold."
[00:26:00.000 --> 00:26:02.000]   If you don't listen to this, another sevenfold.
[00:26:02.000 --> 00:26:04.000]   It's going to be increasing.
[00:26:04.000 --> 00:26:09.000]   And so each one of these, it starts off by saying, "After I've done this, if you do not repent."
[00:26:09.000 --> 00:26:14.000]   In other words, every judgment that's coming is to get them to repent.
[00:26:14.000 --> 00:26:19.000]   Get them to see that what God said he's going to do, and then he does it, and then he waits for them to repent.
[00:26:19.000 --> 00:26:23.000]   If they don't repent, he brings the second round.
[00:26:23.000 --> 00:26:27.000]   And it's going to be even more severe, and he does this four separate times.
[00:26:27.000 --> 00:26:31.000]   And then if you notice, at the end of it, the judgment is absolutely severe.
[00:26:31.000 --> 00:26:34.000]   And then they get taken away from their land.
[00:26:34.000 --> 00:26:35.000]   Complete.
[00:26:35.000 --> 00:26:36.000]   Right?
[00:26:36.000 --> 00:26:39.000]   So it kind of reminds you of the judgment in the book of Revelation.
[00:26:39.000 --> 00:26:47.000]   So even in this severity, he's giving opportunity for repentance.
[00:26:47.000 --> 00:26:55.000]   He says, "Although all throughout it, the Lord repeats, 'I will do these things to you.'"
[00:26:55.000 --> 00:27:02.000]   He repeats it over and over again so that there's no mistake that this happened because of lack of planning,
[00:27:02.000 --> 00:27:05.000]   because they lacked money, or they made some bad decisions.
[00:27:05.000 --> 00:27:08.000]   He says, "No, the Lord is doing it."
[00:27:08.000 --> 00:27:15.000]   So they understand that this is coming as a direct judgment against them because of their disobedience.
[00:27:15.000 --> 00:27:22.000]   So repeatedly over and over again, he says, "I will do this. I will do this."
[00:27:22.000 --> 00:27:26.000]   In Amos chapter 4, 6, I'm not going to read all of it.
[00:27:26.000 --> 00:27:30.000]   Amos describes how God brings judgment upon the nation of Israel,
[00:27:30.000 --> 00:27:34.000]   and each phase that he's done that, they wouldn't repent.
[00:27:34.000 --> 00:27:40.000]   "I gave you also cleanness of teeth in your cities and lack of bread in your places,
[00:27:40.000 --> 00:27:42.000]   yet you have not returned to me," declares the Lord.
[00:27:42.000 --> 00:27:46.000]   "Furthermore, I withheld rain from you while there were still three months until harvest,
[00:27:46.000 --> 00:27:49.000]   then I would send rain on one city and on another city.
[00:27:49.000 --> 00:27:54.000]   I would not send rain. One part would be rained on while the part not rained on would dry up.
[00:27:54.000 --> 00:27:59.000]   So two or three cities would stagger to another city to drink water but would not be satisfied.
[00:27:59.000 --> 00:28:01.000]   Yet you have not returned to me," declares the Lord.
[00:28:01.000 --> 00:28:06.000]   So over and over again, he describes his judgment that he's bringing upon the land,
[00:28:06.000 --> 00:28:09.000]   and sometimes selectively, to teach them.
[00:28:09.000 --> 00:28:15.000]   This is coming because of your sin. This is related to your sin, and yet you would not repent.
[00:28:15.000 --> 00:28:19.000]   And then so what is the final judgment of the book of Amos?
[00:28:19.000 --> 00:28:22.000]   There's going to be a famine, but a famine of what?
[00:28:22.000 --> 00:28:24.000]   A famine of the Word of God.
[00:28:24.000 --> 00:28:27.000]   In other words, God's going to withdraw his spirit.
[00:28:27.000 --> 00:28:31.000]   That's going to be the final judgment, when he releases you to your sin.
[00:28:31.000 --> 00:28:34.000]   And that's what it says in Romans chapter 1, 2, right?
[00:28:34.000 --> 00:28:39.000]   He gave them over to their lusts. He gave them over to their iniquities.
[00:28:39.000 --> 00:28:41.000]   That's his final judgment.
[00:28:41.000 --> 00:28:47.000]   So the final judgment after the great white throne judgment is there's no longer common grace.
[00:28:47.000 --> 00:28:52.000]   God separates the ones who will be separated from him for eternity,
[00:28:52.000 --> 00:28:55.000]   and then those who will be dwelling with him for eternity.
[00:28:55.000 --> 00:29:03.000]   So even in this separated state, we all experience common grace,
[00:29:03.000 --> 00:29:07.000]   Christians and non-Christians alike, because we're not in hell.
[00:29:07.000 --> 00:29:14.000]   Because of God's grace and his glory, where we are living is not orderly sinful.
[00:29:14.000 --> 00:29:18.000]   Yes, God is still here. The church is still here. The gospel is still here.
[00:29:18.000 --> 00:29:24.000]   We're not in the final state, but the final state of judgment is when God withdraws his presence.
[00:29:24.000 --> 00:29:30.000]   And so that's where he says he's making sure that they understand that there is no mistake,
[00:29:30.000 --> 00:29:34.000]   that they didn't make poor choices, and that's why the harvest is not growing,
[00:29:34.000 --> 00:29:38.000]   or the rain, or the enemies are conquering, because they didn't sharpen their sword.
[00:29:38.000 --> 00:29:42.000]   He said it's directly linked to their disobedience because of their sins.
[00:29:42.000 --> 00:29:46.000]   And that's why the first part, right? He said there's five phases,
[00:29:46.000 --> 00:29:51.000]   but the first part, 6 through 7, he said it's going to be sudden terror.
[00:29:51.000 --> 00:29:57.000]   In other words, it's going to come suddenly so that they know that this is divine.
[00:29:57.000 --> 00:30:02.000]   It comes out of nowhere because God brings it. The disease is going to be severe.
[00:30:02.000 --> 00:30:06.000]   This is not the regular disease that people have living in a sinful world,
[00:30:06.000 --> 00:30:11.000]   that you're not going to have problems that are going to be lingering for years and years.
[00:30:11.000 --> 00:30:21.000]   It's going to be a severe disease, again, so that people will know that this is a divine judgment coming from God.
[00:30:21.000 --> 00:30:26.000]   They will sow uselessly because their enemies will pillage and eat them.
[00:30:26.000 --> 00:30:30.000]   They're going to work hard, and they're going to sow seeds.
[00:30:30.000 --> 00:30:37.000]   They're going to do business, but at the end of the day, the enemies are going to come and take it from them,
[00:30:37.000 --> 00:30:43.000]   so it's going to be useless. All their hard work to become something is all going to be destroyed by their enemies.
[00:30:43.000 --> 00:30:50.000]   They will be defeated and conquered by their enemies as a result of the Lord setting His face against them.
[00:30:50.000 --> 00:30:54.000]   And Moses says that. You know, when they were out in the desert,
[00:30:54.000 --> 00:30:59.000]   God's angry with them. He says, "I'm not going to go with them," and Moses begs,
[00:30:59.000 --> 00:31:05.000]   "If you don't come with us, we're going to die out here in the desert.
[00:31:05.000 --> 00:31:09.000]   We're completely vulnerable. These people were slaves.
[00:31:09.000 --> 00:31:14.000]   They're not soldiers. They have children with them, and they're out in the desert.
[00:31:14.000 --> 00:31:18.000]   So if you don't come with us, we're vulnerable to any attack.
[00:31:18.000 --> 00:31:22.000]   There's no way they're going to enter the Promised Land and conquer these fortified cities.
[00:31:22.000 --> 00:31:31.000]   The only reason why people trembled at the nation of Israel was because of the reputation of their God.
[00:31:31.000 --> 00:31:37.000]   God says He's going to withdraw His presence among them, and then they're going to—
[00:31:37.000 --> 00:31:45.000]   humanly speaking, it's a bunch of nomads wandering in the desert who aren't properly trained, just walking around.
[00:31:45.000 --> 00:31:50.000]   Who would be afraid of them? He said that's exactly what's going to happen.
[00:31:50.000 --> 00:31:53.000]   If you don't obey, God's presence is going to be withdrawn,
[00:31:53.000 --> 00:31:57.000]   and then they're going to become vulnerable to every attack, every enemy.
[00:31:57.000 --> 00:32:02.000]   As a result of that, they're going to flee when no one is pursuing them.
[00:32:02.000 --> 00:32:07.000]   Isn't that what anxiousness is? Anxiety?
[00:32:07.000 --> 00:32:12.000]   There are things that you should genuinely be anxious about.
[00:32:12.000 --> 00:32:15.000]   War breaks out, enemies come in. You should be anxious.
[00:32:15.000 --> 00:32:19.000]   If you're not anxious, something's wrong with you.
[00:32:19.000 --> 00:32:25.000]   When you're anxious, when there's no reason to be anxious, that's when you know something is wrong.
[00:32:25.000 --> 00:32:30.000]   He said that's what's going to happen. There's going to be fear that dictates your life
[00:32:30.000 --> 00:32:36.000]   because you no longer have—what don't you have when God's not there?
[00:32:36.000 --> 00:32:42.000]   Peace. You don't have peace. You don't have Sabbath. You don't have rest.
[00:32:42.000 --> 00:32:49.000]   So your spirit is in constant unrest, even when you're not being chased.
[00:32:49.000 --> 00:32:55.000]   Isn't that so true? Even as Christians, when we have sins that are hidden, that are unrepentant,
[00:32:55.000 --> 00:33:01.000]   there's a constant fear, even in the judgments that you make,
[00:33:01.000 --> 00:33:06.000]   that if it goes wrong, it's because God's going to do it.
[00:33:06.000 --> 00:33:12.000]   At some point, God's going to discipline you. There's a fear.
[00:33:12.000 --> 00:33:17.000]   And so it makes everything that you do anxious—your relationships, the business,
[00:33:17.000 --> 00:33:21.000]   even the money in the bank, whatever career that you have.
[00:33:21.000 --> 00:33:26.000]   You're constantly living in fear because you are living against the will of God.
[00:33:26.000 --> 00:33:30.000]   And so that's how he describes somebody who is living in disobedience.
[00:33:30.000 --> 00:33:33.000]   He's fleeing even though there's nobody chasing him.
[00:33:33.000 --> 00:33:37.000]   And sin is the direct cause of all of that.
[00:33:37.000 --> 00:33:42.000]   Secondly, if they do not turn from their sins again, right?
[00:33:42.000 --> 00:33:46.000]   After he's done all of that, and they still harden their hearts,
[00:33:46.000 --> 00:33:51.000]   he says he's going to bring judgment upon them sevenfold.
[00:33:51.000 --> 00:33:57.000]   They will be humbled, verse 19a.
[00:33:57.000 --> 00:34:04.000]   If you really think about it, disobedience is self-exaltation, living self-willed.
[00:34:04.000 --> 00:34:08.000]   I'm going to be somebody, I'm going to do something, I'm going to make a name for myself.
[00:34:08.000 --> 00:34:15.000]   And then he says God's going to come bring judgment and humble them.
[00:34:15.000 --> 00:34:20.000]   Severe famine is going to come upon the land.
[00:34:20.000 --> 00:34:23.000]   And then he uses the word again, "useless."
[00:34:23.000 --> 00:34:30.000]   "The strength will be spent uselessly, because the land will not produce trees and thus no fruit."
[00:34:30.000 --> 00:34:35.000]   So the first judgment is going to be useless, even though it's going to bear fruit, the enemies are going to take it.
[00:34:35.000 --> 00:34:42.000]   The second judgment, they're going to work hard, but there's not going to be any fruit to begin with.
[00:34:42.000 --> 00:34:45.000]   You see the severity of the judgment?
[00:34:45.000 --> 00:34:49.000]   The first judgment, you actually have fruit, but the enemies are taking it.
[00:34:49.000 --> 00:34:56.000]   Second judgment, the trees don't even come, because the famine is so severe.
[00:34:56.000 --> 00:35:00.000]   So you can see the intensity, so it's going to happen sevenfold harder.
[00:35:00.000 --> 00:35:07.000]   Third, if the previous judgment doesn't bring them to repentance to God,
[00:35:07.000 --> 00:35:13.000]   God will increase their plague again sevenfold according to their sins.
[00:35:13.000 --> 00:35:17.000]   Wild beasts will decimate their families and their cattle.
[00:35:17.000 --> 00:35:22.000]   So they're not just living in danger, right?
[00:35:22.000 --> 00:35:25.000]   He said they're going to actually come and decimate, they're going to completely destroy them.
[00:35:25.000 --> 00:35:29.000]   So this is not just one animal roaming around, people locking their doors.
[00:35:29.000 --> 00:35:34.000]   He said they're going to come completely devastate whatever it is that they have.
[00:35:34.000 --> 00:35:39.000]   So you see this increase.
[00:35:39.000 --> 00:35:44.000]   Fourth round, if the previous judgment does not bring them to repentance,
[00:35:44.000 --> 00:35:49.000]   God will act with hostility against them and will strike them again sevenfold for their sins.
[00:35:49.000 --> 00:35:52.000]   It's going to be increasing.
[00:35:52.000 --> 00:35:55.000]   The enemies will bring the sword against them.
[00:35:55.000 --> 00:35:59.000]   So the enemies are not just coming taking their food now.
[00:35:59.000 --> 00:36:06.000]   They're not just plundering, they're completely wiping them out.
[00:36:06.000 --> 00:36:09.000]   Remember Israel's history?
[00:36:09.000 --> 00:36:17.000]   The first round when Israel goes into captivity, the northern kingdom, the southern kingdom.
[00:36:17.000 --> 00:36:21.000]   The southern kingdom gets taken by the Assyrians and then the northern kingdom.
[00:36:21.000 --> 00:36:23.000]   I get that north and south mixed up.
[00:36:23.000 --> 00:36:30.000]   The southern kingdom, the northern kingdom, they go to the Assyrians and then the southern kingdom, they go to the Babylonians.
[00:36:30.000 --> 00:36:38.000]   Where the Babylonians come and they take the prime into their land, the Assyrians come and completely decimate them.
[00:36:38.000 --> 00:36:46.000]   He says that the judgment that God's going to bring is going to be that they're going to come and completely wipe them out.
[00:36:46.000 --> 00:36:49.000]   God will send pestilence so that they will be defeated by their enemies.
[00:36:49.000 --> 00:36:54.000]   And then again, famine will besiege the cities.
[00:36:54.000 --> 00:36:57.000]   You see the progression?
[00:36:57.000 --> 00:37:00.000]   Enemies are going to take your food.
[00:37:00.000 --> 00:37:07.000]   Enemies are going to come and they're going to bring the sword and then they're going to besiege the city.
[00:37:07.000 --> 00:37:21.000]   And then he says, fifth, if after all of that they still will not repent, he said that punishment is going to increase sevenfold.
[00:37:21.000 --> 00:37:24.000]   And look at this judgment.
[00:37:24.000 --> 00:37:29.000]   They will eat the flesh of their sons and daughters.
[00:37:29.000 --> 00:37:34.000]   It for sure reminds you of the seven seals.
[00:37:34.000 --> 00:37:38.000]   Out of the seven seals, trumpets and the bowls, which one is more severe?
[00:37:38.000 --> 00:37:41.000]   The bowl judgment.
[00:37:41.000 --> 00:37:44.000]   A third of the world is wiped out.
[00:37:44.000 --> 00:37:48.000]   Plagues coming upon the land and how can anybody survive?
[00:37:48.000 --> 00:37:51.000]   And that's how it's described, the severity of the judgment of God.
[00:37:51.000 --> 00:37:55.000]   And all for what purpose?
[00:37:55.000 --> 00:38:00.000]   Waiting for them to repent.
[00:38:00.000 --> 00:38:05.000]   God will deliver their idols in place of worship for those idols.
[00:38:05.000 --> 00:38:10.000]   He's waiting and waiting and waiting to destroy their idols and come to him.
[00:38:10.000 --> 00:38:12.000]   They won't destroy it.
[00:38:12.000 --> 00:38:14.000]   So they begin to experience this intense famine.
[00:38:14.000 --> 00:38:16.000]   The enemies come, besiege the land.
[00:38:16.000 --> 00:38:22.000]   They actually begin to eat their children's flesh.
[00:38:22.000 --> 00:38:25.000]   Does this happen in Israel's history?
[00:38:25.000 --> 00:38:26.000]   Yes.
[00:38:26.000 --> 00:38:29.000]   They actually experience this in Israel's history.
[00:38:29.000 --> 00:38:34.000]   God himself is going to come and destroy the idols.
[00:38:34.000 --> 00:38:38.000]   But that doesn't lead to revival because God comes as a judgment to do that.
[00:38:38.000 --> 00:38:45.000]   And then the next one he says, their cities and sanctuaries will become desolate
[00:38:45.000 --> 00:38:48.000]   and God will reject their offerings to the Lord.
[00:38:48.000 --> 00:38:53.000]   In other words, God's going to end this nation.
[00:38:53.000 --> 00:38:57.000]   The whole purpose of the book of Leviticus is to make God's dwelling upon them.
[00:38:57.000 --> 00:38:58.000]   He destroys the sanctuary.
[00:38:58.000 --> 00:39:00.000]   What does that mean?
[00:39:00.000 --> 00:39:02.000]   God's presence is no longer there.
[00:39:02.000 --> 00:39:03.000]   He's withdrawn.
[00:39:03.000 --> 00:39:05.000]   There's nowhere for them to go.
[00:39:05.000 --> 00:39:07.000]   And that's what Amos says at the end of the book of Amos.
[00:39:07.000 --> 00:39:09.000]   After I've done all of this, you still wouldn't repent.
[00:39:09.000 --> 00:39:11.000]   And then the famine of the word.
[00:39:11.000 --> 00:39:14.000]   You're going to be staggering from place to place to hear God's word,
[00:39:14.000 --> 00:39:19.000]   but you're not going to hear it because God withdraws himself.
[00:39:19.000 --> 00:39:25.000]   He says that in Revelation 2 to the church of Ephesus.
[00:39:25.000 --> 00:39:29.000]   He's doing all these things, but if you do not repent because you've forsaken your first love,
[00:39:29.000 --> 00:39:31.000]   he said, "I will take away my lampstand."
[00:39:31.000 --> 00:39:36.000]   Lampstand represented the seven churches, one of the seven churches.
[00:39:36.000 --> 00:39:44.000]   When he says he takes away his lampstand, he's basically saying he's withdrawing his spirit.
[00:39:44.000 --> 00:39:49.000]   As a result of God withdrawing his spirit, they will be scattered among the nations
[00:39:49.000 --> 00:39:53.000]   because what brought them together was God.
[00:39:53.000 --> 00:39:57.000]   So if there's no temple, there's no worship, there's no presence of God,
[00:39:57.000 --> 00:39:59.000]   then there is no nation.
[00:39:59.000 --> 00:40:05.000]   They are scattered.
[00:40:05.000 --> 00:40:08.000]   And as a result of that, the land will enjoy the Sabbath that God commanded them to obey.
[00:40:08.000 --> 00:40:12.000]   They wouldn't obey it, so they're forcing them.
[00:40:12.000 --> 00:40:20.000]   Now think about why the Sabbath on the land.
[00:40:20.000 --> 00:40:25.000]   Because God created, remember, he creates heaven and earth, you know, like five days.
[00:40:25.000 --> 00:40:31.000]   He creates everything that was necessary on earth, and then he creates man.
[00:40:31.000 --> 00:40:35.000]   Because man is dependent upon the fruit that comes from the land.
[00:40:35.000 --> 00:40:39.000]   So if the man is disobedient to the Sabbath and he destroys the land,
[00:40:39.000 --> 00:40:41.000]   there is no food for him to eat.
[00:40:41.000 --> 00:40:43.000]   There is no harvest for him to take care of his family.
[00:40:43.000 --> 00:40:50.000]   So judgment, naturally he brings judgment upon mankind when he disobeys.
[00:40:50.000 --> 00:40:54.000]   Obedience is what causes the fruit in the land.
[00:40:54.000 --> 00:40:57.000]   Disobedience destroys the land, which they are dependent on.
[00:40:57.000 --> 00:41:00.000]   That's the foolishness of sin.
[00:41:00.000 --> 00:41:08.000]   The very thing that God created to sustain us, in our disobedience we destroy.
[00:41:08.000 --> 00:41:10.000]   That's what sin does.
[00:41:10.000 --> 00:41:14.000]   The very thing that God created to bring blessing, when we disobey him,
[00:41:14.000 --> 00:41:21.000]   the very things that cause joy in our life, in our sins, we end up destroying that.
[00:41:21.000 --> 00:41:31.000]   And that's what he's trying to, the picture that he's trying to show us.
[00:41:31.000 --> 00:41:33.000]   The land will enjoy the Sabbath.
[00:41:33.000 --> 00:41:39.000]   Those who remain will live in fear of their enemies and will have no strength.
[00:41:39.000 --> 00:41:44.000]   And then eight, those who remain in the land will consume them and they will rot away.
[00:41:44.000 --> 00:41:48.000]   In other words, even the people who are not taken away, the few remnant that are there,
[00:41:48.000 --> 00:41:57.000]   they're going to be living in fear because the land is not in peace, because God is not there.
[00:41:57.000 --> 00:41:59.000]   All of this is fulfilled in Israel's history.
[00:41:59.000 --> 00:42:05.000]   It doesn't happen immediately, but hundreds of years later, after, remember we talked about that last week, right?
[00:42:05.000 --> 00:42:08.000]   Seven times seventy, right?
[00:42:08.000 --> 00:42:10.000]   They didn't obey what God told them to do.
[00:42:10.000 --> 00:42:13.000]   So 490 years they disobeyed God.
[00:42:13.000 --> 00:42:19.000]   Seventy years, every year that they ignore the Sabbath, they go into captivity.
[00:42:19.000 --> 00:42:23.000]   And then when they go into captivity, some of them are utterly destroyed by the Assyrians,
[00:42:23.000 --> 00:42:30.000]   some of them are scattered, and the ones who remain in Jerusalem are under constant attack by the enemies,
[00:42:30.000 --> 00:42:33.000]   exactly as it is painted here.
[00:42:33.000 --> 00:42:37.000]   So this actually happens in the nation of Israel.
[00:42:37.000 --> 00:42:42.000]   But with the blessings and curses, he ends in 40 to 46.
[00:42:42.000 --> 00:42:50.000]   Despite all of that, if you will repent, God will forgive you, right?
[00:42:50.000 --> 00:42:59.000]   God will remember their covenant once again if they confess their sins and the sins of their forefathers.
[00:42:59.000 --> 00:43:02.000]   Despite all of that, he still hasn't given up.
[00:43:02.000 --> 00:43:08.000]   Even after all of that, if you wake up from it and repent, he said he will forgive.
[00:43:08.000 --> 00:43:17.000]   And then the land will be rested as it should from the beginning.
[00:43:17.000 --> 00:43:24.000]   God's going to cause it to rest.
[00:43:24.000 --> 00:43:29.000]   So you can kind of see, like if you know Israel's history, if you know the book of Revelation,
[00:43:29.000 --> 00:43:34.000]   if you know redemptive history, you know that all of this stuff actually takes place, right?
[00:43:34.000 --> 00:43:37.000]   Exactly as God says.
[00:43:37.000 --> 00:43:42.000]   But the point of all of this is not to simply scare people and say, "Hey, don't mess with God."
[00:43:42.000 --> 00:43:46.000]   The point of all of this is all fulfilled in the New Testament.
[00:43:46.000 --> 00:43:51.000]   So remember we talked about that, all prophecies, there is an immediate application to the nation of Israel.
[00:43:51.000 --> 00:43:55.000]   Does God want Israel to practice all of this? Absolutely.
[00:43:55.000 --> 00:44:01.000]   Are there consequences if they don't obey? Absolutely, because it actually happened in the nation of Israel.
[00:44:01.000 --> 00:44:06.000]   But the final product of all of this wasn't about Israel.
[00:44:06.000 --> 00:44:10.000]   It wasn't about the promised land. In fact, Hebrews chapter 11 tells us that, right?
[00:44:10.000 --> 00:44:19.000]   If what they were really seeking was land here, like peace here, they could have easily went back and had a great life.
[00:44:19.000 --> 00:44:28.000]   But their eyes got open and it is because of their faith they pursued a greater land, a greater promise, right?
[00:44:28.000 --> 00:44:33.000]   And he says nothing that was promised physically they received.
[00:44:33.000 --> 00:44:39.000]   Because what were they waiting for? Us, right?
[00:44:39.000 --> 00:44:46.000]   They were waiting for us, for us to come to faith and that we may all enter the promised land together, right?
[00:44:46.000 --> 00:44:48.000]   The new heavens and new earth.
[00:44:48.000 --> 00:44:51.000]   So all of this ultimately points to the fulfillment in Christ.
[00:44:51.000 --> 00:44:59.000]   In Galatians chapter 3, 10-14, "For as many as are of the works of the law are under the curse,
[00:44:59.000 --> 00:45:04.000]   for it is written, 'Curse is everyone who does not abide by all things written in the book of the law to perform them.'
[00:45:04.000 --> 00:45:09.000]   Now that no one is justified by the law before God is evident, for the righteous man shall live by faith.
[00:45:09.000 --> 00:45:13.000]   However, the law is not of faith. On the contrary, he who practices them shall live by them."
[00:45:13.000 --> 00:45:18.000]   He doesn't mean that he who practices the law, he's going to actually find life in it.
[00:45:18.000 --> 00:45:24.000]   If you are looking to become righteous by the law, right?
[00:45:24.000 --> 00:45:30.000]   And if that's your standard and you're not seeking righteousness by faith,
[00:45:30.000 --> 00:45:33.000]   then you're going to have to find it in the law.
[00:45:33.000 --> 00:45:35.000]   In other words, you have to obey this perfectly.
[00:45:35.000 --> 00:45:41.000]   You have to obey it to the point where you deserve no curse, only blessing, right?
[00:45:41.000 --> 00:45:45.000]   Obviously, that's not possible. And that's what he's saying here.
[00:45:45.000 --> 00:45:49.000]   If you seek righteousness by the law, you have to find it by the law.
[00:45:49.000 --> 00:45:56.000]   There's no Bs. There's no A-minus. It has to be A++, 100%. Right?
[00:45:56.000 --> 00:46:01.000]   But the Bible makes that clear. All have sinned and fall short of the glory of God, not most.
[00:46:01.000 --> 00:46:05.000]   So he's not saying that you can find it. He's saying that there is no hope if that's where you're going.
[00:46:05.000 --> 00:46:10.000]   "However, the law is not by faith. On the contrary, he who practices them shall live by faith.
[00:46:10.000 --> 00:46:15.000]   Christ redeemed us from the curse of the law, having become a curse for us."
[00:46:15.000 --> 00:46:17.000]   That's where the fulfillment happens.
[00:46:17.000 --> 00:46:22.000]   That all the curses that he mentions, Christ absorbs the curse upon himself,
[00:46:22.000 --> 00:46:24.000]   that we might become the righteousness of God.
[00:46:24.000 --> 00:46:28.000]   In order that Christ Jesus, the blessing of Abraham, might come to the Gentiles,
[00:46:28.000 --> 00:46:32.000]   so that we would receive the promise of the Spirit through faith.
[00:46:32.000 --> 00:46:34.000]   All of this ultimately points to Christ.
[00:46:34.000 --> 00:46:40.000]   Revelation 21, 3-4, it talks about the fulfillment of that promise of blessing.
[00:46:40.000 --> 00:46:43.000]   So verses 1-13, right?
[00:46:43.000 --> 00:46:45.000]   Think about all the blessings that he mentions there.
[00:46:45.000 --> 00:46:48.000]   And he says, "And I heard a loud voice from the throne, saying,
[00:46:48.000 --> 00:46:51.000]   'Behold, the tabernacle of God is among men.'"
[00:46:51.000 --> 00:46:52.000]   In other words, God is with us.
[00:46:52.000 --> 00:46:57.000]   "And he will dwell among them, and they shall be his people, and God himself will be among them.
[00:46:57.000 --> 00:47:02.000]   And he will wipe away every tear from their eyes, and there will no longer be any death,
[00:47:02.000 --> 00:47:05.000]   there will no longer be any mourning or crying or pain.
[00:47:05.000 --> 00:47:09.000]   The first things have passed away."
[00:47:09.000 --> 00:47:13.000]   All because he is there.
[00:47:13.000 --> 00:47:16.000]   Heaven is heaven because God is there.
[00:47:16.000 --> 00:47:20.000]   Heaven is not heaven because God made it beautiful and then he said, "Hey, go and enjoy."
[00:47:20.000 --> 00:47:22.000]   All of that is a byproduct of his presence.
[00:47:22.000 --> 00:47:26.000]   So when Genesis says that he created the earth on the seventh day,
[00:47:26.000 --> 00:47:32.000]   he entered into the Sabbath, all mankind was in heaven with him.
[00:47:32.000 --> 00:47:37.000]   The Garden of Eden was a form of heaven because he was there.
