
[00:00:00.000 --> 00:00:15.340]   ♪ ♪
[00:38:03.300 --> 00:38:05.140]   And our outreach team will be at the table
[00:38:05.140 --> 00:38:08.120]   answering any kind of questions that they may have.
[00:38:08.120 --> 00:38:10.300]   So they're gonna really approaching this
[00:38:10.300 --> 00:38:12.340]   as an opportunity to share the gospel with people.
[00:38:12.340 --> 00:38:14.420]   So if you are bringing people, again,
[00:38:14.420 --> 00:38:16.460]   all of these things will be available to you.
[00:38:16.460 --> 00:38:18.020]   So please take this with you.
[00:38:18.020 --> 00:38:20.800]   And at minimum, to be prayerful,
[00:38:20.800 --> 00:38:22.900]   that we would redeem the time that we have
[00:38:22.900 --> 00:38:24.500]   in this opportunity, okay?
[00:38:24.500 --> 00:38:29.400]   As you guys know, today is BBA finals.
[00:38:29.400 --> 00:38:32.320]   And some of you guys who are participating,
[00:38:32.320 --> 00:38:34.040]   the reason I mentioned that is because some of you
[00:38:34.040 --> 00:38:37.440]   could care less and some of you are more ping pong players
[00:38:37.440 --> 00:38:38.740]   than anything else.
[00:38:38.740 --> 00:38:41.220]   And there is a ping pong tournament that is coming up.
[00:38:41.220 --> 00:38:43.380]   So those of you who missed out on the BBA,
[00:38:43.380 --> 00:38:46.260]   there is a ping pong doubles tournament that's happening.
[00:38:46.260 --> 00:38:48.380]   And we usually do this,
[00:38:48.380 --> 00:38:51.580]   so you know who the ping pong players are, okay?
[00:38:51.580 --> 00:38:56.580]   So at the New Year's Eve, at 6 p.m. here in the sanctuary,
[00:38:56.580 --> 00:39:00.440]   I think it's gonna be here, or most likely in the cafe,
[00:39:00.440 --> 00:39:02.260]   we will have a doubles ping pong tournament.
[00:39:02.260 --> 00:39:04.300]   The cost of it is $5.
[00:39:04.300 --> 00:39:05.700]   And so you can just sign up
[00:39:05.700 --> 00:39:07.020]   and they'll give you directions on that.
[00:39:07.020 --> 00:39:09.940]   So 6 p.m. to I think 9 p.m.
[00:39:09.940 --> 00:39:12.840]   And then at 11 p.m. we have New Year's Eve service
[00:39:12.840 --> 00:39:14.100]   that evening, okay?
[00:39:14.100 --> 00:39:17.140]   So this is happening on September 31st.
[00:39:17.140 --> 00:39:20.220]   So all skill levels are welcome,
[00:39:20.220 --> 00:39:22.740]   even if you can't beat the Kangs.
[00:39:22.740 --> 00:39:26.360]   You guys are more than welcome to come and participate
[00:39:26.360 --> 00:39:28.380]   and just to fellowship and hang out with people.
[00:39:28.380 --> 00:39:31.340]   So it's a good opportunity to meet other people as well.
[00:39:31.340 --> 00:39:33.660]   So please sign up for that as soon as you can.
[00:39:33.660 --> 00:39:36.300]   And then right after I pray for our offering,
[00:39:36.300 --> 00:39:37.580]   again, if you are new to the church,
[00:39:37.580 --> 00:39:41.580]   our offering basket, physical basket is in the back.
[00:39:41.580 --> 00:39:43.020]   So you can go there after service
[00:39:43.020 --> 00:39:44.540]   and you can drop off the physical offering there.
[00:39:44.540 --> 00:39:48.380]   Otherwise you can prepare for the electronic offering.
[00:39:48.380 --> 00:39:50.140]   And after our main pray set,
[00:39:50.140 --> 00:39:53.100]   our sister Mary Kim is going to come and give her testimony
[00:39:53.100 --> 00:39:55.280]   and be baptized this morning, okay?
[00:39:55.280 --> 00:39:57.060]   So let me pray for us and I'll give you a minute
[00:39:57.060 --> 00:39:58.900]   to prepare your offering.
[00:39:58.900 --> 00:39:59.740]   Let's pray.
[00:40:00.740 --> 00:40:03.380]   (pastor praying)
[00:40:03.380 --> 00:40:05.460]   - Gracious Father, we thank you so much
[00:40:05.460 --> 00:40:08.500]   for the blessing that you've given us.
[00:40:08.500 --> 00:40:11.020]   And even in the midst of our busy schedule,
[00:40:11.020 --> 00:40:14.440]   help us Lord God to be anchored in Christ,
[00:40:14.440 --> 00:40:16.220]   our thought, our mind, our heart,
[00:40:16.220 --> 00:40:18.500]   that it may fully belong to you.
[00:40:18.500 --> 00:40:20.740]   That the end of this busy season,
[00:40:20.740 --> 00:40:24.620]   that we would not come out of it just tired and fatigued,
[00:40:24.620 --> 00:40:27.000]   but that our spirit would be renewed
[00:40:27.000 --> 00:40:28.780]   and strengthened Lord God,
[00:40:28.780 --> 00:40:31.580]   that we may give all our attention, all our hope,
[00:40:31.580 --> 00:40:34.500]   all our worship Lord that you deserve.
[00:40:34.500 --> 00:40:36.340]   I pray that as we give our offering,
[00:40:36.340 --> 00:40:39.220]   may it be multiplied for your use and for your kingdom.
[00:40:39.220 --> 00:40:41.040]   In Jesus name we pray, amen.
[00:40:41.040 --> 00:40:44.720]   (soft music)
[00:40:45.580 --> 00:40:48.000]   (soft music)
[00:40:48.000 --> 00:40:50.420]   (soft music)
[00:40:50.780 --> 00:40:53.200]   (soft music)
[00:40:53.200 --> 00:41:01.780]   (soft music)
[00:41:01.780 --> 00:41:09.620]   (soft music)
[00:41:18.740 --> 00:41:21.160]   (soft music)
[00:41:21.160 --> 00:41:32.900]   (soft music)
[00:41:47.660 --> 00:41:51.320]   - Let us all rise as we sing these phrases.
[00:41:51.320 --> 00:41:57.480]   (upbeat music)
[00:41:57.480 --> 00:42:09.460]   ♪ There's an endless song ♪
[00:42:09.460 --> 00:42:13.340]   ♪ There's an endless song ♪
[00:42:13.340 --> 00:42:17.280]   ♪ That goes in my soul ♪
[00:42:17.280 --> 00:42:22.280]   ♪ I hear the music ♪
[00:42:22.280 --> 00:42:27.940]   ♪ And though the storms may come ♪
[00:42:27.940 --> 00:42:32.140]   ♪ I am holding on ♪
[00:42:32.140 --> 00:42:35.140]   ♪ To the rock I picked ♪
[00:42:35.140 --> 00:42:38.440]   - How can I keep?
[00:42:38.440 --> 00:42:44.360]   ♪ How can I keep from singing your praise ♪
[00:42:45.780 --> 00:42:49.700]   ♪ How can I ever say enough ♪
[00:42:49.700 --> 00:42:53.940]   ♪ How amazing is your love ♪
[00:42:53.940 --> 00:42:58.940]   ♪ How can I keep from shouting your name ♪
[00:42:58.940 --> 00:43:04.260]   ♪ I know I am loved by the king ♪
[00:43:04.260 --> 00:43:08.600]   ♪ And it makes my heart wanna sing ♪
[00:43:08.600 --> 00:43:15.220]   - I will lift my eyes.
[00:43:15.220 --> 00:43:18.760]   ♪ I will lift my eyes ♪
[00:43:18.760 --> 00:43:22.380]   ♪ In the darkest hour ♪
[00:43:22.380 --> 00:43:27.380]   ♪ For I know my savior lives ♪
[00:43:27.380 --> 00:43:32.960]   ♪ And I will walk with you ♪
[00:43:32.960 --> 00:43:37.320]   ♪ Knowing you'll see me through ♪
[00:43:37.320 --> 00:43:41.320]   ♪ And sing the songs you gave ♪
[00:43:41.320 --> 00:43:43.700]   - How can I?
[00:43:44.780 --> 00:43:49.780]   ♪ How can I keep from singing your praise ♪
[00:43:49.780 --> 00:43:55.040]   ♪ How can I ever say enough ♪
[00:43:55.040 --> 00:43:59.300]   ♪ How amazing is your love ♪
[00:43:59.300 --> 00:44:04.300]   ♪ How can I keep from shouting your name ♪
[00:44:04.300 --> 00:44:09.620]   ♪ I know I am loved by the king ♪
[00:44:09.620 --> 00:44:14.620]   ♪ And it makes my heart wanna sing ♪
[00:44:15.320 --> 00:44:17.040]   ♪ I can sing ♪
[00:44:17.040 --> 00:44:21.100]   ♪ I can sing in the troubled times ♪
[00:44:21.100 --> 00:44:24.260]   ♪ Sing when I win ♪
[00:44:24.260 --> 00:44:28.200]   ♪ I can sing when I lose my step ♪
[00:44:28.200 --> 00:44:31.540]   ♪ And fall down again ♪
[00:44:31.540 --> 00:44:35.640]   ♪ I can sing 'cause you pick me up ♪
[00:44:35.640 --> 00:44:38.800]   ♪ Sing 'cause you're there ♪
[00:44:38.800 --> 00:44:42.420]   ♪ I can sing 'cause you hear me Lord ♪
[00:44:42.420 --> 00:44:46.000]   ♪ When I call to you in prayer ♪
[00:44:46.000 --> 00:44:50.580]   ♪ I can sing with my last breath ♪
[00:44:50.580 --> 00:44:53.280]   ♪ Sing for I know ♪
[00:44:53.280 --> 00:44:57.240]   ♪ That I'll sing with the angels ♪
[00:44:57.240 --> 00:45:02.240]   ♪ The saints around the throne ♪
[00:45:02.240 --> 00:45:07.960]   ♪ How can I keep from singing your praise ♪
[00:45:09.360 --> 00:45:13.320]   ♪ How can I ever say enough ♪
[00:45:13.320 --> 00:45:17.580]   ♪ How amazing is your love ♪
[00:45:17.580 --> 00:45:22.580]   ♪ How can I keep from shouting your name ♪
[00:45:22.580 --> 00:45:27.840]   ♪ I know I am loved by the king ♪
[00:45:27.840 --> 00:45:31.500]   ♪ And it makes my heart wanna sing ♪
[00:45:31.500 --> 00:45:35.140]   ♪ I am loved by the king ♪
[00:45:35.140 --> 00:45:38.780]   ♪ And it makes my heart wanna sing ♪
[00:45:38.780 --> 00:45:42.420]   ♪ I am loved by the king ♪
[00:45:42.420 --> 00:45:46.660]   ♪ And it makes my heart wanna sing ♪
[00:45:46.660 --> 00:46:04.060]   (upbeat music)
[00:46:04.060 --> 00:46:06.640]   (upbeat music)
[00:46:06.640 --> 00:46:15.780]   ♪ Every god that has help ♪
[00:46:15.780 --> 00:46:20.800]   ♪ Occupy my lonely heart ♪
[00:46:20.800 --> 00:46:25.960]   ♪ Own it all against your will ♪
[00:46:25.960 --> 00:46:31.040]   ♪ Conquer every rebel crowd ♪
[00:46:31.100 --> 00:46:36.100]   ♪ And no vice or serenade ♪
[00:46:36.100 --> 00:46:41.160]   ♪ Thou resist your holy word ♪
[00:46:41.160 --> 00:46:46.320]   ♪ You have loved and purchased me ♪
[00:46:46.320 --> 00:46:50.260]   ♪ Make me yours forevermore ♪
[00:46:59.520 --> 00:47:04.520]   ♪ I was blinded by my sin ♪
[00:47:04.520 --> 00:47:09.620]   ♪ Had no ears to hear your voice ♪
[00:47:09.620 --> 00:47:14.740]   ♪ Did not know your love was there ♪
[00:47:14.740 --> 00:47:19.940]   ♪ Had no taste for heaven's words ♪
[00:47:19.940 --> 00:47:25.100]   ♪ Then your spirit gave me life ♪
[00:47:25.260 --> 00:47:30.260]   ♪ Open up your word to me ♪
[00:47:30.260 --> 00:47:35.400]   ♪ Through the gospel of your son ♪
[00:47:35.400 --> 00:47:39.600]   ♪ Gave me endless hope and peace ♪
[00:47:39.600 --> 00:47:48.400]   Help me now.
[00:47:48.400 --> 00:47:53.400]   ♪ Help me now to live a life ♪
[00:47:53.460 --> 00:47:58.460]   ♪ That's dependent on your grace ♪
[00:47:58.460 --> 00:48:03.640]   ♪ Keep my heart and guard my soul ♪
[00:48:03.640 --> 00:48:08.840]   ♪ From the evils that I face ♪
[00:48:08.840 --> 00:48:13.920]   ♪ You are worthy to be praised ♪
[00:48:13.920 --> 00:48:19.080]   ♪ With my every thought and deed ♪
[00:48:19.240 --> 00:48:24.240]   ♪ Oh great God of highest heaven ♪
[00:48:24.240 --> 00:48:28.120]   ♪ Glorify your name through me ♪
[00:48:28.120 --> 00:48:29.440]   You are worthy.
[00:48:29.440 --> 00:48:34.440]   ♪ You are worthy to be praised ♪
[00:48:34.440 --> 00:48:39.600]   ♪ With my every thought and deed ♪
[00:48:39.600 --> 00:48:44.740]   ♪ Oh great God of highest heaven ♪
[00:48:44.800 --> 00:48:48.800]   ♪ Glorify your name through me ♪
[00:48:48.800 --> 00:49:02.240]   Amen, you may be seated.
[00:49:02.240 --> 00:49:04.740]   (bell chimes)
[00:49:04.740 --> 00:49:19.120]   - Good morning, church family.
[00:49:19.120 --> 00:49:22.880]   My name is Mary Kim and I'm a third year student at UCI
[00:49:22.880 --> 00:49:24.400]   and this is my testimony.
[00:49:24.400 --> 00:49:27.560]   I was born into a Christian family
[00:49:27.560 --> 00:49:29.320]   and grew up going to church.
[00:49:29.320 --> 00:49:30.280]   From an early age,
[00:49:30.280 --> 00:49:33.040]   I witnessed my mom's unwavering faith in God
[00:49:33.040 --> 00:49:34.560]   as she raised our family
[00:49:34.560 --> 00:49:36.520]   and later witnessed my two older brothers
[00:49:36.520 --> 00:49:39.220]   accept Christ in their early teenage years.
[00:49:39.220 --> 00:49:42.800]   With a lack of personal faith and conviction,
[00:49:42.800 --> 00:49:44.480]   I grew up believing that I was Christian
[00:49:44.480 --> 00:49:47.000]   because I never disagreed with what I was taught
[00:49:47.000 --> 00:49:49.200]   and I desired to be seen as an obedient,
[00:49:49.200 --> 00:49:50.820]   good child in the church.
[00:49:50.820 --> 00:49:54.460]   I trusted that Christianity was true and right
[00:49:54.460 --> 00:49:56.840]   because I trusted in my family's judgment.
[00:49:56.840 --> 00:49:59.340]   For most of my life, my faith came secondhand.
[00:50:00.340 --> 00:50:02.580]   Having the right answers in Bible study
[00:50:02.580 --> 00:50:05.360]   and knowing how to talk about God were easy,
[00:50:05.360 --> 00:50:07.340]   but loving others and applying what I learned
[00:50:07.340 --> 00:50:10.300]   out of a genuine love for God was frustratingly difficult.
[00:50:10.300 --> 00:50:12.980]   I felt that God was a distant being
[00:50:12.980 --> 00:50:14.780]   that was always unsatisfied
[00:50:14.780 --> 00:50:17.380]   with how I failed to prioritize and love him enough.
[00:50:17.380 --> 00:50:20.180]   I thought that everyone read the Bible
[00:50:20.180 --> 00:50:23.260]   and spent time in prayer out of dedication and diligence
[00:50:23.260 --> 00:50:25.700]   and not out of a true desire to do so.
[00:50:25.700 --> 00:50:26.820]   Without knowing the gospel,
[00:50:26.820 --> 00:50:29.100]   I tried to produce good fruit on my own,
[00:50:29.100 --> 00:50:30.900]   striving to achieve righteousness
[00:50:30.900 --> 00:50:32.820]   through my own willpower and wisdom.
[00:50:32.820 --> 00:50:35.260]   There came a point in early high school
[00:50:35.260 --> 00:50:38.380]   when I was faced with a mountain of burnout and doubt.
[00:50:38.380 --> 00:50:41.000]   When I compared my faith with that of my mom and brothers,
[00:50:41.000 --> 00:50:44.300]   there was a stark lack of genuinity and love.
[00:50:44.300 --> 00:50:46.380]   My heart hardened over time with pride
[00:50:46.380 --> 00:50:49.140]   from my self-perceived maturity and holiness,
[00:50:49.140 --> 00:50:50.700]   along with the unsettling fear
[00:50:50.700 --> 00:50:53.460]   of facing the potential illegitimate status
[00:50:53.460 --> 00:50:55.940]   of my faith and God himself.
[00:50:55.940 --> 00:50:57.380]   I learned to push thoughts of God
[00:50:57.380 --> 00:51:00.060]   and everything to do with him to the back of my mind
[00:51:00.060 --> 00:51:02.460]   in an act of self-preservation.
[00:51:02.460 --> 00:51:03.460]   I didn't want to think about
[00:51:03.460 --> 00:51:05.860]   whether my family's faith was foolish
[00:51:05.860 --> 00:51:08.580]   or whether I wasn't one of God's elect.
[00:51:08.580 --> 00:51:11.220]   I felt helpless because I thought I had tried my hardest
[00:51:11.220 --> 00:51:13.460]   to please God and do what was right,
[00:51:13.460 --> 00:51:16.080]   but in reality, I saw God as someone I had to please
[00:51:16.080 --> 00:51:17.900]   so that he would do what I wanted
[00:51:17.900 --> 00:51:20.640]   and didn't understand my own sinfulness and depravity.
[00:51:20.640 --> 00:51:23.000]   Our family began tuning in
[00:51:23.000 --> 00:51:26.700]   to Berean Sunday service live streams in August 2020.
[00:51:26.700 --> 00:51:28.860]   Pastor Peter's expository messages
[00:51:28.860 --> 00:51:31.600]   and adherence to the word struck me deeply.
[00:51:31.600 --> 00:51:34.160]   After growing up in a church that preached topically
[00:51:34.160 --> 00:51:36.200]   and often implicitly preached the gospel,
[00:51:36.200 --> 00:51:38.700]   I was shaken by the clarity of truth and boldness
[00:51:38.700 --> 00:51:40.940]   with which he faithfully preached.
[00:51:40.940 --> 00:51:42.160]   I felt for the first time
[00:51:42.160 --> 00:51:44.040]   that I could get somewhere in my faith
[00:51:44.040 --> 00:51:47.180]   by staying at Berean and absorbing the biblical truths
[00:51:47.180 --> 00:51:49.940]   that I didn't realize I was hungry for.
[00:51:49.940 --> 00:51:52.500]   However, halfway into membership classes,
[00:51:52.500 --> 00:51:54.460]   I was asked to submit my testimony.
[00:51:55.300 --> 00:51:56.500]   I talked with Pastor Nate,
[00:51:56.500 --> 00:51:58.440]   sharing my disheartening experience
[00:51:58.440 --> 00:52:00.180]   of striving to be a good Christian,
[00:52:00.180 --> 00:52:02.940]   but not even knowing who God is to me personally.
[00:52:02.940 --> 00:52:05.420]   I wasn't sure what to make of my life of bitterness
[00:52:05.420 --> 00:52:07.020]   and lack of transformation,
[00:52:07.020 --> 00:52:08.540]   along with my newfound passion
[00:52:08.540 --> 00:52:12.100]   of learning more about God through his word at Berean.
[00:52:12.100 --> 00:52:13.500]   At the end of our conversation,
[00:52:13.500 --> 00:52:15.380]   it was clear that I was not saved,
[00:52:15.380 --> 00:52:19.080]   as there was never a moment of true repentance in my life.
[00:52:19.080 --> 00:52:20.820]   Over the next few months,
[00:52:20.820 --> 00:52:23.200]   I met regularly with a Berean sister in my class
[00:52:23.200 --> 00:52:24.580]   named Danielle Choi,
[00:52:24.580 --> 00:52:27.220]   and she walked me through the gospel.
[00:52:27.220 --> 00:52:30.020]   God revealed to me how I never knew him and lived for him,
[00:52:30.020 --> 00:52:32.900]   as I reflected on what I lived for.
[00:52:32.900 --> 00:52:34.520]   It wasn't a matter of not giving up
[00:52:34.520 --> 00:52:36.540]   enough of my life to God.
[00:52:36.540 --> 00:52:38.380]   He showed me that all of my intentions
[00:52:38.380 --> 00:52:41.740]   were for my own glory, satisfaction, and kingdom.
[00:52:41.740 --> 00:52:43.680]   He showed me how my heart rebelled against him
[00:52:43.680 --> 00:52:47.820]   as I idolized myself, my relationships, and material things.
[00:52:47.820 --> 00:52:50.860]   I reflected on the vanity and folly
[00:52:50.860 --> 00:52:53.040]   of chasing after things of the world,
[00:52:53.040 --> 00:52:56.440]   of living for myself in worship of my broken self.
[00:52:56.440 --> 00:52:58.660]   After sharing with Danielle
[00:52:58.660 --> 00:53:00.220]   that I was questioning the way
[00:53:00.220 --> 00:53:03.140]   I've been living my life for the first time,
[00:53:03.140 --> 00:53:05.620]   she asked me what I thought I needed saving from.
[00:53:05.620 --> 00:53:08.700]   In love, she firmly reminded me
[00:53:08.700 --> 00:53:10.620]   that coming to salvation is not a matter
[00:53:10.620 --> 00:53:13.980]   of choosing between life as a better fulfilled person
[00:53:13.980 --> 00:53:16.480]   or life as a worse flawed person.
[00:53:16.480 --> 00:53:17.940]   Someone's faith or lack of faith
[00:53:17.940 --> 00:53:21.100]   results in eternal consequences of life or death,
[00:53:21.100 --> 00:53:23.020]   set by an eternal and holy God.
[00:53:23.020 --> 00:53:26.000]   God showed me how far I had fallen
[00:53:26.000 --> 00:53:27.880]   from him and his holiness,
[00:53:27.880 --> 00:53:31.680]   and in my helpless state, as I understood my personality,
[00:53:31.680 --> 00:53:34.900]   as I understood my personal identity as a sinner.
[00:53:34.900 --> 00:53:37.640]   He opened my eyes to my sin
[00:53:37.640 --> 00:53:39.880]   and absolute need for salvation.
[00:53:39.880 --> 00:53:41.800]   I repented of my sin, knowing that Jesus
[00:53:41.800 --> 00:53:44.960]   is the only one who could and did take my sins,
[00:53:44.960 --> 00:53:48.000]   die for me, and grant me righteousness and freedom.
[00:53:48.000 --> 00:53:50.840]   For the first time, God broke my heart over my sin,
[00:53:50.840 --> 00:53:53.660]   compelling me to turn away from inherent dirtiness
[00:53:53.660 --> 00:53:55.700]   and rebellion against him.
[00:53:55.700 --> 00:53:58.840]   He was already offering me the completed work of salvation
[00:53:58.840 --> 00:54:01.140]   if I would place my faith in him.
[00:54:01.140 --> 00:54:04.640]   John 5, 24 says, "Truly, truly, I say to you,
[00:54:04.640 --> 00:54:06.680]   "he who hears my word and believes in him
[00:54:06.680 --> 00:54:08.600]   "who has sent me has eternal life
[00:54:08.600 --> 00:54:10.040]   "and does not come into judgment,
[00:54:10.040 --> 00:54:12.260]   "but has passed out of death into life."
[00:54:12.260 --> 00:54:17.160]   I placed my faith in Jesus in late August, 2021,
[00:54:17.160 --> 00:54:19.180]   trusting that it is only by God's grace
[00:54:19.180 --> 00:54:20.880]   through faith I can be saved.
[00:54:20.880 --> 00:54:24.780]   I am living life ever in awe of the love and grace
[00:54:24.780 --> 00:54:26.420]   that God has shown me as I look at
[00:54:26.420 --> 00:54:28.140]   what Jesus has done on the cross.
[00:54:28.140 --> 00:54:32.060]   Romans 5, 8 says, "But God demonstrates
[00:54:32.060 --> 00:54:33.980]   "his own love for us in this.
[00:54:33.980 --> 00:54:36.800]   "While we were still sinners, Christ died for us.
[00:54:36.800 --> 00:54:38.620]   "There was nothing I could offer God,
[00:54:38.620 --> 00:54:40.900]   "nothing I could do to redeem myself,
[00:54:40.900 --> 00:54:42.620]   "nothing good or valuable in me,
[00:54:42.620 --> 00:54:44.820]   "and yet he sent his son to die for me
[00:54:44.820 --> 00:54:47.400]   "so that he would adopt me into his kingdom."
[00:54:48.740 --> 00:54:51.380]   I am learning more about God's character and works
[00:54:51.380 --> 00:54:53.260]   as I read his word and pray.
[00:54:53.260 --> 00:54:54.940]   I am growing in praise and thanksgiving
[00:54:54.940 --> 00:54:56.740]   as he reveals his truth
[00:54:56.740 --> 00:54:59.460]   and continuously proves his faithfulness to me.
[00:54:59.460 --> 00:55:02.660]   God is humbling me as he enlightens
[00:55:02.660 --> 00:55:04.700]   my weaknesses and need for him.
[00:55:04.700 --> 00:55:07.620]   I want to live my life in full submission to God,
[00:55:07.620 --> 00:55:09.780]   being sanctified and molded into his likeness
[00:55:09.780 --> 00:55:11.500]   by the Holy Spirit.
[00:55:11.500 --> 00:55:15.300]   Galatians 2, 20 says, "I have been crucified with Christ,
[00:55:15.300 --> 00:55:17.060]   "and it is no longer I who live,
[00:55:17.060 --> 00:55:18.340]   "but Christ lives in me,
[00:55:18.340 --> 00:55:20.900]   "and the life which I now live in the flesh,
[00:55:20.900 --> 00:55:22.800]   "I live by faith in the Son of God
[00:55:22.800 --> 00:55:25.420]   "who loved me and gave himself up for me."
[00:55:25.420 --> 00:55:26.260]   Thank you.
[00:55:26.260 --> 00:55:30.320]   (audience applauding)
[00:55:30.320 --> 00:55:33.320]   (people chattering)
[00:55:33.320 --> 00:55:36.320]   (people chattering)
[00:55:36.320 --> 00:55:41.320]  , (people chattering)
[00:55:41.320 --> 00:55:44.320]   (people chattering)
[00:55:44.320 --> 00:55:52.820]   (people chattering)
[00:55:52.820 --> 00:56:05.560]   (audience applauding)
[00:56:05.560 --> 00:56:08.400]   (people cheering)
[00:56:08.400 --> 00:56:18.800]   - All right, thank you, Mary, for that great testimony.
[00:56:18.800 --> 00:56:23.480]   If you can turn your Bibles with me to Hebrews 13,
[00:56:23.480 --> 00:56:32.240]   and we're gonna be reading from verse 10 through 14.
[00:56:33.720 --> 00:56:36.760]   And yes, we're gonna be covering all of it today.
[00:56:36.760 --> 00:56:41.400]   Hebrews chapter 10, verse 13, verses 10 through 14.
[00:56:41.400 --> 00:56:49.360]   Reading out of the NASB.
[00:56:49.360 --> 00:56:52.720]   We have an altar from which those who serve the tabernacle
[00:56:52.720 --> 00:56:54.520]   have no right to eat,
[00:56:54.520 --> 00:56:56.420]   for the bodies of those animals whose blood
[00:56:56.420 --> 00:56:58.680]   is brought into the holy place by the high priest
[00:56:58.680 --> 00:57:02.600]   as an offering for sin are burned outside the camp.
[00:57:02.600 --> 00:57:05.720]   Therefore, Jesus also, that he might sanctify the people
[00:57:05.720 --> 00:57:08.760]   through his own blood, suffered outside the gate.
[00:57:08.760 --> 00:57:11.080]   So let us go out to him outside the camp,
[00:57:11.080 --> 00:57:14.840]   bearing his reproach, for here we do not have a lasting city
[00:57:14.840 --> 00:57:17.280]   but we are seeking the city which is to come.
[00:57:17.280 --> 00:57:18.100]   Let's pray.
[00:57:18.100 --> 00:57:23.120]   Heavenly Father, we pray for deeper understanding.
[00:57:23.120 --> 00:57:26.640]   We pray for grace to cause us, Lord God,
[00:57:26.640 --> 00:57:29.280]   to think more deeply of who you are,
[00:57:29.280 --> 00:57:30.960]   that your word would have its effect
[00:57:30.960 --> 00:57:33.240]   in our hearts and in our lives.
[00:57:33.240 --> 00:57:35.520]   We entrust this time to you, asking for your blessing
[00:57:35.520 --> 00:57:37.620]   upon it, in Jesus' name we pray, amen.
[00:57:37.620 --> 00:57:45.240]   You know, one of the blessings of living
[00:57:45.240 --> 00:57:47.600]   in the United States as a Christian
[00:57:47.600 --> 00:57:51.880]   is whenever we travel, we've spent so many years
[00:57:51.880 --> 00:57:53.920]   out in China trying to share the gospel
[00:57:53.920 --> 00:57:56.320]   with Chinese students who grew up
[00:57:56.320 --> 00:57:59.440]   under the communist regime,
[00:57:59.440 --> 00:58:02.480]   and they were never taught about Christianity.
[00:58:02.480 --> 00:58:04.240]   There's some kind of religion,
[00:58:04.240 --> 00:58:07.600]   and yet they practice Christmas.
[00:58:07.600 --> 00:58:09.560]   So they have Christmas trees and gifts
[00:58:09.560 --> 00:58:11.200]   and stockings and Santa Claus,
[00:58:11.200 --> 00:58:13.080]   and so they have all the decorations,
[00:58:13.080 --> 00:58:14.480]   but they've never really been taught
[00:58:14.480 --> 00:58:16.800]   what these holidays mean.
[00:58:16.800 --> 00:58:19.800]   So whenever we go, obviously it's illegal
[00:58:19.800 --> 00:58:21.440]   to outright share the gospel with them,
[00:58:21.440 --> 00:58:24.040]   especially to minors, but it's not very hard
[00:58:24.040 --> 00:58:25.720]   to share the gospel because all we have to do
[00:58:25.720 --> 00:58:28.040]   is share about American holidays.
[00:58:28.040 --> 00:58:29.920]   And so we would teach about history
[00:58:29.920 --> 00:58:31.600]   and various things and about grammar,
[00:58:31.600 --> 00:58:33.280]   but we would always make sure that we have
[00:58:33.280 --> 00:58:35.320]   one class that American holidays,
[00:58:35.320 --> 00:58:37.240]   and obviously we would share about Easter,
[00:58:37.240 --> 00:58:40.160]   Thanksgiving, Christmas, and so whenever we teach that,
[00:58:40.160 --> 00:58:42.200]   the gospel's gonna come out, right?
[00:58:42.200 --> 00:58:43.040]   And they say, "Hey, you're not supposed
[00:58:43.040 --> 00:58:43.880]   "to share the gospel."
[00:58:43.880 --> 00:58:45.120]   It's like, "Oh, we're just telling them
[00:58:45.120 --> 00:58:46.720]   "what Christmas is about."
[00:58:46.720 --> 00:58:47.560]   It's like, "You're not supposed to talk
[00:58:47.560 --> 00:58:48.400]   "about the resurrection."
[00:58:48.400 --> 00:58:50.200]   It's like, "Oh, we're just talking about Easter."
[00:58:50.200 --> 00:58:51.840]   Right, and so that's how we're able
[00:58:51.840 --> 00:58:53.560]   to share the gospel in all these years
[00:58:53.560 --> 00:58:54.520]   coming in and out of China,
[00:58:54.520 --> 00:58:56.840]   because it's embedded into this culture.
[00:58:56.840 --> 00:58:59.800]   The Judeo-Christian principles and things,
[00:58:59.800 --> 00:59:02.560]   even though we may be moving away from it today,
[00:59:02.560 --> 00:59:05.120]   it's embedded into the culture.
[00:59:05.120 --> 00:59:09.120]   And that's one of the benefits of being in a culture
[00:59:09.120 --> 00:59:12.360]   where even around us today, we have so many people
[00:59:12.360 --> 00:59:13.880]   practice Christmas, almost the whole world
[00:59:13.880 --> 00:59:16.480]   practices Christmas, not really understanding
[00:59:16.480 --> 00:59:17.640]   the significance of what it is.
[00:59:17.640 --> 00:59:19.840]   And that's why we wanna take advantage of that,
[00:59:19.840 --> 00:59:22.080]   that while we celebrate Christmas,
[00:59:22.080 --> 00:59:23.600]   they're easy to ask.
[00:59:23.600 --> 00:59:25.000]   Sometimes it may be hard to ask,
[00:59:25.000 --> 00:59:26.240]   like, "Do you wanna hear about God?"
[00:59:26.240 --> 00:59:28.800]   But when everybody's celebrating Christmas,
[00:59:28.800 --> 00:59:31.880]   to say, "This is what Christmas means."
[00:59:31.880 --> 00:59:34.560]   Right, and so the door kind of is open for us
[00:59:34.560 --> 00:59:36.760]   to be able to share the gospel.
[00:59:36.760 --> 00:59:38.640]   The reason why I share that is because
[00:59:38.640 --> 00:59:40.880]   Christmas is probably the most,
[00:59:40.880 --> 00:59:43.680]   I don't know if you wanna call it important,
