
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:16:38.440 --> 00:16:39.840]   and then give it back to God,
[00:16:39.840 --> 00:16:41.680]   the money back to God.
[00:16:41.680 --> 00:16:44.880]   Now, to be sure, the Bible does talk about us
[00:16:44.880 --> 00:16:47.040]   being faithful stewards with God's money.
[00:16:47.040 --> 00:16:48.360]   We know that's there.
[00:16:48.360 --> 00:16:50.360]   But I think that most of us, if we look at this,
[00:16:50.360 --> 00:16:53.000]   we can figure out that it's not just talking about money.
[00:16:53.000 --> 00:16:53.840]   Right?
[00:16:53.840 --> 00:16:54.680]   Right?
[00:16:54.680 --> 00:16:55.500]   It's not just about money.
[00:16:55.500 --> 00:16:56.340]   Do you believe that?
[00:16:56.340 --> 00:16:57.180]   Do you see that?
[00:16:57.180 --> 00:16:58.000]   Because if it's only about money,
[00:16:58.000 --> 00:16:58.840]   some of you don't have money,
[00:16:58.840 --> 00:17:00.560]   so you go, "Well, this parable means nothing to me
[00:17:00.560 --> 00:17:01.400]   "'cause I have no money."
[00:17:01.400 --> 00:17:03.280]   So, no, of course not.
[00:17:03.280 --> 00:17:05.200]   And a lot of the apostles didn't have money too, right?
[00:17:05.200 --> 00:17:06.760]   Silver and gold I do not have,
[00:17:06.760 --> 00:17:08.000]   but this I have in the name of Jesus,
[00:17:08.000 --> 00:17:09.840]   stand up and walk, right?
[00:17:09.840 --> 00:17:12.680]   So, it means more than just money.
[00:17:12.680 --> 00:17:15.320]   So, what could this mina from the king be?
[00:17:15.320 --> 00:17:16.240]   This is interaction time.
[00:17:16.240 --> 00:17:17.400]   Can you guys give me something?
[00:17:17.400 --> 00:17:18.560]   What could the mina be?
[00:17:18.560 --> 00:17:21.560]   The gospel, very good.
[00:17:21.560 --> 00:17:22.400]   What else?
[00:17:22.400 --> 00:17:25.280]   The gospel, very good.
[00:17:25.280 --> 00:17:26.120]   What else?
[00:17:26.120 --> 00:17:28.000]   (audience laughing)
[00:17:28.000 --> 00:17:29.160]   Was that like an echo?
[00:17:29.160 --> 00:17:30.000]   The gospel.
[00:17:30.000 --> 00:17:30.840]   (audience laughing)
[00:17:30.840 --> 00:17:31.680]   The gospel.
[00:17:31.680 --> 00:17:32.500]   Anything else?
[00:17:32.500 --> 00:17:33.340]   (audience member speaking faintly)
[00:17:33.340 --> 00:17:34.180]   Huh?
[00:17:34.180 --> 00:17:35.000]   Abilities.
[00:17:35.000 --> 00:17:35.840]   Abilities.
[00:17:35.840 --> 00:17:36.760]   Spiritual gifts.
[00:17:36.760 --> 00:17:37.840]   Spiritual gifts, very good.
[00:17:37.840 --> 00:17:38.680]   Anything else?
[00:17:38.680 --> 00:17:39.800]   (audience member speaking faintly)
[00:17:39.800 --> 00:17:40.920]   Time, very good.
[00:17:40.920 --> 00:17:42.520]   That's so precious to us, right?
[00:17:42.520 --> 00:17:43.360]   What else?
[00:17:43.360 --> 00:17:44.880]   (audience member speaking faintly)
[00:17:44.880 --> 00:17:47.040]   Talents, right?
[00:17:47.040 --> 00:17:48.920]   Holy Spirit, right?
[00:17:48.920 --> 00:17:50.240]   So many things.
[00:17:50.240 --> 00:17:53.960]   And doing the research, going over commentaries,
[00:17:53.960 --> 00:17:55.000]   they all said these kind of things.
[00:17:55.000 --> 00:17:57.360]   The gospel, some of the commentaries are gospel,
[00:17:57.360 --> 00:17:59.200]   some of the commentaries say talents,
[00:17:59.200 --> 00:18:00.800]   energy, spiritual gifts.
[00:18:00.800 --> 00:18:02.920]   I think it's safe to say, though,
[00:18:02.920 --> 00:18:04.880]   the best way to do it is just life.
[00:18:04.880 --> 00:18:06.240]   It's all of our life.
[00:18:07.200 --> 00:18:08.960]   The King's Mina is all of our life
[00:18:08.960 --> 00:18:12.040]   since all of our life is a gift from God.
[00:18:12.040 --> 00:18:15.600]   Our life is a gift from God given to us.
[00:18:15.600 --> 00:18:17.600]   It will be the basis for our rewards.
[00:18:17.600 --> 00:18:20.040]   So the command is to take all that you are,
[00:18:20.040 --> 00:18:23.320]   all that you are, that which the King has given to you,
[00:18:23.320 --> 00:18:28.040]   and then to occupy, to engage until he returns.
[00:18:28.040 --> 00:18:29.520]   When we stand before God,
[00:18:29.520 --> 00:18:30.880]   God wants us to be able to say,
[00:18:30.880 --> 00:18:32.680]   Lord, Lord, the life you've given to me,
[00:18:32.680 --> 00:18:34.000]   I return it back to you,
[00:18:34.000 --> 00:18:36.640]   and it's been multiplied 10 times, five times, whatever,
[00:18:36.640 --> 00:18:38.760]   and God wants to reward you.
[00:18:38.760 --> 00:18:40.120]   Look at the person next to you and say,
[00:18:40.120 --> 00:18:41.360]   God wants to reward you.
[00:18:41.360 --> 00:18:42.520]   Say that to each other.
[00:18:42.520 --> 00:18:44.880]   That's right.
[00:18:44.880 --> 00:18:46.080]   God wants to reward you.
[00:18:46.080 --> 00:18:52.640]   So engage is to really start to do business,
[00:18:52.640 --> 00:18:55.760]   to interact, and it means to participate,
[00:18:55.760 --> 00:19:00.440]   to be involved, to enter into people's lives and interests,
[00:19:00.440 --> 00:19:03.320]   to get to know them is the understanding of engage,
[00:19:03.320 --> 00:19:04.280]   'cause you have to trade.
[00:19:04.280 --> 00:19:07.040]   In order to trade, you have to interact.
[00:19:07.040 --> 00:19:09.280]   And you know what, Jesus is the true model,
[00:19:09.280 --> 00:19:11.920]   the supreme model of engaging.
[00:19:11.920 --> 00:19:13.640]   He did it all the time.
[00:19:13.640 --> 00:19:17.000]   In fact, he was the one who did it in the most real way.
[00:19:17.000 --> 00:19:18.480]   Do you remember when Jesus was over
[00:19:18.480 --> 00:19:21.040]   at Simon the Pharisee's house?
[00:19:21.040 --> 00:19:22.760]   He went in, Simon didn't wash his feet,
[00:19:22.760 --> 00:19:25.280]   didn't do anything, didn't give him water to wash his hands,
[00:19:25.280 --> 00:19:28.360]   and Jesus is laying down and he's eating, and what happens?
[00:19:28.360 --> 00:19:30.160]   Remember, a woman walks in,
[00:19:30.160 --> 00:19:32.440]   a so-called sinner, probably a prostitute,
[00:19:32.440 --> 00:19:33.640]   and as she comes up to Jesus,
[00:19:33.640 --> 00:19:36.800]   she begins to weep, and her tears start to hit Jesus' feet,
[00:19:36.800 --> 00:19:39.080]   and the dirt begins to start to smudge,
[00:19:39.080 --> 00:19:39.920]   and then what does she do?
[00:19:39.920 --> 00:19:42.520]   She unties her hair, she begins to wipe his feet
[00:19:42.520 --> 00:19:45.240]   with her hair, and then pour the alabaster jar perfume,
[00:19:45.240 --> 00:19:48.920]   very expensive perfume, and what does Simon the Pharisee say?
[00:19:48.920 --> 00:19:52.800]   If Jesus knew who this woman was
[00:19:52.800 --> 00:19:55.120]   and what kind of a sinner she was,
[00:19:55.120 --> 00:19:58.860]   he wouldn't let her touch him.
[00:19:58.860 --> 00:20:00.440]   But this is the ironic thing.
[00:20:00.440 --> 00:20:02.900]   Only Jesus really knew who this woman was.
[00:20:03.900 --> 00:20:05.460]   You see, we look up from the outside,
[00:20:05.460 --> 00:20:07.980]   from the superficial, but Jesus actually engages,
[00:20:07.980 --> 00:20:11.260]   he knows them, he goes, "Daughter, your faith has saved you.
[00:20:11.260 --> 00:20:12.820]   "Go in peace."
[00:20:12.820 --> 00:20:14.660]   And then along comes another time, he's walking,
[00:20:14.660 --> 00:20:16.460]   and along comes a rich young ruler, remember?
[00:20:16.460 --> 00:20:17.740]   He goes, "Good teacher, what must I do
[00:20:17.740 --> 00:20:19.220]   "to inherit eternal life?"
[00:20:19.220 --> 00:20:20.800]   And Jesus says, "Well, what does the law say?"
[00:20:20.800 --> 00:20:22.560]   "Well, I've kept all the law."
[00:20:22.560 --> 00:20:24.600]   So all the girls are like, "Oh."
[00:20:24.600 --> 00:20:25.740]   (audience laughs)
[00:20:25.740 --> 00:20:29.460]   Keeps all the law, is rich and young and good-looking.
[00:20:29.460 --> 00:20:30.300]   "Oh."
[00:20:31.700 --> 00:20:33.860]   And then Jesus looks at him, engages him,
[00:20:33.860 --> 00:20:36.460]   'cause he knows him, says, "That's one thing you lack.
[00:20:36.460 --> 00:20:39.020]   "Sell all you have, give it to the poor,
[00:20:39.020 --> 00:20:42.220]   "and then come follow me, and you'll have riches in heaven."
[00:20:42.220 --> 00:20:43.860]   And what does he do?
[00:20:43.860 --> 00:20:46.100]   Turns around and he leaves.
[00:20:46.100 --> 00:20:50.700]   You see, Jesus is the only one that truly engages people.
[00:20:50.700 --> 00:20:52.140]   He sees them as they really are.
[00:20:52.140 --> 00:20:53.620]   That's what Jesus wants us to do.
[00:20:53.620 --> 00:20:56.980]   He wants us to truly engage people,
[00:20:56.980 --> 00:21:01.020]   engage with your life, engage others.
[00:21:01.020 --> 00:21:02.540]   So this is the question.
[00:21:02.540 --> 00:21:06.820]   Do you engage, do you invest the life God has given to you,
[00:21:06.820 --> 00:21:08.340]   or do you try to escape?
[00:21:08.340 --> 00:21:12.960]   Do you try to hide or put it in a handkerchief?
[00:21:12.960 --> 00:21:17.460]   Now that was the word engage, what it means to engage.
[00:21:17.460 --> 00:21:19.700]   But how do we engage?
[00:21:19.700 --> 00:21:20.780]   How do we engage?
[00:21:20.780 --> 00:21:22.580]   That's the more important question, I think.
[00:21:22.580 --> 00:21:25.140]   Now let me start off by asking you this question.
[00:21:25.140 --> 00:21:28.660]   If Bill Gates gave you a large chunk of his money
[00:21:28.660 --> 00:21:32.260]   and said to you, "I want you to multiply this for me."
[00:21:32.260 --> 00:21:34.340]   Bill Gates gave you this chunk of money.
[00:21:34.340 --> 00:21:37.060]   How would you treat that money that he gives to you?
[00:21:37.060 --> 00:21:44.020]   And how would you know how to multiply it as well?
[00:21:44.020 --> 00:21:46.660]   Would you know how to multiply it?
[00:21:46.660 --> 00:21:49.220]   Now this is the thing, Bill Gates is just a man,
[00:21:49.220 --> 00:21:51.780]   and that money he gives to you is just temporary.
[00:21:51.780 --> 00:21:54.580]   God has given you his very son, his very spirit,
[00:21:54.580 --> 00:21:57.620]   his very life, his God, he's given you.
[00:21:57.620 --> 00:22:00.500]   How do you treat what he has given to you,
[00:22:00.500 --> 00:22:03.300]   and do you know how to multiply it?
[00:22:03.300 --> 00:22:04.500]   And so I was thinking about this too,
[00:22:04.500 --> 00:22:06.020]   'cause I really want to be a good steward,
[00:22:06.020 --> 00:22:07.540]   I wanna be a good servant.
[00:22:07.540 --> 00:22:08.980]   If you wanna be a good servant in this place,
[00:22:08.980 --> 00:22:10.420]   raise up your hand, say, "Yes, I do."
[00:22:10.420 --> 00:22:13.260]   Yeah, amen, praise God, I'm speaking to you guys, great.
[00:22:13.260 --> 00:22:16.020]   So think about this, here are the 10 servants,
[00:22:16.020 --> 00:22:19.580]   they're lined up, and the king gives each one a mina.
[00:22:19.580 --> 00:22:22.060]   I want you to multiply this, engage in business,
[00:22:22.060 --> 00:22:23.380]   engage in business, engage.
[00:22:23.380 --> 00:22:26.100]   Now the moment the king gives them the money,
[00:22:26.100 --> 00:22:27.380]   what have they become?
[00:22:27.380 --> 00:22:30.780]   Stewards, yes, what else?
[00:22:30.780 --> 00:22:32.220]   Like, occupationally wise?
[00:22:32.220 --> 00:22:35.980]   Investors, right?
[00:22:35.980 --> 00:22:38.820]   They become investment bankers in that sense, right?
[00:22:38.820 --> 00:22:40.740]   So not only are they servants,
[00:22:40.740 --> 00:22:43.340]   they are now investment bankers.
[00:22:43.340 --> 00:22:45.300]   And so I started looking at this picture, this story,
[00:22:45.300 --> 00:22:46.460]   and I go, "Oh man, it would be great
[00:22:46.460 --> 00:22:47.980]   "if there was someone who was a professional
[00:22:47.980 --> 00:22:51.420]   "investment banker, and took this parable and taught it."
[00:22:51.420 --> 00:22:54.020]   So I said, "Okay, if God wants us to be investment banker,
[00:22:54.020 --> 00:22:56.660]   "then I better look up the five top qualities
[00:22:56.660 --> 00:22:58.380]   "of an investment banker."
[00:22:58.380 --> 00:22:59.660]   So that's what I did, I went on YouTube,
[00:22:59.660 --> 00:23:01.860]   I went on a bunch of different sites,
[00:23:01.860 --> 00:23:04.020]   click, click, click, click, top five qualities.
[00:23:04.020 --> 00:23:04.860]   I was shocked.
[00:23:04.860 --> 00:23:08.100]   I thought that the number one quality would be
[00:23:08.100 --> 00:23:09.580]   that they know where to invest,
[00:23:09.580 --> 00:23:10.780]   that's what I thought the number one would be.
[00:23:10.780 --> 00:23:11.900]   Wouldn't you think that would be
[00:23:11.900 --> 00:23:13.620]   a successful investment banker?
[00:23:13.620 --> 00:23:14.780]   This is what they all said.
[00:23:14.780 --> 00:23:16.300]   You can look it up yourself.
[00:23:16.300 --> 00:23:17.980]   Unanimously, they said this,
[00:23:17.980 --> 00:23:21.180]   "A good investment banker knows their client
[00:23:21.180 --> 00:23:23.300]   "and knows what their client wants."
[00:23:24.060 --> 00:23:26.660]   I was like, "Oh my gosh, that sounds like Christian."
[00:23:26.660 --> 00:23:29.580]   (audience laughing)
[00:23:29.580 --> 00:23:33.300]   Second, good investment bankers give of themselves
[00:23:33.300 --> 00:23:35.980]   and take big risks for their clients.
[00:23:35.980 --> 00:23:39.900]   Thirdly, good investment bankers sense
[00:23:39.900 --> 00:23:42.140]   where the investment will make the most impact.
[00:23:42.140 --> 00:23:43.220]   That's what I thought would be number one,
[00:23:43.220 --> 00:23:45.940]   but it was actually like number three or number four.
[00:23:45.940 --> 00:23:48.220]   So really, a good investment banker
[00:23:48.220 --> 00:23:51.460]   has this relationship with their client.
[00:23:52.620 --> 00:23:54.540]   That's the most important thing.
[00:23:54.540 --> 00:23:56.180]   The client comes and says, "Here's my money,
[00:23:56.180 --> 00:23:58.060]   "I want you to multiply it."
[00:23:58.060 --> 00:24:00.220]   The good investment banker says,
[00:24:00.220 --> 00:24:03.080]   "I'm making my number one priority to get to know you.
[00:24:03.080 --> 00:24:04.780]   "What do you want me to invest in?
[00:24:04.780 --> 00:24:08.000]   "How much return do you want?
[00:24:08.000 --> 00:24:11.900]   "Do you want a quick return or a slow, steady growth?"
[00:24:11.900 --> 00:24:14.140]   There is a sense where a good investment banker knows
[00:24:14.140 --> 00:24:16.580]   it's not my money, it's this client's,
[00:24:16.580 --> 00:24:18.700]   so I need to know this client.
[00:24:18.700 --> 00:24:20.860]   And what does the first servant say
[00:24:20.860 --> 00:24:22.580]   when he stands before the king?
[00:24:22.580 --> 00:24:23.820]   What does the first servant say?
[00:24:23.820 --> 00:24:28.820]   "Your mina has made 10 more."
[00:24:28.820 --> 00:24:33.060]   I'm so humbled by this servant,
[00:24:33.060 --> 00:24:34.180]   'cause you know what I say sometimes?
[00:24:34.180 --> 00:24:37.660]   I go, "My mina has made 10 more."
[00:24:37.660 --> 00:24:41.300]   But he says, "It's yours.
[00:24:41.300 --> 00:24:44.140]   "Your mina has made 10 more."
[00:24:44.140 --> 00:24:46.940]   There is this humility, there is this absolute sense
[00:24:46.940 --> 00:24:50.580]   where he knows that it's all the king's.
[00:24:50.580 --> 00:24:52.940]   But there is a second principle that is so profound.
[00:24:52.940 --> 00:24:56.540]   He says, "Your mina has made 10 more."
[00:24:56.540 --> 00:24:59.020]   Do you know that the mina of God,
[00:24:59.020 --> 00:25:00.420]   what God has placed in you,
[00:25:00.420 --> 00:25:02.500]   whether it be His Spirit, whether it be the Gospel,
[00:25:02.500 --> 00:25:04.100]   whether it be the spiritual gifts,
[00:25:04.100 --> 00:25:06.260]   whether it be just your life,
[00:25:06.260 --> 00:25:08.660]   that if you just engage the promises,
[00:25:08.660 --> 00:25:12.000]   this is the principle, that it will just multiply itself.
[00:25:12.000 --> 00:25:15.580]   Because God is powerful, God is almighty,
[00:25:15.580 --> 00:25:17.100]   like the seed of the Gospel.
[00:25:17.100 --> 00:25:21.500]   It has everything in there to produce fruit, to multiply.
[00:25:21.500 --> 00:25:23.460]   You just have to engage.
[00:25:23.460 --> 00:25:24.300]   This is the principle.
[00:25:24.300 --> 00:25:27.060]   "Your mina has made 10 more."
[00:25:27.060 --> 00:25:29.560]   There is this absolute sense.
[00:25:29.560 --> 00:25:33.100]   I need to know you, and it's all about you.
[00:25:33.100 --> 00:25:34.580]   Sometimes this is a struggle for me,
[00:25:34.580 --> 00:25:36.820]   because I go, "God, it's my mina,
[00:25:36.820 --> 00:25:39.240]   "so I don't want to forgive.
[00:25:39.240 --> 00:25:42.400]   "God, it's my mina, so I don't want to share.
[00:25:42.400 --> 00:25:45.480]   "God, it's my mina, so I don't wanna give my time."
[00:25:45.480 --> 00:25:47.180]   I find myself doing that.
[00:25:47.180 --> 00:25:49.380]   But not only that, sometimes I find myself going like this,
[00:25:49.380 --> 00:25:53.820]   "God, I need more minas, and then I could do something."
[00:25:53.820 --> 00:25:54.660]   But you know what?
[00:25:54.660 --> 00:25:58.380]   It's not about how I feel, or even what I think.
[00:25:58.380 --> 00:26:00.780]   It's about being obedient to the King,
[00:26:00.780 --> 00:26:03.440]   who said, "Engage with my mina."
[00:26:03.440 --> 00:26:06.000]   It's about obedience.
[00:26:06.000 --> 00:26:08.200]   It's about being faithful.
[00:26:08.200 --> 00:26:09.960]   One investment banker said this,
[00:26:09.960 --> 00:26:12.760]   "You become more valuable to the client
[00:26:12.760 --> 00:26:15.720]   "as they see you understanding their wants,
[00:26:15.720 --> 00:26:18.800]   "and working hard to get their investments multiplied.
[00:26:18.800 --> 00:26:22.060]   "The client recognizes that you genuinely care about them,
[00:26:22.060 --> 00:26:24.860]   "and not just trying to make some money for yourself.
[00:26:24.860 --> 00:26:26.500]   "You ask them if this investment
[00:26:26.500 --> 00:26:28.580]   "is acceptable to their portfolio.
[00:26:28.580 --> 00:26:31.220]   "If they say no, then you find something else.
[00:26:31.220 --> 00:26:33.860]   "If they say yes, then you act upon it.
[00:26:33.860 --> 00:26:36.700]   "Each step is taken side by side."
[00:26:36.700 --> 00:26:40.140]   So to engage in business, how do you do it?
[00:26:40.140 --> 00:26:43.000]   First, build your relationship with Christ.
[00:26:43.000 --> 00:26:46.140]   Build your intimacy with God.
[00:26:46.140 --> 00:26:49.480]   Know His heartbeat, know His ways.
[00:26:49.480 --> 00:26:52.280]   Know His words.
[00:26:52.280 --> 00:26:56.320]   In this parable, of course, the client, or the investor,
[00:26:56.320 --> 00:26:58.760]   he is the nobleman, he is the King Jesus.
[00:26:58.760 --> 00:27:00.360]   We are the servants.
[00:27:00.360 --> 00:27:03.800]   How well we know Christ, how closely we walk with Him,
[00:27:03.800 --> 00:27:06.360]   will determine how and what we invest in.
[00:27:06.360 --> 00:27:10.800]   And Jesus, again, is a supreme example of the investor.
[00:27:10.800 --> 00:27:12.440]   Because who is the client in his life?
[00:27:12.440 --> 00:27:15.200]   God, the Father, right?
[00:27:15.200 --> 00:27:18.960]   Jesus says, "I do nothing apart from my Father."
[00:27:18.960 --> 00:27:21.040]   Every morning, when everyone's sleeping,
[00:27:21.040 --> 00:27:22.640]   every afternoon, when people are doing ministry,
[00:27:22.640 --> 00:27:24.760]   whatever, busy, every night, when people go to sleep,
[00:27:24.760 --> 00:27:25.600]   what is Jesus doing?
[00:27:25.600 --> 00:27:27.760]   He is constantly engaging the Father,
[00:27:27.760 --> 00:27:29.520]   even starting from the age of 12.
[00:27:29.520 --> 00:27:34.540]   And because He knows how to engage the client, the Father,
[00:27:35.480 --> 00:27:36.640]   what flows out of Him?
[00:27:36.640 --> 00:27:39.400]   Engaging the world, right?
[00:27:39.400 --> 00:27:41.120]   Engaging in His ministry.
[00:27:41.120 --> 00:27:42.440]   That's the first thing.
[00:27:42.440 --> 00:27:44.720]   So, really, our life, in our engagement,
[00:27:44.720 --> 00:27:46.160]   it should look like Christ.
[00:27:46.160 --> 00:27:48.000]   That's what it should look like, the picture of our life.
[00:27:48.000 --> 00:27:51.040]   Second, a good investment banker gives themselves
[00:27:51.040 --> 00:27:52.720]   to take big risks for their clients.
[00:27:52.720 --> 00:27:56.320]   In other words, they work hard for their clients.
[00:27:56.320 --> 00:27:58.200]   They are faithful to the very end.
[00:27:58.200 --> 00:27:59.680]   The first thing a good investor does,
[00:27:59.680 --> 00:28:00.820]   and this is what they said, is,
[00:28:00.820 --> 00:28:03.740]   when they come early into work the next day,
[00:28:03.740 --> 00:28:06.080]   the first thing they do is they open up their portfolio
[00:28:06.080 --> 00:28:10.080]   and they go over the data, 'cause things change overnight.
[00:28:10.080 --> 00:28:12.240]   And then they meditate upon it, they research it,
[00:28:12.240 --> 00:28:13.800]   they even for hours sometimes,
[00:28:13.800 --> 00:28:15.600]   and they act upon it after they research.
[00:28:15.600 --> 00:28:18.760]   And I go, oh my gosh, this sounds like a Christian again.
[00:28:18.760 --> 00:28:19.580]   Doesn't it?
[00:28:19.580 --> 00:28:21.480]   Because what is, we as followers of Christ,
[00:28:21.480 --> 00:28:23.400]   what are we supposed to do?
[00:28:23.400 --> 00:28:27.000]   Open up God's portfolio, look over His word,
[00:28:27.000 --> 00:28:31.000]   meditate upon it, see how we are to adjust our life
[00:28:31.000 --> 00:28:33.400]   according to His word, and then act upon it.
[00:28:33.400 --> 00:28:37.580]   I go, oh my, this makes so much sense.
[00:28:37.580 --> 00:28:38.780]   That's why you're a good investor,
[00:28:38.780 --> 00:28:41.340]   because you know what's going on in the portfolio,
[00:28:41.340 --> 00:28:43.340]   you know what the word of God is saying in your life,
[00:28:43.340 --> 00:28:46.140]   and then you act upon it, and then you have to take risks.
[00:28:46.140 --> 00:28:48.100]   Because sometimes it's risky to say,
[00:28:48.100 --> 00:28:50.100]   hello, how you doing, to a stranger,
[00:28:50.100 --> 00:28:52.700]   because the word of God says, love your neighbor.
[00:28:52.700 --> 00:28:55.260]   Hey, you know, I have extra $5,
[00:28:55.260 --> 00:28:56.460]   but I just wanna bless you,
[00:28:56.460 --> 00:28:58.180]   because I feel like God wants me.
[00:28:58.180 --> 00:28:59.940]   It's risky.
[00:28:59.940 --> 00:29:01.540]   I wanna forgive you, it's risky.
[00:29:01.540 --> 00:29:04.260]   But you act upon it, because you see it
[00:29:04.260 --> 00:29:05.940]   in the portfolio of God.
[00:29:05.940 --> 00:29:08.300]   And this is the thing,
[00:29:08.300 --> 00:29:11.160]   investment bankers, they never quit.
[00:29:11.160 --> 00:29:12.000]   They don't call up their clients,
[00:29:12.000 --> 00:29:14.460]   hey, I lost your money in this investment,
[00:29:14.460 --> 00:29:15.540]   I'm sorry, so I quit.
[00:29:15.540 --> 00:29:17.060]   They don't do that.
[00:29:17.060 --> 00:29:21.180]   It's only the client who says, no, you're fired, right?
[00:29:21.180 --> 00:29:23.820]   You can't quit, only I can fire you.
[00:29:23.820 --> 00:29:25.540]   But that's kind of what we do sometimes as Christians.
[00:29:25.540 --> 00:29:27.440]   God, I messed up again.
[00:29:29.000 --> 00:29:31.680]   You should find somebody else, I quit.
[00:29:31.680 --> 00:29:34.760]   And God's like, no, I didn't fire you.
[00:29:34.760 --> 00:29:37.400]   Get back up, get back up.
[00:29:37.400 --> 00:29:38.800]   I still have work for you.
[00:29:38.800 --> 00:29:40.680]   Work with me, work with me.
[00:29:40.680 --> 00:29:43.200]   I want you to engage, right?
[00:29:43.200 --> 00:29:44.120]   Taking risks.
[00:29:44.120 --> 00:29:45.320]   So, think about this now.
[00:29:45.320 --> 00:29:47.680]   Here's servant number one, servant number two.
[00:29:47.680 --> 00:29:49.980]   Servant number one makes 10 minutes more,
[00:29:49.980 --> 00:29:51.960]   five minutes more, and then the third servant.
[00:29:51.960 --> 00:29:54.720]   So when servant number one and servant number two wakes up,
[00:29:54.720 --> 00:29:56.240]   how do they wake up?
[00:29:56.240 --> 00:29:58.240]   I know it doesn't say, but you imagine.
[00:29:58.240 --> 00:29:59.640]   How do they wake up?
[00:29:59.640 --> 00:30:01.200]   This is kind of what I imagine.
[00:30:01.200 --> 00:30:05.840]   My master has given me minas.
[00:30:05.840 --> 00:30:08.520]   How can I multiply it today?
[00:30:08.520 --> 00:30:12.600]   And meditate, think about it, pray about it, whatever.
[00:30:12.600 --> 00:30:13.760]   Okay, they're excited.
[00:30:13.760 --> 00:30:16.160]   They start to act upon their mina,
[00:30:16.160 --> 00:30:18.400]   upon what, you know, commander of them.
[00:30:18.400 --> 00:30:20.720]   In a certain sense, they wake up with meaning.
[00:30:20.720 --> 00:30:23.320]   They have meaning, they have purpose.
[00:30:23.320 --> 00:30:25.520]   How does the third servant wake up?
[00:30:25.520 --> 00:30:27.520]   Oh gosh, I'm so tired, maybe a couple more hours.
[00:30:27.520 --> 00:30:29.080]   (groans)
[00:30:29.080 --> 00:30:29.920]   Okay, let me get up.
[00:30:29.920 --> 00:30:32.240]   Mm, I wonder what's for breakfast.
[00:30:32.240 --> 00:30:33.360]   Who posted on Facebook?
[00:30:33.360 --> 00:30:37.120]   Anyone going to the mall today?
[00:30:37.120 --> 00:30:38.640]   Anyone going to the mall today?
[00:30:38.640 --> 00:30:40.680]   And looks over at the number one and number two guy,
[00:30:40.680 --> 00:30:44.540]   and servant's like, what are you guys doing?
[00:30:44.540 --> 00:30:46.040]   Why are you wasting your time?
[00:30:46.040 --> 00:30:49.400]   Come on, how long has this master been away for?
[00:30:49.400 --> 00:30:50.480]   2,000 plus years?
[00:30:50.480 --> 00:30:52.320]   Come on, he's not coming back.
[00:30:52.320 --> 00:30:53.760]   You guys are stupid.
[00:30:53.760 --> 00:30:56.440]   You weren't, just give it up, and just come live like me.
[00:30:56.440 --> 00:30:58.280]   Come on, live it up, be free like me.
[00:30:58.280 --> 00:31:01.640]   And because the third servant has this kind of attitude,
[00:31:01.640 --> 00:31:04.680]   he doesn't care about the master's mina,
[00:31:04.680 --> 00:31:07.200]   and he doesn't take risks.
[00:31:07.200 --> 00:31:10.360]   In fact, what is his attitude like when the king does return?
[00:31:10.360 --> 00:31:12.800]   He goes like this, right, he goes,
[00:31:12.800 --> 00:31:14.000]   "Here's your mina.
[00:31:14.000 --> 00:31:15.160]   "I kept it in a handkerchief
[00:31:15.160 --> 00:31:17.680]   "because I know you're a severe man.
[00:31:17.680 --> 00:31:21.180]   "I know that you try to reap what you don't deposit."
[00:31:21.180 --> 00:31:23.440]   What is someone who tries to reap what they don't deposit?
[00:31:23.440 --> 00:31:24.480]   What are they called?
[00:31:25.600 --> 00:31:26.440]   A thief.
[00:31:26.440 --> 00:31:31.600]   This third servant is calling the king a thief.
[00:31:31.600 --> 00:31:35.160]   Could you imagine what servant number one, number two,
[00:31:35.160 --> 00:31:36.000]   are doing?
[00:31:36.000 --> 00:31:37.440]   They're looking at him, going,
[00:31:37.440 --> 00:31:38.940]   which king are you serving?
[00:31:38.940 --> 00:31:41.360]   My king is generous.
[00:31:41.360 --> 00:31:43.520]   He gave me one mina.
[00:31:43.520 --> 00:31:45.840]   It became 10, and I would have been happy
[00:31:45.840 --> 00:31:48.200]   if he just gave me 10 minas back.
[00:31:48.200 --> 00:31:50.960]   In fact, I'm thankful that he even gave me a mina,
[00:31:50.960 --> 00:31:53.000]   but he gave me 10 cities.
[00:31:53.000 --> 00:31:55.600]   Which king are you talking about?
[00:31:55.600 --> 00:31:57.000]   Something's wrong with you.
[00:31:57.000 --> 00:32:00.800]   I think about this third servant.
[00:32:00.800 --> 00:32:03.320]   Perhaps some of us are like this in this room.
[00:32:03.320 --> 00:32:05.080]   Where we think that God is stingy.
[00:32:05.080 --> 00:32:07.560]   Where we think that God takes away.
[00:32:07.560 --> 00:32:08.880]   You know there's that song,
[00:32:08.880 --> 00:32:12.280]   ♪ Every blessing you pour out ♪
[00:32:12.280 --> 00:32:13.120]   You know that song?
[00:32:13.120 --> 00:32:13.960]   (audience laughs)
[00:32:13.960 --> 00:32:15.800]   And then there's that bridge, right?
[00:32:15.800 --> 00:32:18.440]   ♪ You give and take away ♪
[00:32:18.440 --> 00:32:19.800]   ♪ You give and take ♪
[00:32:19.800 --> 00:32:21.080]   You know that, right?
[00:32:21.080 --> 00:32:21.920]   This servant is saying,
