
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:47:29.260 --> 00:47:39.260]   (silence)
[00:47:39.260 --> 00:47:41.420]   (silence)
[00:47:41.420 --> 00:47:51.420]   (silence)
[00:47:51.420 --> 00:48:01.420]   (silence)
[00:48:01.420 --> 00:48:03.580]   (silence)
[00:48:03.580 --> 00:48:13.580]   (silence)
[00:48:13.580 --> 00:48:23.580]   (silence)
[00:48:23.580 --> 00:48:25.740]   (silence)
[00:48:25.740 --> 00:48:35.740]   (silence)
[00:48:35.740 --> 00:48:45.740]   (silence)
[00:48:45.740 --> 00:48:47.900]   (silence)
[00:48:47.900 --> 00:48:57.900]   (silence)
[00:48:57.900 --> 00:49:07.900]   (silence)
[00:49:07.900 --> 00:49:10.060]   (silence)
[00:49:10.060 --> 00:49:20.060]   (silence)
[00:49:20.060 --> 00:49:30.060]   (silence)
[00:49:30.060 --> 00:49:32.220]   (silence)
[00:49:32.220 --> 00:49:42.220]   (silence)
[00:49:42.220 --> 00:49:52.220]   (silence)
[00:49:52.220 --> 00:49:54.380]   (silence)
[00:49:54.380 --> 00:50:04.380]   (silence)
[00:50:04.380 --> 00:50:14.380]   (silence)
[00:50:14.380 --> 00:50:16.540]   (silence)
[00:50:16.540 --> 00:50:26.540]   (silence)
[00:50:26.540 --> 00:50:36.540]   (silence)
[00:50:36.540 --> 00:50:38.700]   (silence)
[00:50:38.700 --> 00:50:48.700]   (silence)
[00:50:48.700 --> 00:50:58.700]   (silence)
[00:50:58.700 --> 00:51:00.860]   (silence)
[00:51:00.860 --> 00:51:10.860]   (silence)
[00:51:10.860 --> 00:51:20.860]   (silence)
[00:51:20.860 --> 00:51:23.020]   (silence)
[00:51:23.020 --> 00:51:35.020]   (silence)
[00:51:35.020 --> 00:51:47.020]   (silence)
[00:51:47.020 --> 00:51:49.180]   (silence)
[00:51:49.180 --> 00:51:59.180]   (silence)
[00:51:59.180 --> 00:52:09.180]   (silence)
[00:52:09.180 --> 00:52:11.340]   (silence)
[00:52:11.340 --> 00:52:21.340]   (silence)
[00:52:21.340 --> 00:52:31.340]   (silence)
[00:52:31.340 --> 00:52:33.500]   (silence)
[00:52:33.500 --> 00:52:43.500]   (silence)
[00:52:43.500 --> 00:52:55.500]   (silence)
[00:52:55.500 --> 00:52:57.660]   (silence)
[00:52:57.660 --> 00:53:07.660]   (silence)
[00:53:07.660 --> 00:53:17.660]   (silence)
[00:53:17.660 --> 00:53:19.820]   (silence)
[00:53:19.820 --> 00:53:31.820]   (silence)
[00:53:31.820 --> 00:53:43.820]   (silence)
[00:53:43.820 --> 00:53:45.980]   (silence)
[00:53:45.980 --> 00:53:55.980]   (silence)
[00:53:55.980 --> 00:54:05.980]   (silence)
[00:54:05.980 --> 00:54:08.140]   (silence)
[00:54:08.140 --> 00:54:18.140]   (silence)
[00:54:18.140 --> 00:54:28.140]   (silence)
[00:54:28.140 --> 00:54:30.300]   (silence)
[00:54:30.300 --> 00:54:40.300]   (silence)
[00:54:40.300 --> 00:54:50.300]   (silence)
[00:54:50.300 --> 00:54:52.460]   (silence)
[00:54:52.460 --> 00:55:02.460]   (silence)
[00:55:02.460 --> 00:55:12.460]   (silence)
[00:55:12.460 --> 00:55:14.620]   (silence)
[00:55:14.620 --> 00:55:24.620]   (silence)
[00:55:24.620 --> 00:55:34.620]   (silence)
[00:55:34.620 --> 00:55:36.780]   (silence)
[00:55:36.780 --> 00:55:46.780]   (silence)
[00:55:46.780 --> 00:55:56.780]   (silence)
[00:55:56.780 --> 00:55:58.940]   (silence)
[00:55:58.940 --> 00:56:08.940]   (silence)
[00:56:08.940 --> 00:56:18.940]   (silence)
[00:56:18.940 --> 00:56:21.100]   (silence)
[00:56:21.100 --> 00:56:31.100]   (silence)
[00:56:31.100 --> 00:56:41.100]   (silence)
[00:56:41.100 --> 00:56:43.260]   (silence)
[00:56:43.260 --> 00:56:53.260]   (silence)
[00:56:53.260 --> 00:57:03.260]   (silence)
[00:57:03.260 --> 00:57:05.420]   (silence)
[00:57:05.420 --> 00:57:15.420]   (silence)
[00:57:15.420 --> 00:57:25.420]   (silence)
[00:57:25.420 --> 00:57:27.580]   (silence)
[00:57:27.580 --> 00:57:37.580]   (silence)
[00:57:37.580 --> 00:57:47.580]   (silence)
[00:57:47.580 --> 00:57:49.740]   (silence)
[00:57:49.740 --> 00:57:59.740]   (silence)
[00:57:59.740 --> 00:58:09.740]   (silence)
[00:58:09.740 --> 00:58:11.900]   (silence)
[00:58:11.900 --> 00:58:23.900]   (silence)
[00:58:23.900 --> 00:58:35.900]   (silence)
[00:58:35.900 --> 00:58:38.060]   (silence)
[00:58:38.060 --> 00:58:48.060]   (silence)
[00:58:48.060 --> 00:58:58.060]   (silence)
[00:58:58.060 --> 00:59:00.220]   (silence)
[00:59:00.220 --> 00:59:10.220]   (silence)
[00:59:10.220 --> 00:59:22.220]   (silence)
[00:59:22.220 --> 00:59:24.380]   (silence)
[00:59:24.380 --> 00:59:34.380]   (silence)
[00:59:34.380 --> 00:59:44.380]   (silence)
[00:59:44.380 --> 00:59:46.540]   (silence)
[00:59:46.540 --> 00:59:58.540]   (silence)
[00:59:58.540 --> 01:00:10.540]   (silence)
[01:00:10.540 --> 01:00:12.700]   (silence)
[01:00:12.700 --> 01:00:14.860]   (silence)
[01:00:14.860 --> 01:00:17.020]   (silence)
[01:00:17.020 --> 01:00:27.020]   (silence)
[01:00:27.020 --> 01:00:37.020]   (silence)
[01:00:37.020 --> 01:00:39.180]   (silence)
[01:00:39.180 --> 01:00:49.180]   (silence)
[01:00:49.180 --> 01:00:59.180]   (silence)
[01:00:59.180 --> 01:01:01.340]   (silence)
[01:01:01.340 --> 01:01:11.340]   (silence)
[01:01:11.340 --> 01:01:21.340]   (silence)
[01:01:21.340 --> 01:01:23.500]   (silence)
[01:01:23.500 --> 01:01:33.500]   (silence)
[01:01:33.500 --> 01:01:45.740]   - Okay, for those of you guys who are in the rooms,
[01:01:45.740 --> 01:01:47.580]   please take a moment to make your way out.
[01:01:47.580 --> 01:01:49.580]   We'll do our review in just a minute.
[01:01:49.580 --> 01:01:51.980]   (audience chatter)
[01:01:51.980 --> 01:01:54.140]   (silence)
[01:01:54.140 --> 01:01:56.300]   (silence)
[01:01:56.300 --> 01:01:58.460]   (silence)
[01:01:58.460 --> 01:02:00.620]   (silence)
[01:02:00.620 --> 01:02:02.780]   (silence)
[01:02:02.780 --> 01:02:04.940]   (silence)
[01:02:04.940 --> 01:02:07.100]   (silence)
[01:02:07.100 --> 01:02:09.260]   (silence)
[01:02:09.260 --> 01:02:11.420]   (silence)
[01:02:11.420 --> 01:02:13.580]   (silence)
[01:02:13.580 --> 01:02:15.740]   (silence)
[01:02:15.740 --> 01:02:25.740]   (silence)
[01:02:25.740 --> 01:02:35.740]   (silence)
[01:02:35.740 --> 01:02:37.900]   (silence)
[01:02:37.900 --> 01:02:47.900]   (silence)
[01:02:47.900 --> 01:02:57.900]   (silence)
[01:02:57.900 --> 01:03:00.060]   (silence)
[01:03:00.060 --> 01:03:10.060]   (silence)
[01:03:10.060 --> 01:03:20.060]   (silence)
[01:03:20.060 --> 01:03:22.220]   (silence)
[01:03:22.220 --> 01:03:32.220]   (silence)
[01:03:32.220 --> 01:03:42.620]   (audience chatter)
[01:03:42.620 --> 01:03:44.780]   (silence)
[01:03:44.780 --> 01:03:54.780]   (silence)
[01:03:54.780 --> 01:04:05.180]   (audience chatter)
[01:04:05.180 --> 01:04:07.340]   (silence)
[01:04:07.340 --> 01:04:16.940]   - Okay, good.
[01:04:16.940 --> 01:04:18.780]   Looks like we're all in.
[01:04:18.780 --> 01:04:21.580]   Hey, let me take a moment to pray for us,
[01:04:21.580 --> 01:04:24.460]   and then we'll go jump into the review.
[01:04:24.460 --> 01:04:26.380]   All right, let's pray.
[01:04:26.380 --> 01:04:30.940]   Heavenly Father, we thank you for your precious word.
[01:04:30.940 --> 01:04:34.100]   We thank you, God, that you grant to us light,
[01:04:34.100 --> 01:04:36.020]   you grant to us illumination,
[01:04:36.020 --> 01:04:37.380]   and Lord, it's by your spirit,
[01:04:37.380 --> 01:04:39.500]   you allow us to feel the conviction, Lord,
[01:04:39.500 --> 01:04:43.580]   even if the letter is correcting and rebuking,
[01:04:43.580 --> 01:04:46.400]   God, that you grant to us sanctification.
[01:04:46.400 --> 01:04:49.860]   Lord, ultimately, that you exercise your power
[01:04:49.860 --> 01:04:52.660]   to draw us near and closer to the image of Christ.
[01:04:52.660 --> 01:04:56.020]   We thank you, Lord, it's in Jesus' name, amen.
[01:04:56.020 --> 01:04:57.540]   Okay.
[01:04:57.540 --> 01:04:58.380]   So,
[01:04:58.380 --> 01:05:03.300]   I love these last lesson of the series.
[01:05:03.300 --> 01:05:05.340]   You guys all go all out with your snacks.
[01:05:05.340 --> 01:05:07.180]   I hope you guys got a chance to actually
[01:05:07.180 --> 01:05:10.420]   talk about the passage on top of your eating.
[01:05:10.420 --> 01:05:14.920]   Well, let's take a look at the short segment
[01:05:14.920 --> 01:05:16.820]   that we have at the very end,
[01:05:16.820 --> 01:05:19.900]   and it says, "And those who will walk by this rule,
[01:05:19.900 --> 01:05:22.020]   "peace and mercy be upon them,
[01:05:22.020 --> 01:05:24.780]   "and upon the Israel of God.
[01:05:24.780 --> 01:05:27.420]   "From now on, let no one cause trouble for me,
[01:05:27.420 --> 01:05:31.220]   "for I bear on my body the brand marks of Jesus.
[01:05:31.220 --> 01:05:33.620]   "The grace of our Lord Jesus Christ be with your spirit,
[01:05:33.620 --> 01:05:36.500]   "brethren, amen."
[01:05:36.500 --> 01:05:41.500]   When I think about just concluding segments of any letter
[01:05:41.500 --> 01:05:44.220]   in the scriptures, it's quite amazing,
[01:05:44.220 --> 01:05:47.320]   because in just a cursory reading,
[01:05:47.320 --> 01:05:49.260]   it just sounds like your typical,
[01:05:49.260 --> 01:05:54.260]   blessed be God, may he bless you, amen, goodbye, right?
[01:05:54.260 --> 01:05:56.500]   But if you look at every letter,
[01:05:56.500 --> 01:05:59.460]   the scriptures are so deep,
[01:05:59.460 --> 01:06:02.240]   they summarize all the major concepts
[01:06:02.240 --> 01:06:07.060]   into those few words, and it's no different here.
[01:06:07.060 --> 01:06:10.180]   When we take a look just at verse 16
[01:06:10.180 --> 01:06:12.320]   and start asking the questions,
[01:06:12.320 --> 01:06:15.360]   we know that he's summarizing the fact that
[01:06:15.360 --> 01:06:18.500]   the people who are truly blessed, right?
[01:06:18.500 --> 01:06:21.260]   The people who receive peace and mercy
[01:06:21.260 --> 01:06:24.660]   are those who follow this rule, okay?
[01:06:24.660 --> 01:06:27.100]   And in a sense, that is the encapsulation
[01:06:27.100 --> 01:06:31.180]   of what he's saying, is you guys saw the way of law,
[01:06:31.180 --> 01:06:34.780]   you guys saw the way of fleshly righteousness,
[01:06:34.780 --> 01:06:37.700]   but I wanted you to see the way of true blessing,
[01:06:37.700 --> 01:06:39.660]   which is freedom in the spirit.
[01:06:39.660 --> 01:06:41.920]   That's essentially the entire letter,
[01:06:41.920 --> 01:06:45.060]   just like summarized into one simple sentence.
[01:06:45.060 --> 01:06:47.520]   But in a more narrow and specific observation,
[01:06:47.520 --> 01:06:51.740]   we wanna ask the question, what rule is he talking about?
[01:06:51.740 --> 01:06:54.680]   Okay, what rule is he talking about?
[01:06:54.680 --> 01:06:57.900]   Now, I thought the term for rule was quite interesting
[01:06:57.900 --> 01:07:01.780]   and worthy of our time, because it's the word canon.
[01:07:01.780 --> 01:07:03.340]   It is where we get the term,
[01:07:03.340 --> 01:07:05.520]   the canon of scripture, so to speak.
[01:07:05.520 --> 01:07:08.120]   It means anything that is a straight line
[01:07:08.120 --> 01:07:12.020]   used to examine, to measure things up.
[01:07:12.020 --> 01:07:13.860]   And so it was used of plumb lines,
[01:07:13.860 --> 01:07:16.280]   you hang a weight to make sure that something
[01:07:16.280 --> 01:07:20.060]   is straight and true as it's being constructed,
[01:07:20.060 --> 01:07:22.660]   or a straight line, like this is the edge,
[01:07:22.660 --> 01:07:25.220]   this is the measurement, okay?
[01:07:25.220 --> 01:07:27.200]   And so when we think about that,
[01:07:27.200 --> 01:07:32.200]   it's worthy for us to ask, how would you summarize
[01:07:32.200 --> 01:07:35.080]   this idea of the rule that Apostle Paul
[01:07:35.080 --> 01:07:37.960]   wants you to live by, okay?
[01:07:37.960 --> 01:07:41.200]   Just before this segment, he also summarized
[01:07:41.200 --> 01:07:43.520]   what he was saying in a very specific argument.
[01:07:43.520 --> 01:07:45.440]   He said, you know what?
[01:07:45.440 --> 01:07:48.840]   In conclusion, circumcision is nothing.
[01:07:48.840 --> 01:07:50.760]   As a matter of fact, uncircumcision
[01:07:50.760 --> 01:07:54.380]   or circumcision is nothing, but what?
[01:07:54.380 --> 01:07:57.780]   New creation, okay, a new creation.
[01:07:57.780 --> 01:07:59.260]   So I want you guys to think about that,
[01:07:59.260 --> 01:08:03.900]   the beauty in just that statement, a new creation, okay?
[01:08:03.900 --> 01:08:06.060]   A new creation is the rule.
[01:08:06.060 --> 01:08:06.960]   Why do I say this?
[01:08:06.960 --> 01:08:11.960]   It's because then, in contrast, just doctrinal assent,
[01:08:11.960 --> 01:08:15.840]   all I know, is that enough?
[01:08:15.840 --> 01:08:17.380]   No.
[01:08:17.380 --> 01:08:19.420]   Just simply being a part of a group,
[01:08:19.420 --> 01:08:24.220]   oh, I am now part of the crew, I am now part of this camp,
[01:08:24.220 --> 01:08:28.420]   I am now in this Bible teaching church, is that enough?
[01:08:28.420 --> 01:08:29.340]   No.
[01:08:29.340 --> 01:08:33.340]   The power of the gospel is so powerful,
[01:08:33.340 --> 01:08:35.780]   it causes an individual who was once
[01:08:35.780 --> 01:08:38.800]   living according to the flesh, once living in slavery,
[01:08:38.800 --> 01:08:42.420]   once living in abject ignorance,
[01:08:42.420 --> 01:08:44.620]   to become a new creation in Christ.
[01:08:44.620 --> 01:08:46.820]   One who was living in anger, one who was living
[01:08:46.820 --> 01:08:50.080]   in fits of rage, in all the deeds of the flesh,
[01:08:50.080 --> 01:08:54.860]   to one who is going to be living in the newness of Christ.
[01:08:54.860 --> 01:08:57.460]   Anything short of that, you know,
[01:08:57.460 --> 01:09:01.380]   is not according to the rule, it doesn't measure up.
[01:09:01.380 --> 01:09:02.840]   So I want you guys to think about that
[01:09:02.840 --> 01:09:05.400]   by way of review over the whole book.
[01:09:05.400 --> 01:09:09.380]   Chapter four, chapter six, if I can actually summarize
[01:09:09.380 --> 01:09:12.440]   the book in a smaller segment, it would be
[01:09:12.440 --> 01:09:16.760]   a nonstop contrast to help you see the difference, right?
[01:09:16.760 --> 01:09:20.220]   It was like a, hey, do you know what it actually means
[01:09:20.220 --> 01:09:25.100]   for you to think that you can abide in this good, holy law?
[01:09:25.100 --> 01:09:28.780]   Slavery, utter slavery, you can't do it, right?
[01:09:28.780 --> 01:09:31.180]   And it was trying to show us, this is the way of the law
[01:09:31.180 --> 01:09:32.740]   and this is the way of the Spirit.
[01:09:32.740 --> 01:09:35.940]   This is freedom, this is bondage.
[01:09:35.940 --> 01:09:38.620]   Do you know the difference?
[01:09:38.620 --> 01:09:40.180]   That was the question.
[01:09:40.180 --> 01:09:44.040]   Do you guys remember this sloppy little comparison
[01:09:44.040 --> 01:09:45.580]   that I put up many weeks ago?
[01:09:46.660 --> 01:09:48.300]   You don't have to write all this down
[01:09:48.300 --> 01:09:50.780]   because I know you know it, you guys memorized it
[01:09:50.780 --> 01:09:51.660]   weeks ago, right?
[01:09:51.660 --> 01:09:58.060]   This was trying to show us there has been from long ago,
[01:09:58.060 --> 01:10:03.060]   ages ago, the way of the flesh, the way of the law,
[01:10:03.060 --> 01:10:06.740]   the way of man's own decisions, our own solutions,
[01:10:06.740 --> 01:10:10.500]   our own resources, and our own timetable.
[01:10:10.500 --> 01:10:13.340]   And he gave example after example and one particularly
[01:10:13.340 --> 01:10:17.700]   he talked about, back there was the free woman, Sarah,
[01:10:17.700 --> 01:10:20.260]   and the bond slave, right?
[01:10:20.260 --> 01:10:22.460]   But all of that to us was very convicting
[01:10:22.460 --> 01:10:25.740]   because we knew in ourselves there is a huge difference
[01:10:25.740 --> 01:10:29.340]   operating and trusting God versus making my own
[01:10:29.340 --> 01:10:34.340]   silly, miniature, small, fruitless, empty solutions.
[01:10:34.340 --> 01:10:36.880]   But can you tell the difference?
[01:10:36.880 --> 01:10:38.660]   Can you tell the difference when a false teacher
[01:10:38.660 --> 01:10:41.700]   comes to you and say, you gotta be about this new movement
[01:10:41.700 --> 01:10:44.100]   of secret friendly, this and this, and this is how
[01:10:44.100 --> 01:10:46.120]   you really make the church go, and you're saying,
[01:10:46.120 --> 01:10:47.200]   really?
[01:10:47.200 --> 01:10:49.540]   All we need to do is have lights?
[01:10:49.540 --> 01:10:51.400]   All we need to do is have a handsome man
[01:10:51.400 --> 01:10:52.740]   preaching short sermons?
[01:10:52.740 --> 01:10:54.940]   Where is Christ?
[01:10:54.940 --> 01:10:58.660]   This is how we're gonna solve the woes of the society.
[01:10:58.660 --> 01:10:59.740]   Is there this and that?
[01:10:59.740 --> 01:11:02.460]   All we need to do is be about justice and this?
[01:11:02.460 --> 01:11:05.180]   Can you tell the difference with all the movements
[01:11:05.180 --> 01:11:08.060]   and all the false teachers that exist today,
[01:11:08.060 --> 01:11:11.020]   what is of the flesh and solutions of man
[01:11:11.020 --> 01:11:14.320]   versus what actually necessitates Christ?
[01:11:14.320 --> 01:11:17.100]   And I think one of the strongest convictions
[01:11:17.100 --> 01:11:21.060]   as we review Galatians was if there is anything,
[01:11:21.060 --> 01:11:23.580]   anything that takes away from the sufficiency
[01:11:23.580 --> 01:11:27.720]   and the dire necessity of Christ, that's not faith.
[01:11:27.720 --> 01:11:30.440]   That's not gospel.
[01:11:30.440 --> 01:11:34.580]   Another example, if even in your own personal life
[01:11:34.580 --> 01:11:36.980]   you are struggling with mental health,
[01:11:36.980 --> 01:11:38.420]   you're struggling with behavior,
[01:11:38.420 --> 01:11:40.500]   you're struggling with this and that,
[01:11:40.500 --> 01:11:42.420]   I'm not gonna stand here and say,
[01:11:42.420 --> 01:11:45.660]   oh my goodness, all of that is just X, Y, and Z
[01:11:45.660 --> 01:11:48.660]   of darkness and demons and the devil, okay?
[01:11:48.660 --> 01:11:50.440]   But what I'm gonna say is,
[01:11:50.440 --> 01:11:52.700]   so what solutions are you looking for?
[01:11:52.700 --> 01:11:57.980]   Are you looking for miniature, small, fruitless,
[01:11:57.980 --> 01:12:00.060]   empty-vein promises?
[01:12:00.060 --> 01:12:03.020]   Or are you looking for greater faith, sanctification,
[01:12:03.020 --> 01:12:05.740]   and a newness in Christ?
[01:12:05.740 --> 01:12:09.260]   That's something I think is such a challenge
[01:12:09.260 --> 01:12:12.660]   and summary of what the book has been trying to show us,
[01:12:12.660 --> 01:12:13.660]   right?
[01:12:13.660 --> 01:12:16.940]   Do you feel like that you simply
[01:12:16.940 --> 01:12:19.420]   will have such a better life,
[01:12:19.420 --> 01:12:22.140]   that you will be secure if only you belong
[01:12:22.140 --> 01:12:23.680]   to a certain community?
[01:12:23.680 --> 01:12:25.420]   If you weren't oh so lonely?
[01:12:25.420 --> 01:12:26.860]   If you weren't da-da-da-da-da
[01:12:26.860 --> 01:12:29.460]   and you had better job, better this and better that?
[01:12:29.460 --> 01:12:32.140]   You have to know the difference.
[01:12:32.140 --> 01:12:33.720]   What is the fleshly solution
[01:12:33.720 --> 01:12:36.580]   and what is necessity of Christ, amen?
[01:12:36.580 --> 01:12:41.180]   Okay, then in the next, staring at verse 16,
[01:12:41.180 --> 01:12:42.600]   so we're looking at the rule.
[01:12:42.600 --> 01:12:46.540]   The rule is new creation in Christ, this is the rule.
[01:12:46.540 --> 01:12:49.420]   The freedom comes from being in the spirit,
[01:12:49.420 --> 01:12:51.960]   walking by the spirit, and it has to be the spirit
[01:12:51.960 --> 01:12:54.900]   because it's by faith, and it's by faith because of Christ.
[01:12:54.900 --> 01:12:59.660]   Christ is all, and therefore, that's the rule,
[01:12:59.660 --> 01:13:01.220]   that Christ is all.
[01:13:01.220 --> 01:13:03.500]   Now, in looking at this then, he says,
[01:13:04.420 --> 01:13:08.140]   in summary, peace and mercy be upon those then
[01:13:08.140 --> 01:13:10.660]   who understand this, that who understands
[01:13:10.660 --> 01:13:13.500]   looking at Christ is freedom.
[01:13:13.500 --> 01:13:15.740]   Now, on a just brief question,
[01:13:15.740 --> 01:13:18.260]   we have to ask the question also
[01:13:18.260 --> 01:13:23.160]   of what peace and what mercy is he talking about, okay?
[01:13:23.160 --> 01:13:27.700]   Now, we know that this book in the latter chapters
[01:13:27.700 --> 01:13:29.500]   has been talking about application
[01:13:29.500 --> 01:13:31.620]   that we need to walk in the spirit,
[01:13:31.620 --> 01:13:33.160]   and by walking in the spirit,
[01:13:33.160 --> 01:13:35.820]   we're gonna bear the fruits of the spirit, right?
[01:13:35.820 --> 01:13:39.220]   So, one of the repeat themes that we hit week after week
[01:13:39.220 --> 01:13:43.220]   was this idea that we are going to reap
[01:13:43.220 --> 01:13:45.580]   the fruit of the spirit, and here and now,
[01:13:45.580 --> 01:13:47.760]   the focus is going to be the peace of God
[01:13:47.760 --> 01:13:49.420]   and the mercy of God.
[01:13:49.420 --> 01:13:51.180]   As you recall, in Galatians 5,
[01:13:51.180 --> 01:13:53.500]   it says the fruit of the spirit is love,
[01:13:53.500 --> 01:13:57.480]   is joy, is peace, patience, kindness, goodness,
[01:13:57.480 --> 01:13:59.740]   faithfulness, gentleness, self-control,
[01:13:59.740 --> 01:14:02.540]   against such thing there is no law.
[01:14:02.540 --> 01:14:07.540]   Question, do you as a Christian genuinely value, okay,
[01:14:07.540 --> 01:14:13.220]   the treasure of your sanctification and maturity
[01:14:13.220 --> 01:14:17.220]   more than anything else, okay?
[01:14:17.220 --> 01:14:18.820]   And you would have to put that as like,
[01:14:18.820 --> 01:14:20.340]   huh, I've never thought about it this way.
[01:14:20.340 --> 01:14:22.160]   Some of you guys are in grad school,
[01:14:22.160 --> 01:14:25.060]   you've paid tons of money, okay,
[01:14:25.060 --> 01:14:27.560]   went into the red to get this degree.
[01:14:27.560 --> 01:14:32.560]   Do you value the treasure of your own spiritual maturity,
[01:14:32.560 --> 01:14:37.260]   your heart condition of I know how to be content,
[01:14:37.260 --> 01:14:40.520]   I know how to have peace, I know how to go through struggle.
[01:14:40.520 --> 01:14:44.120]   Do you value the growth of your mind, your faith,
[01:14:44.120 --> 01:14:47.100]   so much that that is worth more
[01:14:47.100 --> 01:14:49.420]   than any degree you could ever earn?
[01:14:49.420 --> 01:14:55.840]   Well, scripture says, you know, your sanctification,
[01:14:55.840 --> 01:14:58.180]   your spiritual growth is so valuable,
[01:14:58.180 --> 01:15:00.220]   it's worth more than any amount of gold.
[01:15:00.220 --> 01:15:02.860]   Look at 1 Peter chapter one.
[01:15:02.860 --> 01:15:05.500]   It's so valuable, bring on all the suffering,
[01:15:05.500 --> 01:15:08.180]   because if that produces the treasure and gold
[01:15:08.180 --> 01:15:10.740]   of your sanctification, amen.
[01:15:10.740 --> 01:15:13.380]   It has proved to be worthwhile.
[01:15:13.380 --> 01:15:14.860]   That's the perspective of the Christian.
[01:15:14.860 --> 01:15:17.140]   And this book in Galatians,
[01:15:17.140 --> 01:15:18.980]   so far in this applicational section,
[01:15:18.980 --> 01:15:23.940]   has been all about these fruits must be evident in you,
[01:15:23.940 --> 01:15:27.880]   and primarily these, peace and the mercies of God.
[01:15:27.880 --> 01:15:29.260]   Remember in Philippians, it says,
[01:15:29.260 --> 01:15:30.960]   rejoice in the Lord always.
[01:15:30.960 --> 01:15:33.200]   Again, I say, rejoice.
[01:15:33.200 --> 01:15:35.840]   Let your gentle spirit be known to all men.
[01:15:35.840 --> 01:15:37.840]   The Lord is near, be anxious for nothing,
[01:15:37.840 --> 01:15:40.440]   but in everything by prayer and supplication.
[01:15:40.440 --> 01:15:43.640]   With thanksgiving, let your requests be made known to God.
[01:15:43.640 --> 01:15:47.180]   And the peace of God, which surpasses all comprehension,
[01:15:47.180 --> 01:15:52.180]   will guard your hearts and your minds in Christ Jesus.
[01:15:52.320 --> 01:15:54.140]   How valuable is that?
[01:15:54.140 --> 01:15:57.820]   To be able to have joy in all situations,
[01:15:57.820 --> 01:15:59.940]   and to be able to have a resource
[01:15:59.940 --> 01:16:03.640]   where we can take all our anxiety at the foot of the cross.
[01:16:03.640 --> 01:16:05.060]   And so he says in verse 12,
[01:16:05.060 --> 01:16:08.420]   I know how to get along with humble means.
[01:16:08.420 --> 01:16:10.920]   I also know how to live in prosperity.
[01:16:10.920 --> 01:16:13.020]   In any and every circumstance,
[01:16:13.020 --> 01:16:16.080]   I have learned the secret of being fulfilled.
[01:16:16.080 --> 01:16:20.520]   Going hungry, both of having abundance and suffering need.
[01:16:21.500 --> 01:16:25.880]   May this be the treasure that is blessed for the Christian.
[01:16:25.880 --> 01:16:33.480]   When we are parents, we want our kids to have all things.
[01:16:33.480 --> 01:16:35.500]   We want them to have good education,
[01:16:35.500 --> 01:16:37.200]   we want to have physical health,
[01:16:37.200 --> 01:16:40.740]   and sometimes parents are most worried
[01:16:40.740 --> 01:16:43.320]   about their kids having good friends.
[01:16:43.320 --> 01:16:45.120]   So much so, I'm guessing,
[01:16:45.120 --> 01:16:48.100]   that some of your parents went overboard, right?
[01:16:48.100 --> 01:16:50.320]   Overboard, and started asking kids,
[01:16:50.320 --> 01:16:52.360]   like, can you be friends with my son?
[01:16:52.360 --> 01:16:53.840]   Can you be friends with my daughter?
[01:16:53.840 --> 01:16:55.720]   And you're like, mom, what the heck?
[01:16:55.720 --> 01:16:57.400]   You can't artificially make them,
[01:16:57.400 --> 01:16:59.180]   force them to be my friends.
[01:16:59.180 --> 01:17:01.340]   But the love of the parents do that, right?
[01:17:01.340 --> 01:17:05.560]   That is earthly love.
[01:17:05.560 --> 01:17:08.940]   We don't fault that because we get it,
[01:17:08.940 --> 01:17:10.980]   but it's just so earthly.
[01:17:10.980 --> 01:17:13.940]   If you think about, if you think about Galatians,
[01:17:13.940 --> 01:17:16.560]   it's interesting because the major problem
[01:17:16.560 --> 01:17:18.720]   that is facing this church
[01:17:18.720 --> 01:17:22.200]   is a temptation to compromise the gospel, why?
[01:17:22.200 --> 01:17:27.720]   Because they thought they were gonna be ostracized.
[01:17:27.720 --> 01:17:29.500]   They weren't gonna be accepted.
[01:17:29.500 --> 01:17:31.600]   They weren't gonna be holy people.
[01:17:31.600 --> 01:17:33.780]   It's really interesting, right?
[01:17:33.780 --> 01:17:35.600]   But may it be our ambition,
[01:17:35.600 --> 01:17:38.040]   just like Apostle Paul's ambition,
[01:17:38.040 --> 01:17:40.500]   that the greatest blessing would not be
[01:17:40.500 --> 01:17:43.440]   that we, or our brothers and sisters,
[01:17:43.440 --> 01:17:45.200]   or even our children,
[01:17:45.200 --> 01:17:48.520]   be blessed simply with acceptance from the world,
[01:17:48.520 --> 01:17:53.400]   but rather, they would know this secret, amen?
[01:17:53.400 --> 01:17:54.560]   Next.
[01:17:54.560 --> 01:17:56.880]   In verse 16, there is this interesting portion
[01:17:56.880 --> 01:17:59.880]   where it says, be upon them,
[01:17:59.880 --> 01:18:01.760]   and be upon the Israel of God.
[01:18:01.760 --> 01:18:04.800]   Now, initially, I was gonna just say like a statement
[01:18:04.800 --> 01:18:07.400]   on this, but I was very curious.
[01:18:07.400 --> 01:18:10.180]   So please, as I ask you,
[01:18:10.180 --> 01:18:13.840]   let's do audience participation, okay?
[01:18:13.840 --> 01:18:17.120]   Who is the Israel of God?
[01:18:17.120 --> 01:18:19.200]   I'm not gonna call on anyone specifically,
[01:18:19.200 --> 01:18:20.920]   'cause that'd be kinda messed up,
