
[00:00:00.000 --> 00:00:10.520]   Father, we thank you.
[00:24:26.440 --> 00:24:34.440]   Now, did I put that up there?
[00:24:34.440 --> 00:24:36.440]   Okay.
[00:24:36.440 --> 00:24:47.120]   Let me go back to the verses.
[00:24:47.120 --> 00:24:50.820]   Why was this so, so important?
[00:24:50.820 --> 00:24:55.580]   Because Hosea, Hosea is written, you know, a lot of times people read the book of Hosea
[00:24:55.580 --> 00:25:00.880]   and then they say, you know, like, oh, it's a description of the love of God and how despite
[00:25:00.880 --> 00:25:05.880]   how Israel continues to sin against God and God continues to follow and God continues
[00:25:05.880 --> 00:25:09.360]   to love us and isn't God wonderful, right?
[00:25:09.360 --> 00:25:14.480]   All true, but if you read the book of Hosea, Hosea is an indictment against the nation
[00:25:14.480 --> 00:25:15.480]   of Israel.
[00:25:15.480 --> 00:25:20.600]   It doesn't end with God will be forever merciful to all your sins.
[00:25:20.600 --> 00:25:24.320]   It's a description of his patience and grace over and over again.
[00:25:24.320 --> 00:25:29.420]   And then he says, despite that, you kept on prostituting yourself with other idols.
[00:25:29.420 --> 00:25:33.680]   And because of that, you're going into captivity, right?
[00:25:33.680 --> 00:25:35.960]   That's how Hosea ends, right?
[00:25:35.960 --> 00:25:39.280]   That God is gracious, God is gracious, and God is gracious.
[00:25:39.280 --> 00:25:43.240]   But at some point, if you don't pay attention, this is what's going to happen, right?
[00:25:43.240 --> 00:25:48.080]   So one of the indictments against the nation of Israel is this, I carefully in the wilderness
[00:25:48.080 --> 00:25:53.480]   in the land of the drought, as they had their pasture, they became satisfied.
[00:25:53.480 --> 00:25:56.160]   And being satisfied, their hearts became proud.
[00:25:56.160 --> 00:26:00.600]   Therefore they forgot me.
[00:26:00.600 --> 00:26:06.400]   The problem with the nation of Israel, before they went into idolatry, before they started
[00:26:06.400 --> 00:26:13.240]   having sexual immorality and chasing after other idols, he said their hearts became proud.
[00:26:13.240 --> 00:26:16.880]   And the reason why they became proud is because they ate and they were satisfied, their needs
[00:26:16.880 --> 00:26:19.520]   were met, right?
[00:26:19.520 --> 00:26:21.760]   He said that was the danger.
[00:26:21.760 --> 00:26:27.080]   Like when the enemies were on their tail, I mean, revival would break out.
[00:26:27.080 --> 00:26:32.080]   When a famine would happen, they would cry out to the Lord, right?
[00:26:32.080 --> 00:26:36.680]   And when judgment would come and armies would chase them, then that's when they needed God.
[00:26:36.680 --> 00:26:43.800]   But as soon as they ate and peace came, they ate, they became proud, they forgot God.
[00:26:43.800 --> 00:26:50.120]   And then the moment they forgot God was when they began to pursue after idols.
[00:26:50.120 --> 00:26:52.600]   Why is this so significant and important?
[00:26:52.600 --> 00:26:59.880]   Because this is what we struggle with.
[00:26:59.880 --> 00:27:03.480]   We don't live in a country where there's persecution.
[00:27:03.480 --> 00:27:08.320]   We're just primarily satisfied.
[00:27:08.320 --> 00:27:14.260]   We know mentally that God is important or else we wouldn't be here.
[00:27:14.260 --> 00:27:21.020]   We know theologically that He ought to be first, but He's not.
[00:27:21.020 --> 00:27:29.480]   We know from studying, from fellowship, that Christ is all in all, that this world is under
[00:27:29.480 --> 00:27:31.480]   judgment that He's coming.
[00:27:31.480 --> 00:27:32.480]   We know all of that.
[00:27:32.480 --> 00:27:35.760]   We acknowledge all of that.
[00:27:35.760 --> 00:27:37.320]   But it just isn't important.
[00:27:37.320 --> 00:27:39.080]   It's just not priority in our lives.
[00:27:39.080 --> 00:27:43.920]   And the reason why is because we are full, right?
[00:27:43.920 --> 00:27:50.960]   And sometimes God allows us to be hungry just so that we can be desperate before God.
[00:27:50.960 --> 00:27:57.200]   And again, obviously, I'm not just talking about being hungry physically, right?
[00:27:57.200 --> 00:28:07.860]   Being hungry financially, socially, in all kinds of ways where we sense desperation.
[00:28:07.860 --> 00:28:10.080]   Because until we sense desperation, we don't cry out to God.
[00:28:10.080 --> 00:28:13.160]   And that was a constant problem with the nation of Israel.
[00:28:13.160 --> 00:28:16.960]   It wasn't that they were like, they were, you know, it just didn't make sense.
[00:28:16.960 --> 00:28:21.720]   Like God would do some great miracle and the next chapter we see them worshiping idols,
[00:28:21.720 --> 00:28:22.720]   right?
[00:28:22.720 --> 00:28:23.880]   Like, why would they do that?
[00:28:23.880 --> 00:28:27.480]   Why would they just cross the Red Sea, right?
[00:28:27.480 --> 00:28:33.200]   Miraculous sea, and then they're on the other side and they make the golden calf.
[00:28:33.200 --> 00:28:35.660]   That didn't just happen.
[00:28:35.660 --> 00:28:40.840]   As soon as the desperation disappeared, as soon as the army stopped chasing them, they
[00:28:40.840 --> 00:28:43.760]   were satisfied and when they felt safe, they became proud.
[00:28:43.760 --> 00:28:45.960]   When they became proud, they forgot God.
[00:28:45.960 --> 00:28:50.000]   When they forgot God, they'd start chasing after idols, right?
[00:28:50.000 --> 00:28:58.440]   And that's a pattern that is, we're constantly in danger because when we are lukewarm, right?
[00:28:58.440 --> 00:29:06.820]   When we are lukewarm, it opens the door to all kinds of idolatry in our hearts.
[00:29:06.820 --> 00:29:14.520]   Whether it's sexual immorality, whether it's lust for the world, or just materialism, bitterness,
[00:29:14.520 --> 00:29:18.680]   anger, all of that creeps in, right?
[00:29:18.680 --> 00:29:22.640]   All of that creeps in when we become idol in our hearts toward God.
[00:29:22.640 --> 00:29:24.400]   This is why this is so important.
[00:29:24.400 --> 00:29:28.720]   God was trying to protect the nation of Israel from idleness, right?
[00:29:28.720 --> 00:29:35.560]   To constantly remind them, you're here because of God had mercy on you and don't forget that.
[00:29:35.560 --> 00:29:41.360]   And the reason why is like every Sunday, not Sunday, Saturday, every Sabbath, they were
[00:29:41.360 --> 00:29:42.360]   to remember this.
[00:29:42.360 --> 00:29:47.520]   And then if that wasn't enough, he put chunks of time, seven days, 14 days, right?
[00:29:47.520 --> 00:29:50.560]   They gave sacrifices and they weren't allowed to work at all.
[00:29:50.560 --> 00:29:53.080]   It wasn't just a part-time thing.
[00:29:53.080 --> 00:29:58.180]   When they celebrated these things, he said, "God forbid them to do any heavy lifting."
[00:29:58.180 --> 00:30:02.400]   Because he wanted to make sure that they focused all their attention on this.
[00:30:02.400 --> 00:30:04.720]   That it wasn't just a side project, right?
[00:30:04.720 --> 00:30:05.760]   It wasn't just Thanksgiving.
[00:30:05.760 --> 00:30:08.320]   We had breakfast and the rest of the day we do whatever we want.
[00:30:08.320 --> 00:30:12.120]   He wanted to make sure all of those days, all of that time was dedicated to this because
[00:30:12.120 --> 00:30:17.000]   it was that important because this was their constant problem, right?
[00:30:17.000 --> 00:30:21.120]   Deuteronomy 2, "You shall remember all the way which the Lord your God has led you in
[00:30:21.120 --> 00:30:25.920]   the wilderness these 40 years that he might humble you," right?
[00:30:25.920 --> 00:30:29.840]   So again, whole reason is because they become proud.
[00:30:29.840 --> 00:30:35.360]   Remember how you got here, to humble you, testing you to know what was in your heart,
[00:30:35.360 --> 00:30:40.280]   whether you would keep his commandments or not, right?
[00:30:40.280 --> 00:30:43.840]   So this was not just a holiday for them to take a break so they can, "Oh, holiday's coming
[00:30:43.840 --> 00:30:45.480]   up so let's take a trip."
[00:30:45.480 --> 00:30:48.880]   This was a sacred, it was kind of an extended time of worship.
[00:30:49.880 --> 00:31:01.880]   [silence]
[00:31:01.880 --> 00:31:09.320]   But ultimately, the feast pointed to the future hope in Christ.
[00:31:09.320 --> 00:31:10.760]   So all of these things were significant.
[00:31:10.760 --> 00:31:14.160]   Remember the first one was significant to all mankind, right?
[00:31:14.160 --> 00:31:17.320]   All mankind are dependent upon him for the harvest, right?
[00:31:17.320 --> 00:31:19.360]   We call that common grace.
[00:31:19.360 --> 00:31:21.440]   Rain falls upon the Christian and a non-Christian.
[00:31:21.440 --> 00:31:23.920]   The harvest comes for the Christian and a non-Christian.
[00:31:23.920 --> 00:31:26.040]   And all of it depends on God, right?
[00:31:26.040 --> 00:31:31.000]   The second meaning of it, specific to the nation of Israel, that they exist because
[00:31:31.000 --> 00:31:32.720]   of what God has done.
[00:31:32.720 --> 00:31:36.920]   And the moment that they forget that, they become satisfied, they become proud, and then
[00:31:36.920 --> 00:31:40.600]   they forget God and then they turn to idolatry.
[00:31:40.600 --> 00:31:45.240]   But the ultimate and the most important part of it is to all mankind, specifically in the
[00:31:45.240 --> 00:31:48.200]   new covenant, right?
[00:31:48.200 --> 00:31:53.160]   So the first three pointed to Christ's death and resurrection.
[00:31:53.160 --> 00:31:58.800]   So if you know, the Passover was replaced by the communion table.
[00:31:58.800 --> 00:32:05.320]   That because the blood of Christ covered us, that the wrath of God passed over us.
[00:32:05.320 --> 00:32:07.920]   And that was the significance of the Passover.
[00:32:07.920 --> 00:32:11.600]   And it is crystal clear that that's what it was for.
[00:32:11.600 --> 00:32:15.200]   And that's why Jesus says before he goes to the cross, "From this day on, do this in
[00:32:15.200 --> 00:32:16.200]   remembrance of me."
[00:32:16.200 --> 00:32:17.440]   So think of it as a Jew.
[00:32:17.440 --> 00:32:21.440]   One of the most sacred days out of the year was the Passover.
[00:32:21.440 --> 00:32:26.680]   And Jesus is sitting there saying, "This was about me."
[00:32:26.680 --> 00:32:32.080]   So if you didn't believe that Jesus was God, that would have been blasphemous.
[00:32:32.080 --> 00:32:33.960]   That's just like if somebody came in and said, "You know what?
[00:32:33.960 --> 00:32:35.880]   You've been worshiping for a thousand years.
[00:32:35.880 --> 00:32:40.280]   Let this Sunday be about me.
[00:32:40.280 --> 00:32:41.280]   Worship me.
[00:32:41.280 --> 00:32:42.280]   Do this.
[00:32:42.280 --> 00:32:44.920]   Sing about me now."
[00:32:44.920 --> 00:32:46.160]   Right?
[00:32:46.160 --> 00:32:49.360]   Like memorizing scripture, Bible study, like do it all.
[00:32:49.360 --> 00:32:50.360]   It's about me.
[00:32:50.360 --> 00:32:55.380]   Imagine if Jesus wasn't God, how arrogant that would have been.
[00:32:55.380 --> 00:32:57.080]   But that's exactly what Jesus said.
[00:32:57.080 --> 00:32:59.880]   "Do this Passover now in remembrance of me."
[00:32:59.880 --> 00:33:03.720]   Because all of that pointed to what Christ was going to do on the cross.
[00:33:03.720 --> 00:33:10.720]   So the Passover ultimately pointed to his fulfillment.
[00:33:10.720 --> 00:33:16.480]   The Feast of Unleavened Bread, it pointed to how God redeemed us from the bondage of
[00:33:16.480 --> 00:33:18.960]   sin and death.
[00:33:18.960 --> 00:33:26.720]   And if you remember, most of what Christ does on the last week of his existence happens
[00:33:26.720 --> 00:33:31.040]   during this festival, Passover and Unleavened Bread.
[00:33:31.040 --> 00:33:34.080]   And if you remember, during the Unleavened Bread, as I mentioned, one of the things that
[00:33:34.080 --> 00:33:38.840]   God told him to do is to make sure that there is no yeast in the house.
[00:33:38.840 --> 00:33:42.160]   So it pointed to the fact that they had to leave in haste.
[00:33:42.160 --> 00:33:51.000]   And God, because of the blood of the lamb, death passes them over, and God delivers them
[00:33:51.000 --> 00:33:53.640]   from bondage to freedom.
[00:33:53.640 --> 00:33:56.640]   That's what the Unleavened Bread festival is about.
[00:33:56.640 --> 00:34:01.240]   And in this festival, they are to eat in haste, to hurry up and leave, and then to clean out
[00:34:01.240 --> 00:34:05.220]   the yeast, the sin.
[00:34:05.220 --> 00:34:07.340]   And that's exactly what Christ does.
[00:34:07.340 --> 00:34:13.840]   He comes and he delivers us from the bondage of sin, sin and death, and delivers us to
[00:34:13.840 --> 00:34:14.840]   new life.
[00:34:14.840 --> 00:34:19.360]   And that's what this festival ultimately pointed to.
[00:34:19.360 --> 00:34:25.600]   Not only does he cover us so that the wrath of God does not kill us, but then he delivers
[00:34:25.600 --> 00:34:30.440]   us that we were once slaves to sin, now we've become slaves to righteousness because of
[00:34:30.440 --> 00:34:31.440]   what he's done.
[00:34:31.440 --> 00:34:35.880]   So this Unleavened Bread festival pointed to that.
[00:34:35.880 --> 00:34:40.360]   The Feast of First Fruit points to Christ's resurrection and how he is the first among
[00:34:40.360 --> 00:34:45.240]   the dead.
[00:34:45.240 --> 00:34:50.100]   Because of what Christ has done, he dies for our sins, he delivers us, and then he's resurrected
[00:34:50.100 --> 00:34:56.600]   on the third day, and then he says he's the first fruit of many.
[00:34:56.600 --> 00:34:59.960]   So that's why when you get baptized, we always say, "Do you understand you're going with
[00:34:59.960 --> 00:35:02.600]   Christ in his death, right?
[00:35:02.600 --> 00:35:06.440]   United with Christ in his death and united with Christ in his resurrected life."
[00:35:06.440 --> 00:35:10.280]   And that's what this first fruit symbolizes.
[00:35:10.280 --> 00:35:12.740]   It points to a new life that we have in Christ.
[00:35:12.740 --> 00:35:20.440]   So in 1 Corinthians 15, 20, is this it?
[00:35:20.440 --> 00:35:24.520]   So ultimately in Colossians 2, 16, 17, it says, "Therefore, no one is to act as your
[00:35:24.520 --> 00:35:29.280]   judge in regard to food or drink in respect to festivals or new moon, Sabbath, day, things
[00:35:29.280 --> 00:35:34.560]   which are mere shadows of what was to come, but the substance belongs to Christ."
[00:35:34.560 --> 00:35:38.920]   I should have read this in the beginning, but I couldn't fit it in my outline.
[00:35:38.920 --> 00:35:42.840]   But you know what I'm saying, that this is ultimately, all the festivals point to the
[00:35:42.840 --> 00:35:45.160]   fulfillment in Christ.
[00:35:45.160 --> 00:35:48.200]   And then this is the passage, "But now Christ has been raised from the dead, the first fruits
[00:35:48.200 --> 00:35:49.680]   of those who are asleep.
[00:35:49.680 --> 00:35:54.360]   For since by a man came death, by a man also came the resurrection of the dead."
[00:35:54.360 --> 00:35:59.720]   So as Christ was the first fruit, we will along with him be resurrected.
[00:35:59.720 --> 00:36:04.400]   And that's what the first fruits, feast of first fruits ultimately pointed to and fulfilled
[00:36:04.400 --> 00:36:10.280]   in Christ.
[00:36:10.280 --> 00:36:16.880]   The summer festival is the Pentecost, was the inauguration of Christ's church.
[00:36:16.880 --> 00:36:22.840]   Remember what we talked about, the Pentecost means 50, because it commemorated not only
[00:36:22.840 --> 00:36:30.200]   the harvest festival for the summer, but it pointed to receiving of the Mosaic law.
[00:36:30.200 --> 00:36:35.840]   Fifty days after they leave Egypt, Moses goes up to the mountain and he receives the law
[00:36:35.840 --> 00:36:41.360]   and the new covenant is established with the nation of Israel, the Mosaic covenant.
[00:36:41.360 --> 00:36:50.080]   What happens at Pentecost in the New Testament?
[00:36:50.080 --> 00:36:51.800]   Acts chapter 2.
[00:36:51.800 --> 00:36:56.440]   The disciples are gathered together and the Holy Spirit comes upon them and people think
[00:36:56.440 --> 00:37:01.280]   that they're drunk, but it's the Holy Spirit and as they are speaking, everybody understands
[00:37:01.280 --> 00:37:05.920]   it in their language and the new covenant is established on what?
[00:37:05.920 --> 00:37:08.560]   At the Pentecost.
[00:37:08.560 --> 00:37:15.560]   So the first Pentecost in Exodus was the receiving of the first covenant, right?
[00:37:15.560 --> 00:37:21.000]   The second Pentecost in Acts chapter 2 is the receiving of the new covenant in Christ.
[00:37:21.000 --> 00:37:29.480]   So the Pentecost ultimately pointed to the new covenant fulfilled in Christ, right?
[00:37:29.480 --> 00:37:30.480]   How many of you knew that?
[00:37:30.480 --> 00:37:31.480]   A few of you.
[00:37:31.480 --> 00:37:35.880]   Some of you guys are just tired.
[00:37:35.880 --> 00:37:42.640]   I mean, it's hugely significant.
[00:37:42.640 --> 00:37:48.560]   So this, let me just spend just a little bit more time here, because if you read Leviticus
[00:37:48.560 --> 00:37:56.160]   chapter 23, you will find that at the Pentecost, every offering was given except for the guilt
[00:37:56.160 --> 00:37:58.400]   offering, right?
[00:37:58.400 --> 00:38:03.440]   The burnt offering, peace offering, there's a sin offering, grain offering, they were
[00:38:03.440 --> 00:38:04.440]   all offered.
[00:38:04.440 --> 00:38:10.960]   The only one not offered is the guilt offering, because the guilt offering was when you violated
[00:38:10.960 --> 00:38:13.600]   something, you became unclean, right?
[00:38:13.600 --> 00:38:25.820]   But every other offering was given for this, because it was fulfilled in Christ, right?
[00:38:25.820 --> 00:38:28.720]   And then this offering, they were to waive, right?
[00:38:28.720 --> 00:38:33.820]   A waive offering were a separate class of offerings given to God as a show of servitude
[00:38:33.820 --> 00:38:41.080]   or peace and commitment, which is what that new covenant symbolized, right?
[00:38:41.080 --> 00:38:45.720]   Because the old covenant was of the law of blessings and curses, the new covenant was
[00:38:45.720 --> 00:38:48.720]   of peace, right?
[00:38:48.720 --> 00:38:53.640]   And it is at this covenant, at the end of this covenant, it says, "God ordered not to
[00:38:53.640 --> 00:38:57.660]   reap the corners of the field, nor gather the gleaning of their harvest.
[00:38:57.660 --> 00:39:01.640]   They were to be left for the needy and the aliens."
[00:39:01.640 --> 00:39:06.560]   Now you knew about this teaching, because he mentions it before, but did you know that
[00:39:06.560 --> 00:39:11.640]   this was part of the feast of Pentecost?
[00:39:11.640 --> 00:39:14.240]   He embedded into their feast.
[00:39:14.240 --> 00:39:17.000]   So God wasn't just being generous.
[00:39:17.000 --> 00:39:21.800]   Yes, he was gracious and he was merciful, he cared for the aliens, all that is true,
[00:39:21.800 --> 00:39:27.880]   but he embeds this into the Pentecost because the new covenant was going to be symbolized
[00:39:27.880 --> 00:39:30.080]   by his mercy, right?
[00:39:30.080 --> 00:39:34.600]   It was part of the Pentecost celebration, right?
[00:39:34.600 --> 00:39:37.160]   You get the significance of all of this?
[00:39:37.160 --> 00:39:38.160]   Yes?
[00:39:38.160 --> 00:39:41.120]   Just nod your head, let me know that you're following.
[00:39:41.120 --> 00:39:44.560]   Okay, three of you, thank you.
[00:39:44.560 --> 00:39:45.640]   Okay.
[00:39:45.640 --> 00:39:46.640]   Do you really?
[00:39:46.640 --> 00:39:50.100]   Because this is huge, right?
[00:39:50.100 --> 00:39:51.280]   This is not random.
[00:39:51.280 --> 00:39:58.120]   God placed this into the Pentecost celebration and ultimately points to the new covenant
[00:39:58.120 --> 00:40:03.880]   in Christ that's established in Acts chapter 2, and what characterizes this new covenant
[00:40:03.880 --> 00:40:09.640]   is peace and mercy, where the old covenant was of the law, right?
[00:40:09.640 --> 00:40:13.400]   Of blessing and curses.
[00:40:13.400 --> 00:40:16.400]   Let it sink in, it's huge.
[00:40:16.400 --> 00:40:27.280]   For the sake of time, I'm not going to read it, but basically it talks about the new covenant
[00:40:27.280 --> 00:40:29.720]   versus the old covenant.
[00:40:29.720 --> 00:40:37.000]   The verses on your sheet.
[00:40:37.000 --> 00:40:43.440]   The fall festival ultimately pointed to the future fulfillment of our Savior when he comes.
[00:40:43.440 --> 00:40:47.400]   So we looked at the first three, the Passover, the Feast of Unleavened Bread, and Feast of
[00:40:47.400 --> 00:40:48.400]   Fruits.
[00:40:48.400 --> 00:40:51.600]   These are things that Christ established in his death, right?
[00:40:51.600 --> 00:40:53.520]   And his end resurrection.
[00:40:53.520 --> 00:40:59.180]   The summer feast, it represented the inauguration of the church and the new covenant.
[00:40:59.180 --> 00:41:03.880]   And then these last three feasts ultimately pointed to fulfillment in Christ.
[00:41:03.880 --> 00:41:08.360]   Because the Feast of Trumpets points to the future gathering of his people at the resurrection.
[00:41:08.360 --> 00:41:13.680]   So let me get to the verse.
[00:41:13.680 --> 00:41:21.440]   So 1 Corinthians 15, 52, it says, "In a moment, in the twinkle of an eye, at the last trumpet,
[00:41:21.440 --> 00:41:26.160]   for the trumpet will sound and the dead will be raised imperishable and we will be chained.
[00:41:26.160 --> 00:41:30.520]   For the perishable must put on the imperishable and this mortal must put on immortality."
[00:41:30.520 --> 00:41:35.180]   So this is talking about the resurrection from the dead, right?
[00:41:35.180 --> 00:41:39.800]   This is talking about that our own resurrection that's going to be fulfilled in Christ.
[00:41:39.800 --> 00:41:43.360]   And then he says, "When that trumpet sounds, we will be raised from the dead."
[00:41:43.360 --> 00:41:45.260]   It's talking about future, right?
[00:41:45.260 --> 00:41:58.540]   So the Trumpet Festival, okay, the Trumpet Festival pointed to our own resurrection,
[00:41:58.540 --> 00:42:00.580]   ultimately.
[00:42:00.580 --> 00:42:05.860]   The Day of Atonement celebrates when sin and its effect will one day be completely wiped
[00:42:05.860 --> 00:42:08.760]   out.
[00:42:08.760 --> 00:42:13.580]   So we know that the Day of Atonement in Israel's history, they were to basically clean house
[00:42:13.580 --> 00:42:19.620]   and it symbolized all of the sins of Israel being cast out, remember, with the two goats.
[00:42:19.620 --> 00:42:25.140]   One is slaughtered, the other one representing the sin of Israel is let out, right?
[00:42:25.140 --> 00:42:32.780]   Meaning that it's being cast out into like a way outside the camp, right?
[00:42:32.780 --> 00:42:42.100]   Ultimately, in Revelation 21, 4-5, it says, "And he will wipe away every tear from their
[00:42:42.100 --> 00:42:47.260]   eyes, and there will no longer be any death, there will no longer be any mourning or crying
[00:42:47.260 --> 00:42:48.420]   or pain.
[00:42:48.420 --> 00:42:49.900]   The first things have passed away.
[00:42:49.900 --> 00:42:53.740]   And he who sits on the throne said, 'Behold, I am making all things new.'
[00:42:53.740 --> 00:42:59.700]   And he said, 'Write, for those words are faithful and true.'"
[00:42:59.700 --> 00:43:05.940]   So the Day of Atonement, even though obviously it points to our sins being atoned for by
[00:43:05.940 --> 00:43:09.580]   the blood of Christ, but sin being completely cast out.
[00:43:09.580 --> 00:43:13.060]   Has that happened?
[00:43:13.060 --> 00:43:16.980]   It started, but not completely, right?
[00:43:16.980 --> 00:43:21.700]   That's why we are saved, but we're also being saved, because we're being sanctified.
[00:43:21.700 --> 00:43:27.260]   We're learning how to remove sin from our lives, and it is at the glorification when
[00:43:27.260 --> 00:43:29.880]   the sins will be ultimately and finally removed.
[00:43:29.880 --> 00:43:34.820]   And so when sin is finally removed, he says, "There is no more pain, no more crying,
[00:43:34.820 --> 00:43:35.820]   no more mourning."
[00:43:35.820 --> 00:43:42.900]   In other words, mourning, crying, and pain is a direct result of presence of sin.
[00:43:42.900 --> 00:43:46.300]   So the Day of Atonement ultimately points to the fulfillment that we will have when
[00:43:46.300 --> 00:43:54.500]   Christ returns, and we are glorified with him.
[00:43:54.500 --> 00:43:57.780]   And then finally, the Feast of Booths or Tabernacle points to the establishment of a new heaven
[00:43:57.780 --> 00:44:01.620]   and new eternal dwelling for God's people.
[00:44:01.620 --> 00:44:05.700]   You know what's really interesting here is that Feast of Booths, during that time,
[00:44:05.700 --> 00:44:12.020]   they've put up all kinds of lights, and they believe that when the Messiah comes, that
[00:44:12.020 --> 00:44:19.300]   the Messiah was going to lead them into new heaven and new earth, or what they thought,
[00:44:19.300 --> 00:44:24.060]   which meant that they thought that the Messiah was going to come and lead them to conquer
[00:44:24.060 --> 00:44:25.660]   Rome.
[00:44:25.660 --> 00:44:30.720]   So they would look at these lights, so they had lights lit up all over the temple.
[00:44:30.720 --> 00:44:36.900]   And it was at this festival where Jesus says, "I am the light."
[00:44:36.900 --> 00:44:40.460]   He's telling the people who are waiting for the Messiah to come, "Be the light and overcome."
[00:44:40.460 --> 00:44:41.820]   He says, "No, I am the light."
[00:44:41.820 --> 00:44:46.900]   But they didn't understand what Jesus meant was that he was going to conquer sin, and
[00:44:46.900 --> 00:44:50.000]   he was going to deliver them from their own sins.
[00:44:50.000 --> 00:44:53.780]   And when they couldn't accept that, they ended up crucifying him.
[00:44:53.780 --> 00:44:59.860]   So during this period, people would live in booths, and then they would expect the Messiah
[00:44:59.860 --> 00:45:00.920]   to come.
[00:45:00.920 --> 00:45:07.060]   So now they're living in houses, but they wanted to live in mansions.
[00:45:07.060 --> 00:45:11.540]   The scripture says the fulfillment is ultimately, again, in Christ.
[00:45:11.540 --> 00:45:19.640]   Revelation 21, 10-11, "And he carried me away in the spirit to a great and high mountain,
[00:45:19.640 --> 00:45:23.340]   and showed me the holy city Jerusalem, coming down out of the heaven from God, having the
[00:45:23.340 --> 00:45:24.340]   glory of God.
[00:45:24.340 --> 00:45:30.380]   Her brilliance was like a very costly stone, as a stone crystal clear jasper."
[00:45:30.380 --> 00:45:35.900]   So ultimately, the Feast of Booths pointed to the new heaven and new earth that was going
[00:45:35.900 --> 00:45:41.580]   to come, that our holy dwelling is going to be much better, much more glorious than you
[00:45:41.580 --> 00:45:43.840]   and I can possibly imagine.
[00:45:43.840 --> 00:45:49.580]   So think about how much hope that we place on saving money, buying a house, getting a
[00:45:49.580 --> 00:45:56.620]   better car, retirement, and all of these things, so trivial in light of the eternal dwelling
[00:45:56.620 --> 00:46:02.420]   that he's going to bring in the new heaven and new earth.
[00:46:02.420 --> 00:46:08.100]   Even if your most wildest imagination was fulfilled on this earth, when the new heaven
[00:46:08.100 --> 00:46:12.380]   and new earth comes, it's going to look like rubbish.
[00:46:12.380 --> 00:46:16.780]   And so that's what the Feast of Booths was to point to, ultimately it was going to point
[00:46:16.780 --> 00:46:19.780]   to when sin is wiped out, right?
[00:46:19.780 --> 00:46:27.420]   If you live in a mansion and you are surrounded by criminals and sin inside the house, right?
[00:46:27.420 --> 00:46:28.860]   What makes a home home?
[00:46:28.860 --> 00:46:30.460]   Because you feel comfortable.
[00:46:30.460 --> 00:46:37.780]   But if your home is in turmoil, people are fighting, there's jealousy, division, like
[00:46:37.780 --> 00:46:40.260]   you want to live in that mansion?
[00:46:40.260 --> 00:46:42.140]   Right?
[00:46:42.140 --> 00:46:47.020]   I mean, just because it's big and it's comfortable, it's like, no.
[00:46:47.020 --> 00:46:50.240]   You're never going to feel home until sin is wiped out.
[00:46:50.240 --> 00:46:53.420]   And that's what Christ said he was going to do, right?
[00:46:53.420 --> 00:46:57.940]   When the effects of sin are wiped out, the new home and the new dwelling he's going to
[00:46:57.940 --> 00:47:00.900]   bring is going to be a place without sin.
[00:47:00.900 --> 00:47:03.540]   So it's not about the building, right?
[00:47:03.540 --> 00:47:05.620]   It's not about the comfort.
[00:47:05.620 --> 00:47:10.800]   It's about the absence of sin that only Christ can establish, right?
[00:47:10.800 --> 00:47:15.140]   You see why these seven festivals are so, so, so, so significant?
[00:47:15.140 --> 00:47:16.140]   And so think about it.
[00:47:16.140 --> 00:47:21.340]   Think about, like, God knew their tendency to wander and forget.
[00:47:21.340 --> 00:47:25.260]   That's why the Old Testament's over and over again said, "Remember, remember, remember,
[00:47:25.260 --> 00:47:26.260]   remember," right?
[00:47:26.260 --> 00:47:31.220]   Like, if you look at our Christian lives, how much of our Christian life becomes mundane
[00:47:31.220 --> 00:47:34.820]   because it's become old, right?
[00:47:34.820 --> 00:47:37.640]   The same things don't affect us.
[00:47:37.640 --> 00:47:40.860]   And it's not because it's not glorious, like, "Ah, we've seen it all.
[00:47:40.860 --> 00:47:41.860]   We've done it all."
[00:47:41.860 --> 00:47:46.500]   It's because we're distracted with entertainment, right?
[00:47:46.500 --> 00:47:50.360]   Our stomachs are filled with the things of this world, so by the time we come to God,
[00:47:50.360 --> 00:47:56.980]   there isn't much room to observe his glory, right?
[00:47:56.980 --> 00:48:01.100]   And so even when we do hear it, we get glimpses of it, but you're not filled with it because
[00:48:01.100 --> 00:48:03.460]   you're already filled with other things.
[00:48:03.460 --> 00:48:05.940]   And so imagine, like, this wasn't just a few days.
[00:48:05.940 --> 00:48:11.800]   It's like months and months he embedded this into the culture so that even if their hearts
[00:48:11.800 --> 00:48:16.600]   were not engaged, at least physically God made them.
[00:48:16.600 --> 00:48:21.780]   Physically God made them to sit down, don't touch anything, and make sure that you never
[00:48:21.780 --> 00:48:25.560]   forget this, right?
[00:48:25.560 --> 00:48:30.020]   So when we come to the New Testament, why do we have Sunday worship?
[00:48:30.020 --> 00:48:36.220]   Why does it say, you know, not to forsake gathering together as it is the habit of some,
[00:48:36.220 --> 00:48:37.220]   right?
[00:48:37.220 --> 00:48:40.780]   But consider how to stimulate one another, right?
[00:48:40.780 --> 00:48:43.180]   Provoke one another on toward loving good deeds.
[00:48:43.180 --> 00:48:45.100]   All the more as you see the day drawing near.
[00:48:45.100 --> 00:48:46.660]   Why does he tell us to do that?
[00:48:46.660 --> 00:48:52.020]   Because that's our tendency to drift and forget, become mundane, right?
[00:48:52.020 --> 00:48:57.180]   So all the things that God has given us, the church, the leadership, small groups, right?
