
[00:00:00.000 --> 00:00:12.640]   Guilty pair bowed down with care, God gave His Son to win.
[01:05:23.120 --> 01:05:29.120]   weeks ago was to really reflect on how the gospel impacted you.
[01:05:29.120 --> 01:05:32.120]   And when we first remember the gospel,
[01:05:32.120 --> 01:05:34.120]   we remember God's grace.
[01:05:34.120 --> 01:05:36.120]   We remember the fact that we were dead,
[01:05:36.120 --> 01:05:39.120]   the fact that we had nothing to begin with.
[01:05:39.120 --> 01:05:43.120]   So the fact that we even have an opportunity to believe
[01:05:43.120 --> 01:05:49.120]   and call on, you know, our Abba Father is God's grace to us.
[01:05:49.120 --> 01:05:51.120]   We shouldn't rather look at what we don't have,
[01:05:51.120 --> 01:05:54.120]   but really look at the things that God has really blessed us with.
[01:05:54.120 --> 01:05:58.120]   So as we sing these next couple of songs,
[01:05:58.120 --> 01:06:00.120]   let's just really reflect on that truth,
[01:06:00.120 --> 01:06:05.120]   the fact that, you know, God has given us so much already,
[01:06:05.120 --> 01:06:08.120]   and we should have a heart of thankfulness to him
[01:06:08.120 --> 01:06:09.120]   in all circumstances.
[01:06:09.120 --> 01:06:11.120]   We should have a heart of thankfulness to God
[01:06:11.120 --> 01:06:14.120]   and a heart of gratefulness to him in all circumstances,
[01:06:14.120 --> 01:06:16.120]   regardless of whatever we're going through.
[01:06:16.120 --> 01:06:18.120]   So let's reflect on that truth.
[01:06:18.120 --> 01:06:21.120]   Why don't we all stand for these next couple of songs?
[01:06:21.120 --> 01:06:38.120]   [music]
[01:06:38.120 --> 01:06:44.120]   The mystery of the cross I cannot comprehend
[01:06:44.120 --> 01:06:51.120]   The agonies of Calvary
[01:06:51.120 --> 01:06:58.120]   You, the perfect Holy One, crushed your son
[01:06:58.120 --> 01:07:04.120]   And drank the bitter cup reserved for me
[01:07:04.120 --> 01:07:11.120]   Your blood has washed away my sin, Jesus, thank you
[01:07:11.120 --> 01:07:18.120]   The Father's wrath completely satisfied, Jesus, thank you
[01:07:18.120 --> 01:07:30.120]   Once your enemy, now seated at your table, Jesus, thank you
[01:07:30.120 --> 01:07:42.120]   [music]
[01:07:42.120 --> 01:07:48.120]   By your perfect sacrifice I've been brought new
[01:07:48.120 --> 01:07:55.120]   Your enemy, you've made your friend
[01:07:55.120 --> 01:08:02.120]   Pouring out the riches of your glorious grace
[01:08:02.120 --> 01:08:08.120]   Your mercy and your kindness now know when
[01:08:08.120 --> 01:08:15.120]   Your blood has washed away my sin, Jesus, thank you
[01:08:15.120 --> 01:08:22.120]   The Father's wrath completely satisfied, Jesus, thank you
[01:08:22.120 --> 01:08:34.120]   Once your enemy, now seated at your table, Jesus, thank you
[01:08:34.120 --> 01:08:42.120]   [music]
[01:08:42.120 --> 01:08:44.120]   So lover of my soul
[01:08:44.120 --> 01:08:58.120]   I want to live for you
[01:08:58.120 --> 01:09:04.120]   Lover of my soul
[01:09:04.120 --> 01:09:11.120]   I want to live for you
[01:09:11.120 --> 01:09:17.120]   Lover of my soul
[01:09:17.120 --> 01:09:25.120]   I want to live for you
[01:09:25.120 --> 01:09:31.120]   Lover of my soul
[01:09:31.120 --> 01:09:39.120]   I want to live for you
[01:09:39.120 --> 01:09:46.120]   Your blood has washed away my sin, Jesus, thank you
[01:09:46.120 --> 01:09:53.120]   The Father's wrath completely satisfied, Jesus, thank you
[01:09:53.120 --> 01:10:06.120]   Once your enemy, now seated at your table, Jesus, thank you
[01:10:06.120 --> 01:10:19.120]   [music]
[01:10:25.120 --> 01:10:37.120]   [piano]
[01:10:37.120 --> 01:10:43.120]   How great the chasm that lay between us
[01:10:43.120 --> 01:10:50.120]   How high the mountain I could not climb
[01:10:50.120 --> 01:10:57.120]   In desperation I turned to heaven
[01:10:57.120 --> 01:11:03.120]   And spoke your name into the night
[01:11:03.120 --> 01:11:10.120]   Then through the darkness your loving kindness
[01:11:10.120 --> 01:11:17.120]   Tore through the shadows of my soul
[01:11:17.120 --> 01:11:24.120]   The work is finished, the end is written
[01:11:24.120 --> 01:11:30.120]   Jesus Christ, I live thee alone
[01:11:30.120 --> 01:11:34.120]   [piano]
[01:11:34.120 --> 01:11:40.120]   Who could imagine so great a mercy
[01:11:40.120 --> 01:11:46.120]   What heart could fathom such boundless grace
[01:11:46.120 --> 01:11:53.120]   The God of ages stepped down from glory
[01:11:53.120 --> 01:12:00.120]   To bear my sin and end my shame
[01:12:00.120 --> 01:12:06.120]   The cross has spoken, I am forgiven
[01:12:06.120 --> 01:12:13.120]   The King of kings calls me his own
[01:12:13.120 --> 01:12:20.120]   A beautiful Savior, I'm yours forever
[01:12:20.120 --> 01:12:27.120]   Jesus Christ, my living hope
[01:12:27.120 --> 01:12:34.120]   Hallelujah, praise the one who set me free
[01:12:34.120 --> 01:12:40.120]   Hallelujah, death has lost its grip on me
[01:12:40.120 --> 01:12:47.120]   You have broken every chain, there's salvation in your name
[01:12:47.120 --> 01:12:53.120]   Jesus Christ, my living hope
[01:12:53.120 --> 01:13:00.120]   Hallelujah, praise the one who set me free
[01:13:00.120 --> 01:13:07.120]   Hallelujah, death has lost its grip on me
[01:13:07.120 --> 01:13:14.120]   You have broken every chain, there's salvation in your name
[01:13:14.120 --> 01:13:21.120]   Jesus Christ, my living hope
[01:13:21.120 --> 01:13:24.120]   [piano]
[01:13:24.120 --> 01:13:30.120]   Then came the morning that sealed the promise
[01:13:30.120 --> 01:13:37.120]   Your buried body began to breathe
[01:13:37.120 --> 01:13:43.120]   Out of the silence, the roaring lion
[01:13:43.120 --> 01:13:50.120]   Declared the grave has no claim on me
[01:13:50.120 --> 01:13:57.120]   Then came the morning that sealed the promise
[01:13:57.120 --> 01:14:03.120]   Your buried body began to breathe
[01:14:03.120 --> 01:14:10.120]   Out of the silence, the roaring lion
[01:14:10.120 --> 01:14:17.120]   Declared the grave has no claim on me
[01:14:17.120 --> 01:14:24.120]   Jesus Christ is the victory
[01:14:24.120 --> 01:14:34.120]   Oh, hallelujah, praise the one who set me free
[01:14:34.120 --> 01:14:40.120]   Hallelujah, death has lost its grip on me
[01:14:40.120 --> 01:14:47.120]   You have broken every chain, there's salvation in your name
[01:14:47.120 --> 01:14:54.120]   Jesus Christ, my living hope
[01:14:54.120 --> 01:15:00.120]   Hallelujah, praise the one who set me free
[01:15:00.120 --> 01:15:07.120]   Hallelujah, death has lost its grip on me
[01:15:07.120 --> 01:15:14.120]   You have broken every chain, there's salvation in your name
[01:15:14.120 --> 01:15:20.120]   Jesus Christ, my living hope
[01:15:20.120 --> 01:15:27.120]   Jesus Christ, my living hope
[01:15:27.120 --> 01:15:34.120]   Jesus Christ, my living hope
[01:15:34.120 --> 01:15:37.120]   [piano]
[01:15:42.120 --> 01:15:48.120]   You guys just remain standing because we're going to start moving into our final topic.
[01:15:48.120 --> 01:15:56.120]   And what I'd like to highlight is the topic of expressing your love to God and saying to our Lord and Father,
[01:15:56.120 --> 01:16:03.120]   our Savior, our Master, everything to us, that God I love you. Right?
[01:16:03.120 --> 01:16:11.120]   Now, one, for a lot of us, or some of us, those words I love you, we, you know,
[01:16:11.120 --> 01:16:16.120]   we deserve for those special relationships, and we should, you know.
[01:16:16.120 --> 01:16:21.120]   We shouldn't just be throwing around like, I love this, I love that, I love this, because perhaps then
[01:16:21.120 --> 01:16:28.120]   we make cheap of the affection that we give, right? But nevertheless, with our God,
[01:16:28.120 --> 01:16:35.120]   we start the night thinking about what's pleasing to Him. And you think from His perspective.
[01:16:35.120 --> 01:16:41.120]   The way to deeply please the Lord is to receive the love and affection that we have,
[01:16:41.120 --> 01:16:46.120]   to express it verbally, to express it in every way possible.
[01:16:46.120 --> 01:16:54.120]   And so, as we think about this last topic, think about how many times in Scripture God has said,
[01:16:54.120 --> 01:17:01.120]   as a matter of fact, I mean, you think about what Christ asked of His disciples, "Do you love me?"
[01:17:01.120 --> 01:17:07.120]   He asked Peter, "Do you love me more than these?" God summarized the entire law that we ought to love God
[01:17:07.120 --> 01:17:14.120]   with all our heart, mind, and soul, and strength. You think about what is the will of God for us.
[01:17:14.120 --> 01:17:21.120]   Yes, we want to be diligent. Yes, we want to put forth all that we can in everything we do.
[01:17:21.120 --> 01:17:27.120]   But if there is an endeavor that is genuinely pleasing to God, we know that He would love to hear our voice
[01:17:27.120 --> 01:17:31.120]   proclaiming our love for Him. Amen? So as we wrap up with this last song,
[01:17:31.120 --> 01:17:36.120]   again, continue to just pour out your heart to the Lord. Let's sing.
[01:17:36.120 --> 01:17:48.120]   [Music]
[01:17:48.120 --> 01:18:06.120]   I love you, Lord, and I lift my voice to worship you.
[01:18:06.120 --> 01:18:28.120]   Oh, my soul, rejoice, take joy, my King, in what you hear.
[01:18:28.120 --> 01:18:41.120]   Let it be a sweet, sweet sound in your ear.
[01:18:41.120 --> 01:18:43.120]   Sing, "I love you, Lord."
[01:18:43.120 --> 01:19:01.120]   I love you, Lord, and I lift my voice to worship you.
[01:19:01.120 --> 01:19:24.120]   Oh, my soul, rejoice, take joy, my King, in what you hear.
[01:19:24.120 --> 01:19:50.120]   Let it be a sweet, sweet sound in your ear.
[01:19:50.120 --> 01:19:56.120]   [Music]
[01:19:56.120 --> 01:20:00.120]   Let's bow our heads for a word of prayer as we end the evening.
[01:20:00.120 --> 01:20:05.120]   God, we are, again, so thankful that we're able to gather.
[01:20:05.120 --> 01:20:09.120]   Lord, that we're able to lift up to you our voices.
[01:20:09.120 --> 01:20:14.120]   And God, to say to you, Lord, you are exalted on high.
[01:20:14.120 --> 01:20:20.120]   God, although we be so weak and sinful, your grace is so sufficient for us.
[01:20:20.120 --> 01:20:23.120]   And God, we thank you from the bottom of our hearts.
[01:20:23.120 --> 01:20:27.120]   And what's more, God, we recognize the most cursed state,
[01:20:27.120 --> 01:20:34.120]   the worst of all scenarios, would be to be far from you, God, to not know your love.
[01:20:34.120 --> 01:20:40.120]   And what's more, the most dangerous situation for us would be when our hearts are cold for you.
[01:20:40.120 --> 01:20:45.120]   And so I pray, Father God, that you would challenge us, you would teach us,
[01:20:45.120 --> 01:20:50.120]   you would stir us through your Spirit, so that, God, our love for you would be lively.
[01:20:50.120 --> 01:20:55.120]   God, we praise you and lift you up. We thank you again. It's in Christ's name we pray. Amen.
[01:20:55.120 --> 01:21:01.120]   All right, everybody. The sanctuary is going to be open for you guys to hang out and just fellowship and talk.
[01:21:01.120 --> 01:21:04.120]   But that concludes our worship service. Thanks.
[01:21:04.120 --> 01:21:09.120]   [Music]

