
[00:00:00.000 --> 00:00:08.160]   - Good morning again.
[00:18:16.020 --> 00:18:18.500]   And he said, "I am."
[00:18:18.500 --> 00:18:23.980]   What I found both in pattern of sin
[00:18:23.980 --> 00:18:27.100]   and as I prepared this sermon,
[00:18:27.100 --> 00:18:32.100]   I started thinking about various sins that I've committed
[00:18:32.100 --> 00:18:34.120]   and moments that I lied.
[00:18:34.120 --> 00:18:37.380]   And one of the patterns that I saw in my own life
[00:18:37.380 --> 00:18:40.020]   and then also in the lives of people at council too
[00:18:40.020 --> 00:18:45.460]   is when we're in a lie, you rarely actually give up.
[00:18:45.460 --> 00:18:46.980]   What you do is you double down.
[00:18:46.980 --> 00:18:50.260]   And that's what Jacob is doing.
[00:18:50.260 --> 00:18:52.200]   Isaac is already suspicious.
[00:18:52.200 --> 00:18:54.340]   Isaac has now asked multiple times.
[00:18:54.340 --> 00:18:57.060]   He's even asked for proof by touching his hand
[00:18:57.060 --> 00:18:58.420]   and he doubles down.
[00:18:58.420 --> 00:19:00.580]   Can I tell you a funny story?
[00:19:00.580 --> 00:19:01.540]   It was a long time ago
[00:19:01.540 --> 00:19:03.680]   and so I feel like I could share with you.
[00:19:03.680 --> 00:19:06.820]   This was when I was really interested in Bia,
[00:19:06.820 --> 00:19:08.980]   but the thing about it is I had done that thing
[00:19:08.980 --> 00:19:10.180]   where I told my guy friends,
[00:19:10.180 --> 00:19:11.020]   like, "You know what I'm gonna do?
[00:19:11.020 --> 00:19:12.060]   "I'm gonna do the godly thing
[00:19:12.060 --> 00:19:13.500]   "and focus on my spiritual growth.
[00:19:13.500 --> 00:19:15.940]   "So I'm not interested in anybody."
[00:19:15.940 --> 00:19:17.900]   Lies, okay?
[00:19:17.900 --> 00:19:18.900]   So as you guys know,
[00:19:18.900 --> 00:19:21.740]   my good older brother at that time was Elder James Hong.
[00:19:21.740 --> 00:19:24.100]   He was such a good older brother to me.
[00:19:24.100 --> 00:19:26.220]   And one time he just kind of grabbed me by the shoulder
[00:19:26.220 --> 00:19:27.060]   and was like, "Hey."
[00:19:27.060 --> 00:19:30.060]   And back then he called me Moon, my Korean name.
[00:19:30.060 --> 00:19:33.700]   And he was like, "Hey Moon, are you interested in Bia?"
[00:19:33.700 --> 00:19:34.540]   "No."
[00:19:34.540 --> 00:19:36.220]   You know, "No."
[00:19:36.220 --> 00:19:39.700]   And then I remember him asking me,
[00:19:39.700 --> 00:19:43.300]   did you try anything, like talk to her?
[00:19:43.300 --> 00:19:45.500]   It's like, "Nah, you know, no."
[00:19:45.500 --> 00:19:47.460]   And then he was like, "Oh, let's go for a drive and stuff."
[00:19:47.460 --> 00:19:49.900]   'Cause back then when we were stressed with studies
[00:19:49.900 --> 00:19:52.300]   or stuff like that, we'd just go for a drive.
[00:19:52.300 --> 00:19:53.460]   And he went on a drive with me
[00:19:53.460 --> 00:19:56.100]   and he was just giving me the opportunity, dude.
[00:19:56.100 --> 00:19:59.420]   And then he looked over at me and he grabbed my shoulder
[00:19:59.420 --> 00:20:03.860]   and he's like, "Dude, she asked me what I thought of you
[00:20:03.860 --> 00:20:06.420]   "because she told me you talked to her."
[00:20:06.420 --> 00:20:07.420]   I was like, "Oh no."
[00:20:07.420 --> 00:20:11.900]   So embarrassed 'cause he asked me multiple times,
[00:20:11.900 --> 00:20:12.740]   did you talk to her?
[00:20:12.740 --> 00:20:13.740]   And I was like, "Nah."
[00:20:13.740 --> 00:20:17.340]   So embarrassing.
[00:20:17.340 --> 00:20:20.020]   I'm gonna be honest, it's so embarrassing.
[00:20:20.020 --> 00:20:22.580]   And I looked at him and I was like, "Oh my God,
[00:20:22.580 --> 00:20:24.260]   "I'm so sorry."
[00:20:24.260 --> 00:20:30.220]   But I think back to that and it's like, even in,
[00:20:30.220 --> 00:20:31.900]   again, I share with you funny stories,
[00:20:31.900 --> 00:20:34.820]   but there is a wicked sinfulness
[00:20:34.820 --> 00:20:37.100]   that does not want to give up.
[00:20:37.100 --> 00:20:42.220]   You double down on your sin, it's like, "I am Esau,
[00:20:42.220 --> 00:20:46.660]   "feel me, hear my voice."
[00:20:46.660 --> 00:20:49.940]   I imagine if we were to just jump in that scenario
[00:20:49.940 --> 00:20:54.060]   and watch him, it would be comical, right?
[00:20:54.060 --> 00:21:00.420]   Because he's covered in a facade, literally in sheep's clothe.
[00:21:01.460 --> 00:21:02.940]   That's wild.
[00:21:02.940 --> 00:21:05.980]   But it convicts my heart because, do you guys remember,
[00:21:05.980 --> 00:21:09.620]   Pastor Peter preached a sermon through chapter 11
[00:21:09.620 --> 00:21:11.740]   about the members of the hall of faith, so to speak,
[00:21:11.740 --> 00:21:13.660]   and Jacob's in there.
[00:21:13.660 --> 00:21:16.700]   And I'm sitting here, reading through Genesis,
[00:21:16.700 --> 00:21:19.460]   thinking, "That guy doesn't belong in there.
[00:21:19.460 --> 00:21:22.540]   "He's a liar, absolute deceiving liar.
[00:21:22.540 --> 00:21:26.260]   "So much so, he lies to his own father to his face,
[00:21:26.260 --> 00:21:29.940]   "but his father is in his basically death.
[00:21:30.860 --> 00:21:33.620]   "He's old and passing away.
[00:21:33.620 --> 00:21:36.900]   "His father is easily manipulated because he's blind.
[00:21:36.900 --> 00:21:38.380]   "He can't see.
[00:21:38.380 --> 00:21:41.060]   "And you lied to him."
[00:21:41.060 --> 00:21:45.660]   And it was just so, what a juxtaposition
[00:21:45.660 --> 00:21:48.060]   of how sinful he is.
[00:21:48.060 --> 00:21:49.980]   And then it gets worse, you know why?
[00:21:49.980 --> 00:21:51.900]   Because not only does he lie to his father,
[00:21:51.900 --> 00:21:54.460]   he lies to his brother, whom he has swindled
[00:21:54.460 --> 00:21:57.420]   and lied to multiple times,
[00:21:57.420 --> 00:22:01.300]   even after the reconciliation of the brothers.
[00:22:01.300 --> 00:22:04.940]   So turn your Bibles over to Genesis chapter 33,
[00:22:04.940 --> 00:22:09.940]   and look at the track record of sin in mankind.
[00:22:09.940 --> 00:22:17.300]   What happens is, Jacob, because of the consequence
[00:22:17.300 --> 00:22:20.020]   of his sin, he has to run away and escape.
[00:22:20.020 --> 00:22:22.940]   And as you guys know the story, he comes into a land,
[00:22:22.940 --> 00:22:24.460]   works for this individual, Laban,
[00:22:24.460 --> 00:22:27.100]   and he wants the daughter for a wife.
[00:22:27.100 --> 00:22:28.860]   He ends up getting tricked,
[00:22:28.860 --> 00:22:30.780]   and then it's kind of like, "Ha ha, just desserts.
[00:22:30.780 --> 00:22:34.180]   "You trick people, you get tricked, bada boom," right?
[00:22:34.180 --> 00:22:37.220]   And then he ends up having two wives, which is, again.
[00:22:37.220 --> 00:22:39.180]   And then there's all this turmoil going back and forth.
[00:22:39.180 --> 00:22:41.620]   There's actually a lot of deception back and forth
[00:22:41.620 --> 00:22:43.700]   with his father-in-law, Laban,
[00:22:43.700 --> 00:22:46.260]   where he has to do some trickery to get all the sheep,
[00:22:46.260 --> 00:22:47.620]   and then he's tricking him
[00:22:47.620 --> 00:22:49.140]   so that he doesn't get all the sheep,
[00:22:49.140 --> 00:22:51.020]   and then finally he leaves.
[00:22:51.020 --> 00:22:53.180]   Upon leaving, God tells him,
[00:22:53.180 --> 00:22:57.140]   "I want you to go back to your homeland,
[00:22:57.140 --> 00:22:58.660]   "where your family is."
[00:22:58.660 --> 00:23:00.540]   So he decides, "I'm gonna obey.
[00:23:00.540 --> 00:23:02.140]   "God has been with me," and he goes,
[00:23:02.140 --> 00:23:04.700]   and on his journey there, bum, bum, bum,
[00:23:04.700 --> 00:23:05.540]   one of his servants says,
[00:23:05.540 --> 00:23:10.100]   "Your brother is coming for you with 400 men."
[00:23:10.100 --> 00:23:12.460]   Jacob's like, "Oh my goodness."
[00:23:12.460 --> 00:23:16.180]   Now, just as a side note, as a consequence of sin and lies,
[00:23:16.180 --> 00:23:17.620]   you will always be paranoid.
[00:23:17.620 --> 00:23:19.940]   It's unavoidable.
[00:23:19.940 --> 00:23:21.700]   You'll always be paranoid.
[00:23:21.700 --> 00:23:24.040]   But secondly, what happens is Jacob decides,
[00:23:24.040 --> 00:23:26.560]   "I'm going to produce this drama
[00:23:26.560 --> 00:23:28.580]   "of a presentation of gifts for him,"
[00:23:28.580 --> 00:23:29.420]   like lavishing him.
[00:23:29.420 --> 00:23:30.940]   He creates droves of his family,
[00:23:30.940 --> 00:23:32.220]   and what's really sad is you could tell
[00:23:32.220 --> 00:23:33.460]   who are his favorites,
[00:23:33.460 --> 00:23:35.360]   'cause he knows they're coming for him,
[00:23:35.360 --> 00:23:37.620]   so he puts the least favorites right up at the top,
[00:23:37.620 --> 00:23:39.700]   and incrementally, there are massive amounts
[00:23:39.700 --> 00:23:42.020]   of gifts given to Esau.
[00:23:42.020 --> 00:23:45.060]   And finally, when Esau and Jacob meet,
[00:23:45.060 --> 00:23:48.260]   Esau actually embraces Jacob and says,
[00:23:48.260 --> 00:23:51.360]   "I've come to you with favor and grace."
[00:23:51.360 --> 00:23:53.540]   There is sweet reconciliation that happens,
[00:23:53.540 --> 00:23:58.540]   but then the story doesn't have a happy thingy.
[00:23:58.540 --> 00:23:59.820]   Take a look.
[00:23:59.820 --> 00:24:02.460]   Chapter 33, verse 12 through 17.
[00:24:02.460 --> 00:24:05.460]   Chapter 33, verse 12 through 17.
[00:24:05.460 --> 00:24:10.140]   Then Esau said, "Let us make our journey and go now,
[00:24:10.140 --> 00:24:11.860]   "and I will go before you."
[00:24:11.860 --> 00:24:13.980]   So Esau's great idea is like,
[00:24:13.980 --> 00:24:16.140]   "I don't hold this revenge against you.
[00:24:16.140 --> 00:24:18.740]   "Let's go down together to our homeland," right?
[00:24:18.740 --> 00:24:21.220]   Verse 13, "But he," Jacob said to him,
[00:24:21.220 --> 00:24:24.460]   "My Lord knows that the children are frail,
[00:24:24.460 --> 00:24:26.000]   "and that the flocks and herds,
[00:24:26.000 --> 00:24:28.480]   "which are nursing, are a care to me.
[00:24:28.480 --> 00:24:30.840]   "And if they are driven hard one day,
[00:24:30.840 --> 00:24:32.840]   "all the flocks will die.
[00:24:32.840 --> 00:24:35.580]   "Please let my Lord pass on before his servant,
[00:24:35.580 --> 00:24:37.480]   "and I will proceed at my leisure,
[00:24:37.480 --> 00:24:40.260]   "according to the pace of the cattle that are before me,
[00:24:40.260 --> 00:24:41.960]   "and according to the pace of the children,
[00:24:41.960 --> 00:24:44.940]   "until I come to my Lord at Seir."
[00:24:44.940 --> 00:24:46.780]   Esau said, "Please let me leave with you
[00:24:46.780 --> 00:24:48.980]   "some of the people who are with me."
[00:24:48.980 --> 00:24:51.020]   But he said, "What need is there?
[00:24:51.020 --> 00:24:53.060]   "Let me find favor in the sight of my Lord."
[00:24:53.060 --> 00:24:56.460]   So Esau returned that day on his way to Seir.
[00:24:56.460 --> 00:25:00.300]   Jacob journeyed to Succoth and built for him a house
[00:25:00.300 --> 00:25:02.660]   and made booze for his livestock,
[00:25:02.660 --> 00:25:05.300]   therefore the place is named Succoth.
[00:25:05.300 --> 00:25:07.660]   Okay, I'm not sure if you catch all that,
[00:25:07.660 --> 00:25:09.420]   but essentially what's happening is Esau's like,
[00:25:09.420 --> 00:25:12.760]   "Come with me," and Jacob's like, "No," right?
[00:25:12.760 --> 00:25:15.100]   And he has amazing excuses.
[00:25:15.100 --> 00:25:18.760]   People who tend to lie make really convincing excuses.
[00:25:18.760 --> 00:25:20.900]   "You know the children and the flock
[00:25:20.900 --> 00:25:21.860]   "and then they die."
[00:25:21.860 --> 00:25:23.460]   You know, like it's all about,
[00:25:23.460 --> 00:25:25.660]   they're gonna die if you do this.
[00:25:25.660 --> 00:25:27.500]   And what ends up happening is that you go on ahead.
[00:25:27.500 --> 00:25:29.020]   Esau's like, "I'll leave you my men.
[00:25:29.020 --> 00:25:29.860]   "They'll protect you."
[00:25:29.860 --> 00:25:32.540]   It's like, "No, no, no, no need for that."
[00:25:32.540 --> 00:25:34.580]   Esau goes down to Seir,
[00:25:34.580 --> 00:25:36.700]   which is about 50 miles south of the Dead Sea.
[00:25:36.700 --> 00:25:39.200]   So if you, Jerusalem, that area,
[00:25:39.200 --> 00:25:41.740]   there's Dead Sea, that's like a long strip.
[00:25:41.740 --> 00:25:44.340]   Seir is like 50 miles south of it.
[00:25:44.340 --> 00:25:45.640]   What ends up happening is Jacob says,
[00:25:45.640 --> 00:25:47.660]   "You go on ahead, I'll join you."
[00:25:47.660 --> 00:25:49.980]   And he stops 150 miles short.
[00:25:49.980 --> 00:25:52.660]   Sikoth is north of the Dead Sea.
[00:25:52.660 --> 00:25:54.260]   He played the oldest prank ever.
[00:25:54.260 --> 00:25:55.580]   It's like, "Wait for me there."
[00:25:55.580 --> 00:25:57.700]   And then he never intended to go.
[00:25:57.700 --> 00:26:00.460]   That's crazy.
[00:26:00.460 --> 00:26:03.020]   Dude, you lied to your father.
[00:26:03.020 --> 00:26:06.540]   You lied to your brother even after you reconciled.
[00:26:06.540 --> 00:26:08.220]   And you know what that tells me?
[00:26:08.220 --> 00:26:10.580]   As we observe this ongoing list
[00:26:10.580 --> 00:26:15.160]   of the various motivations and observations
[00:26:15.160 --> 00:26:17.400]   of the sinfulness of lying,
[00:26:18.720 --> 00:26:22.260]   when you are a liar, you're not trustworthy,
[00:26:22.260 --> 00:26:24.000]   but you also don't trust anybody.
[00:26:24.000 --> 00:26:27.360]   Jacob doesn't trust that Esau is so mature.
[00:26:27.360 --> 00:26:30.300]   It's like, "You think Esau really is so mature
[00:26:30.300 --> 00:26:31.880]   "he doesn't have any ill feelings,
[00:26:31.880 --> 00:26:34.440]   "no bitterness, is completely over it?"
[00:26:34.440 --> 00:26:36.780]   I'm pretty sure Jacob's thinking,
[00:26:36.780 --> 00:26:41.240]   "No, no, we'll stay a safe distance over here."
[00:26:41.240 --> 00:26:44.720]   Because if you're a suspect, you're suspect of other people.
[00:26:44.720 --> 00:26:48.180]   This is the world of darkness when we lie.
[00:26:49.000 --> 00:26:51.640]   Lying causes you to live
[00:26:51.640 --> 00:26:54.240]   in the fruit of the kingdom of darkness.
[00:26:54.240 --> 00:26:57.520]   And you yourself get deceived, you are deceiving,
[00:26:57.520 --> 00:27:01.360]   and there is just a constant feeding of deception
[00:27:01.360 --> 00:27:03.600]   that goes on into that land.
[00:27:03.600 --> 00:27:06.480]   And scripture calls out and says this.
[00:27:06.480 --> 00:27:08.820]   Proverbs 6, verse 12 through 14.
[00:27:08.820 --> 00:27:11.960]   "A worthless person, a wicked man,
[00:27:11.960 --> 00:27:14.560]   "is the one who walks with a perverse mouth,
[00:27:14.560 --> 00:27:17.220]   "who winks with his eyes, who signals with his feet,
[00:27:17.220 --> 00:27:18.820]   "who points with his fingers,
[00:27:18.820 --> 00:27:20.200]   "who with perversity in his heart
[00:27:20.200 --> 00:27:24.400]   "continually devises evil and spreads strife."
[00:27:24.400 --> 00:27:28.520]   To me, Jacob is a cunning snake.
[00:27:28.520 --> 00:27:34.840]   He's basically exhibited every form of lying you can do,
[00:27:34.840 --> 00:27:36.880]   and he's even did the subtle stuff,
[00:27:36.880 --> 00:27:37.900]   where maybe he feigns like,
[00:27:37.900 --> 00:27:40.080]   "You know, my intention is to go with you,"
[00:27:40.080 --> 00:27:42.260]   but he's not actually forthright with your intentions.
[00:27:42.260 --> 00:27:43.880]   That too is a lie.
[00:27:43.880 --> 00:27:45.240]   It's a lie when you claim ignorance,
[00:27:45.240 --> 00:27:46.400]   it's a lie when you exaggerate,
[00:27:46.400 --> 00:27:48.680]   it's a lie when you just feign stuff.
[00:27:48.680 --> 00:27:50.440]   All of that is a lie.
[00:27:50.440 --> 00:27:53.080]   And the thing about it is Jacob is such a survivor,
[00:27:53.080 --> 00:27:55.840]   he's got every tool on his belt.
[00:27:55.840 --> 00:28:00.280]   But yet, he's in the hall of faith.
[00:28:00.280 --> 00:28:04.600]   Now, the thing is, as I was thinking about that,
[00:28:04.600 --> 00:28:09.440]   I stopped, took a moment, and realized,
[00:28:09.440 --> 00:28:12.820]   "Oh gosh, am I so different?
[00:28:12.820 --> 00:28:14.920]   "Are any single one of us,
[00:28:14.920 --> 00:28:17.140]   "when we look back at our pre-converted state,
[00:28:17.140 --> 00:28:19.200]   "are we any different?"
[00:28:19.200 --> 00:28:21.480]   And then even now in our converted state,
[00:28:21.480 --> 00:28:25.680]   being a Christian, do we not have similar motivations?
[00:28:25.680 --> 00:28:27.660]   Maybe we can make the excuse
[00:28:27.660 --> 00:28:30.040]   that we would never, ever lie directly
[00:28:30.040 --> 00:28:32.760]   to the face of my parents.
[00:28:32.760 --> 00:28:37.080]   I will never, ever use God for my gain in my fake story.
[00:28:37.080 --> 00:28:39.540]   But if you were to ask me,
[00:28:39.540 --> 00:28:43.360]   in my short 38 years of life,
[00:28:43.360 --> 00:28:44.940]   have I ever lied to my father?
[00:28:44.940 --> 00:28:48.460]   Have I ever lied to my brother?
[00:28:48.460 --> 00:28:52.200]   Have I ever lied to important people
[00:28:52.200 --> 00:28:55.560]   just because I wanted to escape some guilt,
[00:28:55.560 --> 00:28:57.760]   looking stupid, or promoting,
[00:28:57.760 --> 00:28:59.080]   look what a good job I did?
[00:28:59.080 --> 00:29:04.920]   And what I realized is, the scripture is true.
[00:29:04.920 --> 00:29:07.080]   And Isaiah said it very, very well.
[00:29:07.080 --> 00:29:09.240]   "Woe is me."
[00:29:09.240 --> 00:29:13.200]   I may falsely believe Satan will deceive you
[00:29:13.200 --> 00:29:17.120]   and tell you your lies are just what everybody does.
[00:29:17.120 --> 00:29:18.380]   You're just being polite.
[00:29:18.380 --> 00:29:20.880]   You don't wanna hurt the man like,
[00:29:20.880 --> 00:29:21.960]   "No, I don't wanna be with you
[00:29:21.960 --> 00:29:23.320]   "because what if you change your mind?"
[00:29:23.320 --> 00:29:25.200]   You don't wanna hurt him like that, so just lie.
[00:29:25.200 --> 00:29:27.760]   "I'll see you there, and just don't go."
[00:29:27.760 --> 00:29:29.600]   It's a lie.
[00:29:29.600 --> 00:29:34.320]   What we realize is, "Woe is me, we're ruined.
[00:29:34.320 --> 00:29:36.100]   "I am a man of unclean lips,
[00:29:36.100 --> 00:29:37.820]   "living among a people of unclean lips,
[00:29:37.820 --> 00:29:40.880]   "for my eyes have seen the King and the Lord of hosts."
[00:29:40.880 --> 00:29:43.200]   When we take our eyes off of what is
[00:29:43.200 --> 00:29:45.600]   the normal practice and pattern of this earth,
[00:29:45.600 --> 00:29:48.520]   and we look upon the God of truth
[00:29:48.520 --> 00:29:52.020]   whose standard is perfect, we're undone.
[00:29:52.020 --> 00:29:55.440]   'Cause I'm gonna be honest with you,
[00:29:55.440 --> 00:29:56.600]   as I was preparing the sermon,
[00:29:56.600 --> 00:30:00.640]   I started like, again, counting,
[00:30:00.640 --> 00:30:04.740]   and I feel like the temptation to lie is almost every day.
[00:30:04.740 --> 00:30:07.520]   It's like regular.
[00:30:08.560 --> 00:30:10.920]   And I gotta confess that because the motivation
[00:30:10.920 --> 00:30:12.480]   in the heart, it's all there.
[00:30:12.480 --> 00:30:15.760]   The earthly fleshly rationale to do it
[00:30:15.760 --> 00:30:18.200]   is all there every day.
[00:30:18.200 --> 00:30:21.440]   And I wanna challenge you.
[00:30:21.440 --> 00:30:25.640]   We have to make sure that we turn to the one true God
[00:30:25.640 --> 00:30:28.280]   who is the God of truth for the remedy.
[00:30:28.280 --> 00:30:32.240]   You see, when we think about it,
[00:30:32.240 --> 00:30:34.760]   what is the solution for these men?
[00:30:34.760 --> 00:30:36.320]   What is the solution for me?
[00:30:37.740 --> 00:30:38.960]   Should we sit there and teach them,
[00:30:38.960 --> 00:30:41.760]   like, do you have any idea what you've done to your family?
[00:30:41.760 --> 00:30:44.880]   Do you know the consequences of your sin and lies?
[00:30:44.880 --> 00:30:46.240]   You have broken relationships.
[00:30:46.240 --> 00:30:47.880]   Look at you, Jacob.
[00:30:47.880 --> 00:30:50.260]   You had such a good relationship with your mom.
[00:30:50.260 --> 00:30:51.760]   She didn't ever do anything bad to you,
[00:30:51.760 --> 00:30:54.200]   and you didn't do anything bad for her,
[00:30:54.200 --> 00:30:55.480]   but your relationship's broken.
[00:30:55.480 --> 00:30:56.320]   Why?
[00:30:56.320 --> 00:30:57.800]   Because you had to run.
[00:30:57.800 --> 00:30:59.400]   Your relationship with your brother's broken,
[00:30:59.400 --> 00:31:02.080]   your relationship with your father's broken,
[00:31:02.080 --> 00:31:05.600]   and you go down in history almost equated
[00:31:05.600 --> 00:31:08.300]   with deception in the Old Testament.
[00:31:08.300 --> 00:31:10.500]   Look at the consequences.
[00:31:10.500 --> 00:31:11.600]   You think that worked?
[00:31:11.600 --> 00:31:14.540]   You think that will change?
[00:31:14.540 --> 00:31:16.500]   You think that's going to reform a man?
[00:31:16.500 --> 00:31:19.140]   Do you think trying to show him,
[00:31:19.140 --> 00:31:20.680]   like, that's illogical, dude.
[00:31:20.680 --> 00:31:23.220]   You're trying to deceive God Almighty?
[00:31:23.220 --> 00:31:25.260]   He talks to you verbally.
[00:31:25.260 --> 00:31:28.800]   He's around everywhere and knows all things.
[00:31:28.800 --> 00:31:29.940]   He's told you that.
[00:31:29.940 --> 00:31:31.340]   He sees the beginning and the end,
[00:31:31.340 --> 00:31:33.940]   and he dictates everything that happens in the middle.
[00:31:33.940 --> 00:31:35.640]   Why are you trying to lie to him?
[00:31:35.640 --> 00:31:40.240]   But you and I both know,
[00:31:40.240 --> 00:31:43.360]   at the core heart of deception,
[00:31:43.360 --> 00:31:44.900]   it's not logical.
[00:31:44.900 --> 00:31:48.920]   What we need is the gospel truth
[00:31:48.920 --> 00:31:52.700]   of God entering into our lives,
[00:31:52.700 --> 00:31:56.300]   redeeming us and moving us from the kingdom of darkness
[00:31:56.300 --> 00:31:59.560]   into the glorious light of his son.
[00:31:59.560 --> 00:32:01.180]   Amen?
[00:32:01.180 --> 00:32:04.220]   Outside of the transforming power of God
[00:32:04.220 --> 00:32:06.960]   moving you kingdoms,
[00:32:06.960 --> 00:32:09.560]   and then working in your heart through his gospel,
[00:32:09.560 --> 00:32:12.160]   this temptation's too big.
[00:32:12.160 --> 00:32:15.420]   And now you hear of it all the time.
[00:32:15.420 --> 00:32:18.240]   Recently, stories of people lying, just faking,
[00:32:18.240 --> 00:32:19.840]   like, I wrote this sermon.
[00:32:19.840 --> 00:32:24.140]   People lying on high-level powers.
[00:32:24.140 --> 00:32:26.560]   You hear people lying on every which case.
[00:32:26.560 --> 00:32:28.600]   But then, for you and me,
[00:32:28.600 --> 00:32:30.640]   I'm going to move to my second point.
[00:32:30.640 --> 00:32:33.320]   I know that first point was the longest point ever.
[00:32:33.320 --> 00:32:35.220]   But the second point is this,
[00:32:35.220 --> 00:32:40.220]   is the consequences of not turning to the God of truth
[00:32:40.220 --> 00:32:42.800]   means you are going to be regularly living
[00:32:42.800 --> 00:32:43.960]   in the kingdom of darkness,
[00:32:43.960 --> 00:32:47.200]   because without the truth, without the God of truth,
[00:32:47.200 --> 00:32:49.500]   all you have is darkness.
[00:32:49.500 --> 00:32:51.460]   That's all you have.
[00:32:51.460 --> 00:32:57.360]   You have the kingdom of the flesh
[00:32:57.360 --> 00:33:00.080]   not only inspiring you to lie,
[00:33:00.080 --> 00:33:01.640]   you yourself are being lied to.
[00:33:01.640 --> 00:33:03.600]   Did you know that?
[00:33:03.600 --> 00:33:05.960]   Whenever you fall to the deception
[00:33:05.960 --> 00:33:10.960]   of thinking that, you know, I'm going to use this lie
[00:33:10.960 --> 00:33:12.560]   as a means to mitigate my risk,
[00:33:12.560 --> 00:33:14.180]   as a means to escape my circumstances,
[00:33:14.180 --> 00:33:15.920]   as a means to look even slightly,
[00:33:15.920 --> 00:33:17.960]   just a little bit better,
[00:33:17.960 --> 00:33:20.560]   there is a massive lie that's putting over you.
[00:33:20.560 --> 00:33:22.560]   You know what that lie is?
[00:33:22.560 --> 00:33:24.440]   The lie isn't, oh, you're so good and great,
[00:33:24.440 --> 00:33:25.280]   or something like that.
[00:33:25.280 --> 00:33:26.800]   You know what the lie is?
[00:33:26.800 --> 00:33:29.160]   The stupid lie is, this is going to work.
[00:33:30.160 --> 00:33:33.640]   Like, I want you to think about God,
[00:33:33.640 --> 00:33:37.480]   like being there as the almighty, all-powerful God.
[00:33:37.480 --> 00:33:39.320]   And this little human thinking,
[00:33:39.320 --> 00:33:41.640]   you know what I'm going to do?
[00:33:41.640 --> 00:33:43.960]   I'm going to dupe you, you know?
[00:33:43.960 --> 00:33:46.280]   It's so pathetic.
[00:33:46.280 --> 00:33:49.640]   But Satan is so good because he is the father of lies,
[00:33:49.640 --> 00:33:52.120]   ruling the kingdom of darkness.
[00:33:52.120 --> 00:33:54.420]   He wants you to believe that your feeble attempt
[00:33:54.420 --> 00:33:56.960]   and strategy, it's your tactic,
[00:33:56.960 --> 00:33:59.280]   that somehow it's going to work.
[00:33:59.280 --> 00:34:03.960]   But we as believers, we're coming to a point
[00:34:03.960 --> 00:34:05.300]   for us to surrender.
[00:34:05.300 --> 00:34:08.280]   God, none of this has worked.
[00:34:08.280 --> 00:34:09.840]   Look at that.
[00:34:09.840 --> 00:34:11.840]   Look at the Old Testament.
[00:34:11.840 --> 00:34:13.820]   It's never worked, and it's never going to work.
[00:34:13.820 --> 00:34:14.660]   Why?
[00:34:14.660 --> 00:34:18.920]   Because what I am seeking is never provided
[00:34:18.920 --> 00:34:20.520]   by this kingdom of darkness.
[00:34:20.520 --> 00:34:22.120]   What am I talking about?
[00:34:22.120 --> 00:34:24.840]   I want you to go back and think about why
[00:34:24.840 --> 00:34:28.560]   the pattern of sin, of lying that the people had.
[00:34:28.560 --> 00:34:31.360]   Do you remember that we highlighted
[00:34:31.360 --> 00:34:32.800]   that these individuals were lying
[00:34:32.800 --> 00:34:34.760]   because they were trying to hide shame?
[00:34:34.760 --> 00:34:37.000]   What did you do?
[00:34:37.000 --> 00:34:37.840]   Nothing.
[00:34:37.840 --> 00:34:41.640]   These individuals were lying to find protection.
[00:34:41.640 --> 00:34:43.640]   Oh my gosh, they're after me, just lie.
[00:34:43.640 --> 00:34:47.880]   These individuals were lying to promote themselves.
[00:34:47.880 --> 00:34:50.300]   These individuals are lying to escape.
[00:34:50.300 --> 00:34:53.240]   These individuals are lying to find security.
[00:34:53.240 --> 00:34:55.600]   These individuals are lying to find provision.
[00:34:55.600 --> 00:34:58.320]   These individuals are lying to get their way.
[00:34:58.320 --> 00:35:01.440]   There is motivation behind all these things, you guys.
[00:35:01.440 --> 00:35:02.920]   And that's what I'm talking about.
[00:35:02.920 --> 00:35:05.420]   How does the gospel address that stuff?
[00:35:05.420 --> 00:35:10.280]   The gospel addresses that stuff in every single way.
[00:35:10.280 --> 00:35:12.880]   And for that, praise the Lord.
[00:35:12.880 --> 00:35:19.200]   God says, I not only take your shame,
[00:35:19.200 --> 00:35:21.040]   I expose it to the light.
[00:35:21.040 --> 00:35:23.440]   I not only expose it to the light,
[00:35:23.440 --> 00:35:25.640]   I forgive you your guilt.
[00:35:25.640 --> 00:35:29.440]   I 100% deal with your guilt by taking that debt
[00:35:29.440 --> 00:35:33.680]   of your sin upon the cross of Christ, and it's done.
[00:35:33.680 --> 00:35:35.160]   It's dealt with.
[00:35:35.160 --> 00:35:37.000]   I take that security that you're seeking,
[00:35:37.000 --> 00:35:39.880]   and I want you to know I guard you in my name.
[00:35:39.880 --> 00:35:43.160]   Listen to Jesus's prayer in John chapter 17.
[00:35:43.160 --> 00:35:46.240]   Jesus says, I want you to sanctify them in your truth
[00:35:46.240 --> 00:35:50.220]   and guard them in your name, in your power, preserve them.
[00:35:51.220 --> 00:35:52.500]   You want elevation?
[00:35:52.500 --> 00:35:54.740]   Do you realize that the gospel we have is,
[00:35:54.740 --> 00:35:59.740]   God says, I will glorify you and exalt you in due time.
