
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:18:53.560 --> 00:18:56.440]   He talks about this gift, this grace.
[00:18:56.440 --> 00:18:58.800]   I highlight for you here in verse seven, he says,
[00:18:58.800 --> 00:19:01.440]   "According to the gift,"
[00:19:01.440 --> 00:19:04.240]   like, this is grace, okay, grace given.
[00:19:04.240 --> 00:19:06.440]   "And according to the working of his power."
[00:19:06.440 --> 00:19:09.040]   Think about that.
[00:19:09.040 --> 00:19:11.700]   When you say this is a gift, an intentional gift of God
[00:19:11.700 --> 00:19:14.040]   and the working of his power, that precludes,
[00:19:14.040 --> 00:19:15.580]   that excludes them, like, "Oh, God,
[00:19:15.580 --> 00:19:19.360]   "did you, like, accidentally, you know, tag me?
[00:19:19.360 --> 00:19:21.600]   "I think you meant to tag him."
[00:19:21.600 --> 00:19:23.640]   Like, there's none of that.
[00:19:23.640 --> 00:19:27.760]   This is God's intentional giving of grace to us.
[00:19:27.760 --> 00:19:31.960]   And you have to understand that this intentional gift of God
[00:19:31.960 --> 00:19:35.720]   includes Apostle Paul being a prisoner, right?
[00:19:35.720 --> 00:19:38.840]   And what's crazy is if you look at Philippians 1:29,
[00:19:38.840 --> 00:19:42.040]   Apostle Paul essentially states this.
[00:19:42.040 --> 00:19:45.160]   He says, "Not only have we been given the privilege
[00:19:45.160 --> 00:19:46.900]   "to know the gospel,
[00:19:46.900 --> 00:19:50.000]   "but the privilege to suffer for the gospel."
[00:19:50.000 --> 00:19:51.920]   This is God's gift.
[00:19:51.920 --> 00:19:54.400]   "And the way he receives it is humbly
[00:19:54.400 --> 00:19:57.280]   "and gratefully, I accept."
[00:19:57.280 --> 00:20:00.260]   He says, "Oh," like, almost like, "Me?"
[00:20:00.260 --> 00:20:01.100]   Take a look at verse eight.
[00:20:01.100 --> 00:20:04.660]   "To me, the very least of all the saints."
[00:20:04.660 --> 00:20:06.760]   I mean, think about the contrast of attitude.
[00:20:06.760 --> 00:20:10.600]   On one side, it's like, "Did you get this right?
[00:20:10.600 --> 00:20:13.440]   "Like, did you mean to call on me?"
[00:20:13.440 --> 00:20:15.060]   But Apostle Paul on the flip side is like,
[00:20:15.060 --> 00:20:18.680]   "Oh, wow, like, me, you wanna use me?"
[00:20:18.680 --> 00:20:21.880]   This is an entirely different kind of attitude.
[00:20:21.880 --> 00:20:24.900]   And what's more in humility, he considers,
[00:20:24.900 --> 00:20:27.480]   "Lord, I am the least of all the saints."
[00:20:27.480 --> 00:20:29.800]   Now, again, Apostle Paul here at this moment,
[00:20:29.800 --> 00:20:31.880]   he didn't just get converted.
[00:20:31.880 --> 00:20:34.600]   He's already been, like, traveling, preaching.
[00:20:34.600 --> 00:20:36.840]   He's been standing up to the Jews.
[00:20:36.840 --> 00:20:39.400]   I mean, throughout so many different instances,
[00:20:39.400 --> 00:20:41.800]   he preached with authority and boldness.
[00:20:41.800 --> 00:20:44.200]   Some people hailing him, some people hating him.
[00:20:44.200 --> 00:20:48.400]   He's not, essentially, he's not a noob, right?
[00:20:48.400 --> 00:20:50.400]   From the time that he was converted,
[00:20:50.400 --> 00:20:52.080]   many people actually believe
[00:20:52.080 --> 00:20:54.280]   that more than 10 years has passed.
[00:20:54.280 --> 00:20:56.320]   So that means he's not necessarily
[00:20:56.320 --> 00:20:57.600]   at the beginning of his ministry.
[00:20:57.600 --> 00:20:59.340]   He's in the latter part.
[00:20:59.340 --> 00:21:02.120]   And for him to say, "I'm the least of saints,"
[00:21:02.120 --> 00:21:04.480]   what he's doing there, he's not just being, like,
[00:21:04.480 --> 00:21:06.240]   overly dramatic.
[00:21:06.240 --> 00:21:07.840]   He has the right perspective.
[00:21:07.840 --> 00:21:11.140]   Is he worthy to have this privilege?
[00:21:11.140 --> 00:21:15.200]   Is it because of his merit, his know-how,
[00:21:15.200 --> 00:21:17.640]   his prestige, his reputation,
[00:21:17.640 --> 00:21:19.760]   and how everybody already knows him?
[00:21:19.760 --> 00:21:21.280]   No, it is not.
[00:21:21.280 --> 00:21:23.480]   He recognizes that the grace to be a part
[00:21:23.480 --> 00:21:27.760]   of the gospel ministry is just that, it's grace.
[00:21:27.760 --> 00:21:31.360]   He's not deserving of this and that.
[00:21:31.360 --> 00:21:33.280]   So what humility?
[00:21:33.280 --> 00:21:34.120]   Like, I love it.
[00:21:34.120 --> 00:21:39.120]   What kind of, like, realistic, God-honoring humility?
[00:21:39.120 --> 00:21:41.520]   And this kind of humility flies against
[00:21:41.520 --> 00:21:43.940]   what I think modern kind of leadership training
[00:21:43.940 --> 00:21:45.480]   is all about, where it's like,
[00:21:45.480 --> 00:21:47.680]   you need to exercise your full potential,
[00:21:47.680 --> 00:21:49.880]   and you need to have those opportunities
[00:21:49.880 --> 00:21:52.360]   to showcase your giftings of, come on.
[00:21:52.360 --> 00:21:55.740]   Like, that is not the way Apostle Paul
[00:21:55.740 --> 00:21:57.560]   is thinking about this privilege.
[00:21:57.560 --> 00:22:02.520]   He's thinking about how he is a servant of the church.
[00:22:02.520 --> 00:22:05.240]   He's a servant of the household of God.
[00:22:05.240 --> 00:22:07.160]   And as a servant, then, he is also willing
[00:22:07.160 --> 00:22:09.480]   to be slave and prisoner.
[00:22:09.480 --> 00:22:11.880]   He loves the church, cherishes the church.
[00:22:11.880 --> 00:22:14.180]   He cherishes the people of God.
[00:22:14.180 --> 00:22:16.320]   And to their glory and to their benefit,
[00:22:16.320 --> 00:22:19.560]   he is willing to be like a mother, a father,
[00:22:19.560 --> 00:22:22.500]   a brother, and worse, busboy.
[00:22:22.500 --> 00:22:26.840]   And his delight is to serve the church.
[00:22:26.840 --> 00:22:29.240]   He sees it as a unique privilege.
[00:22:29.240 --> 00:22:31.520]   And so by way of conviction, I want to say,
[00:22:31.520 --> 00:22:33.960]   Apostle Paul has this kind of attitude,
[00:22:33.960 --> 00:22:37.000]   the way I like to summarize it is, I get to.
[00:22:37.000 --> 00:22:40.220]   It's not a do I have to?
[00:22:40.220 --> 00:22:41.900]   It is an I get to.
[00:22:41.900 --> 00:22:45.320]   I get to preach the unfathomable riches of Christ.
[00:22:45.320 --> 00:22:47.720]   Brothers and sisters, if you're in the habit
[00:22:47.720 --> 00:22:51.440]   of being all apologetic, when you encourage people,
[00:22:51.440 --> 00:22:53.640]   like, God loves you, you know,
[00:22:53.640 --> 00:22:56.600]   or even the, you need to turn to God, right?
[00:22:56.600 --> 00:22:59.120]   And when you preach the gospel to unbelievers,
[00:22:59.120 --> 00:23:02.080]   please don't be so apologetic,
[00:23:02.080 --> 00:23:03.720]   where perhaps you've come to them,
[00:23:03.720 --> 00:23:05.280]   saying, I don't want to bother you.
[00:23:05.280 --> 00:23:06.840]   I'm sorry to bother you.
[00:23:07.640 --> 00:23:11.060]   You know, if you're telling somebody
[00:23:11.060 --> 00:23:14.300]   that you have an opportunity to be rich
[00:23:14.300 --> 00:23:18.460]   underneath the loving, the fatherly love
[00:23:18.460 --> 00:23:22.340]   of the master of the universe, the king of the world,
[00:23:22.340 --> 00:23:25.220]   I'm not sure you have to be apologetic, right?
[00:23:25.220 --> 00:23:27.460]   But rather, you should be ecstatic.
[00:23:27.460 --> 00:23:30.580]   You should be joyful.
[00:23:30.580 --> 00:23:32.740]   You should be eager.
[00:23:32.740 --> 00:23:34.980]   Now, Paul says, I get to preach
[00:23:34.980 --> 00:23:37.680]   the unfathomable riches of Christ.
[00:23:37.680 --> 00:23:41.440]   You know, we have a lot of teachers within our church,
[00:23:41.440 --> 00:23:43.400]   and so shout out to you guys.
[00:23:43.400 --> 00:23:45.060]   We appreciate you.
[00:23:45.060 --> 00:23:47.240]   We, you know, encourage you and support you,
[00:23:47.240 --> 00:23:49.760]   especially in this time when things are crazy.
[00:23:49.760 --> 00:23:51.680]   And the thing about it is I love it when teachers say,
[00:23:51.680 --> 00:23:56.000]   like, man, you know, there are these students
[00:23:56.000 --> 00:23:57.880]   who you see their eyes go bright,
[00:23:57.880 --> 00:23:59.740]   and they have those aha moments,
[00:23:59.740 --> 00:24:02.820]   and, you know, even beyond all the endless nights
[00:24:02.820 --> 00:24:06.620]   of grading papers, you know, I relate to teachers
[00:24:06.620 --> 00:24:10.700]   because lesson prep, you know, lesson prep is so hard.
[00:24:10.700 --> 00:24:11.540]   There's no end.
[00:24:11.540 --> 00:24:13.740]   I mean, like, you could always think of a better example.
[00:24:13.740 --> 00:24:15.700]   Sometimes you get done seeing an example,
[00:24:15.700 --> 00:24:17.260]   and you're like, I don't even know
[00:24:17.260 --> 00:24:20.380]   if that came across right, and it's hard, right?
[00:24:20.380 --> 00:24:21.660]   But isn't it rewarding?
[00:24:21.660 --> 00:24:25.740]   Isn't there, like, this intrinsic rewarding privilege
[00:24:25.740 --> 00:24:27.900]   to bring to light?
[00:24:27.900 --> 00:24:30.020]   And that's what Apostle Paul says.
[00:24:30.020 --> 00:24:32.440]   Like, he is going to be bringing to light
[00:24:32.440 --> 00:24:34.660]   what is the administration and the mystery,
[00:24:34.660 --> 00:24:37.300]   the dispensation, the management of God,
[00:24:37.300 --> 00:24:39.700]   and that to him is his delight.
[00:24:39.700 --> 00:24:41.500]   He gets to do this for the people.
[00:24:41.500 --> 00:24:46.180]   And so, therefore, again, we see Apostle Paul's mentality.
[00:24:46.180 --> 00:24:48.540]   He's not saying, sorry, sorry I get to teach you
[00:24:48.540 --> 00:24:51.460]   and shed light to you in your dark world.
[00:24:51.460 --> 00:24:54.660]   No, Apostle Paul, to him, this is a privilege.
[00:24:54.660 --> 00:24:57.020]   And so, again, I spent a lot of time on this
[00:24:57.020 --> 00:24:59.860]   because I believe this is the emphasis.
[00:24:59.860 --> 00:25:01.640]   We, brothers and sisters,
[00:25:01.640 --> 00:25:05.680]   are a part of something so massive,
[00:25:05.680 --> 00:25:09.600]   it transcends time, space,
[00:25:09.600 --> 00:25:12.840]   and even whatever we think are the limits.
[00:25:12.840 --> 00:25:16.120]   It just transcends everything.
[00:25:16.120 --> 00:25:20.460]   And so, to that, I want to move to the next section.
[00:25:20.460 --> 00:25:24.640]   We are a part of something so grand,
[00:25:24.640 --> 00:25:27.680]   and God reveals to us that he has
[00:25:27.680 --> 00:25:30.940]   this grand intentional purpose for the church.
[00:25:30.940 --> 00:25:32.020]   I'll read for us verse 10.
[00:25:32.020 --> 00:25:34.300]   It says, "So that," again, highlighting,
[00:25:34.300 --> 00:25:36.300]   whenever you see the so that, you should pause and say,
[00:25:36.300 --> 00:25:39.100]   okay, purpose statement, purpose clause.
[00:25:39.100 --> 00:25:42.780]   I should understand what God is intending to do.
[00:25:42.780 --> 00:25:44.840]   What's this for?
[00:25:44.840 --> 00:25:49.260]   The manifold wisdom of God might be now,
[00:25:49.260 --> 00:25:52.180]   sorry, might now be made known through the church
[00:25:52.180 --> 00:25:55.400]   to the rulers and authorities in the heavenly places.
[00:25:55.400 --> 00:25:58.300]   This was in accordance with the eternal purpose
[00:25:58.300 --> 00:26:01.020]   which he carried out in Christ Jesus, our Lord,
[00:26:01.020 --> 00:26:04.260]   in whom we have boldness and confident access
[00:26:04.260 --> 00:26:06.260]   through faith in him.
[00:26:06.260 --> 00:26:07.200]   Wow.
[00:26:07.200 --> 00:26:09.300]   I asked this question as a Bible study question.
[00:26:09.300 --> 00:26:13.260]   What is God's intended role for the church?
[00:26:13.260 --> 00:26:15.260]   And it's really clear, right?
[00:26:15.260 --> 00:26:17.540]   We don't have to necessarily go look up word study
[00:26:17.540 --> 00:26:18.500]   and things like that.
[00:26:18.500 --> 00:26:21.740]   What is very clear is that there is an overarching,
[00:26:21.740 --> 00:26:24.380]   umbrella vision of God for the church
[00:26:24.380 --> 00:26:29.100]   that he desires to make known his own wisdom
[00:26:29.100 --> 00:26:34.100]   to everything, to the heavenly places, to the world,
[00:26:34.100 --> 00:26:36.800]   that the revelation of God, the character trait,
[00:26:36.800 --> 00:26:40.220]   not just one trait, but the manifold, multiplying
[00:26:40.220 --> 00:26:44.740]   wisdom of God be made known through the church.
[00:26:44.740 --> 00:26:47.060]   And so the way I labeled it in your handout is
[00:26:47.060 --> 00:26:49.740]   this is a cosmic showcase.
[00:26:49.740 --> 00:26:53.660]   Two, and what's interesting here, are the heavenly beings.
[00:26:54.420 --> 00:26:56.980]   This is very interesting.
[00:26:56.980 --> 00:26:58.660]   I'm not gonna make more of it than I can
[00:26:58.660 --> 00:27:01.680]   because this is like an opening of a door
[00:27:01.680 --> 00:27:03.860]   where he's giving us sight into God's plans
[00:27:03.860 --> 00:27:06.780]   beyond what we can see with our eyes.
[00:27:06.780 --> 00:27:12.900]   We recall that our significance in the world
[00:27:12.900 --> 00:27:16.960]   is even smaller than sometimes we think
[00:27:16.960 --> 00:27:21.260]   because the world as we know it is just so tiny.
[00:27:21.260 --> 00:27:25.300]   But the world as God knows it is massive.
[00:27:25.300 --> 00:27:28.780]   There are heavenly hosts, right?
[00:27:28.780 --> 00:27:30.220]   Hosts.
[00:27:30.220 --> 00:27:33.660]   There's myriads and myriads, scripture says.
[00:27:33.660 --> 00:27:36.740]   There are angels, there are mighty ones of God,
[00:27:36.740 --> 00:27:38.540]   there are seraphim and cherubim
[00:27:38.540 --> 00:27:41.020]   and all kinds of heavenly beings.
[00:27:41.020 --> 00:27:44.620]   And then there are those who are rulers and authorities,
[00:27:44.620 --> 00:27:47.380]   those enemies of God perhaps.
[00:27:47.380 --> 00:27:50.540]   Ephesians chapter six describes there are these like circles
[00:27:50.540 --> 00:27:54.060]   and hierarchies of the demonic forces
[00:27:54.060 --> 00:27:55.580]   and there's legions of them, right?
[00:27:55.580 --> 00:27:56.780]   There's legions of them.
[00:27:56.780 --> 00:28:00.540]   Understand this, this is profound,
[00:28:00.540 --> 00:28:03.160]   but again, perhaps we won't know too exhaustively.
[00:28:03.160 --> 00:28:07.180]   God is going to showcase his church
[00:28:07.180 --> 00:28:11.220]   as a means to shame the enemies of God
[00:28:11.220 --> 00:28:14.140]   and to show forth his amazing power
[00:28:14.140 --> 00:28:16.940]   and his rich love through the church.
[00:28:16.940 --> 00:28:19.980]   He is going to showcase his wisdom through the church.
[00:28:19.980 --> 00:28:21.420]   Here's an interesting passage.
[00:28:21.420 --> 00:28:23.620]   First Peter chapter one, verse 12.
[00:28:23.620 --> 00:28:26.460]   It was revealed to them, that's the angels,
[00:28:26.460 --> 00:28:28.980]   that they were not serving themselves but you
[00:28:28.980 --> 00:28:31.420]   in these things which now have been announced to you
[00:28:31.420 --> 00:28:33.380]   through those who preach the gospel to you
[00:28:33.380 --> 00:28:35.220]   by the Holy Spirit sent from heaven,
[00:28:35.220 --> 00:28:39.900]   things into which angels long to look.
[00:28:39.900 --> 00:28:44.860]   The redemptive plan of God is so profound,
[00:28:44.860 --> 00:28:48.220]   it's so amazing that even the heavenly hosts
[00:28:48.220 --> 00:28:50.380]   carefully look into.
[00:28:50.380 --> 00:28:52.100]   And so what I want to highlight is not only
[00:28:52.100 --> 00:28:54.700]   is there this heavenly purpose for the church,
[00:28:54.700 --> 00:28:57.420]   but there is also an eternal purpose.
[00:28:57.420 --> 00:29:01.140]   God has for the church an eternal purpose
[00:29:01.140 --> 00:29:04.200]   where he says that this was in accordance
[00:29:04.200 --> 00:29:07.020]   with the eternal purpose carried out in Christ Jesus,
[00:29:07.020 --> 00:29:08.060]   our Lord.
[00:29:08.060 --> 00:29:10.980]   The redemptive plan, the history that we see,
[00:29:10.980 --> 00:29:14.660]   all of it, although it's been riddled
[00:29:14.660 --> 00:29:18.860]   with sin, waywardness, destruction, and hardship,
[00:29:18.860 --> 00:29:21.500]   all of that, throughout all of that,
[00:29:21.500 --> 00:29:24.260]   God was still sovereignly working his redemption.
[00:29:24.260 --> 00:29:26.900]   I want to highlight some interesting passages for you.
[00:29:26.900 --> 00:29:29.820]   In Ephesians chapter one, Apostle Paul says this,
[00:29:29.820 --> 00:29:32.940]   and he put all things in subjection under his feet
[00:29:32.940 --> 00:29:36.700]   and gave him as head over all things to the church,
[00:29:36.700 --> 00:29:39.060]   which is his body, the fullness of him
[00:29:39.060 --> 00:29:40.540]   who fills all in all.
[00:29:40.540 --> 00:29:42.780]   Just take a moment to recall.
[00:29:42.780 --> 00:29:44.580]   The Jewish people, the people of God,
[00:29:44.580 --> 00:29:49.580]   have been waiting so long for somebody to come over them,
[00:29:49.580 --> 00:29:53.900]   for a king, for one who would provide,
[00:29:53.900 --> 00:29:57.180]   who would be their provision, their protection,
[00:29:57.180 --> 00:29:59.220]   who would be their leader.
[00:29:59.220 --> 00:30:02.220]   We essentially have that in Christ in the church.
[00:30:02.220 --> 00:30:04.060]   And what's more, in verse 27, it says,
[00:30:04.060 --> 00:30:06.900]   "And he raised them up and seated us with him
[00:30:06.900 --> 00:30:08.780]   "in the heavenly places in Christ Jesus,
[00:30:08.780 --> 00:30:11.020]   "so that in the ages to come,
[00:30:11.020 --> 00:30:13.860]   "he might show the surpassing riches of his grace
[00:30:13.860 --> 00:30:17.860]   "in kindness towards us in Christ Jesus."
[00:30:17.860 --> 00:30:21.420]   You know, what's pretty amazing
[00:30:21.420 --> 00:30:24.860]   is that God is not just going to use the church
[00:30:24.860 --> 00:30:28.460]   for a season, during hardships,
[00:30:28.460 --> 00:30:31.980]   maybe in 2020, right, he's gonna use our church.
[00:30:31.980 --> 00:30:33.540]   No.
[00:30:33.540 --> 00:30:36.140]   Those who are redeemed, God has chosen to use us
[00:30:36.140 --> 00:30:39.980]   to showcase his rich, rich love for all eternity.
[00:30:39.980 --> 00:30:42.060]   In heaven, we are going to be singing
[00:30:42.060 --> 00:30:46.220]   with united voices, perfected voices,
[00:30:46.220 --> 00:30:50.900]   the glories of God's grace, his love and his mercies.
[00:30:50.900 --> 00:30:52.940]   It's gonna be amazing.
[00:30:52.940 --> 00:30:57.420]   And I think about this, the privilege within this passage,
[00:30:57.420 --> 00:31:01.020]   Apostle Paul highlights this incredible privilege
[00:31:01.020 --> 00:31:05.100]   that we are going to be able to approach God,
[00:31:05.100 --> 00:31:07.420]   that we are going to be able, with boldness
[00:31:07.420 --> 00:31:10.220]   and with confidence, access God.
[00:31:10.220 --> 00:31:12.260]   And that to us is an incredible privilege
[00:31:12.260 --> 00:31:14.020]   and a great, great mystery.
[00:31:14.020 --> 00:31:18.260]   That to us is also a wisdom of God,
[00:31:18.260 --> 00:31:22.100]   that God would create an avenue
[00:31:22.100 --> 00:31:24.860]   by which unholy, evil, wicked individuals
[00:31:24.860 --> 00:31:27.460]   would be able to approach a holy God without dying.
[00:31:27.460 --> 00:31:32.180]   It's going to be through union with Christ.
[00:31:32.180 --> 00:31:34.460]   Now, I want, just to highlight that one thing
[00:31:34.460 --> 00:31:37.140]   for a little bit, I want you to think about this.
[00:31:37.660 --> 00:31:39.900]   We're thinking about stuff that's like beyond us, right?
[00:31:39.900 --> 00:31:42.380]   Heavenly realms, angels, you know,
[00:31:42.380 --> 00:31:44.820]   the authorities and the rulers.
[00:31:44.820 --> 00:31:48.460]   Think about the incredible scene of Isaiah 6,
[00:31:48.460 --> 00:31:51.620]   where there are the host of angels around God.
[00:31:51.620 --> 00:31:55.660]   The train of his robe is filling the temple.
[00:31:55.660 --> 00:31:57.900]   The glory is shining greatly.
[00:31:57.900 --> 00:32:00.420]   And even the angels, they have their eyes covered.
[00:32:00.420 --> 00:32:04.780]   Now, think from their perspective, looking at us.
[00:32:04.780 --> 00:32:05.740]   It's like, what?
[00:32:06.620 --> 00:32:10.260]   I am actually one of God's holy creatures,
[00:32:10.260 --> 00:32:13.340]   but I need to cover my mouth.
[00:32:13.340 --> 00:32:15.580]   I need to cover my feet.
[00:32:15.580 --> 00:32:19.260]   How is it that you, human,
[00:32:19.260 --> 00:32:23.220]   that you boldly and confidently approach God Almighty?
[00:32:23.220 --> 00:32:25.220]   Right?
[00:32:25.220 --> 00:32:28.700]   The angels probably instinctually would be like,
[00:32:28.700 --> 00:32:31.900]   "Stop, holy ground."
[00:32:31.900 --> 00:32:35.540]   But I imagine this is all just reading in between the lines.
[00:32:35.540 --> 00:32:40.340]   To angels, this would be quite the incredible thing,
[00:32:40.340 --> 00:32:43.060]   to see humans who were once broken,
[00:32:43.060 --> 00:32:45.100]   lower than the angels, right?
[00:32:45.100 --> 00:32:47.540]   Now be raised to even greater than them.
[00:32:47.540 --> 00:32:51.460]   That'd be pretty incredible, wouldn't it?
[00:32:51.460 --> 00:32:53.180]   A sight to see.
[00:32:53.180 --> 00:32:57.100]   And so you think about this, God eternally desired.
[00:32:57.100 --> 00:33:00.740]   Man, this part is really crazy.
[00:33:00.740 --> 00:33:05.740]   God eternally desired to show forth His incredible mercies,
[00:33:05.740 --> 00:33:09.140]   and He desired to do that in you.
[00:33:09.140 --> 00:33:15.380]   Because God in His nature, with His fatherly love,
[00:33:15.380 --> 00:33:20.580]   desired to create and then be one with that creation
[00:33:20.580 --> 00:33:22.140]   as a father.
[00:33:22.140 --> 00:33:25.500]   That is all initiated, thought out.
[00:33:25.500 --> 00:33:26.820]   That's all from His heart.
[00:33:26.820 --> 00:33:28.340]   That's all from His character.
[00:33:28.340 --> 00:33:31.620]   And that's why He is good father.
[00:33:31.620 --> 00:33:35.100]   To me, it's just like crazy to think about.
[00:33:35.100 --> 00:33:38.740]   And so as we're thinking today
[00:33:38.740 --> 00:33:41.020]   and reflecting with Apostle Paul,
[00:33:41.020 --> 00:33:45.100]   the manifold wisdom of God is going to be shown forth
[00:33:45.100 --> 00:33:47.620]   for us who are but vapors in time,
[00:33:47.620 --> 00:33:50.540]   for us who are but a breath,
[00:33:50.540 --> 00:33:52.660]   like a breath we see on a cold day.
[00:33:52.660 --> 00:33:55.180]   God is going to eternally use us
[00:33:55.180 --> 00:33:58.140]   to showcase His wisdom and love.
[00:33:58.140 --> 00:34:02.220]   And so I want to move forth into this kind of reflection.
[00:34:02.220 --> 00:34:08.340]   For us then to appreciate this,
[00:34:08.340 --> 00:34:11.020]   we are again like trying by faith
[00:34:11.020 --> 00:34:13.260]   to see beyond our case, right?
[00:34:13.260 --> 00:34:18.100]   For us right now, as we look at our own time,
[00:34:18.100 --> 00:34:22.060]   our own kind of situation,
[00:34:22.060 --> 00:34:24.380]   perhaps maybe you don't necessarily see it that way.
[00:34:24.380 --> 00:34:28.860]   Like how am I a showcase of God's love, right?
[00:34:28.860 --> 00:34:30.900]   But here's an encouragement for you.
[00:34:30.900 --> 00:34:32.580]   Verse 13, Apostle Paul says,
[00:34:32.580 --> 00:34:35.580]   "Therefore I ask you, do not lose heart."
[00:34:35.580 --> 00:34:37.580]   Okay, why would they lose heart?
[00:34:37.580 --> 00:34:39.500]   Because they're looking at tribulation, right?
[00:34:39.500 --> 00:34:42.180]   Like they're looking at Apostle Paul's tribulation.
[00:34:42.180 --> 00:34:44.700]   They're looking at their own tribulation.
[00:34:44.700 --> 00:34:47.220]   So I want you to take a moment to think about this.
[00:34:47.220 --> 00:34:52.220]   Across history, there has been incredible suffering.
[00:34:52.700 --> 00:34:54.860]   And even secular historians would say
[00:34:54.860 --> 00:34:59.260]   our history throughout time is just a simple record
[00:34:59.260 --> 00:35:01.740]   of kings and kingdoms and the war in between.
[00:35:01.740 --> 00:35:03.380]   That's what one historian said.
[00:35:03.380 --> 00:35:04.900]   Another historian said,
[00:35:04.900 --> 00:35:07.500]   "Essentially our history is just riddled
[00:35:07.500 --> 00:35:09.740]   "with kingdoms and moving the map,
[00:35:09.740 --> 00:35:13.020]   "moving territories, moving the battle, so to speak."
[00:35:13.020 --> 00:35:14.900]   And then a not so famous historian,
[00:35:14.900 --> 00:35:16.140]   Henry Ford once said,
[00:35:16.140 --> 00:35:18.060]   "History is just one poopy thing."
[00:35:18.060 --> 00:35:21.100]   I say poopy, but he used another word I'm not going to say.
[00:35:21.100 --> 00:35:23.140]   Just one poopy thing to another poopy thing.
[00:35:23.140 --> 00:35:24.580]   That's what he said, right?
[00:35:24.580 --> 00:35:29.420]   In thinking about that, even in Ecclesiastes,
[00:35:29.420 --> 00:35:30.900]   the wise King Solomon said,
[00:35:30.900 --> 00:35:33.980]   "Listen, what is the point?
[00:35:33.980 --> 00:35:37.660]   "What is advantageous for a man
[00:35:37.660 --> 00:35:39.700]   "in all his work under the sun?
[00:35:39.700 --> 00:35:42.940]   "Generations come and generations go.
[00:35:42.940 --> 00:35:45.380]   "The sun rises, the sun sets."
[00:35:45.380 --> 00:35:47.100]   And he goes on to say,
[00:35:47.100 --> 00:35:48.700]   "But still we cannot tell.
[00:35:48.700 --> 00:35:49.700]   "We're not satisfied.
[00:35:49.700 --> 00:35:51.740]   "We're not seeing and not hearing.
[00:35:51.740 --> 00:35:53.460]   "We're not filled.
[00:35:53.460 --> 00:35:55.020]   "And no one remembers.
[00:35:55.020 --> 00:35:58.340]   "'Cause who can say there's anything new under the sun?"
[00:35:58.340 --> 00:36:02.180]   There is such a vanity in this world.
[00:36:02.180 --> 00:36:05.260]   There is just so much pointlessness in this world.
[00:36:05.260 --> 00:36:07.180]   And when we look at history,
[00:36:07.180 --> 00:36:09.740]   we might be tempted to think the same.
[00:36:09.740 --> 00:36:13.220]   If we use our human eyes to evaluate our own lives,
[00:36:13.220 --> 00:36:15.380]   we're still surrounded by pagans.
[00:36:15.380 --> 00:36:17.540]   There's still sin in the church.
[00:36:17.540 --> 00:36:19.340]   There's still our weaknesses.
[00:36:19.340 --> 00:36:21.740]   And if we're thinking about the church at Ephesus
[00:36:21.740 --> 00:36:25.620]   in this time as the readers of this letter,
[00:36:25.620 --> 00:36:27.820]   the guy who's preaching to them and saying,
[00:36:27.820 --> 00:36:31.020]   "Look, chapter one, God has blessed you.
[00:36:31.020 --> 00:36:34.580]   "Look, chapter two, in the gospel you have life.
[00:36:34.580 --> 00:36:36.060]   "You have completeness.
[00:36:36.060 --> 00:36:37.540]   "You have redemption.
[00:36:37.540 --> 00:36:39.420]   "You who are far have been brought near."
[00:36:39.420 --> 00:36:42.940]   And he's trying to show them the incredible love of God.
[00:36:42.940 --> 00:36:44.220]   God loves you.
[00:36:44.220 --> 00:36:48.700]   But they're hearing this from a guy in prison.
[00:36:49.580 --> 00:36:52.540]   If we are only using our human eyes,
[00:36:52.540 --> 00:36:54.740]   none of this makes sense.
[00:36:54.740 --> 00:36:56.820]   But through the eyes of our faith,
[00:36:56.820 --> 00:36:58.460]   we are learning.
[00:36:58.460 --> 00:36:59.300]   Brothers and sisters,
[00:36:59.300 --> 00:37:02.900]   do not lose heart at the tribulations
[00:37:02.900 --> 00:37:06.060]   because we are a part of something huge
[00:37:06.060 --> 00:37:09.860]   that includes all of history as we know it.
[00:37:09.860 --> 00:37:12.540]   For the secular individual,
[00:37:12.540 --> 00:37:15.260]   all of history is just from one event to another.
[00:37:15.260 --> 00:37:19.140]   All we can do is track kings and kingdoms and wars.
[00:37:19.140 --> 00:37:22.220]   For us, we're seeing the intentional hand of God
[00:37:22.220 --> 00:37:25.660]   move all of history towards Christ
[00:37:25.660 --> 00:37:28.980]   and then the gospel that is going to redeem.
[00:37:28.980 --> 00:37:34.100]   What we see is a masterful, powerful, loving God
[00:37:34.100 --> 00:37:37.740]   moving throughout history, but also moving in you.
[00:37:37.740 --> 00:37:41.220]   God is going to use you eternally.
[00:37:41.220 --> 00:37:44.180]   If you are in Christ, your life is eternal
[00:37:44.180 --> 00:37:48.460]   and you have absolute life, indestructible in Christ.
[00:37:48.460 --> 00:37:53.740]   And therefore, we have then glorious expectation.
[00:37:53.740 --> 00:37:55.300]   Well, what Apostle Paul is saying is,
[00:37:55.300 --> 00:37:57.580]   yes, perhaps right now, suffering first.
[00:37:57.580 --> 00:37:59.540]   Yes, perhaps right now, tribulation.
[00:37:59.540 --> 00:38:03.740]   But remember, glory would come through suffering for Christ
[00:38:03.740 --> 00:38:05.500]   and likewise for us, it's the same.
