
[00:00:00.000 --> 00:00:09.080]   - Good evening, everyone.
[00:17:02.680 --> 00:17:04.120]   Primarily, yes.
[00:17:04.120 --> 00:17:07.240]   I mean, 2 Timothy 3.16,
[00:17:07.240 --> 00:17:09.320]   the word of God is sufficient for everything.
[00:17:09.320 --> 00:17:11.160]   To make us wise unto salvation,
[00:17:11.160 --> 00:17:13.200]   but to make sure that we're all equipped,
[00:17:13.200 --> 00:17:15.240]   thoroughly equipped that we can be,
[00:17:15.240 --> 00:17:16.840]   you know, to do every work.
[00:17:16.840 --> 00:17:19.400]   However, the scriptures talk about the fact
[00:17:19.400 --> 00:17:21.880]   that our prayers continue to equip us.
[00:17:21.880 --> 00:17:23.800]   What's more, the exhortation that we hear
[00:17:23.800 --> 00:17:24.920]   from our brothers and sisters,
[00:17:24.920 --> 00:17:28.120]   the accountability, the admonishment to flee sin
[00:17:28.120 --> 00:17:29.840]   and to obey in greater measure,
[00:17:29.840 --> 00:17:31.640]   that's all equipping too.
[00:17:31.640 --> 00:17:33.880]   The testing and suffering, whoa.
[00:17:34.760 --> 00:17:39.240]   Testing and suffering is actually a huge disciplinary,
[00:17:39.240 --> 00:17:40.880]   equipping and training.
[00:17:40.880 --> 00:17:43.080]   I mean, you think about the passage in James,
[00:17:43.080 --> 00:17:45.760]   you think about the passage in 1 Peter 1.
[00:17:45.760 --> 00:17:49.040]   We essentially need to go through these various trials
[00:17:49.040 --> 00:17:51.280]   because those trials is going to have
[00:17:51.280 --> 00:17:54.200]   its necessary effect in us.
[00:17:54.200 --> 00:17:56.840]   What I'm saying is, more broadly speaking,
[00:17:56.840 --> 00:17:59.200]   the scripture is talking about equipping,
[00:17:59.200 --> 00:18:02.680]   maybe more than what perhaps we presume equipping might mean.
[00:18:02.680 --> 00:18:04.680]   The observation and engagement of our community,
[00:18:04.680 --> 00:18:06.720]   the people around us who are mature,
[00:18:06.720 --> 00:18:09.400]   the practice of our faith in discernment.
[00:18:09.400 --> 00:18:11.440]   Scripture essentially says,
[00:18:11.440 --> 00:18:13.280]   our maturity is going to come,
[00:18:13.280 --> 00:18:14.440]   our discernment is going to come
[00:18:14.440 --> 00:18:16.240]   by those who actually practice it
[00:18:16.240 --> 00:18:17.520]   and in greater measure,
[00:18:17.520 --> 00:18:20.480]   a fuller application of what we already know.
[00:18:20.480 --> 00:18:22.240]   And so Apostle Peter says, you know what?
[00:18:22.240 --> 00:18:24.920]   I don't mind repeating stuff over and over again.
[00:18:24.920 --> 00:18:27.080]   And as a matter of fact, I think about my own ministry,
[00:18:27.080 --> 00:18:29.160]   just the teaching that I've done over the years.
[00:18:29.160 --> 00:18:30.640]   And in that teaching,
[00:18:30.640 --> 00:18:31.880]   there's so many things I repeated
[00:18:31.880 --> 00:18:33.680]   over and over again.
[00:18:33.680 --> 00:18:35.000]   And thank goodness the word of God
[00:18:35.000 --> 00:18:37.680]   never ceases to amaze, it's so deep.
[00:18:37.680 --> 00:18:39.960]   But a lot of that actually is repetition
[00:18:39.960 --> 00:18:41.240]   of the same concepts,
[00:18:41.240 --> 00:18:43.640]   just in fuller measure and fuller application.
[00:18:43.640 --> 00:18:47.640]   And so all that to say is,
[00:18:47.640 --> 00:18:50.000]   I want you to take a moment to think about this.
[00:18:50.000 --> 00:18:51.000]   If I'm not thinking like, yeah,
[00:18:51.000 --> 00:18:52.080]   I need to be equipped to lead,
[00:18:52.080 --> 00:18:53.720]   but I'm thinking like,
[00:18:53.720 --> 00:18:56.040]   I need to be equipped to go love my brother,
[00:18:56.040 --> 00:18:58.840]   to bear his burdens.
[00:18:58.840 --> 00:19:01.800]   Like what is it that you're not equipped with
[00:19:01.800 --> 00:19:03.400]   that you can't go to a brother and be like,
[00:19:03.400 --> 00:19:04.520]   how are you doing this week?
[00:19:04.520 --> 00:19:07.280]   Especially during this time of the shelter at home,
[00:19:07.280 --> 00:19:08.200]   are you doing okay?
[00:19:08.200 --> 00:19:10.240]   Brother says, yeah, I'm struggling with this
[00:19:10.240 --> 00:19:11.080]   and this and this.
[00:19:11.080 --> 00:19:12.000]   He says, I'll pray for you.
[00:19:12.000 --> 00:19:12.840]   Call him again and say, you know,
[00:19:12.840 --> 00:19:14.720]   I was just curious, like how are your parents doing?
[00:19:14.720 --> 00:19:16.920]   'Cause man, they are at risk and stuff like that.
[00:19:16.920 --> 00:19:18.120]   And I know their health is not good.
[00:19:18.120 --> 00:19:19.960]   Are they doing okay?
[00:19:19.960 --> 00:19:21.200]   And you continue to check up on him.
[00:19:21.200 --> 00:19:22.480]   And then you start saying, oh, you share,
[00:19:22.480 --> 00:19:23.840]   can I share with you my encouragements
[00:19:23.840 --> 00:19:24.680]   and how I'm struggling?
[00:19:24.680 --> 00:19:26.120]   And you go and interact.
[00:19:26.120 --> 00:19:27.520]   And then you eventually say to like,
[00:19:27.520 --> 00:19:29.880]   more specifically with your love for Christ
[00:19:29.880 --> 00:19:31.760]   and your private faith in the Lord,
[00:19:31.760 --> 00:19:32.920]   like how's that doing?
[00:19:32.920 --> 00:19:36.280]   What equipping do you lack?
[00:19:36.280 --> 00:19:41.720]   I'm saying this not to say that you don't need training
[00:19:41.720 --> 00:19:43.640]   and that equipping is all bad.
[00:19:43.640 --> 00:19:45.920]   I'm saying this to say that perhaps sometimes
[00:19:45.920 --> 00:19:48.480]   what we think about as equipping
[00:19:48.480 --> 00:19:51.280]   is not necessarily done specifically
[00:19:51.280 --> 00:19:53.480]   in a formalized classroom setting,
[00:19:53.480 --> 00:19:55.680]   which a lot of people sometimes expect.
[00:19:55.680 --> 00:19:57.320]   And so I just wanted to highlight that by saying
[00:19:57.320 --> 00:19:59.080]   the equipping is probably broader
[00:19:59.080 --> 00:20:01.560]   than what we normally may think of.
[00:20:01.560 --> 00:20:04.000]   Next, as we think about this though,
[00:20:04.000 --> 00:20:08.520]   Apostle Paul has shown to us Christ's intent
[00:20:08.520 --> 00:20:12.280]   as he gives gifts, that he desires this purpose
[00:20:12.280 --> 00:20:16.000]   that the saints be equipped, that we be trained
[00:20:16.000 --> 00:20:19.360]   and that we are grown and that we're maturing
[00:20:19.360 --> 00:20:20.920]   by doing the works of service,
[00:20:20.920 --> 00:20:23.560]   the works of service that includes far more
[00:20:23.560 --> 00:20:25.160]   than just leading stuff.
[00:20:25.160 --> 00:20:27.440]   Works of service that means serving the brother next to us,
[00:20:27.440 --> 00:20:28.800]   serving the needs that we see
[00:20:28.800 --> 00:20:30.680]   and applying everything that we can.
[00:20:30.680 --> 00:20:32.800]   And then what he says is,
[00:20:32.800 --> 00:20:35.400]   all of that is going to build to
[00:20:35.400 --> 00:20:38.520]   until we all attain and have this result.
[00:20:38.520 --> 00:20:41.040]   So the way I label this is when I see again,
[00:20:41.040 --> 00:20:44.440]   these prepositional phrases, until we all attain to
[00:20:44.440 --> 00:20:47.600]   and as a result, I should be thinking,
[00:20:47.600 --> 00:20:49.600]   man, this is like a broader goal.
[00:20:49.600 --> 00:20:51.880]   Like God has a very order and structure
[00:20:51.880 --> 00:20:53.720]   where he's thinking there are purposes and objectives
[00:20:53.720 --> 00:20:56.720]   that are leading to a grand vision of the church.
[00:20:56.720 --> 00:20:59.680]   And that's why this passage is great and amazing
[00:20:59.680 --> 00:21:02.200]   and we should take time to appreciate it
[00:21:02.200 --> 00:21:05.160]   because it gives to us kind of the idea that God has
[00:21:05.160 --> 00:21:08.200]   when he's thinking about the picture of the church.
[00:21:08.200 --> 00:21:09.640]   And what does he say?
[00:21:09.640 --> 00:21:12.600]   He says, until we all attain to the unity of faith
[00:21:12.600 --> 00:21:15.560]   and of the knowledge of the son of God,
[00:21:15.560 --> 00:21:18.240]   to a mature man and to the measure of the stature
[00:21:18.240 --> 00:21:21.000]   which belongs to the fullness of Christ.
[00:21:21.000 --> 00:21:23.000]   As a result, we are no longer to be children
[00:21:23.000 --> 00:21:24.760]   tossed here and there by waves
[00:21:24.760 --> 00:21:26.680]   and carried about by every wind of doctrine
[00:21:26.680 --> 00:21:28.160]   by the trickery of men,
[00:21:28.160 --> 00:21:30.480]   by craftiness and deceitful scheming.
[00:21:30.480 --> 00:21:31.960]   But speaking the truth in love,
[00:21:31.960 --> 00:21:34.560]   we are to grow up in all aspects
[00:21:34.560 --> 00:21:39.160]   and to him who is the head, even Christ.
[00:21:39.160 --> 00:21:42.960]   Brothers and sisters, this is a tall, tall order.
[00:21:42.960 --> 00:21:45.000]   This is a big vision.
[00:21:45.000 --> 00:21:48.080]   This is perhaps in some people's mind, like impossible.
[00:21:48.080 --> 00:21:49.080]   Right?
[00:21:49.080 --> 00:21:50.280]   This is huge.
[00:21:50.280 --> 00:21:52.200]   So let's take a moment to appreciate all this stuff.
[00:21:52.200 --> 00:21:55.640]   First, he talks about the unity of faith.
[00:21:55.640 --> 00:21:56.920]   Unity of faith.
[00:21:56.920 --> 00:22:02.640]   He is talking about the fact that we have this one baptism,
[00:22:02.640 --> 00:22:07.040]   one faith, one spirit, one father, one truth.
[00:22:07.040 --> 00:22:11.880]   And so we are bound together in such a way
[00:22:11.880 --> 00:22:15.400]   where we have the same dedication
[00:22:15.400 --> 00:22:18.520]   to the same doctrine, the same truth.
[00:22:18.520 --> 00:22:21.880]   And so we're supposed to have in other parts of scripture
[00:22:21.880 --> 00:22:24.400]   a same intent.
[00:22:24.400 --> 00:22:27.840]   Intent on the same thing, set on the same purposes.
[00:22:27.840 --> 00:22:30.320]   And the passage actually commands us
[00:22:30.320 --> 00:22:32.680]   to have similarity of mind.
[00:22:32.680 --> 00:22:36.040]   Now, somebody perhaps might look at that and say,
[00:22:36.040 --> 00:22:37.040]   "What?
[00:22:37.040 --> 00:22:38.960]   "What a herd mentality."
[00:22:38.960 --> 00:22:39.800]   Right?
[00:22:39.800 --> 00:22:43.080]   We're being brainwashed to think the exact same stuff.
[00:22:43.080 --> 00:22:45.120]   But the thing about it is, yes,
[00:22:45.120 --> 00:22:46.880]   if we have a unity,
[00:22:46.880 --> 00:22:49.800]   where for the sake of pragmatism or practicality,
[00:22:49.800 --> 00:22:51.880]   you all should just believe what I say,
[00:22:51.880 --> 00:22:53.280]   then that would be wrong.
[00:22:53.280 --> 00:22:54.480]   Or if in the sense of,
[00:22:54.480 --> 00:22:55.560]   "Hey, this is not gonna work
[00:22:55.560 --> 00:22:57.280]   "if we have different types of people.
[00:22:57.280 --> 00:23:00.120]   "So we're just gonna all move in the same pattern."
[00:23:00.120 --> 00:23:01.640]   That would be wrong.
[00:23:01.640 --> 00:23:04.400]   But the fact of the matter is we are one herd.
[00:23:04.400 --> 00:23:05.280]   We're sheep.
[00:23:05.280 --> 00:23:09.480]   But the great truth is we are sheep of the great shepherd.
[00:23:09.480 --> 00:23:12.200]   And just like that video we saw a couple of weeks ago,
[00:23:12.200 --> 00:23:15.120]   we all perk up when we hear the voice of our master,
[00:23:15.120 --> 00:23:16.160]   and we all come running
[00:23:16.160 --> 00:23:18.480]   when we hear the voice of our master.
[00:23:18.480 --> 00:23:19.840]   That is no faulty thing.
[00:23:19.840 --> 00:23:21.880]   That is no foolish thing.
[00:23:21.880 --> 00:23:24.920]   When in fact you have the foundation of God's own voice
[00:23:24.920 --> 00:23:27.320]   being what unites us.
[00:23:27.320 --> 00:23:28.760]   It would be a foolish thing
[00:23:28.760 --> 00:23:30.920]   to just be thinking outside the box
[00:23:30.920 --> 00:23:33.040]   for the sake of thinking outside the box.
[00:23:33.040 --> 00:23:34.680]   You can't be different just to be different.
[00:23:34.680 --> 00:23:37.760]   That in and of itself is also foolishness as well.
[00:23:37.760 --> 00:23:40.960]   But the point that I'm kind of getting at here is this.
[00:23:40.960 --> 00:23:44.840]   The kind of unity that God desires to see in us,
[00:23:44.840 --> 00:23:47.320]   the degree and level of like-mindedness
[00:23:47.320 --> 00:23:49.400]   that God wants to see in all of us.
[00:23:49.400 --> 00:23:52.600]   I want us to understand that that unity is so high
[00:23:52.600 --> 00:23:55.120]   'cause he wants us to have that element
[00:23:55.120 --> 00:23:57.640]   where we are of absolute one faith.
[00:23:57.640 --> 00:23:59.800]   So moving forward to next,
[00:23:59.800 --> 00:24:02.000]   the knowledge of the Son of God.
[00:24:02.000 --> 00:24:05.000]   I would like to highlight and draw your attention
[00:24:05.000 --> 00:24:07.160]   to an observation of a word study here
[00:24:07.160 --> 00:24:09.200]   on the term knowledge.
[00:24:09.200 --> 00:24:12.600]   In the Greek there are several terms for the word to know.
[00:24:12.600 --> 00:24:15.040]   There's oida, there's gnosko.
[00:24:15.040 --> 00:24:19.200]   This passage particularly uses the word epignosko.
[00:24:19.200 --> 00:24:21.280]   It is absolutely intensified.
[00:24:21.280 --> 00:24:24.160]   Again, from the word dictionary of the New Testament,
[00:24:24.160 --> 00:24:26.720]   it says, "This knowledge is intensified
[00:24:26.720 --> 00:24:29.240]   because it expresses a more thorough participation
[00:24:29.240 --> 00:24:32.040]   in acquiring of the knowledge on the part of the learner.
[00:24:32.040 --> 00:24:34.400]   It often refers to knowledge
[00:24:34.400 --> 00:24:37.120]   which very powerfully influences
[00:24:37.120 --> 00:24:38.920]   every form of religious life,
[00:24:38.920 --> 00:24:43.200]   a knowledge laying claim to personal involvement."
[00:24:43.200 --> 00:24:44.680]   Take a moment to think about that,
[00:24:44.680 --> 00:24:47.440]   that your experiences,
[00:24:47.440 --> 00:24:49.280]   it's both personal,
[00:24:49.280 --> 00:24:53.080]   there is personal investment and engagement.
[00:24:53.080 --> 00:24:55.960]   And all of that happens to surround your experience
[00:24:55.960 --> 00:24:58.160]   with the person of Christ, right?
[00:24:58.160 --> 00:25:00.840]   If you've had experience with another individual
[00:25:00.840 --> 00:25:03.320]   and you've had shared life patterns
[00:25:03.320 --> 00:25:07.720]   and moments when you can, you know, reminisce together,
[00:25:07.720 --> 00:25:09.240]   those are such unique ties.
[00:25:09.240 --> 00:25:11.880]   Right now, a lot of people are sharing their reflections
[00:25:11.880 --> 00:25:13.560]   but also their testimony
[00:25:13.560 --> 00:25:16.120]   and moments of hardship that drawn them closer to God
[00:25:16.120 --> 00:25:18.400]   on the Facebook and over the internet.
[00:25:18.400 --> 00:25:19.560]   And some people comments like,
[00:25:19.560 --> 00:25:22.240]   "Oh, I remember your before Christ days
[00:25:22.240 --> 00:25:24.000]   and you're crazy and all that kind of stuff."
[00:25:24.000 --> 00:25:24.840]   And then they're like,
[00:25:24.840 --> 00:25:27.080]   "But remembering Christ, how He's good to you,
[00:25:27.080 --> 00:25:29.680]   how He changed you, like, thank you so much for sharing."
[00:25:29.680 --> 00:25:33.520]   And when we do that, there is immediately a connection.
[00:25:33.520 --> 00:25:36.800]   Because we're talking about the picture of the church,
[00:25:36.800 --> 00:25:39.360]   think about this, every single one of us
[00:25:39.360 --> 00:25:40.880]   has some of the most moving
[00:25:40.880 --> 00:25:43.520]   and deepest experiences with Christ.
[00:25:43.520 --> 00:25:45.440]   And we all can share it
[00:25:45.440 --> 00:25:47.000]   because we've been walking with the Lord.
[00:25:47.000 --> 00:25:49.120]   What an amazing thing that would be.
[00:25:49.120 --> 00:25:52.680]   What's more, he says, that there should be maturity,
[00:25:52.680 --> 00:25:54.880]   maturity, that we would all, again,
[00:25:54.880 --> 00:25:57.360]   this is not satisfied with a bunch of people
[00:25:57.360 --> 00:25:58.480]   with a bunch of people over here
[00:25:58.480 --> 00:26:00.000]   and a bunch of people over there being mature,
[00:26:00.000 --> 00:26:04.480]   but until we all attain to the maturity, that of Christ.
[00:26:04.480 --> 00:26:05.720]   And I want you to think about this.
[00:26:05.720 --> 00:26:08.200]   I mean, to the church,
[00:26:08.200 --> 00:26:12.840]   its unity would be so developed and heightened
[00:26:12.840 --> 00:26:15.720]   if people were growing in their personal maturity.
[00:26:15.720 --> 00:26:17.360]   If we were selfish, we would be thinking,
[00:26:17.360 --> 00:26:18.440]   "You know what?
[00:26:18.440 --> 00:26:20.600]   I want what I want, I want it now."
[00:26:20.600 --> 00:26:23.360]   Like, that would be absolute childishness, right?
[00:26:23.360 --> 00:26:24.560]   That's immaturity.
[00:26:24.560 --> 00:26:25.880]   A lack of self-control, it's like,
[00:26:25.880 --> 00:26:27.840]   "I'm just gonna do it, I don't care.
[00:26:27.840 --> 00:26:29.080]   Not thinking about consequences.
[00:26:29.080 --> 00:26:31.280]   I don't care if it hurts you, who cares?"
[00:26:31.280 --> 00:26:33.280]   Like, that's all childishness.
[00:26:33.280 --> 00:26:37.080]   But if you're able to think about having self-control,
[00:26:37.080 --> 00:26:38.760]   being able to die to self,
[00:26:38.760 --> 00:26:40.400]   having that kind of maturity
[00:26:40.400 --> 00:26:43.360]   to think above and beyond your own wants,
[00:26:43.360 --> 00:26:44.240]   that would be such a thing
[00:26:44.240 --> 00:26:46.360]   where our Father in heaven would look down.
[00:26:46.360 --> 00:26:48.360]   And again, because we're talking about the grand vision,
[00:26:48.360 --> 00:26:49.920]   think about the vision of the Father.
[00:26:49.920 --> 00:26:53.440]   Why would He not want us to mature in that fashion?
[00:26:53.440 --> 00:26:55.480]   Us as His sons and daughters.
[00:26:55.480 --> 00:26:57.800]   And you know, I do believe
[00:26:57.800 --> 00:26:59.240]   that there is this interaction
[00:26:59.240 --> 00:27:02.200]   where God is looking at His sons and daughters
[00:27:02.200 --> 00:27:04.760]   and desiring to be proud
[00:27:04.760 --> 00:27:08.280]   as we grow in maturity towards the image of Christ.
[00:27:08.280 --> 00:27:10.080]   There's a thought that I think about.
[00:27:10.080 --> 00:27:11.560]   One time I went on a mission trip
[00:27:11.560 --> 00:27:13.560]   and even with a great team,
[00:27:13.560 --> 00:27:14.880]   sometimes within mission trips,
[00:27:14.880 --> 00:27:16.160]   as you're trying to do hard stuff,
[00:27:16.160 --> 00:27:18.320]   moving from here to here, the discomforts,
[00:27:18.320 --> 00:27:19.920]   there was some strife.
[00:27:19.920 --> 00:27:21.720]   And there was this time, there was an intense moment
[00:27:21.720 --> 00:27:24.760]   where it started getting all kind of crazy.
[00:27:24.760 --> 00:27:29.760]   Some words were said, words weren't careful,
[00:27:29.760 --> 00:27:32.160]   and then things started to escalate.
[00:27:32.160 --> 00:27:33.600]   And within that kind of escalation,
[00:27:33.600 --> 00:27:36.000]   things got really heated and emotional and stuff like that.
[00:27:36.000 --> 00:27:37.880]   But one of the team members,
[00:27:37.880 --> 00:27:40.200]   as they kind of noticed and saw,
[00:27:40.200 --> 00:27:41.840]   they could have easily just been like,
[00:27:41.840 --> 00:27:43.760]   "What's going on?"
[00:27:43.760 --> 00:27:45.360]   And been like, "I'm out of here.
[00:27:45.360 --> 00:27:46.480]   "No thank you."
[00:27:46.480 --> 00:27:48.200]   But instead, they stepped in.
[00:27:48.200 --> 00:27:49.800]   Now, they didn't step in a manner where it was like,
[00:27:49.800 --> 00:27:50.640]   "You know what?
[00:27:50.640 --> 00:27:51.480]   "What are you talking about?
[00:27:51.480 --> 00:27:52.320]   "What are you talking about?
[00:27:52.320 --> 00:27:53.160]   "Say your piece."
[00:27:53.160 --> 00:27:54.280]   It wasn't like that.
[00:27:54.280 --> 00:27:56.440]   They stepped in with a sense of just like,
[00:27:56.440 --> 00:27:57.280]   "You know what?
[00:27:57.280 --> 00:27:58.780]   "I wanna take responsibility.
[00:27:58.780 --> 00:28:00.960]   "We could have done a lot better."
[00:28:00.960 --> 00:28:03.400]   Apologized, they heard the personnel,
[00:28:03.400 --> 00:28:06.240]   and they completely deescalated by their humility,
[00:28:06.240 --> 00:28:08.440]   their willingness to absorb.
[00:28:08.440 --> 00:28:10.600]   Maybe their expectation was wrong.
[00:28:10.600 --> 00:28:12.680]   Maybe their expectation was unfair.
[00:28:12.680 --> 00:28:15.040]   But nevertheless, they submitted to one another
[00:28:15.040 --> 00:28:15.880]   in that fashion.
[00:28:15.880 --> 00:28:19.360]   Man, on the bus ride home, I was just so proud of them.
[00:28:19.360 --> 00:28:20.520]   I leaned over and I was like,
[00:28:20.520 --> 00:28:21.960]   "I'm so proud of you."
[00:28:21.960 --> 00:28:24.480]   Because I was.
[00:28:24.480 --> 00:28:27.480]   But again, thinking about the larger church picture,
[00:28:27.480 --> 00:28:30.480]   when we are exercising greater maturity
[00:28:30.480 --> 00:28:34.000]   because of our ability to express
[00:28:34.000 --> 00:28:36.240]   and do what Christ has done,
[00:28:36.240 --> 00:28:38.240]   our Father would be proud.
[00:28:38.240 --> 00:28:40.560]   Now, moving forward,
[00:28:40.560 --> 00:28:41.880]   here in this passage it says,
[00:28:41.880 --> 00:28:43.400]   "To the measure,"
[00:28:43.400 --> 00:28:45.520]   or sorry, yeah, "To the measure of the stature
[00:28:45.520 --> 00:28:48.060]   "which belongs to the fullness of Christ."
[00:28:48.060 --> 00:28:49.660]   If you actually take a moment to think about that,
[00:28:49.660 --> 00:28:50.640]   that's crazy.
[00:28:50.640 --> 00:28:53.120]   To the stature of Jesus Christ?
[00:28:53.120 --> 00:28:54.840]   This must be talking about the end times.
[00:28:54.840 --> 00:28:57.720]   This must be talking about when we're glorified in heaven.
[00:28:57.720 --> 00:29:02.720]   No, our God desires us to move in that direction now.
[00:29:03.720 --> 00:29:06.240]   And even if we think in our own minds,
[00:29:06.240 --> 00:29:09.920]   like, "That's like asking us to clean the ocean.
[00:29:09.920 --> 00:29:11.240]   "Can't do that.
[00:29:11.240 --> 00:29:12.120]   "I'm a land animal."
[00:29:12.120 --> 00:29:13.960]   Right, like, what are we supposed to say to that
[00:29:13.960 --> 00:29:16.760]   when God asks us to do something far above, beyond
[00:29:16.760 --> 00:29:18.120]   what we think is capable?
[00:29:18.120 --> 00:29:20.800]   God's gonna look at us and say,
[00:29:20.800 --> 00:29:22.960]   "How many things that I call you to do
[00:29:22.960 --> 00:29:25.520]   "that's impossible for man,
[00:29:25.520 --> 00:29:28.080]   "but that he is going to empower?"
[00:29:28.080 --> 00:29:30.560]   And so be encouraged that this desire of God
[00:29:30.560 --> 00:29:32.880]   to strengthen and cause us to mature
[00:29:32.880 --> 00:29:36.840]   to the measure of Christ is something he is working in us.
[00:29:36.840 --> 00:29:39.440]   And he desires to see in the grand picture
[00:29:39.440 --> 00:29:41.720]   all of us attain to that.
[00:29:41.720 --> 00:29:43.480]   And the question to you is,
[00:29:43.480 --> 00:29:46.400]   have you said, "Yes, Lord, thank you."
[00:29:46.400 --> 00:29:49.040]   Or have you said, "No, Lord, that's impossible."
[00:29:49.040 --> 00:29:51.120]   That is for us to submit to,
[00:29:51.120 --> 00:29:53.640]   not only submit to, but buy into.
[00:29:53.640 --> 00:29:55.360]   And then he says, "As a result,
[00:29:55.360 --> 00:29:56.960]   "we are no longer children,
[00:29:56.960 --> 00:29:58.600]   "tossed here and there by waves
[00:29:58.880 --> 00:30:00.840]   "and carried about by every wind of doctrine,
[00:30:00.840 --> 00:30:02.240]   "by the trickery of men,
[00:30:02.240 --> 00:30:05.400]   "by craftiness and deceitful scheming.
[00:30:05.400 --> 00:30:06.960]   "But speaking the truth in love,
[00:30:06.960 --> 00:30:08.760]   "we are to grow up in all aspects,
[00:30:08.760 --> 00:30:12.360]   "and to him who is the head, even Christ."
[00:30:12.360 --> 00:30:13.840]   Let's take a moment to think about that again,
[00:30:13.840 --> 00:30:16.920]   continuing this vision, the goals.
[00:30:16.920 --> 00:30:21.600]   He wants the resulting effect to be that we are like adults.
[00:30:21.600 --> 00:30:24.400]   We're maturing in a way where we're no longer like children,
[00:30:24.400 --> 00:30:26.040]   tossed here and tossed there,
[00:30:26.040 --> 00:30:28.440]   and he described what children are like.
[00:30:28.440 --> 00:30:30.160]   What are children like?
[00:30:30.160 --> 00:30:33.240]   Well, we can think about everything wrong with children,
[00:30:33.240 --> 00:30:36.040]   but here he's talking specifically about the fact
[00:30:36.040 --> 00:30:37.680]   that there is no stability.
[00:30:37.680 --> 00:30:39.400]   You're just tossed here and there.
[00:30:39.400 --> 00:30:42.520]   Car goes by, you're chasing that.
[00:30:42.520 --> 00:30:44.200]   Ball rolls by, you're chasing that.
[00:30:44.200 --> 00:30:46.200]   Harsh just come and you're way over there.
[00:30:46.200 --> 00:30:48.600]   And rather than being able to resist the tides
[00:30:48.600 --> 00:30:49.440]   that are coming,
[00:30:49.440 --> 00:30:52.840]   you're locked up and you're miles away from home, right?
[00:30:52.840 --> 00:30:57.040]   What's more, being unable to discern.
[00:30:57.040 --> 00:30:59.320]   This is false, right?
[00:30:59.320 --> 00:31:01.440]   Adulthood means you've experienced life enough,
[00:31:01.440 --> 00:31:03.240]   you've exercised your brain,
[00:31:03.240 --> 00:31:05.920]   you've learned something to the degree that you can say,
[00:31:05.920 --> 00:31:07.880]   "That's not true.
[00:31:07.880 --> 00:31:10.280]   "We should grow in our ability to do that."
[00:31:10.280 --> 00:31:11.920]   What's more, being able to tell
[00:31:11.920 --> 00:31:15.360]   what is the crafty scheming of our enemy,
[00:31:15.360 --> 00:31:17.920]   that we're able to exercise our discernment,
[00:31:17.920 --> 00:31:20.600]   and that we're able to see these are not in pattern
[00:31:20.600 --> 00:31:23.160]   in keeping with God's truth.
[00:31:23.160 --> 00:31:25.080]   We're supposed to be able to do those things.
[00:31:25.080 --> 00:31:27.800]   And the question is, are you growing in them?
[00:31:27.800 --> 00:31:30.160]   Are you learning to be able to discern?
[00:31:30.160 --> 00:31:32.480]   And rather than just going here and there,
[00:31:32.480 --> 00:31:35.360]   rather than following words here and word there,
[00:31:35.360 --> 00:31:37.960]   we are to be able to have the word of God in us
[00:31:37.960 --> 00:31:41.880]   that we are able to speak the truth in love.
[00:31:41.880 --> 00:31:43.720]   And that's the kind of maturity and adulthood
[00:31:43.720 --> 00:31:45.600]   that God wants to see.
[00:31:45.600 --> 00:31:48.000]   And the thing about it is simple,
[00:31:48.000 --> 00:31:49.440]   speak the truth in love.
[00:31:49.440 --> 00:31:51.280]   It's not that easy, is it?
[00:31:51.280 --> 00:31:54.800]   I mean, as a father, I want so dearly
[00:31:54.800 --> 00:31:59.800]   to speak to my children always with both strong instruction,
[00:31:59.800 --> 00:32:02.360]   but to make sure they know I love them.
[00:32:02.360 --> 00:32:04.440]   You know, I'm sure you guys can relate.
[00:32:04.440 --> 00:32:07.120]   It's difficult to not speak truth
[00:32:07.120 --> 00:32:10.160]   with a tone of annoyance, right?
[00:32:10.160 --> 00:32:11.880]   Like, "What are you doing?"
[00:32:11.880 --> 00:32:15.280]   Right, it's just so hard not to be so annoyed.
[00:32:15.280 --> 00:32:17.440]   But the thing about it is maturity will teach you,
[00:32:17.440 --> 00:32:20.400]   and through the practice of speaking truth,
[00:32:20.400 --> 00:32:22.040]   you have to do it in love, you realize.
[00:32:22.040 --> 00:32:22.880]   Why?
[00:32:22.880 --> 00:32:24.040]   Because scripture straight up tells you
[00:32:24.040 --> 00:32:26.080]   you're going to be noisy.
[00:32:26.080 --> 00:32:27.200]   If we think, "You know what?
[00:32:27.200 --> 00:32:28.160]   "I don't wanna speak truth.
[00:32:28.160 --> 00:32:30.800]   "I'm just gonna say whatever comes, and you take it."
[00:32:30.800 --> 00:32:32.160]   That's like machine gunning everybody.
[00:32:32.160 --> 00:32:33.200]   It's like, "Buzz, buzz, buzz, buzz, buzz, buzz, buzz."
[00:32:33.200 --> 00:32:34.840]   And I hope that it hits you, right?
[00:32:34.840 --> 00:32:35.680]   No, it's not gonna.
[00:32:35.680 --> 00:32:37.240]   You're just gonna spray.
[00:32:37.240 --> 00:32:40.040]   You're not gonna be poignantly hitting what's needed,
[00:32:40.040 --> 00:32:41.800]   and you're gonna be useless.
[00:32:41.800 --> 00:32:44.240]   Scripture says that you need to speak with love.
[00:32:44.240 --> 00:32:47.200]   On the flip side, if you speak just with care
[00:32:47.200 --> 00:32:49.560]   and sympathy, but you have no truth,
[00:32:49.560 --> 00:32:51.440]   then how useful are you?
[00:32:51.440 --> 00:32:53.840]   You might make someone momentarily feel better,
