
[00:00:00.000 --> 00:00:02.000]   Here we go!
[00:39:12.000 --> 00:39:15.000]   In fact, now I would say more than two-thirds,
[00:39:15.000 --> 00:39:18.000]   maybe about 90% of the road has been paved.
[00:39:18.000 --> 00:39:22.000]   And now the same hotel that we go to, we will see foreigners hanging out there.
[00:39:22.000 --> 00:39:25.000]   So the first time I saw a foreigner like us,
[00:39:25.000 --> 00:39:27.000]   my initial thought was,
[00:39:27.000 --> 00:39:29.000]   the only reason why anybody would be out here,
[00:39:29.000 --> 00:39:32.000]   it's the same reason we're here, is to share the gospel.
[00:39:32.000 --> 00:39:34.000]   But we realized that through the years
[00:39:34.000 --> 00:39:37.000]   that India is starting to rise in their economy,
[00:39:37.000 --> 00:39:40.000]   so the more and more business people are coming into that area.
[00:39:40.000 --> 00:39:42.000]   It's a mining town.
[00:39:42.000 --> 00:39:44.000]   Hyundai came in and set up a huge factory out there,
[00:39:44.000 --> 00:39:46.000]   and that's part of the reason why the roads got paved.
[00:39:46.000 --> 00:39:48.000]   But I can imagine the first group of people
[00:39:48.000 --> 00:39:52.000]   who came out there to make money.
[00:39:52.000 --> 00:39:54.000]   They had to do the same thing we did.
[00:39:54.000 --> 00:39:57.000]   They had to come to a foreign place that they weren't familiar with,
[00:39:57.000 --> 00:40:00.000]   eat foods that they weren't familiar with,
[00:40:00.000 --> 00:40:03.000]   leave their family behind for a period to establish all that.
[00:40:03.000 --> 00:40:06.000]   Now it's becoming more and more foreigner-friendly,
[00:40:06.000 --> 00:40:08.000]   but there were people who came out there
[00:40:08.000 --> 00:40:10.000]   and did the same thing that we did,
[00:40:10.000 --> 00:40:14.000]   all for the purpose of making money.
[00:40:14.000 --> 00:40:16.000]   People all over the world will sacrifice,
[00:40:16.000 --> 00:40:18.000]   leave their families behind,
[00:40:18.000 --> 00:40:20.000]   sometimes even ruin their marriages
[00:40:20.000 --> 00:40:23.000]   because they are fanatics of money.
[00:40:23.000 --> 00:40:26.000]   And in a place like that, I can only say,
[00:40:26.000 --> 00:40:29.000]   either you are a fan of money,
[00:40:29.000 --> 00:40:31.000]   or you're a fanatic of God.
[00:40:31.000 --> 00:40:36.000]   That would bring somebody out to a place like that permanently,
[00:40:36.000 --> 00:40:39.000]   although we're only there for a short period of time.
[00:40:39.000 --> 00:40:44.000]   See, God knows that if we are not a fanatic of God,
[00:40:44.000 --> 00:40:47.000]   most likely we are a fanatic of something else.
[00:40:47.000 --> 00:40:50.000]   Because God created us for the purpose of worship.
[00:40:50.000 --> 00:40:53.000]   You and I gain the greatest satisfaction in life
[00:40:53.000 --> 00:40:57.000]   when we live according to the way He created us.
[00:40:57.000 --> 00:41:01.000]   So when we are not finding the satisfaction in life in Christ,
[00:41:01.000 --> 00:41:03.000]   and we are just casual fans,
[00:41:03.000 --> 00:41:07.000]   we are most likely fanatics of something else.
[00:41:07.000 --> 00:41:11.000]   You either watching Korean drama, K-pop,
[00:41:11.000 --> 00:41:12.000]   I don't know what it is that you like,
[00:41:12.000 --> 00:41:16.000]   maybe going to new places, or finding friends or community,
[00:41:16.000 --> 00:41:17.000]   whatever it might be.
[00:41:17.000 --> 00:41:19.000]   Buying new things, whatever it might be.
[00:41:19.000 --> 00:41:25.000]   If we are not, if we don't find life in being a fanatic of Christ,
[00:41:25.000 --> 00:41:28.000]   whether you are aware or not aware of it,
[00:41:28.000 --> 00:41:30.000]   most likely you are a fanatic of something else.
[00:41:30.000 --> 00:41:34.000]   Fanatic of security, fanatic of success,
[00:41:34.000 --> 00:41:37.000]   fanatic of money, fanatic of reputation,
[00:41:37.000 --> 00:41:38.000]   whatever that may be.
[00:41:38.000 --> 00:41:43.000]   That you are willing to sacrifice, possibly cheat and lie,
[00:41:43.000 --> 00:41:49.000]   in order to either hold on to it or to attain it.
[00:41:49.000 --> 00:41:52.000]   See, what God is saying here about Abel's offering
[00:41:52.000 --> 00:41:55.000]   is really a statement not only about Abel,
[00:41:55.000 --> 00:41:58.000]   but He's distinguishing between a worship that will lead to life
[00:41:58.000 --> 00:42:00.000]   and a worship that will lead to death.
[00:42:00.000 --> 00:42:02.000]   See, the background behind this,
[00:42:02.000 --> 00:42:04.000]   just so that we better understand what's going on here,
[00:42:04.000 --> 00:42:08.000]   in Genesis 4, 4-5 it describes Abel's offering.
[00:42:08.000 --> 00:42:12.000]   It says, "Abel on his part also brought of the firstlings of his flock
[00:42:12.000 --> 00:42:14.000]   and of their fat portions."
[00:42:14.000 --> 00:42:16.000]   Let me stop right there.
[00:42:16.000 --> 00:42:17.000]   That's verse 4.
[00:42:17.000 --> 00:42:21.000]   And then verse 3, it describes Cain's offering.
[00:42:21.000 --> 00:42:25.000]   "So it came about in the course of time that Cain brought an offering
[00:42:25.000 --> 00:42:28.000]   to the Lord of fruit of the ground."
[00:42:28.000 --> 00:42:32.000]   I don't know if we can put the two verses together simultaneously,
[00:42:32.000 --> 00:42:38.000]   but if you notice the difference between the sacrifice that is given by Abel,
[00:42:38.000 --> 00:42:42.000]   he says, "On his part he brought a firstling."
[00:42:42.000 --> 00:42:45.000]   "Firstling" meaning the very first, right?
[00:42:45.000 --> 00:42:49.000]   Of whatever it is that he had of the flock.
[00:42:49.000 --> 00:42:51.000]   And then it is the fat portion.
[00:42:51.000 --> 00:42:54.000]   So in those three descriptions,
[00:42:54.000 --> 00:42:59.000]   it's describing Abel's offering as the best of the flock,
[00:42:59.000 --> 00:43:04.000]   and even of that, the most precious part of that animal.
[00:43:04.000 --> 00:43:06.000]   But of Cain's, look what it says.
[00:43:06.000 --> 00:43:10.000]   "It came about in the course of time that Cain brought an offering."
[00:43:10.000 --> 00:43:12.000]   Not a first offering, not the best offering,
[00:43:12.000 --> 00:43:17.000]   it just says, "An offering to the Lord of the fruit of the ground."
[00:43:17.000 --> 00:43:20.000]   When you read that casually, just kind of reading through the Bible,
[00:43:20.000 --> 00:43:22.000]   you may not catch that.
[00:43:22.000 --> 00:43:24.000]   But when we slow down and ask the question,
[00:43:24.000 --> 00:43:27.000]   what made Abel's offering acceptable,
[00:43:27.000 --> 00:43:30.000]   and what made Cain's offering unacceptable,
[00:43:30.000 --> 00:43:35.000]   is the distinction between giving the best versus just giving.
[00:43:35.000 --> 00:43:38.000]   A fan versus a fanatic.
[00:43:38.000 --> 00:43:41.000]   Cain gave out of convenience.
[00:43:41.000 --> 00:43:44.000]   This is what he did for a living.
[00:43:44.000 --> 00:43:47.000]   So God required it, so I'm just going to give it to him.
[00:43:47.000 --> 00:43:50.000]   Where Abel also gave of the flock, and he was a herder,
[00:43:50.000 --> 00:43:52.000]   but he gave what was best.
[00:43:52.000 --> 00:43:55.000]   And even of the portion, he didn't keep the best portion to himself,
[00:43:55.000 --> 00:43:57.000]   but the fattest portion, he offered it to God.
[00:43:57.000 --> 00:44:00.000]   And it is in that, that by at least the initial distinction,
[00:44:00.000 --> 00:44:05.000]   is between their attitude and the way that they gave.
[00:44:05.000 --> 00:44:08.000]   It says in Isaiah 29 verse 13,
[00:44:08.000 --> 00:44:13.000]   God has been saying this to the nation of Israel over and over and over again.
[00:44:13.000 --> 00:44:15.000]   The reason why they're going into captivity,
[00:44:15.000 --> 00:44:19.000]   is because they kept on giving God defective worship.
[00:44:19.000 --> 00:44:25.000]   Isaiah 29 verse 13, "Then the Lord said, 'Because these people draw near with their words,
[00:44:25.000 --> 00:44:31.000]   and honor me with their lip service, but they remove their hearts far from me,
[00:44:31.000 --> 00:44:35.000]   and their reverence for me consists of traditions learned by rote.'"
[00:44:35.000 --> 00:44:37.000]   Meaning habit.
[00:44:37.000 --> 00:44:39.000]   You just did it because it's Sunday.
[00:44:39.000 --> 00:44:43.000]   How often times do we come to worship simply because it's Sunday?
[00:44:43.000 --> 00:44:47.000]   How often do we come saying, "I'm going to worship God."
[00:44:47.000 --> 00:44:50.000]   Or, "I'm going to attend worship."
[00:44:50.000 --> 00:44:52.000]   There is a difference between the two.
[00:44:52.000 --> 00:44:57.000]   See, we can attend worship by just getting up, being clothed, and coming and sitting,
[00:44:57.000 --> 00:45:01.000]   and then when the worship starts, you sit, and when the worship ends, you go home,
[00:45:01.000 --> 00:45:04.000]   and you say, "You attended worship."
[00:45:04.000 --> 00:45:09.000]   But there's a difference between attending worship and actually worshiping God.
[00:45:09.000 --> 00:45:12.000]   There's a huge difference between a fan and a fanatic.
[00:45:12.000 --> 00:45:16.000]   A fan may come on board when it's exciting,
[00:45:16.000 --> 00:45:19.000]   and when it's not exciting, you can't tell.
[00:45:19.000 --> 00:45:23.000]   Jesus says the same thing in the book of Matthew, chapters 15, 8 through 9.
[00:45:23.000 --> 00:45:28.000]   "This people honors me with their lips, but their heart is far away from me.
[00:45:28.000 --> 00:45:32.000]   But in vain do they worship me, teaching as doctrines the precepts of men."
[00:45:32.000 --> 00:45:36.000]   All they're doing is following rules.
[00:45:36.000 --> 00:45:38.000]   Rules that men made up.
[00:45:38.000 --> 00:45:41.000]   So, our order of worship, we made it up.
[00:45:41.000 --> 00:45:43.000]   I made it up.
[00:45:43.000 --> 00:45:45.000]   What do I think is the best way?
[00:45:45.000 --> 00:45:47.000]   Should we start first? Should we do the offering in the middle?
[00:45:47.000 --> 00:45:49.000]   Should we do it at the end?
[00:45:49.000 --> 00:45:52.000]   Should we have membership at church? How should we organize our Bible study?
[00:45:52.000 --> 00:45:55.000]   All of these things are obviously ways for us to get to God,
[00:45:55.000 --> 00:45:58.000]   but these are just rules created by men.
[00:45:58.000 --> 00:46:00.000]   So, if you go to another church, there's another set of rules.
[00:46:00.000 --> 00:46:03.000]   If you go to another church, they have another set of rules.
[00:46:03.000 --> 00:46:09.000]   And so, he says, "All these people are doing is just following rules and attending worship,
[00:46:09.000 --> 00:46:12.000]   but they are not worshiping me."
[00:46:12.000 --> 00:46:14.000]   And that's the distinction that he's making.
[00:46:14.000 --> 00:46:18.000]   An offering that we give, let's say if you're giving a gift to a friend,
[00:46:18.000 --> 00:46:22.000]   and you're giving it to that person, and you put some thought into it.
[00:46:22.000 --> 00:46:24.000]   You know, you sacrificed, you saved up money,
[00:46:24.000 --> 00:46:28.000]   and the offering that you give to that person, or the gift that you give to that person,
[00:46:28.000 --> 00:46:31.000]   has a lot of meaning behind it because you poured your heart into it.
[00:46:31.000 --> 00:46:34.000]   I had a friend, and I mentioned this before,
[00:46:34.000 --> 00:46:38.000]   who would always carry around precious moment dolls in his car.
[00:46:38.000 --> 00:46:40.000]   He would always have three or four in his car
[00:46:40.000 --> 00:46:45.000]   because he would constantly forget anniversaries and birthdays,
[00:46:45.000 --> 00:46:50.000]   or maybe he said something dumb to his wife, and his wife would be ticked off.
[00:46:50.000 --> 00:46:52.000]   And so, he had an immediate way out.
[00:46:52.000 --> 00:46:55.000]   He would go to the back of his car, take out one of those precious moment dolls,
[00:46:55.000 --> 00:46:58.000]   and he would give it to her. Right?
[00:46:58.000 --> 00:47:01.000]   So, he figured out a way to appease her wrath.
[00:47:01.000 --> 00:47:03.000]   And that's all he's doing.
[00:47:03.000 --> 00:47:06.000]   He's not loving her. He's not taking care of her.
[00:47:06.000 --> 00:47:08.000]   That's self-centered.
[00:47:08.000 --> 00:47:14.000]   I want to eat breakfast tomorrow, and the only way that I'm going to do that is appease this wrath.
[00:47:14.000 --> 00:47:15.000]   And so, he figured out a way.
[00:47:15.000 --> 00:47:18.000]   I mean, she's okay. She's not happy with it.
[00:47:18.000 --> 00:47:20.000]   And she knew he was doing that, but he said, "Okay."
[00:47:20.000 --> 00:47:24.000]   You know, because she loved the doll so much. Right?
[00:47:24.000 --> 00:47:25.000]   But that's not God.
[00:47:25.000 --> 00:47:29.000]   God is not in love with dead animals.
[00:47:29.000 --> 00:47:32.000]   He's not in love with singing.
[00:47:32.000 --> 00:47:37.000]   He's actually looking for the offering that we bring in our hearts.
[00:47:37.000 --> 00:47:44.000]   And that's why he was constantly telling the nation of Israel that what you are doing is not worship.
[00:47:44.000 --> 00:47:50.000]   In fact, he actually says that assembly of God's people at the temple was a burden to him.
[00:47:50.000 --> 00:47:54.000]   He actually says, calls it an evil assembly.
[00:47:54.000 --> 00:48:02.000]   The distinction that he's making between Abel and Cain's offering is a distinction between life and death.
[00:48:02.000 --> 00:48:06.000]   You can see what was going on in Cain's heart by the way he responded
[00:48:06.000 --> 00:48:09.000]   when God points that out to him.
[00:48:09.000 --> 00:48:12.000]   In fact, if you look at it carefully, God is actually very gracious to him.
[00:48:12.000 --> 00:48:13.000]   Look what he says.
[00:48:13.000 --> 00:48:19.000]   "Then the Lord said to Cain, 'Why are you angry? And why has your countenance fallen?
[00:48:19.000 --> 00:48:24.000]   If you do well, will not your countenance be lifted up?'"
[00:48:24.000 --> 00:48:25.000]   If you do well.
[00:48:25.000 --> 00:48:28.000]   Basically meaning, if you follow what I told you to do.
[00:48:28.000 --> 00:48:31.000]   If you did what Abel did.
[00:48:31.000 --> 00:48:34.000]   God is giving him an opportunity to repent.
[00:48:34.000 --> 00:48:37.000]   He's not saying, "You did it wrong, so you're going to die tomorrow."
[00:48:37.000 --> 00:48:39.000]   He says, "No."
[00:48:39.000 --> 00:48:43.000]   He said, "Your whole situation would change if you would just repent."
[00:48:43.000 --> 00:48:48.000]   Instead of being angry and jealous and having a serious countenance.
[00:48:48.000 --> 00:48:52.000]   If you do well, wouldn't your situation change?
[00:48:52.000 --> 00:48:56.000]   And if you do not do well, if you choose to remain on this path,
[00:48:56.000 --> 00:49:02.000]   he says, "Sin is crouching at the door, and its desire is for you, but you must master it."
[00:49:02.000 --> 00:49:09.000]   If your pride and anger and jealousy, if you embrace that and allow that to percolate and bear fruit,
[00:49:09.000 --> 00:49:12.000]   he says, "Sin is basically going to master you."
[00:49:12.000 --> 00:49:18.000]   Either you repent and get it right and master it,
[00:49:18.000 --> 00:49:21.000]   or you allow it to percolate and bear fruit.
[00:49:21.000 --> 00:49:23.000]   And we know exactly what happens.
[00:49:23.000 --> 00:49:32.000]   Cain chooses to embrace this sin, and in his anger, he becomes the first murderer in human history.
[00:49:32.000 --> 00:49:36.000]   In fact, in the book of Jude, verse 10 and 11, it describes,
[00:49:36.000 --> 00:49:39.000]   God describes Cain's sin this way,
[00:49:39.000 --> 00:49:46.000]   "But these men revile the things which they do not understand, and the things which they know by instinct.
[00:49:46.000 --> 00:49:50.000]   Like unreasoning animals, by these things they are destroyed.
[00:49:50.000 --> 00:49:54.000]   Woe to them, for they have gone the way of Cain."
[00:49:54.000 --> 00:49:57.000]   What is the way of Cain? Like an animal.
[00:49:57.000 --> 00:49:59.000]   He just does whatever he feels.
[00:49:59.000 --> 00:50:04.000]   And that's the difference between an animal and a human being.
[00:50:04.000 --> 00:50:10.000]   He says, he just does whatever, right? An unreasoning animal who knows by instinct.
[00:50:10.000 --> 00:50:13.000]   He just does whatever he feels like.
[00:50:13.000 --> 00:50:16.000]   Whatever comes easiest.
[00:50:16.000 --> 00:50:18.000]   I mean, animals don't have priorities.
[00:50:18.000 --> 00:50:22.000]   They don't sit down and make a list of, "These are important things that I need to get to today,
[00:50:22.000 --> 00:50:24.000]   and these are not important things that I don't need to get to.
[00:50:24.000 --> 00:50:26.000]   These are things that I prioritize. These are things I don't need."
[00:50:26.000 --> 00:50:28.000]   They don't live like that.
[00:50:28.000 --> 00:50:32.000]   So, if it's something that they like, they want it.
[00:50:32.000 --> 00:50:34.000]   They get excited about something, they run.
[00:50:34.000 --> 00:50:35.000]   They get scared, they stop.
[00:50:35.000 --> 00:50:37.000]   They get tired, they sleep.
[00:50:37.000 --> 00:50:41.000]   If they're tired of sleeping, they get up, and they run.
[00:50:41.000 --> 00:50:44.000]   That's what he's describing, the sin of Cain.
[00:50:44.000 --> 00:50:48.000]   He's living by his flesh, whatever satisfies him.
[00:50:48.000 --> 00:50:54.000]   The Bible describes the sin of Israel repeatedly, over and over again, in the same way.
[00:50:54.000 --> 00:50:57.000]   He says in the book of Judges, their primary sin,
[00:50:57.000 --> 00:51:00.000]   every time God would be gracious and bring us revival,
[00:51:00.000 --> 00:51:05.000]   they would fall right back into that sin because everyone did what was right in their own eyes.
[00:51:05.000 --> 00:51:11.000]   Instead of following Christ, or following God's precepts,
[00:51:11.000 --> 00:51:16.000]   everyone did what was right in their own eyes, over and over and over again.
[00:51:16.000 --> 00:51:24.000]   The Bible describes man's rebellion as simply doing and following and chasing what we want.
[00:51:24.000 --> 00:51:32.000]   And most of the greatest temptations in life are not obviously sinful.
[00:51:32.000 --> 00:51:36.000]   It's just, "That's what I want. That's what I desire.
[00:51:36.000 --> 00:51:39.000]   I'm going to give to God whatever is convenient to me."
[00:51:39.000 --> 00:51:42.000]   And beyond that, that's for the fanatics.
[00:51:42.000 --> 00:51:46.000]   So I'm satisfied with just being a fan of who he is.
[00:51:46.000 --> 00:51:50.000]   I'm going to give you another outdated song, Frank Sinatra.
[00:51:50.000 --> 00:51:52.000]   Most of you guys probably know who he is.
[00:51:52.000 --> 00:51:55.000]   You guys know who Frank Sinatra is? Okay.
[00:51:55.000 --> 00:51:58.000]   This guy is big enough that you guys would know.
[00:51:58.000 --> 00:52:00.000]   He has a song called "I Did It My Way."
[00:52:00.000 --> 00:52:03.000]   I'm not going to read the whole thing, but just the first verse.
[00:52:03.000 --> 00:52:07.000]   "And now the end is near, and so I face the final curtain.
[00:52:07.000 --> 00:52:13.000]   My friends, I'll say it clear. I'll state my case of which I'm certain.
[00:52:13.000 --> 00:52:18.000]   I've lived a life that's full. I traveled each and every highway.
[00:52:18.000 --> 00:52:25.000]   But more, much more than this, I did it my way."
[00:52:25.000 --> 00:52:31.000]   What he describes here in this song, the Bible describes as a way of destruction.
[00:52:31.000 --> 00:52:35.000]   It is broad. It is easy. It is convenient.
[00:52:35.000 --> 00:52:40.000]   And you just make decisions, and you just do whatever comes natural to you.
[00:52:40.000 --> 00:52:46.000]   And what our flesh naturally desires is a road to destruction.
[00:52:46.000 --> 00:52:50.000]   In Proverbs 12-14, it says, "There is a way which seems right to a man,
[00:52:50.000 --> 00:52:54.000]   but its end is the way of death.
[00:52:54.000 --> 00:52:58.000]   Even in laughter, the heart may be in pain."
[00:52:58.000 --> 00:53:02.000]   You ever experience that, even as a Christian,
[00:53:02.000 --> 00:53:05.000]   where you know you're not walking right with God?
[00:53:05.000 --> 00:53:08.000]   And maybe you made some money, maybe your business did well,
[00:53:08.000 --> 00:53:10.000]   maybe your children were sick and then they became healthy,
[00:53:10.000 --> 00:53:15.000]   but even in the midst of that, you know that you are not walking the way God wants you to walk,
[00:53:15.000 --> 00:53:21.000]   and even in the midst of success, you experience emptiness and pain.
[00:53:21.000 --> 00:53:24.000]   That's what he's describing here.
[00:53:24.000 --> 00:53:31.000]   Because true life is only when we are connected to the author of life.
[00:53:31.000 --> 00:53:35.000]   So if you experience, if you're chasing after life outside of Christ,
[00:53:35.000 --> 00:53:37.000]   that's what he's describing here.
[00:53:37.000 --> 00:53:40.000]   And in the end, joy may be grief.
[00:53:40.000 --> 00:53:45.000]   That all your life, you experience one success after another success,
[00:53:45.000 --> 00:53:50.000]   and after another success, and all your life, you can tell other people,
[00:53:50.000 --> 00:53:52.000]   "If you do what I do, you can be successful.
[00:53:52.000 --> 00:53:56.000]   You can make all the money, and your life may be written in a book,
[00:53:56.000 --> 00:53:59.000]   saying that if you really want to be successful, do this,
[00:53:59.000 --> 00:54:01.000]   because this is what I did."
[00:54:01.000 --> 00:54:05.000]   And at the end of that, he says, "It's grief."
[00:54:05.000 --> 00:54:11.000]   Because the only true life is found when we are connected to the author of life.
[00:54:11.000 --> 00:54:16.000]   The backslider in heart will have his fill of his own ways.
[00:54:16.000 --> 00:54:21.000]   A backslider in heart will have his fill of his own way.
[00:54:21.000 --> 00:54:27.000]   He will continue to make decisions and go after things according to what he desires,
[00:54:27.000 --> 00:54:32.000]   but a good man will be established, or will be satisfied, with his.
[00:54:32.000 --> 00:54:36.000]   The distinction between Abel's offering and Cain's offering
[00:54:36.000 --> 00:54:40.000]   is a distinction between life and death.
[00:54:40.000 --> 00:54:43.000]   God warns Cain that sin is crouching at your door,
[00:54:43.000 --> 00:54:49.000]   that this temptation is going to overpower you and lead you to destruction.
[00:54:49.000 --> 00:55:01.000]   See, what we need to pay attention to here is faulty worship was what led to the first murder.
[00:55:01.000 --> 00:55:06.000]   Let me say that again. Faulty worship is what led to the first murder.
[00:55:06.000 --> 00:55:10.000]   Now you may say, "You know, that's kind of hyperbole. You're exaggerating."
[00:55:10.000 --> 00:55:14.000]   Right? It's not directly connected.
[00:55:14.000 --> 00:55:17.000]   But I think that's exactly the point that he's trying to make.
[00:55:17.000 --> 00:55:20.000]   Because God created us for the purpose of worship,
[00:55:20.000 --> 00:55:25.000]   when we're not satisfied with the Creator, we end up chasing after the creation.
[00:55:25.000 --> 00:55:30.000]   And when we chase after the creation, there comes covening, there comes slander, there comes murder.
[00:55:30.000 --> 00:55:40.000]   All the other sins come as a result of forsaking the ultimate object of our worship.
[00:55:40.000 --> 00:55:48.000]   Whatever causes us to give defective worship is an open door to all kinds of temptations.
[00:55:48.000 --> 00:55:53.000]   We cannot give true worship on our terms.
[00:55:53.000 --> 00:56:01.000]   We do not come and reconcile by our terms and by whatever is the most convenient for us.
[00:56:01.000 --> 00:56:03.000]   But here's the second part.
[00:56:03.000 --> 00:56:08.000]   Abel's sacrifice left a testimony and speaks to us even to this day.
[00:56:08.000 --> 00:56:10.000]   It made him righteous. So we may look at that and say,
[00:56:10.000 --> 00:56:17.000]   "Well, maybe because Abel was smart, and Abel gave what was best, and he worked harder than Cain."
[00:56:17.000 --> 00:56:20.000]   That's not what he's pointing to. He says it made him righteous,
[00:56:20.000 --> 00:56:25.000]   and it gave him a testimony which still speaks to us today.
[00:56:25.000 --> 00:56:32.000]   So what is it about that that points to speaking to us today and furthermore?
[00:56:32.000 --> 00:56:35.000]   It's pretty clear.
[00:56:35.000 --> 00:56:39.000]   Now we know that animal sacrifice, like there is no mention of that in Genesis 3,
[00:56:39.000 --> 00:56:42.000]   saying this is the only way of atonement.
[00:56:42.000 --> 00:56:50.000]   But in Genesis 3, we have what's called the proto-evangelium, which translation means first gospel.
[00:56:50.000 --> 00:56:53.000]   As soon as they fall, God has a plan.
[00:56:53.000 --> 00:56:58.000]   The serpent is going to bruise the heel of the woman's seed,
[00:56:58.000 --> 00:57:00.000]   and the seed is going to crush the head of the serpent.
[00:57:00.000 --> 00:57:07.000]   And that's a description of how Jesus is going to come, and he's going to overpower the accuser.
[00:57:07.000 --> 00:57:10.000]   Now, that's not explained, but when we know what's going on in the New Testament,
[00:57:10.000 --> 00:57:13.000]   we look back at that and say, "Clearly he left evidence of that."
[00:57:13.000 --> 00:57:20.000]   And so when we get to chapter 4, he says, "Abel gives blood sacrifice, which is acceptable to him."
[00:57:20.000 --> 00:57:25.000]   It doesn't describe for us how much they understood what was going on.
[00:57:25.000 --> 00:57:28.000]   Even though we studied through the book of Leviticus,
[00:57:28.000 --> 00:57:34.000]   Leviticus, all the offerings that were given in the book of Leviticus, was not the first time they did that.
[00:57:34.000 --> 00:57:39.000]   You see it in Deuteronomy, you see it in Exodus, you see it all over Genesis,
[00:57:39.000 --> 00:57:42.000]   and you see it as early as Genesis chapter 4.
[00:57:42.000 --> 00:57:46.000]   That there was an understanding that is not explained to us.
[00:57:46.000 --> 00:57:50.000]   There was an understanding that blood sacrifice was necessary.
[00:57:50.000 --> 00:57:54.000]   And so when Abel gave his offering, not only was it the best,
[00:57:54.000 --> 00:58:02.000]   not only did he follow the prescription, his blood sacrifice pointed to something that was coming.
[00:58:02.000 --> 00:58:05.000]   And clearly, you and I know what that is.
[00:58:05.000 --> 00:58:09.000]   In Hebrews chapter 9, 22, in Leviticus 17, 11, it says,
[00:58:09.000 --> 00:58:14.000]   "Without the shedding of blood, there is no forgiveness of sins."
[00:58:14.000 --> 00:58:19.000]   The only way that even with our best effort that we can reconcile with this God
[00:58:19.000 --> 00:58:21.000]   is through the blood sacrifice of Jesus Christ.
[00:58:21.000 --> 00:58:25.000]   Hebrews chapter 12, verse 24, "And to Jesus, the medium of our new covenant,
[00:58:25.000 --> 00:58:32.000]   and to the sprinkle of blood, which speaks better than the blood of Abel."
[00:58:32.000 --> 00:58:41.000]   Abel was just a precursor, a foreshadow of what he was going to do to reconcile people to himself.
[00:58:41.000 --> 00:58:46.000]   So right off the bat, in Genesis chapter 3 and chapter 4,
[00:58:46.000 --> 00:58:53.000]   God is foreshadowing a way for sinners to be reconciled to him from the get-go.
[00:58:53.000 --> 00:58:57.000]   So the gospel is not introduced to us in John 3, 16.
[00:58:57.000 --> 00:59:01.000]   The good news was embedded according to Ephesians when?
[00:59:01.000 --> 00:59:05.000]   Before even the creation of the world, before you and I could even understand.
[00:59:05.000 --> 00:59:12.000]   Even before this event, God had plans to reconcile sinners to himself.
[00:59:12.000 --> 00:59:19.000]   So chapter 4 is describing to us, or verse 4 in this passage is describing to us,
[00:59:19.000 --> 00:59:24.000]   a way for mankind to reestablish the worship.
[00:59:24.000 --> 00:59:31.000]   Because it is only when we become true worshipers of God, we truly live.
[00:59:31.000 --> 00:59:35.000]   So many people interpret John chapter 10, verse 10, when Jesus says,
[00:59:35.000 --> 00:59:38.000]   "I have come to give life, and to give this life abundantly."
[00:59:38.000 --> 00:59:41.000]   And they wonder why, if God came to give me life abundantly,
[00:59:41.000 --> 00:59:44.000]   how come I'm having such a hard time paying bills?
[00:59:44.000 --> 00:59:47.000]   How come I have such a hard time with my family?
[00:59:47.000 --> 00:59:50.000]   How come I have such a hard time to getting promoted at work?
[00:59:50.000 --> 00:59:54.000]   Because he said he's going to make my life abundant.
[00:59:54.000 --> 00:59:59.000]   But the abundant life that he's referring to is not an abundant life here.
[00:59:59.000 --> 01:00:05.000]   It's the only life that you can have when you are reconnected with the author of life.
[01:00:05.000 --> 01:00:09.000]   And only when you're reconnected with the author of life.
[01:00:09.000 --> 01:00:14.000]   So the greater of a fan, greater of a worship that we are of him,
[01:00:14.000 --> 01:00:17.000]   the more we experience this life.
[01:00:17.000 --> 01:00:23.000]   I don't know about you, but the happiest people that I know in this world
[01:00:23.000 --> 01:00:27.000]   are people who are crazy about Jesus.
[01:00:27.000 --> 01:00:33.000]   Almost to the point like, "Hey, calm down. Calm down.
[01:00:33.000 --> 01:00:38.000]   Our worship's at 11. You don't need to show up at 10 o'clock. Calm down."
[01:00:38.000 --> 01:00:41.000]   Every new Bible comes out, they got to get the new one.
[01:00:41.000 --> 01:00:44.000]   They got to get to every conference. They're at every single conference.
[01:00:44.000 --> 01:00:46.000]   They're always at the front. They're always singing the loudest.
[01:00:46.000 --> 01:00:48.000]   Like, "Calm down."
[01:00:48.000 --> 01:00:51.000]   And there's a joy that exuberates that comes from them that is not fake.
[01:00:51.000 --> 01:00:53.000]   You can't fake that.
[01:00:53.000 --> 01:00:57.000]   You can get fans to show up on time if you are A students.
[01:00:57.000 --> 01:01:00.000]   You can get fans to open up the Bible, attend Bible study,
[01:01:00.000 --> 01:01:03.000]   and be responsible and become good citizens,
[01:01:03.000 --> 01:01:07.000]   and attend, do this, and do everything that's expected.
[01:01:07.000 --> 01:01:12.000]   But a fanatic, fanatic of Christ,
[01:01:12.000 --> 01:01:15.000]   is not something that you and I create.
[01:01:15.000 --> 01:01:19.000]   That's something that happens because we encounter this God.
[01:01:19.000 --> 01:01:22.000]   See, the Apostle Paul was a fanatic.
[01:01:22.000 --> 01:01:25.000]   He didn't become who he was because Jesus spent a lot of time with him,
[01:01:25.000 --> 01:01:28.000]   telling him right and wrong, and telling him the good word.
[01:01:28.000 --> 01:01:34.000]   No, he encountered, he encountered the glory of Christ.
[01:01:34.000 --> 01:01:38.000]   And it became rubbish. He wasn't discipled to think rubbish.
[01:01:38.000 --> 01:01:40.000]   It became rubbish.
