
[00:00:00.000 --> 00:00:07.260]   Alright, so let's start.
[00:23:54.820 --> 00:23:57.780]   So that imagery is not new, right?
[00:23:57.780 --> 00:23:59.900]   We see that in the New Testament.
[00:23:59.900 --> 00:24:04.440]   If that is true or not, it really doesn't change anything, right?
[00:24:04.440 --> 00:24:09.300]   Whether Azazel simply is talking about the scapegoat or whether it's talking about a
[00:24:09.300 --> 00:24:15.040]   demonic figure who has dominion over all that sin, all that is sinful, either way the meaning
[00:24:15.040 --> 00:24:21.240]   behind the scapegoat or Azazel is that this sin, the sins of Israel is taken away and
[00:24:21.240 --> 00:24:26.120]   cast out because of the sacrifice of the other goat, right?
[00:24:26.120 --> 00:24:28.920]   That's where we get the term, at least in English, the scapegoat comes from.
[00:24:28.920 --> 00:24:32.000]   It's specifically from this.
[00:24:32.000 --> 00:24:39.440]   So imagine every single year, right, the nation of Israel was gathered together at the tabernacle
[00:24:39.440 --> 00:24:42.980]   watching this ceremony, right?
[00:24:42.980 --> 00:24:43.980]   Two goats are chosen.
[00:24:43.980 --> 00:24:51.520]   So after they do thorough cleansing, Aaron takes a bath and he puts on the garment that
[00:24:51.520 --> 00:24:57.400]   typically he's probably seen with this really gaudy garment, but on that day of atonement
[00:24:57.400 --> 00:25:03.800]   he wears a very humbled garment and then he goes in, he makes sacrifice, he takes a bath,
[00:25:03.800 --> 00:25:08.440]   he goes in and cleanses the inner sanctuary, comes back out and he cleanses the outside
[00:25:08.440 --> 00:25:14.160]   and then he takes these two goats and it's this whole drama of drawing the lot, you know,
[00:25:14.160 --> 00:25:18.080]   and then one goat is sacrificed and then its blood comes and takes it out and then the
[00:25:18.080 --> 00:25:24.880]   other one he lays his hand and then a man is chosen to take this goat and travel far
[00:25:24.880 --> 00:25:25.880]   distance.
[00:25:25.880 --> 00:25:33.560]   In fact, it's not in the scripture but Jewish tradition says that a man took the goat about
[00:25:33.560 --> 00:25:39.360]   ten miles away from the camp and then the goat was released to wander off until it could
[00:25:39.360 --> 00:25:41.280]   not be seen anymore.
[00:25:41.280 --> 00:25:44.840]   This signified that the sin of Israel was gone and the day of atonement was considered
[00:25:44.840 --> 00:25:47.920]   complete.
[00:25:47.920 --> 00:25:53.960]   Whatever the meaning of Azazel is, the picture is pretty clear.
[00:25:53.960 --> 00:25:59.200]   Because of the sacrifice of one, the sins of Israel will be taken away.
[00:25:59.200 --> 00:26:04.200]   I mean, how could that not be pointing to Christ?
[00:26:04.200 --> 00:26:07.720]   And this was embedded into their culture year after year, this drama.
[00:26:07.720 --> 00:26:12.480]   It wasn't just taught, it wasn't just said, this was something that they saw every single
[00:26:12.480 --> 00:26:13.480]   year.
[00:26:13.480 --> 00:26:17.440]   One, that we are sinners.
[00:26:17.440 --> 00:26:24.040]   There's no Israelite, no Israelite should have been confused about their sin.
[00:26:24.040 --> 00:26:27.600]   I mean, it was pounded into them.
[00:26:27.600 --> 00:26:28.600]   You will die.
[00:26:28.600 --> 00:26:36.240]   Aaron, supposedly the holiest man of Israel, as a high priest, at least on paper, he said
[00:26:36.240 --> 00:26:37.240]   he's going to die.
[00:26:37.240 --> 00:26:41.960]   If his sins aren't atoned for, when God comes, he's going to die.
[00:26:41.960 --> 00:26:44.880]   If he enters into the inner sanctuary, he's going to die.
[00:26:44.880 --> 00:26:47.680]   If he makes sacrifices, he's going to die.
[00:26:47.680 --> 00:26:51.720]   If he doesn't follow instructions, he's going to die.
[00:26:51.720 --> 00:26:58.560]   If they were that vulnerable to the holiness of God, what about the rest of Israel?
[00:26:58.560 --> 00:27:05.240]   So imagine this drama being played out year after year, which is embedded in them, all
[00:27:05.240 --> 00:27:08.440]   for the purpose of preparation for the coming of Christ.
[00:27:08.440 --> 00:27:14.280]   So the fact that they missed him, despite all of this, it kind of gives us a different
[00:27:14.280 --> 00:27:21.840]   picture of just the blindness, just how blind they were.
[00:27:21.840 --> 00:27:29.720]   Aaron, after it is all done, re-enters into the camp, right?
[00:27:29.720 --> 00:27:32.720]   And then he couldn't just re-enter.
[00:27:32.720 --> 00:27:36.360]   He had to take a bath again and go through the cleansing.
[00:27:36.360 --> 00:27:40.460]   And the one who actually handed the goat, Azazel, who took him out, in order for him
[00:27:40.460 --> 00:27:43.840]   to return, he also had to go through ritual cleansing.
[00:27:43.840 --> 00:27:48.580]   And then all the meat and everything else that was sacrificed had to be taken outside
[00:27:48.580 --> 00:27:53.960]   the camp and basically burned outside the camp.
[00:27:53.960 --> 00:27:57.160]   I didn't mention it here, but the guy who took it out also had to go through ritual
[00:27:57.160 --> 00:28:01.080]   cleansing to enter back into camp.
[00:28:01.080 --> 00:28:06.880]   So every aspect of the Day of Atonement was, God is coming.
[00:28:06.880 --> 00:28:15.200]   If there's any kind of uncleanness of any kind, you're going to die.
[00:28:15.200 --> 00:28:18.240]   That was the message given on the Day of Atonement.
[00:28:18.240 --> 00:28:22.200]   So that's why it was called the Day of Affliction.
[00:28:22.200 --> 00:28:27.040]   It was when God came to afflict.
[00:28:27.040 --> 00:28:34.360]   So the last part of it, chapter 29 to 34, again, it says that this day was given as
[00:28:34.360 --> 00:28:36.560]   a day of affliction.
[00:28:36.560 --> 00:28:43.060]   And then it says in verse 30, "It is a day to be cleansed for all their sins."
[00:28:43.060 --> 00:28:49.140]   And then he calls it, in verse 31, "It is a Sabbath of solemn rest."
[00:28:49.140 --> 00:28:53.580]   Which is interesting because I would think that if there was any day that they would
[00:28:53.580 --> 00:28:59.420]   have not rested, it would have been this particular day.
[00:28:59.420 --> 00:29:03.100]   He mentions over and over again that if there's any sin in you, you will die.
[00:29:03.100 --> 00:29:04.780]   If you don't cleanse, you will die.
[00:29:04.780 --> 00:29:08.300]   If you don't cover yourself, you will die.
[00:29:08.300 --> 00:29:15.820]   And yet, this day of Sabbath is called a solemn day of rest.
[00:29:15.820 --> 00:29:21.740]   In the Scriptures, the Sabbath always looked back.
[00:29:21.740 --> 00:29:26.920]   So the Jews understood the Sabbath was what was lost at the creation.
[00:29:26.920 --> 00:29:31.660]   When Adam and Eve, when God entered His rest on the seventh day, when Adam and Eve sinned,
[00:29:31.660 --> 00:29:32.820]   that Sabbath was broken.
[00:29:32.820 --> 00:29:39.620]   So every Sabbath was a reminder to them that that's what they lost.
[00:29:39.620 --> 00:29:43.820]   The rest that they can only find in God was lost.
[00:29:43.820 --> 00:29:47.460]   But it also points to the future, that the Messiah was going to come and He was going
[00:29:47.460 --> 00:29:50.540]   to restore this Sabbath.
[00:29:50.540 --> 00:29:57.500]   So again, when Jesus says, "All who are weary, I will give you this rest.
[00:29:57.500 --> 00:29:59.620]   Take my yoke upon you and learn from me."
[00:29:59.620 --> 00:30:03.420]   A Jew would have understood that very differently.
[00:30:03.420 --> 00:30:08.580]   It would have had a lot more meaning than just, "I get to go home and relax."
[00:30:08.580 --> 00:30:10.940]   Because Sabbath was what they understood.
[00:30:10.940 --> 00:30:14.740]   Sabbath was what was lost in creation when they sinned.
[00:30:14.740 --> 00:30:16.820]   And then it was Sabbath that was to be restored.
[00:30:16.820 --> 00:30:24.860]   So this day of atonement is called the Sabbath of solemn rest, was to point back and to point
[00:30:24.860 --> 00:30:27.260]   forward for the coming of Messiah.
[00:30:27.260 --> 00:30:32.860]   And every year when they did this was for that purpose.
[00:30:32.860 --> 00:30:39.300]   You see how this day was so significant and now every detail of it was for the purpose
[00:30:39.300 --> 00:30:40.620]   of preparing for the gospel.
[00:30:40.620 --> 00:30:42.340]   The gospel makes so much more sense.
[00:30:42.340 --> 00:30:50.220]   It becomes so much more richer when you understand Leviticus, and especially chapter 16, where
[00:30:50.220 --> 00:30:55.020]   Christ was sacrificed in order that you and I could be set free.
[00:30:55.020 --> 00:31:00.540]   I want you to read Hebrews chapter 9.
[00:31:00.540 --> 00:31:03.500]   I'm just going to read this with you.
[00:31:03.500 --> 00:31:09.900]   Chapter 9, 11 to 28, because the author of Hebrews reminds us that Christ fulfilled this
[00:31:09.900 --> 00:31:10.900]   day.
[00:31:10.900 --> 00:31:14.940]   "But when Christ appeared as high priest of the good things that have come, then through
[00:31:14.940 --> 00:31:19.260]   the greater and more perfect tent, not made with hands that is not of the creation, he
[00:31:19.260 --> 00:31:23.460]   entered once for all into the holy places, not by means of blood of goats and calves,
[00:31:23.460 --> 00:31:25.380]   but by means of his own blood."
[00:31:25.380 --> 00:31:29.140]   So clearly this is talking about the day of atonement.
[00:31:29.140 --> 00:31:33.180]   All the other priests who came before him had to do this repeatedly and he had to be
[00:31:33.180 --> 00:31:34.180]   cleansed to get in.
[00:31:34.180 --> 00:31:41.340]   But he goes into the real tent by his own blood, securing eternal redemption.
[00:31:41.340 --> 00:31:44.100]   So the day of atonement wasn't done once.
[00:31:44.100 --> 00:31:48.420]   It had to be done every single year because it wasn't enough.
[00:31:48.420 --> 00:31:50.420]   It was just a foreshadowing of what was to come.
[00:31:50.420 --> 00:31:53.860]   When Christ came, the redemption was real and it was permanent.
[00:31:53.860 --> 00:31:57.620]   "For if the sprinkling of defiled persons with the blood of goats and bulls and with
[00:31:57.620 --> 00:32:01.420]   the ashes of high first sanctifies for the purification of the flesh."
[00:32:01.420 --> 00:32:02.420]   Stop right there.
[00:32:02.420 --> 00:32:04.860]   So again, this is all pointing to chapter 16.
[00:32:04.860 --> 00:32:08.740]   "How much more would the blood of Christ, who through the eternal spirit offered himself
[00:32:08.740 --> 00:32:14.740]   without blemish to God, purify our conscience from dead works to serve the living God?"
[00:32:14.740 --> 00:32:21.140]   If all of this ritual was for the purpose of cleansing and all of it was simply a shadow,
[00:32:21.140 --> 00:32:24.740]   how much more when Christ comes and he does this with his own blood?
[00:32:24.740 --> 00:32:28.460]   "Therefore, not even the first covenant was inaugurated without blood.
[00:32:28.460 --> 00:32:32.280]   For when every commandment of the law had been declared by Moses to all the people,
[00:32:32.280 --> 00:32:36.880]   he took the blood of calves and goats with water and scarlet wool and hyssop and sprinkled
[00:32:36.880 --> 00:32:40.900]   both the book itself and all the people, saying, 'This is the blood of the covenant that God
[00:32:40.900 --> 00:32:42.460]   commanded for you.'
[00:32:42.460 --> 00:32:46.180]   But in the same way he sprinkled with the blood both the tent and all the vessels used
[00:32:46.180 --> 00:32:47.180]   in worship.
[00:32:47.180 --> 00:32:50.820]   Indeed, under the law, almost everything is purified with blood, and without shedding
[00:32:50.820 --> 00:32:52.940]   of blood there is no forgiveness of sins."
[00:32:52.940 --> 00:32:57.540]   And this is again, this is embedded in the culture of Israel, and in particular the Day
[00:32:57.540 --> 00:32:58.540]   of Atonement.
[00:32:58.540 --> 00:33:02.540]   "Thus it was necessary for the copies of the heavenly things to be purified with these
[00:33:02.540 --> 00:33:07.480]   rites, but the heavenly things themselves with better sacrifices than these.
[00:33:07.480 --> 00:33:12.000]   For Christ has entered not into holy places made with hands, which are copies of the true
[00:33:12.000 --> 00:33:17.660]   things, but into heaven itself, now to appear in the presence of God on our behalf.
[00:33:17.660 --> 00:33:21.300]   Nor was it to offer himself repeatedly as the high priest enters the holy places every
[00:33:21.300 --> 00:33:23.980]   year with blood not his own.
[00:33:23.980 --> 00:33:28.180]   For then we would have had to suffer repeatedly since the foundation of the world.
[00:33:28.180 --> 00:33:32.280]   But as it is, he has appeared once for all at the end of ages to put away sin by the
[00:33:32.280 --> 00:33:34.500]   sacrifice of himself.
[00:33:34.500 --> 00:33:39.060]   And just as it is appointed for man to die once, after that comes judgment.
[00:33:39.060 --> 00:33:43.660]   For Christ, having been offered once to bear the sins of many, will appear a second time,
[00:33:43.660 --> 00:33:48.660]   not to deal with sin, but to save those who are eagerly waiting for him."
[00:33:48.660 --> 00:33:50.260]   All of this, right?
[00:33:50.260 --> 00:33:56.780]   All of this is pointing back to chapter 16, that Jesus Christ was fulfilling this.
[00:33:56.780 --> 00:34:02.020]   So all of this drama was to point to the fact that Jesus, the real high priest, the real
[00:34:02.020 --> 00:34:08.300]   sacrifice was going to atone in the real tabernacle of heaven.
[00:34:08.300 --> 00:34:12.560]   And so our sins have been redeemed as a result of what he has done.
[00:34:12.560 --> 00:34:15.100]   So the first time he came, he came to deal with sin.
[00:34:15.100 --> 00:34:19.620]   He says the second time he comes, he comes to redeem.
[00:34:19.620 --> 00:34:26.940]   And so all those who believe this, who genuinely believe that this happened to me, that Jesus
[00:34:26.940 --> 00:34:30.060]   covered my blood, and that's why it says, what does it say?
[00:34:30.060 --> 00:34:32.300]   All who are eagerly waiting for him.
[00:34:32.300 --> 00:34:37.900]   Only those who believe that this happened for him would be eagerly waiting for that
[00:34:37.900 --> 00:34:38.900]   redemption.
[00:34:38.900 --> 00:34:41.980]   And that's why the Holy Spirit is called what?
[00:34:41.980 --> 00:34:44.900]   A deposit.
[00:34:44.900 --> 00:34:49.620]   You put a deposit because the owner, the person who put a deposit is going to later on come
[00:34:49.620 --> 00:34:52.620]   to claim what is his.
[00:34:52.620 --> 00:34:58.500]   Only those who believe this, now you can confess it, you can come to church and you can go
[00:34:58.500 --> 00:35:04.780]   through all the motions, but only the ones who really believe that this is his will be
[00:35:04.780 --> 00:35:08.740]   eagerly waiting for him, right?
[00:35:08.740 --> 00:35:12.980]   Because our salvation is not complete until he comes.
[00:35:12.980 --> 00:35:16.140]   We only have the deposit of what he has done.
[00:35:16.140 --> 00:35:19.540]   So everything that we are doing now is just a taste.
[00:35:19.540 --> 00:35:23.000]   The reality of redemption is going to come when he comes.
[00:35:23.000 --> 00:35:30.260]   So a man or a woman who makes this their home can confess that they believe this, but by
[00:35:30.260 --> 00:35:33.780]   their action, they do not.
[00:35:33.780 --> 00:35:39.660]   And that's why it says repeatedly over and over again, those who eagerly wait for him.
[00:35:39.660 --> 00:35:43.640]   Because with him comes redemption, right?
[00:35:43.640 --> 00:35:48.940]   This is what was embedded in the nation of Israel year after year after year after year,
[00:35:48.940 --> 00:35:50.340]   right?
[00:35:50.340 --> 00:35:55.380]   I don't know about you, but it just makes the gospel that much richer.
[00:35:55.380 --> 00:35:57.460]   It didn't just come randomly.
[00:35:57.460 --> 00:36:03.900]   That God has been preparing not only Israel, but us, that all of this so that we can have
[00:36:03.900 --> 00:36:07.420]   this understanding, right?
[00:36:07.420 --> 00:36:12.060]   This drama would give us a picture of what he has done.
[00:36:12.060 --> 00:36:16.940]   So when Paul says, "In view of this mercy, to give your life as a living sacrifice,"
[00:36:16.940 --> 00:36:20.340]   like all of this comes into play for a Jew, right?
[00:36:20.340 --> 00:36:22.720]   So three questions.
[00:36:22.720 --> 00:36:26.600]   Why do you think some people have a hard time accepting God's forgiveness for their sins?
[00:36:26.600 --> 00:36:32.340]   How does a difficult time accepting God's forgiveness affect our worship and life in
[00:36:32.340 --> 00:36:33.340]   general?
[00:36:33.340 --> 00:36:34.340]   That's pretty straightforward.
[00:36:34.340 --> 00:36:37.460]   What is the worst sin you have been forgiven for?
[00:36:37.460 --> 00:36:40.740]   So I'm not asking you to actually confess, right?
[00:36:40.740 --> 00:36:44.300]   I'm just asking you, if you can think of it, what it is.
[00:36:44.300 --> 00:36:48.060]   You don't have to share with the group, but how did that affect the way you gave worship
[00:36:48.060 --> 00:36:49.060]   to God?
[00:36:49.060 --> 00:36:54.180]   So in your mind, do you remember a time when you were really weighed down by the guilt
[00:36:54.180 --> 00:37:01.060]   of your sin, and when God forgave you, when you repented and you felt forgiveness for
[00:37:01.060 --> 00:37:03.580]   that sin, how did that affect you?
[00:37:03.580 --> 00:37:05.100]   How did that affect worship?
[00:37:05.100 --> 00:37:07.100]   How did that affect fellowship?
[00:37:07.100 --> 00:37:11.420]   So I'm asking you to share that, even if you don't want to share the details of that sin,
[00:37:11.420 --> 00:37:15.840]   but if you can remember what you felt like when you were delivered and forgiven.
[00:37:15.840 --> 00:37:18.560]   In what way does our sin affect the church?
[00:37:18.560 --> 00:37:23.260]   So the whole drama of the tabernacle on the cleansing, it wasn't just an individual sin.
[00:37:23.260 --> 00:37:25.580]   The tabernacle needed to be cleansed.
[00:37:25.580 --> 00:37:30.380]   The sin, it wasn't just the sin of the individual, the sin of Israel had to be taken out, right?
[00:37:30.380 --> 00:37:31.460]   Away from the camp.
[00:37:31.460 --> 00:37:39.500]   So sin, at least the way God describes it for us, is not simply personal, it is collective.
[00:37:39.500 --> 00:37:41.400]   Our sins affect the community.
[00:37:41.400 --> 00:37:43.680]   Sins of other people affect the community, right?
[00:37:43.680 --> 00:37:47.460]   And that's exactly what it says in 1 Corinthians 3, 16, right?
[00:37:47.460 --> 00:37:49.900]   We are the temple of God, right?
[00:37:49.900 --> 00:37:50.900]   Collectively.
[00:37:50.900 --> 00:37:53.320]   In what way does our sin affect the church?
[00:37:53.320 --> 00:37:57.920]   What prescriptions are given for cleansing of impurity when it comes to corporate body?
[00:37:57.920 --> 00:38:00.400]   And use specific verses, right?
[00:38:00.400 --> 00:38:02.400]   If you can, if it's relevant.
[00:38:02.400 --> 00:38:10.240]   Alright, let me pray for us and then I'll have you guys get into your smoke.
[00:38:10.240 --> 00:38:14.160]   Heavenly Father, we thank you so much.
[00:38:14.160 --> 00:38:20.780]   For there's so much more to our salvation than we even know now.
[00:38:20.780 --> 00:38:28.720]   And the more we open your word, we understand the depth of what you have done and what you
[00:38:28.720 --> 00:38:30.160]   are continuing to do.
[00:38:30.160 --> 00:38:34.480]   And we know even now, Lord God, we're only scratching the surface.
[00:38:34.480 --> 00:38:37.760]   Help us, Lord God, to be eager to know.
[00:38:37.760 --> 00:38:45.400]   Lord, this foolish world that we live in, the more we experience it, the more we are
[00:38:45.400 --> 00:38:46.400]   disappointed.
[00:38:47.400 --> 00:38:53.040]   But yet, Lord God, we dig into your word, your living word.
[00:38:53.040 --> 00:38:58.040]   There's so much, Lord God, of your grace and your love and your mercy and just how deep
[00:38:58.040 --> 00:38:59.940]   it goes.
[00:38:59.940 --> 00:39:03.640]   Help us to be a church, Lord God, that really loves you.
[00:39:03.640 --> 00:39:09.980]   That we will not be satisfied with superficial, elementary understanding of our faith.
[00:39:09.980 --> 00:39:16.380]   But help us to dig, not simply for knowledge's sake, but so that we can understand you, your
[00:39:16.380 --> 00:39:19.840]   heart and what you have done.
[00:39:19.840 --> 00:39:24.260]   That all that we do may simply be a reasonable response.
[00:39:24.260 --> 00:39:26.180]   Bless the time that we have in our small group, Lord.
[00:39:26.180 --> 00:39:27.880]   In Jesus' name we pray, amen.

