
[00:00:00.000 --> 00:00:02.340]   ♪ The blood ♪
[00:25:25.760 --> 00:25:30.500]   you because we know, God, that this is truly our great privilege to know you, to
[00:25:30.500 --> 00:25:35.480]   be known by you, and to give you praise. We're also so grateful that we are able
[00:25:35.480 --> 00:25:41.440]   to unite in our faith, essentially, Lord God, as your children, to be bound
[00:25:41.440 --> 00:25:46.000]   together by what we have in you, by what we have in our Lord, and so for all of
[00:25:46.000 --> 00:25:50.800]   that, we thank you, and I pray, God, that it would be from our hearts of
[00:25:50.800 --> 00:25:55.720]   gratitude, our hearts of thankfulness, where we will render to you everything,
[00:25:55.720 --> 00:26:01.000]   our thoughts, our affections, our love for you, Father. And God, even in our offering,
[00:26:01.000 --> 00:26:06.600]   Lord, we desire to give to you with not reluctance, but God, just a gratitude, an
[00:26:06.600 --> 00:26:11.360]   overflow of appreciation for everything that you are doing in our lives. This day,
[00:26:11.360 --> 00:26:16.000]   Father God, from the singing to the preaching of your Word to the fellowship
[00:26:16.000 --> 00:26:21.640]   after, may all of that, God, be glorious to you and to exalt you, Lord. We want to
[00:26:21.640 --> 00:26:25.440]   thank you. It's in Christ's name we pray. Amen.
[00:26:25.920 --> 00:26:27.920]   [music]
[00:26:27.920 --> 00:26:29.920]   [music]
[00:26:29.920 --> 00:26:31.920]   [music]
[00:26:31.920 --> 00:27:00.420]   [music]
[00:27:00.420 --> 00:27:02.420]   Let us all rise as we sing these praises.
[00:27:02.420 --> 00:27:13.420]   [music]
[00:27:13.420 --> 00:27:14.420]   Come praise and glorify.
[00:27:14.420 --> 00:27:22.420]   Come praise and glorify our God, the Father of our Lord.
[00:27:22.420 --> 00:27:30.420]   In Christ He has an early rise, His blessings on us pour.
[00:27:30.420 --> 00:27:38.420]   For cure and blameless in His sight, He destined us to be.
[00:27:38.420 --> 00:27:46.420]   And now we've been adopted through His Son, eternal Lamb.
[00:27:46.420 --> 00:27:48.420]   To the praise.
[00:27:48.420 --> 00:27:52.420]   To the praise of Your glory.
[00:27:52.420 --> 00:27:56.420]   To the praise of Your mercy and grace.
[00:27:56.420 --> 00:28:00.420]   To the praise of Your glory.
[00:28:00.420 --> 00:28:05.420]   You are the God who saves.
[00:28:05.420 --> 00:28:09.420]   [music]
[00:28:09.420 --> 00:28:10.420]   Come praise and glorify.
[00:28:10.420 --> 00:28:18.420]   Come praise and glorify our God, who gives His grace in Christ.
[00:28:18.420 --> 00:28:26.420]   In Him our sins are washed away, redeemed through sacrifice.
[00:28:26.420 --> 00:28:34.420]   In Him God has been known to us, the mystery of His will.
[00:28:34.420 --> 00:28:42.420]   That Christ should be the head of all, His purpose to fulfill.
[00:28:42.420 --> 00:28:43.420]   To the praise.
[00:28:43.420 --> 00:28:47.420]   To the praise of Your glory.
[00:28:47.420 --> 00:28:51.420]   To the praise of Your mercy and grace.
[00:28:51.420 --> 00:28:56.420]   To the praise of Your glory.
[00:28:56.420 --> 00:29:00.420]   You are the God who saves.
[00:29:00.420 --> 00:29:05.420]   [music]
[00:29:05.420 --> 00:29:06.420]   Come praise and glorify.
[00:29:06.420 --> 00:29:14.420]   Come praise and glorify our God, for we believe the Word.
[00:29:14.420 --> 00:29:22.420]   And through our faith we have a seal, the Spirit of the Lord.
[00:29:22.420 --> 00:29:30.420]   The Spirit guarantees our hope until redemption's time.
[00:29:30.420 --> 00:29:40.420]   Until we join in endless praise to God the King in one.
[00:29:40.420 --> 00:29:44.420]   To the praise of Your glory.
[00:29:44.420 --> 00:29:48.420]   To the praise of Your mercy and grace.
[00:29:48.420 --> 00:29:52.420]   To the praise of Your glory.
[00:29:52.420 --> 00:29:55.420]   You are the God who saves.
[00:29:55.420 --> 00:29:56.420]   To the praise.
[00:29:56.420 --> 00:30:00.420]   To the praise of Your glory.
[00:30:00.420 --> 00:30:04.420]   To the praise of Your mercy and grace.
[00:30:04.420 --> 00:30:08.420]   To the praise of Your glory.
[00:30:08.420 --> 00:30:12.420]   You are the God who saves.
[00:30:12.420 --> 00:30:17.420]   [music]
[00:30:18.420 --> 00:30:23.420]   [music]
[00:30:23.420 --> 00:30:28.420]   [music]
[00:30:28.420 --> 00:30:33.420]   [music]
[00:30:33.420 --> 00:30:41.420]   Jesus, I might cross that day.
[00:30:41.420 --> 00:30:48.420]   All to leave and follow Thee.
[00:30:48.420 --> 00:30:55.420]   Destined to despise, forsake.
[00:30:55.420 --> 00:31:02.420]   Thou from hence by all shall be.
[00:31:02.420 --> 00:31:09.420]   Perish every fond ambition.
[00:31:09.420 --> 00:31:16.420]   All of sorrow, hope, or know.
[00:31:16.420 --> 00:31:23.420]   Yet our riches, mankind's dish.
[00:31:23.420 --> 00:31:32.420]   God and Him are still my own.
[00:31:32.420 --> 00:31:36.420]   [music]
[00:31:36.420 --> 00:31:45.420]   Let the world, let the world despise and leave me.
[00:31:45.420 --> 00:31:52.420]   They have lost my Savior too.
[00:31:52.420 --> 00:31:59.420]   Humid hearts and lost deceit.
[00:31:59.420 --> 00:32:07.420]   Thou art not like that moon tree.
[00:32:07.420 --> 00:32:14.420]   Oh, well thou dost smile upon me.
[00:32:14.420 --> 00:32:21.420]   God of wisdom, loving, by me.
[00:32:21.420 --> 00:32:28.420]   Fools may hate and friends disown me.
[00:32:28.420 --> 00:32:37.420]   Show thy face and all is bright.
[00:32:37.420 --> 00:32:40.420]   [music]
[00:32:40.420 --> 00:32:42.420]   Golden earthly fame.
[00:32:42.420 --> 00:32:49.420]   Golden earthly fame it is.
[00:32:49.420 --> 00:32:56.420]   Come disasters, come it near.
[00:32:56.420 --> 00:33:03.420]   In thy service, angels flourish.
[00:33:03.420 --> 00:33:10.420]   With thy favor, lost is gain.
[00:33:10.420 --> 00:33:17.420]   I have called thee, Alma Mater.
[00:33:17.420 --> 00:33:24.420]   I have stained my heart on thee.
[00:33:24.420 --> 00:33:31.420]   Storms may howl and clouds may gather.
[00:33:31.420 --> 00:33:40.420]   Alma, swear thy poor good to me.
[00:33:40.420 --> 00:33:43.420]   [music]
[00:33:43.420 --> 00:33:52.420]   So then know, so then know thy full salvation.
[00:33:52.420 --> 00:33:59.420]   Rise o'er sin and fear and care.
[00:33:59.420 --> 00:34:06.420]   Joy to find in every station.
[00:34:06.420 --> 00:34:13.420]   Something still to do for them.
[00:34:13.420 --> 00:34:20.420]   Think what spirit dwells within thee.
[00:34:20.420 --> 00:34:28.420]   Think what Father smiles on thy way.
[00:34:28.420 --> 00:34:35.420]   Think that Jesus dies you will be.
[00:34:35.420 --> 00:34:44.420]   Child of heaven, canst thou repent?
[00:34:44.420 --> 00:34:47.420]   [music]
[00:34:47.420 --> 00:34:50.420]   Haste thee on.
[00:34:50.420 --> 00:34:57.420]   Haste thee on from grace to glory.
[00:34:57.420 --> 00:35:04.420]   Armed by faith and winged by prayer.
[00:35:04.420 --> 00:35:11.420]   Heaven's eternal days before.
[00:35:11.420 --> 00:35:18.420]   God's own hand shall guide thee there.
[00:35:18.420 --> 00:35:25.420]   Soon shall close thy earthly vision.
[00:35:25.420 --> 00:35:32.420]   Soon shall pass thy golden days.
[00:35:32.420 --> 00:35:39.420]   All shall change to glad fruition.
[00:35:39.420 --> 00:35:46.420]   Faith to stop and prayer to praise.
[00:35:46.420 --> 00:35:55.420]   [music]
[00:35:55.420 --> 00:35:56.420]   May all be seated.
[00:36:08.420 --> 00:36:10.420]   Good morning again, everybody.
[00:36:10.420 --> 00:36:13.420]   Please take your Bibles and open up to Matthew chapter 5.
[00:36:13.420 --> 00:36:25.420]   And as we turn there, I just want to say just a word of thanks for all the volunteers,
[00:36:25.420 --> 00:36:29.420]   people in different service teams, helping out and making things happen.
[00:36:29.420 --> 00:36:36.420]   We've had a bunch of changes going outdoor, indoor, and then changing media things and stuff like that.
[00:36:36.420 --> 00:36:40.420]   I realize there's so many people involved in making things go.
[00:36:40.420 --> 00:36:43.420]   So I'm very grateful.
[00:36:43.420 --> 00:36:49.420]   I'm also grateful because I realized I totally missed the session, the season of preaching outside.
[00:36:49.420 --> 00:36:53.420]   Pastor Peter had to take the bulk of preaching in the hot sun.
[00:36:53.420 --> 00:36:57.420]   I got to be inside in the nice AC.
[00:36:57.420 --> 00:36:58.420]   I was like, "Oh, darn."
[00:36:58.420 --> 00:37:01.420]   He was like, "No, it was good."
[00:37:01.420 --> 00:37:11.420]   As we take a look at this passage, what I'd like to do first is read verse 38 down to verse 48.
[00:37:11.420 --> 00:37:20.420]   And I will be, for the sake of time, focusing on just that first paragraph from verse 38 through 42,
[00:37:20.420 --> 00:37:22.420]   and then highlight just an element of the next section.
[00:37:22.420 --> 00:37:23.420]   Let me read for us.
[00:37:23.420 --> 00:37:29.420]   It says, "You have heard that it was said, 'An eye for an eye and a tooth for a tooth.'
[00:37:29.420 --> 00:37:32.420]   But I say to you, do not resist an evil person.
[00:37:32.420 --> 00:37:36.420]   But whoever slaps you on your right cheek, turn the other to him also.
[00:37:36.420 --> 00:37:41.420]   If anyone wants to sue you and take your shirt, let him have your coat also.
[00:37:41.420 --> 00:37:45.420]   Whoever forces you to go one mile, go with him too.
[00:37:45.420 --> 00:37:51.420]   Give to him who asks of you, and do not turn away from him who wants to borrow from you.
[00:37:51.420 --> 00:37:54.420]   You have heard that it was said, 'You shall love your neighbor and hate your enemy.'
[00:37:54.420 --> 00:37:59.420]   But I say to you, love your enemies and pray for those who persecute you,
[00:37:59.420 --> 00:38:02.420]   so that you may be sons of your Father who is in heaven.
[00:38:02.420 --> 00:38:09.420]   For he causes his son to rise on the evil and the good, and sends rain on the righteous and the unrighteous.
[00:38:09.420 --> 00:38:13.420]   For if you love those who love you, what reward do you have?
[00:38:13.420 --> 00:38:16.420]   Do not even the task collectors do the same?
[00:38:16.420 --> 00:38:20.420]   If you greet only your brothers, what more are you doing than others?
[00:38:20.420 --> 00:38:22.420]   Do not even the Gentiles do the same?
[00:38:22.420 --> 00:38:26.420]   Therefore you are to be perfect, as your heavenly Father is perfect."
[00:38:26.420 --> 00:38:28.420]   Let's take a moment to pray.
[00:38:28.420 --> 00:38:36.420]   Our God, we really do ask for your Spirit to move through your Word and convict our hearts.
[00:38:36.420 --> 00:38:40.420]   We recognize, Lord, that your truth is so powerful.
[00:38:40.420 --> 00:38:44.420]   And God, oftentimes your truth also is repetitive in your Word.
[00:38:44.420 --> 00:38:47.420]   But sometimes, God, we are hard of hearing.
[00:38:47.420 --> 00:38:49.420]   Sometimes we're forgetful.
[00:38:49.420 --> 00:38:52.420]   And sometimes, Lord, our hearts resist your Word.
[00:38:52.420 --> 00:38:57.420]   But I pray that, God, you would soften us, you would teach us, Lord, and we would humbly receive.
[00:38:57.420 --> 00:39:00.420]   It's in Christ's name we pray. Amen.
[00:39:00.420 --> 00:39:04.420]   As we take a look at this passage, the context of Matthew chapter 5,
[00:39:04.420 --> 00:39:11.420]   if you take a look, just kind of skim with me for a brief second to just get the context here.
[00:39:11.420 --> 00:39:14.420]   You know, this is that famous Sermon on the Mount in chapter 5.
[00:39:14.420 --> 00:39:21.420]   And then in chapter 5, verses 1 through 12, you have the section that is famously known as the Beatitudes.
[00:39:21.420 --> 00:39:26.420]   So if you look at your Bibles, you'll have this long list of "Blessed are those, blessed are those."
[00:39:26.420 --> 00:39:29.420]   And what we see is Jesus teaching an incredible sermon,
[00:39:29.420 --> 00:39:36.420]   defining for us and telling us who is actually truly blessed.
[00:39:36.420 --> 00:39:39.420]   Who is truly blessed of God.
[00:39:39.420 --> 00:39:42.420]   And it is so contrary to what is the norm.
[00:39:42.420 --> 00:39:44.420]   It is contrary to what we believe.
[00:39:44.420 --> 00:39:49.420]   It is contrary to what is societal expectations and standards.
[00:39:49.420 --> 00:39:53.420]   Because society believes those are truly blessed who are educated.
[00:39:53.420 --> 00:39:56.420]   Those are truly blessed who have skill.
[00:39:56.420 --> 00:40:00.420]   Those are truly blessed who are rich and have resources in their lives.
[00:40:00.420 --> 00:40:04.420]   Here, Jesus is telling them, "No, blessed are those who are able to mourn over sin.
[00:40:04.420 --> 00:40:08.420]   Blessed are those who are poor in spirit, and blessed are those who are able to make peace."
[00:40:08.420 --> 00:40:10.420]   And so on. Right?
[00:40:10.420 --> 00:40:19.420]   So what we have, as I'm emphasizing, is a massive contrast between what people are perceiving versus what reality is.
[00:40:19.420 --> 00:40:21.420]   And he continues to do that.
[00:40:21.420 --> 00:40:28.420]   If you take a look at verses 13 and down, he talks about how the disciples should be salt and light of the earth.
[00:40:28.420 --> 00:40:34.420]   He is giving an expectation that is breaking what is normative.
[00:40:34.420 --> 00:40:38.420]   And I'm repeating that because he's going to continue to do that through the entire chapter.
[00:40:38.420 --> 00:40:44.420]   The normative way we sometimes think about life, and sometimes, again, in good intention,
[00:40:44.420 --> 00:40:51.420]   when non-Christians try to teach us, they tell you, "Don't be strange. Don't be weird."
[00:40:51.420 --> 00:40:54.420]   Because that ruins your chances of excelling in life.
[00:40:54.420 --> 00:41:03.420]   As a matter of fact, if you had it your way, the best thing to do is work the system, be a leader, and come out on top in this world.
[00:41:03.420 --> 00:41:07.420]   God says, "No. You're to be radically different. You're to be salty.
[00:41:07.420 --> 00:41:12.420]   You're supposed to shine as so different from what is normative in this life."
[00:41:12.420 --> 00:41:19.420]   And so, likewise, continuing on that theme of compare and contrast, Christ highlights these things.
[00:41:19.420 --> 00:41:21.420]   You thought you knew.
[00:41:21.420 --> 00:41:26.420]   You thought you had the Old Testament law, and you thought you had an understanding.
[00:41:26.420 --> 00:41:28.420]   But let me tell you what is real.
[00:41:28.420 --> 00:41:30.420]   What is real godliness.
[00:41:30.420 --> 00:41:32.420]   What is true spirituality.
[00:41:32.420 --> 00:41:35.420]   What is actually in the nature of God.
[00:41:35.420 --> 00:41:42.420]   One example of that, the first one, he says in verse 21, Matthew 5, 21, he says,
[00:41:42.420 --> 00:41:49.420]   "You have heard that the ancients were told, 'You shall not commit murder, and whoever commits murder shall be liable to the court.'
[00:41:49.420 --> 00:41:55.420]   But I say to you that everyone who is angry with his brother shall be guilty before the court.
[00:41:55.420 --> 00:42:01.420]   And whoever says to his brother, 'You good-for-nothing,' shall be guilty before the supreme court.
[00:42:01.420 --> 00:42:08.420]   And whoever says, 'You fool,' shall be guilty enough to go into the fiery hell."
[00:42:08.420 --> 00:42:10.420]   Wow.
[00:42:10.420 --> 00:42:15.420]   If you think about it in contrast, on an external superficial level,
[00:42:15.420 --> 00:42:20.420]   if you just say, "On this boundary, do not murder," the vast majority of us will say,
[00:42:20.420 --> 00:42:25.420]   "Good, I'm done with that one because I am not killing anybody these days."
[00:42:25.420 --> 00:42:28.420]   But Christ says, "You think you knew what God was trying to get at.
[00:42:28.420 --> 00:42:31.420]   You think you knew what it meant to be righteous.
[00:42:31.420 --> 00:42:35.420]   And those Pharisees, the religious looters, they think they're setting the bar.
[00:42:35.420 --> 00:42:40.420]   Let me radically challenge the normative that you think is acceptable."
[00:42:40.420 --> 00:42:45.420]   And what he does is he points to the internal heart and says, "But you have anger in your heart.
[00:42:45.420 --> 00:42:49.420]   You have this arrogance in your heart.
[00:42:49.420 --> 00:42:53.420]   You have this viciousness in your heart where you're willing to call somebody good-for-nothing.
[00:42:53.420 --> 00:42:55.420]   You fool."
[00:42:55.420 --> 00:42:59.420]   I don't want to do a mini-sermon in a sermon, but that alone is so convicting, right?
[00:42:59.420 --> 00:43:05.420]   How many times have we in recent days watched articles, heard the news, saw what people were doing,
[00:43:05.420 --> 00:43:09.420]   and you just felt this rage in your heart?
[00:43:09.420 --> 00:43:12.420]   Jesus is pointing that out.
[00:43:12.420 --> 00:43:14.420]   Jesus is highlighting all of that.
[00:43:14.420 --> 00:43:19.420]   And so what I like to say is the passage that we're coming to is this compare and contrast of,
[00:43:19.420 --> 00:43:21.420]   "You think you know.
[00:43:21.420 --> 00:43:24.420]   Yes, you have the Old Testament.
[00:43:24.420 --> 00:43:28.420]   But maybe in terms of the normative that you thought was acceptable,
[00:43:28.420 --> 00:43:32.420]   let me teach you what God expects in terms of the internal heart.
[00:43:32.420 --> 00:43:36.420]   The transformation of the insides, both your perspective, your attitude, your desires,
[00:43:36.420 --> 00:43:44.420]   and all the stuff that's the working of your insides, God wants to radically transform to purify."
[00:43:44.420 --> 00:43:52.420]   And so my proposition and the main thrust of the sermon is going to be to transform a particular element,
[00:43:52.420 --> 00:43:56.420]   which is the heart of retaliation, through the grace of God.
[00:43:56.420 --> 00:44:02.420]   To transform the heart of retaliation through the grace of God.
[00:44:02.420 --> 00:44:11.420]   Just from the overview reading of the passage, you saw that Christ was tackling a heavy element,
[00:44:11.420 --> 00:44:16.420]   a specific area of sin in the life of the disciples.
[00:44:16.420 --> 00:44:20.420]   And what he says—I'm going to present this as a command—
[00:44:20.420 --> 00:44:25.420]   the first point I want to highlight is to correct what you thought you knew about the law.
[00:44:25.420 --> 00:44:29.420]   Correct what you thought you knew about the law.
[00:44:29.420 --> 00:44:32.420]   When you take a look at this passage, Matthew 5:38, he says,
[00:44:32.420 --> 00:44:38.420]   "You have heard that it was said, 'An eye for an eye and a tooth for a tooth.'"
[00:44:38.420 --> 00:44:44.420]   And what he's doing is he is highlighting and pinpointing something that is commonly rehearsed,
[00:44:44.420 --> 00:44:48.420]   reiterated, quoted within the community,
[00:44:48.420 --> 00:44:52.420]   and he tackles that as, "You think you understand, but let me tell you what's up."
[00:44:52.420 --> 00:44:58.420]   Now, this specific verse, you recognize it is a direct quotation from the Old Testament.
[00:44:58.420 --> 00:45:04.420]   It comes from Exodus 21, verse 23-25. I'll read it for us, and it says this,
[00:45:04.420 --> 00:45:07.420]   "But if there is any further injury, then you shall appoint as a penalty,
[00:45:07.420 --> 00:45:10.420]   life for life, eye for eye, tooth for tooth, and hand for hand.
[00:45:10.420 --> 00:45:17.420]   Foot for foot, burn for burn, wound for wound, bruise for bruise."
[00:45:17.420 --> 00:45:22.420]   Now, this law God gave to the people, essentially to govern the people.
[00:45:22.420 --> 00:45:27.420]   He gave to Moses as a civil law, not as necessarily how you're supposed to treat each other one-to-one,
[00:45:27.420 --> 00:45:30.420]   but as a civil law to govern the people.
[00:45:30.420 --> 00:45:37.420]   And in other cultures, other historical nations and governments, this law exists to this day, right?
[00:45:37.420 --> 00:45:39.420]   In Latin, it's called "lex talionis."
[00:45:39.420 --> 00:45:43.420]   And essentially, they quote, "Eye for eye," and the thought there is,
[00:45:43.420 --> 00:45:49.420]   when there is injury, the consequence and penalty should be of equal value, right?
[00:45:49.420 --> 00:45:51.420]   And essentially, that's what exists.
[00:45:51.420 --> 00:45:56.420]   But we have to ask this question, why did God give this law to the people?
[00:45:56.420 --> 00:45:58.420]   Well, the first answer is very obvious and clear,
[00:45:58.420 --> 00:46:03.420]   it is because God himself is a fair God who is a God of law and order.
[00:46:03.420 --> 00:46:06.420]   God himself is a God of justice.
[00:46:06.420 --> 00:46:12.420]   God himself is a God where the punishment is of appropriateness.
[00:46:12.420 --> 00:46:17.420]   He is not a Greek God who's on a whim, who happens to react impulsively.
[00:46:17.420 --> 00:46:22.420]   And should you just catch him on a bad day, he ends up just eradicating everybody.
[00:46:22.420 --> 00:46:27.420]   Now, someone might say, "But hasn't God in the Old Testament,
[00:46:27.420 --> 00:46:31.420]   hasn't he eradicated many people?"
[00:46:31.420 --> 00:46:38.420]   Even immediately after Moses receives the law, didn't he split open the ground and cause people to die?
[00:46:38.420 --> 00:46:42.420]   What I'm going to say is, every judgment in the Old Testament that you see,
[00:46:42.420 --> 00:46:47.420]   no matter how severe you think it is, was always appropriate.
[00:46:47.420 --> 00:46:54.420]   Because sin against the holy God, sin against the almighty, it is devastating.
[00:46:54.420 --> 00:46:59.420]   We even recognize degrees of punishment based on who we sin against.
[00:46:59.420 --> 00:47:02.420]   It is different when you sin against somebody who happens to be your friend.
[00:47:02.420 --> 00:47:07.420]   It is different if you transgress an American law against a president or a sitting official.
[00:47:07.420 --> 00:47:08.420]   There's difference of penalty.
[00:47:08.420 --> 00:47:13.420]   I'm just saying that to say, the reason why God gives this law that there should be equal
[00:47:13.420 --> 00:47:17.420]   and appropriate kind of punishment, even amongst person to person,
[00:47:17.420 --> 00:47:20.420]   is because God himself is always just and fair.
[00:47:20.420 --> 00:47:23.420]   Okay? That is his nature.
[00:47:23.420 --> 00:47:31.420]   Now, I think what's more obvious is he gave this law because people needed it.
[00:47:31.420 --> 00:47:33.420]   There is such a propensity.
[00:47:33.420 --> 00:47:36.420]   There is such a habit in the heart of man.
[00:47:36.420 --> 00:47:41.420]   When you feel like you've been hurt, you've been dishonored, disrespected,
[00:47:41.420 --> 00:47:45.420]   you've been attacked, to just come out with this retaliation,
[00:47:45.420 --> 00:47:50.420]   "Oh, really? You're going to feel the full force of my wrath!"
[00:47:50.420 --> 00:47:56.420]   Right? Like, retaliation is so like a knee-jerk reaction in the sinful heart.
[00:47:56.420 --> 00:48:04.420]   And what I'm going to say then is the scriptures teach us that this law was given to restrain our sin.
[00:48:04.420 --> 00:48:07.420]   Take a look at a passage in Deuteronomy chapter 19.
[00:48:07.420 --> 00:48:11.420]   We recognize that this command was given in multiple contexts.
[00:48:11.420 --> 00:48:13.420]   It was given early on in the book of Exodus.
[00:48:13.420 --> 00:48:16.420]   It was also given later on in the second Deuteronomy, right?
[00:48:16.420 --> 00:48:19.420]   With the people in the wilderness.
[00:48:19.420 --> 00:48:24.420]   Before they went into the land of Cana, after 40 years, they have reiteration of this law.
[00:48:24.420 --> 00:48:29.420]   And what he says is in verse 18, this is Deuteronomy 19, verse 18.
[00:48:29.420 --> 00:48:37.420]   "The judges shall investigate thoroughly, and if the witness is a false witness, and he accused his brother falsely,
[00:48:37.420 --> 00:48:41.420]   then you shall do to him just as he has intended to do to his brother."
[00:48:41.420 --> 00:48:45.420]   And then look what he says. "Thus you shall purge the evil from among you."
[00:48:45.420 --> 00:48:49.420]   What God was desiring was to prevent more wickedness.
[00:48:49.420 --> 00:48:55.420]   God designed to govern the people that there would be a cap on this stacking up of hitting each other,
[00:48:55.420 --> 00:48:58.420]   hurting each other, and ultimately destroying each other.
[00:48:58.420 --> 00:49:01.420]   But you notice what is the bent of the human heart.
[00:49:01.420 --> 00:49:04.420]   And I'm highlighting this because when there is a law given,
[00:49:04.420 --> 00:49:10.420]   it is not because God happened to be this exacting, mean God of the Old Testament.
[00:49:10.420 --> 00:49:13.420]   There are people, Christians, who actually write that in commentaries.
[00:49:13.420 --> 00:49:16.420]   That God had this exacting nature to him.
[00:49:16.420 --> 00:49:18.420]   God has this exacting nature even to this day.
[00:49:18.420 --> 00:49:24.420]   He says in the New Testament, "Not even a single careless word will go unpunished."
[00:49:24.420 --> 00:49:28.420]   What it is, is actually God restraining more sin.
[00:49:28.420 --> 00:49:32.420]   And the problem is, God gives good laws, and the people are so sinful,
[00:49:32.420 --> 00:49:35.420]   that when they're hurt, they exaggerate.
[00:49:35.420 --> 00:49:37.420]   Why do you think there is this case?
[00:49:37.420 --> 00:49:40.420]   You know when a brother gives false testimony?
[00:49:40.420 --> 00:49:42.420]   You know it's false testimony?
[00:49:42.420 --> 00:49:45.420]   Someone hurts you, and you're like, "That guy, he has it out for me.
[00:49:45.420 --> 00:49:48.420]   He wants to kill me. He wants to get rid of me.
[00:49:48.420 --> 00:49:52.420]   I think he actually made a mistake." Right?
[00:49:52.420 --> 00:49:57.420]   Exaggeration is a false testimony, and we do it all the time.
[00:49:57.420 --> 00:50:01.420]   Why? Because our hearts retaliate.
[00:50:01.420 --> 00:50:06.420]   When we feel offended, we have this knee-jerk reaction to want to hurt back.
[00:50:06.420 --> 00:50:10.420]   To make sure, like, "Don't you dare ever do this to me!"
[00:50:10.420 --> 00:50:12.420]   And that's what we're talking about.
[00:50:12.420 --> 00:50:15.420]   But what I like to highlight is, in summary, like,
[00:50:15.420 --> 00:50:20.420]   God's law, even here in the Old Testament, both Exodus, Deuteronomy,
[00:50:20.420 --> 00:50:24.420]   it comes from His governing grace. Amen?
[00:50:24.420 --> 00:50:28.420]   I want to highlight that, because sometimes people have this weird false dichotomy.
[00:50:28.420 --> 00:50:32.420]   Anything that reeks of, like, harsh judgment, consequences for sin,
[00:50:32.420 --> 00:50:35.420]   is like, "God is so OT," like Old Testament.
[00:50:35.420 --> 00:50:40.420]   No, no, no, no. This is God's mercy on the people to cap and restrain them.
[00:50:40.420 --> 00:50:42.420]   You need this.
[00:50:42.420 --> 00:50:46.420]   And the law regularly shows us, "It's you!" Right?
[00:50:46.420 --> 00:50:48.420]   That's what I'm talking about.
[00:50:48.420 --> 00:50:52.420]   But historically, then, when God gives good laws,
[00:50:52.420 --> 00:50:55.420]   how did people understand it? How did people take it?
[00:50:55.420 --> 00:50:58.420]   And this is where I want to find conviction, is because I realize,
[00:50:58.420 --> 00:51:01.420]   this is in us. This is in me.
[00:51:01.420 --> 00:51:05.420]   As I read this passage and asked the question, "Why does God give these laws?"
[00:51:05.420 --> 00:51:08.420]   and "How do people receive them?"
[00:51:08.420 --> 00:51:10.420]   And when Jesus says, "You have heard,"
[00:51:10.420 --> 00:51:13.420]   He is not only highlighting the fact that it was written in the Old Testament,
[00:51:13.420 --> 00:51:16.420]   but He's highlighting your perception of it.
[00:51:16.420 --> 00:51:18.420]   This is your normative.
[00:51:18.420 --> 00:51:20.420]   This is what you think is acceptable.
[00:51:20.420 --> 00:51:24.420]   This is what you thought was the command of God.
[00:51:24.420 --> 00:51:26.420]   How did people take it?
[00:51:26.420 --> 00:51:32.420]   I think what's clear is people take it as though the law of God gave them a right.
[00:51:32.420 --> 00:51:35.420]   Let me explain what I mean by that.
[00:51:35.420 --> 00:51:37.420]   The law of God says, "Eye for an eye."
[00:51:37.420 --> 00:51:41.420]   And He says, basically, "You shall not inflict excessive penalty."
[00:51:41.420 --> 00:51:44.420]   It's in the American law, Eighth Amendment, right?
[00:51:44.420 --> 00:51:47.420]   There will not be a cruel and unusual punishment,
[00:51:47.420 --> 00:51:52.420]   and you shall not induce a cruel, overreaching penalty,
[00:51:52.420 --> 00:51:55.420]   whether for parole or whatever it may be.
[00:51:55.420 --> 00:51:57.420]   You shall not do that, right?
[00:51:57.420 --> 00:52:00.420]   But rather than thinking of it as a cap to restrain them,
[00:52:00.420 --> 00:52:04.420]   they thought of it as, "I have a right to make sure you know
[00:52:04.420 --> 00:52:07.420]   you never, ever treat me like that."
[00:52:07.420 --> 00:52:10.420]   "I have a right. If you're going to treat me like that,
[00:52:10.420 --> 00:52:13.420]   then I get to treat you like that. Eye for an eye."
[00:52:14.420 --> 00:52:18.420]   It became a right and excuse to enact it.
[00:52:18.420 --> 00:52:20.420]   You see what I'm talking about there?
[00:52:20.420 --> 00:52:23.420]   And so in that way, I would like to move to my second point.
[00:52:23.420 --> 00:52:28.420]   In order to have this transforming of the inner heart of retaliation,
[00:52:28.420 --> 00:52:32.420]   we have to repent of that inner desire.
[00:52:32.420 --> 00:52:34.420]   And the way I'd like to make sense of it to you,
[00:52:34.420 --> 00:52:36.420]   I'm going to rephrase my second point,
[00:52:36.420 --> 00:52:39.420]   is repent of the little gangster in your heart.
[00:52:39.420 --> 00:52:40.420]   Okay?
[00:52:40.420 --> 00:52:42.420]   We all have the little gangster in our heart.
[00:52:42.420 --> 00:52:44.420]   Some of you guys know my background.
[00:52:44.420 --> 00:52:47.420]   When I was in high school, I thought it was so cool to be in a gang,
[00:52:47.420 --> 00:52:48.420]   and so I joined the gang.
[00:52:48.420 --> 00:52:51.420]   And we thought we were so tough, and we thought we were so hard.
[00:52:51.420 --> 00:52:53.420]   And all the guys, they had this mentality.
[00:52:53.420 --> 00:52:56.420]   It's like, "If you even look at me, you're going to get it."
[00:52:56.420 --> 00:52:58.420]   Come on, we all have that little gangster voice.
[00:52:58.420 --> 00:53:01.420]   It even has a little accent. It's like, "No, dog."
[00:53:01.420 --> 00:53:03.420]   And some of you even snap your fingers.
