
[00:00:00.000 --> 00:00:09.800]   Okay, everyone.
[00:23:45.500 --> 00:23:51.340]   The great purpose of God and the objective of God is for his glory, right?
[00:23:51.340 --> 00:23:56.140]   And what shows his glory is the believers understanding the grace of God and appreciating
[00:23:56.140 --> 00:24:01.100]   the grace of God, but what's more fulfilling, the work of God in us.
[00:24:01.100 --> 00:24:02.700]   Let me explain.
[00:24:02.700 --> 00:24:04.140]   First section.
[00:24:04.140 --> 00:24:11.420]   In that first section, we have to understand the logic that God's grace, God's grace reveals
[00:24:11.420 --> 00:24:13.900]   his great glory.
[00:24:13.900 --> 00:24:21.140]   But oftentimes, what stands against that great glory is our pride.
[00:24:21.140 --> 00:24:28.140]   Where in our human eye, we want to see cause and effect, and the cause being us.
[00:24:28.140 --> 00:24:34.740]   You recall the disciples regularly struggling with this desire that as God, like in Christ,
[00:24:34.740 --> 00:24:40.740]   as God is doing his work, as Christ is doing his work, they constantly want a piece of
[00:24:40.740 --> 00:24:42.460]   it, right?
[00:24:42.460 --> 00:24:45.640]   If you're gonna be exalted, can I sit there?
[00:24:45.640 --> 00:24:49.160]   If you're gonna be exalted, can I sit on the right side, right?
[00:24:49.160 --> 00:24:52.020]   If he's doing his work, it's like, which one's greater though, me or him, right?
[00:24:52.020 --> 00:24:57.340]   There's always this constant vying for some kind of merit, right?
[00:24:57.340 --> 00:25:04.340]   But what we have to conclude is, as you do that, you are not glorifying God.
[00:25:04.340 --> 00:25:09.340]   Take a look at how emphatic this little section of scripture is.
[00:25:09.340 --> 00:25:16.900]   To see the emphasis, what we see here is two repetitions of describing what it is and what
[00:25:16.900 --> 00:25:17.900]   is not.
[00:25:17.900 --> 00:25:23.020]   He says, "For by grace you have been saved through faith and that not of yourselves."
[00:25:23.020 --> 00:25:27.300]   It is the gift of God, not as a result of work.
[00:25:27.300 --> 00:25:30.920]   The reason why I say that's emphatic is because for us, every time we're trying to give, let's
[00:25:30.920 --> 00:25:35.540]   say something like instruction, the way that we make sure something is emphatic is by telling,
[00:25:35.540 --> 00:25:39.720]   "Hey, this is what it is, but also this is what it's not."
[00:25:39.720 --> 00:25:45.180]   If I were to tell you guys, "Hey guys, I want you guys to get under your tables."
[00:25:45.180 --> 00:25:48.500]   In order to make it emphatic, I say, "This is not a drill, right?
[00:25:48.500 --> 00:25:49.580]   There's an earthquake right now."
[00:25:49.580 --> 00:25:55.220]   Likewise, in this passage, the Apostle Paul gives both, "This is what it is.
[00:25:55.220 --> 00:25:57.320]   You have been saved by grace and this is what it's not.
[00:25:57.320 --> 00:26:01.060]   This is not of yourselves and not as a result of works."
[00:26:01.060 --> 00:26:04.660]   And what's more, think about how emphatic this is.
[00:26:04.660 --> 00:26:08.140]   There is another "so that."
[00:26:08.140 --> 00:26:16.380]   God as a design of His purpose, by the will of His power, as He has deemed it, no man
[00:26:16.380 --> 00:26:19.020]   is going to boast before Him.
[00:26:19.020 --> 00:26:22.820]   And what that makes me think about is the future.
[00:26:22.820 --> 00:26:27.180]   You guys, if you guys read Revelation, think about the future and the scenes that are to
[00:26:27.180 --> 00:26:28.180]   come.
[00:26:28.180 --> 00:26:35.380]   What we're going to see in the book of Revelation is like incredibly epic scenes.
[00:26:35.380 --> 00:26:42.340]   Like these are cosmic scenes where the host of the world, every single person imaginable
[00:26:42.340 --> 00:26:45.260]   is going to bow the knee at Christ.
[00:26:45.260 --> 00:26:50.740]   And what's going to happen is like signifying figures, rulers, those with crowns are going
[00:26:50.740 --> 00:26:53.660]   to rise up and they're going to sing.
[00:26:53.660 --> 00:26:55.060]   And you recall what they're going to sing.
[00:26:55.060 --> 00:27:01.420]   They're going to sing, "Worthy is the Lamb who was slain to receive power, riches, wisdom,
[00:27:01.420 --> 00:27:04.700]   strength, honor, glory, and blessing."
[00:27:04.700 --> 00:27:09.060]   And they're going to keep crying out without end, "To Him who sits on the throne to be
[00:27:09.060 --> 00:27:15.860]   praise, honor, glory, power forever and ever, amen."
[00:27:15.860 --> 00:27:20.460]   And not a single individual is going to sit there and be like, "Yeah, we did it!"
[00:27:20.460 --> 00:27:22.620]   That's just not going to happen.
[00:27:22.620 --> 00:27:26.620]   This was no joint effort to save mankind.
[00:27:26.620 --> 00:27:27.900]   Why do I bring this up?
[00:27:27.900 --> 00:27:34.180]   It's because I want us to really be reflective of that section.
[00:27:34.180 --> 00:27:39.780]   We're talking about the glory of God and the understanding for us that our salvation is
[00:27:39.780 --> 00:27:47.420]   truly and purely of God that is directly tied to us giving Him glory.
[00:27:47.420 --> 00:27:51.820]   But for generations and generations, whether it be church history, whether it be you in
[00:27:51.820 --> 00:27:56.820]   your own life, we grapple and we struggle, right?
[00:27:56.820 --> 00:28:02.900]   We struggle within ourselves to truly understand that our salvation is by grace and a gift
[00:28:02.900 --> 00:28:06.100]   to you, right?
[00:28:06.100 --> 00:28:09.240]   Something innate within us almost reacts like, "It doesn't make sense.
[00:28:09.240 --> 00:28:12.020]   How could it be just so free?
[00:28:12.020 --> 00:28:20.100]   How could it be that all I have to do truly is to trust and to receive?"
[00:28:20.100 --> 00:28:21.700]   And what that does is it challenges us.
[00:28:21.700 --> 00:28:26.100]   You have to start thinking the whole context of everything He said is because you were
[00:28:26.100 --> 00:28:32.100]   truly dead, is because you were truly wretched, is because this chasm that existed between
[00:28:32.100 --> 00:28:35.740]   you and God was unfathomable.
[00:28:35.740 --> 00:28:40.260]   And you are absolutely incapable of doing anything else.
[00:28:40.260 --> 00:28:42.700]   It is by faith alone.
[00:28:42.700 --> 00:28:47.300]   And on the flip side of that, He says this.
[00:28:47.300 --> 00:28:56.620]   Okay, let me go to this part right here, the workmanship, right?
[00:28:56.620 --> 00:28:58.620]   The second part of that is this.
[00:28:58.620 --> 00:29:04.260]   If we're talking about the glory of God, okay, and the first portion of it is the grace
[00:29:04.260 --> 00:29:10.460]   of God that reveals, okay, and the second part of it, He says, "For we are His workmanship
[00:29:10.460 --> 00:29:16.540]   created in Christ Jesus for good works, which God prepared beforehand so that we would walk
[00:29:16.540 --> 00:29:17.540]   in them."
[00:29:17.540 --> 00:29:21.740]   Now, there's a couple things to understand and highlight here, so let's walk through
[00:29:21.740 --> 00:29:25.620]   it together, and then we'll begin to start wrapping things up.
[00:29:25.620 --> 00:29:32.100]   Here, in this second portion that supports God's purpose of showing and revealing His
[00:29:32.100 --> 00:29:38.060]   glory and His surpassing mercies, He says that we are His workmanship.
[00:29:38.060 --> 00:29:43.100]   So us being the handy work of God glorifies the Lord.
[00:29:43.100 --> 00:29:46.780]   Now, some people might say some things like, "You are a masterpiece of God."
[00:29:46.780 --> 00:29:48.660]   I think that's saying a little too much.
[00:29:48.660 --> 00:29:51.700]   For those of you guys who did word study on that, good.
[00:29:51.700 --> 00:29:54.060]   It just means it's a fruit.
[00:29:54.060 --> 00:29:58.220]   It's a product of your work, okay?
[00:29:58.220 --> 00:29:59.640]   But think about this.
[00:29:59.640 --> 00:30:03.260]   We are, then, the handy work of God.
[00:30:03.260 --> 00:30:05.660]   That alone suffices.
[00:30:05.660 --> 00:30:08.100]   God doesn't have to make masterpieces.
[00:30:08.100 --> 00:30:09.580]   Why?
[00:30:09.580 --> 00:30:11.980]   Because what God makes, He perfects.
[00:30:11.980 --> 00:30:14.380]   Now, think about this.
[00:30:14.380 --> 00:30:20.100]   There is a group of people who we've labeled free grace theologians, okay?
[00:30:20.100 --> 00:30:21.100]   Free grace theologians.
[00:30:21.100 --> 00:30:25.500]   I've mentioned them before in other contexts of preaching.
[00:30:25.500 --> 00:30:32.780]   Free grace theologians denounce lordship salvation because they believe if grace is free, all
[00:30:32.780 --> 00:30:36.580]   I have to do is verbally accept it, and we're done.
[00:30:36.580 --> 00:30:41.440]   For you to expect of me to either bear fruit or show evidence is heresy.
[00:30:41.440 --> 00:30:46.660]   To call for change of life is to lay a burden on the saint.
[00:30:46.660 --> 00:30:52.860]   If I have claimed faith, God's grace is so free, even if you walk away for miles or for
[00:30:52.860 --> 00:30:56.620]   decades, you are saved no matter what.
[00:30:56.620 --> 00:31:01.380]   So free grace theologians believe you can be apostate for some time, but eventually
[00:31:01.380 --> 00:31:07.320]   you'll come back, and God's grace should not be doubted.
[00:31:07.320 --> 00:31:12.700]   This passage right here, verse 10, absolutely contradicts all of that.
[00:31:12.700 --> 00:31:13.700]   Why?
[00:31:13.700 --> 00:31:19.420]   Because the scripture is saying the glory of God is revealed in His workmanship, which
[00:31:19.420 --> 00:31:22.200]   is you.
[00:31:22.200 --> 00:31:26.100]   So if a free grace theologian was before me, you know what I would say?
[00:31:26.100 --> 00:31:34.540]   I would say stop meddling in all the technicalities of your free gift, but glorify God.
[00:31:34.540 --> 00:31:36.500]   You need to glorify God.
[00:31:36.500 --> 00:31:38.960]   That's the point.
[00:31:38.960 --> 00:31:43.900]   To say to the Lord that maybe, maybe I'll change.
[00:31:43.900 --> 00:31:49.060]   To say to the Lord in a certain manner, sure, I received the grace, but I don't have to
[00:31:49.060 --> 00:31:50.700]   actually change.
[00:31:50.700 --> 00:31:54.000]   We have to ask the question, is that actually the purpose of God?
[00:31:54.000 --> 00:31:55.820]   Is that actually the goal of God?
[00:31:55.820 --> 00:31:58.500]   Is that what God was trying to accomplish?
[00:31:58.500 --> 00:32:01.820]   No, it is not.
[00:32:01.820 --> 00:32:07.820]   It is an amazing mercy and love for you that God is changing you.
[00:32:07.820 --> 00:32:13.860]   It is His absolute care and grace to you that God is transforming you so that you don't
[00:32:13.860 --> 00:32:19.660]   just say with words, but rather you are transformed in life.
[00:32:19.660 --> 00:32:26.220]   And for you to think that you don't have to change, that means you don't get it.
[00:32:26.220 --> 00:32:30.140]   That means you don't get all the stuff we're talking about, about previous sins.
[00:32:30.140 --> 00:32:32.540]   That means you don't get the incredible work of God.
[00:32:32.540 --> 00:32:35.020]   That means you don't get the incredible purpose of God.
[00:32:35.020 --> 00:32:38.020]   You don't see God.
[00:32:38.020 --> 00:32:40.140]   Rather it's kind of like this.
[00:32:40.140 --> 00:32:41.540]   Remember this scene?
[00:32:41.540 --> 00:32:45.300]   A man dead in the cage.
[00:32:45.300 --> 00:32:51.900]   That man can say, "Hey, but I said thank you and amen every time before a meal."
[00:32:51.900 --> 00:32:54.260]   Technically he praised God.
[00:32:54.260 --> 00:32:56.180]   Technically he thanked the Lord.
[00:32:56.180 --> 00:33:00.740]   Technically he said stuff that every good Christian should say.
[00:33:00.740 --> 00:33:03.220]   But does that mean salvation?
[00:33:03.220 --> 00:33:05.100]   What am I saying?
[00:33:05.100 --> 00:33:15.180]   For us, we have to understand that the work of God in us to transform our lives, that
[00:33:15.180 --> 00:33:20.500]   is supposed to be supporting His amazing love and His amazing grace.
[00:33:20.500 --> 00:33:28.420]   And for us to think that that's somehow, that's somehow either optional, how dare you, right?
[00:33:28.420 --> 00:33:30.680]   That is absolute arrogance.
[00:33:30.680 --> 00:33:32.980]   That is absolute arrogance.
[00:33:32.980 --> 00:33:40.180]   Now as a way to kind of start wrapping things up, you know that age old song that like,
[00:33:40.180 --> 00:33:44.100]   "He's changing me, my precious Jesus.
[00:33:44.100 --> 00:33:49.060]   I'm not the same person that I used to be."
[00:33:49.060 --> 00:33:50.060]   That's a good song.
[00:33:50.060 --> 00:33:54.580]   And as a matter of fact, if we just stop the moment right there, we should be able to say,
[00:33:54.580 --> 00:33:58.540]   "And thank you, Lord, that I'm not the same person.
[00:33:58.540 --> 00:34:00.660]   That's your grace for me.
[00:34:00.660 --> 00:34:04.460]   Why in the world would I even want to be the same person?
[00:34:04.460 --> 00:34:11.020]   If I knew who I was, controlled by dark forces, if I knew who I was in the wretchedness of
[00:34:11.020 --> 00:34:16.560]   my state, why in the world would I volitionally choose not to change?"
[00:34:16.560 --> 00:34:20.420]   It just goes to show that we don't understand.
[00:34:20.420 --> 00:34:29.660]   So by way of conclusion and wrapping things up, are we meditating and blessing the Lord?
[00:34:29.660 --> 00:34:38.020]   If God's incredible objective and goal is the showing of the surpassing of his grace,
[00:34:38.020 --> 00:34:42.180]   are we doing that to the degree where we're blessing God because we see it?
[00:34:42.180 --> 00:34:48.340]   If Apostle Paul's prayer was that our eyes would be open and enlightened to see the knowledge
[00:34:48.340 --> 00:34:54.060]   of him, to see the incredible calling, to see the riches of his glory, to see the inheritance
[00:34:54.060 --> 00:34:59.100]   and the blessings, are you meditating on that and seeing it?
[00:34:59.100 --> 00:35:00.620]   Let me ask you a question.
[00:35:00.620 --> 00:35:06.020]   Have you thought about the incredible kindness of God and appreciated the breadth of the
[00:35:06.020 --> 00:35:10.260]   timing of it all?
[00:35:10.260 --> 00:35:15.900]   So far, Apostle Paul has been talking about a kind of thoughtfulness of God that's stretched
[00:35:15.900 --> 00:35:20.460]   beyond even the time that we know, time itself.
[00:35:20.460 --> 00:35:25.340]   We've been inundated with the fact that God is so intentional in his kindness.
[00:35:25.340 --> 00:35:29.660]   We've been shown that the extent of his kindness goes to things that are even incomprehensible
[00:35:29.660 --> 00:35:31.300]   or even doesn't even make sense.
[00:35:31.300 --> 00:35:36.020]   Why would you honor something that was so decaying and dead?
[00:35:36.020 --> 00:35:37.980]   Why would you even raise him up?
[00:35:37.980 --> 00:35:39.820]   We saw the backdrop of his kindness.
[00:35:39.820 --> 00:35:41.540]   We saw the intensity of his kindness.
[00:35:41.540 --> 00:35:43.360]   We saw the certainty of his kindness.
[00:35:43.360 --> 00:35:46.500]   We saw the glory of his kindness.
[00:35:46.500 --> 00:35:49.560]   And we can go on even more.
[00:35:49.560 --> 00:35:54.640]   The first several chapters of Ephesians is for you to dwell and meditate on the riches
[00:35:54.640 --> 00:35:56.980]   of Christ.
[00:35:56.980 --> 00:36:00.560]   And that is where at the heart of what we're trying to do, at the heart of what we're trying
[00:36:00.560 --> 00:36:04.580]   to say, that is powerful faith.
[00:36:04.580 --> 00:36:09.780]   When you start to see, when your eyes are open and you are enlightened, and once you
[00:36:09.780 --> 00:36:16.060]   see and you're just gripped by it, then you've caught on.
[00:36:16.060 --> 00:36:17.060]   Then you're on board.
[00:36:17.060 --> 00:36:18.700]   Then you get it.
[00:36:18.700 --> 00:36:29.200]   Let's take a moment to pray.
[00:36:29.200 --> 00:36:36.860]   Heavenly Father, this passage of your scripture is so rich.
[00:36:36.860 --> 00:36:44.500]   And God, you've shown us, Lord, that your work towards us is glorious.
[00:36:44.500 --> 00:36:50.760]   Now for us in a brief 30, 40 minutes to appreciate the glory of your riches, the riches of your
[00:36:50.760 --> 00:36:56.080]   mercy, Lord God, we recognize it's just a quick snapshot.
[00:36:56.080 --> 00:37:01.000]   But I do pray, Father God, along with your scriptures, that every single one of us would
[00:37:01.000 --> 00:37:07.080]   know the meaning and to see from different angles and to experience at different moments,
[00:37:07.080 --> 00:37:09.440]   Lord, your mercy in our lives.
[00:37:09.440 --> 00:37:15.340]   I pray, Father God, that what grips every single one of us by faith would be your incredible
[00:37:15.340 --> 00:37:20.680]   holiness and your incredible love, that God, that's the thing we're attracted to.
[00:37:20.680 --> 00:37:24.900]   And Lord, I do pray, Father God, that there are so many things working against us to try
[00:37:24.900 --> 00:37:31.480]   to veil your glory, to try to keep us far, to try to keep us distracted.
[00:37:31.480 --> 00:37:34.900]   But I ask that you'd give us strength so that we could fight against all of those things
[00:37:34.900 --> 00:37:36.440]   in our lives.
[00:37:36.440 --> 00:37:41.500]   And God, that our great, great ambition is to know you and your love more.
[00:37:41.500 --> 00:37:45.720]   Lord, we want to thank you and just pray that as we reflect and discuss, you would help
[00:37:45.720 --> 00:37:50.420]   us to continue to have that eagerness to grow and learn, but what's more, just to really
[00:37:50.420 --> 00:37:52.820]   edify each other in this faith.
[00:37:52.820 --> 00:37:54.820]   We thank you, Lord, it's in Christ's name we pray.
[00:37:54.820 --> 00:37:55.320]   Amen.
[00:37:55.320 --> 00:38:04.280]   [ Silence ]

