
[00:00:00.000 --> 00:00:06.840]   We're on lesson six.
[00:23:19.520 --> 00:23:29.600]   Remember that in the book of Job, oops, in the book of Job, there's this idea where Eliphaz
[00:23:29.600 --> 00:23:30.960]   was bent on this.
[00:23:30.960 --> 00:23:36.600]   He was like, "The innocent people who invest into their spirit and to the people around
[00:23:36.600 --> 00:23:39.280]   them, they will always be blessed."
[00:23:39.280 --> 00:23:43.880]   And then so he says, "Remember who that was innocent ever perished, or where were the
[00:23:43.880 --> 00:23:45.000]   upright cut off?
[00:23:45.000 --> 00:23:49.360]   As I have seen, those who plow iniquity and sow trouble reap the same.
[00:23:49.360 --> 00:23:53.280]   By the breath of God they perish, and by the blast of His anger they are consumed."
[00:23:53.280 --> 00:23:58.200]   So he essentially says the whole principle of what you sow, what you reap, man.
[00:23:58.200 --> 00:24:01.800]   And so Job is like miserable because he's in pain.
[00:24:01.800 --> 00:24:05.320]   He's aching and hurting because he lost his children.
[00:24:05.320 --> 00:24:09.280]   He's aching and hurting because his body is beaten down.
[00:24:09.280 --> 00:24:14.440]   And then his friend comes over and says, "Man, what you sow, you reap."
[00:24:14.440 --> 00:24:17.080]   And then he realized there are exceptions.
[00:24:17.080 --> 00:24:21.720]   You can sow, sow, sow, sow, and sow, but the fruits are in God's hands.
[00:24:21.720 --> 00:24:24.480]   That's another principle for life that we understand.
[00:24:24.480 --> 00:24:29.040]   So we recognize that there are principles in scripture, right?
[00:24:29.040 --> 00:24:35.000]   General principles in scripture that does not cross apply to every single position in
[00:24:35.000 --> 00:24:36.000]   your life.
[00:24:36.000 --> 00:24:38.880]   So I want to give a warning about that, okay?
[00:24:38.880 --> 00:24:47.160]   The warning is the proverbial statements are essentially individuals who have great, lengthy,
[00:24:47.160 --> 00:24:52.600]   long experience summarize into short expression.
[00:24:52.600 --> 00:24:57.600]   But to go backwards, take the short expression and just start to like sticker it on every
[00:24:57.600 --> 00:25:01.980]   single situation of your life, it's backwards, right?
[00:25:01.980 --> 00:25:12.320]   So I want to give the warning that should you read a proverbial life principle statement
[00:25:12.320 --> 00:25:18.760]   in the scripture and then you say, "But this should be true of my life right now," you're
[00:25:18.760 --> 00:25:21.700]   going to be frustrated, right?
[00:25:21.700 --> 00:25:27.980]   Should you take a proverbial principle statement and then say, "This is the doctrinal truth.
[00:25:27.980 --> 00:25:29.720]   Why is God doing this?"
[00:25:29.720 --> 00:25:32.660]   You know, then you're going to be frustrated.
[00:25:32.660 --> 00:25:34.580]   And that makes sense, right?
[00:25:34.580 --> 00:25:40.380]   When we universalize or dogmatize certain things that we find in proverbial wisdom statements,
[00:25:40.380 --> 00:25:44.100]   then we're going to have a misunderstanding of that genre, okay?
[00:25:44.100 --> 00:25:50.420]   And so what's more is on a personal level, people sometimes take proverbial statements
[00:25:50.420 --> 00:25:56.340]   and then because it's personal, they take it as a personal promise to themselves.
[00:25:56.340 --> 00:26:01.580]   And the warning about proverbial statements in the process of interpretation is do not
[00:26:01.580 --> 00:26:07.300]   make every proverbial statement a promise specifically to you.
[00:26:07.300 --> 00:26:16.100]   As a matter of fact, when you see promises in scripture, these promises oftentimes speak
[00:26:16.100 --> 00:26:21.380]   more greatly about the character of God rather than for you to be like, "I was searching
[00:26:21.380 --> 00:26:22.380]   for this.
[00:26:22.380 --> 00:26:23.380]   Yes, it's for me."
[00:26:23.380 --> 00:26:27.140]   You know what I'm saying?
[00:26:27.140 --> 00:26:31.040]   Especially when you read Old Testament and you hear God promise them like, "I will never
[00:26:31.040 --> 00:26:34.580]   forsake you or I'll for sure deliver you."
[00:26:34.580 --> 00:26:36.300]   And then you say, "Just give it time.
[00:26:36.300 --> 00:26:37.700]   He's going to deliver you."
[00:26:37.700 --> 00:26:45.140]   I mean, you know instinctively like that has a lot of personal bias behind it rather than
[00:26:45.140 --> 00:26:48.720]   carefully looking at what is God saying, okay?
[00:26:48.720 --> 00:26:51.600]   So here's a couple of examples of this.
[00:26:51.600 --> 00:26:56.960]   And obviously these are kind of more ridiculous ones or like obvious ones.
[00:26:56.960 --> 00:26:57.960]   Here's an example.
[00:26:57.960 --> 00:26:59.780]   I think I just left it in your packet there.
[00:26:59.780 --> 00:27:06.020]   In Proverbs 3 9-10, he says, "Honor the Lord with your wealth and with the first fruits
[00:27:06.020 --> 00:27:08.280]   of all your produce.
[00:27:08.280 --> 00:27:14.820]   Then your barns will be filled with plenty and your vats will be bursting with wine."
[00:27:14.820 --> 00:27:22.200]   I picked this one because I saw this blasted on the TV and a guy saying, "First give of
[00:27:22.200 --> 00:27:26.280]   God, then he'll always multiply to you."
[00:27:26.280 --> 00:27:29.940]   And later I'm just going to ask you, just for the sake of practice, okay?
[00:27:29.940 --> 00:27:34.540]   And for those of you guys who have already prepared yourself, like those of you guys
[00:27:34.540 --> 00:27:39.640]   who have already come, like you're already always armed to fight prosperity gospel, don't
[00:27:39.640 --> 00:27:42.020]   go too crazy now, okay?
[00:27:42.020 --> 00:27:48.040]   But I'm going to ask you to share in your groups like by specific interpretive process
[00:27:48.040 --> 00:27:53.800]   and principles, how do you prevent either yourself or somebody else from saying, "Hey,
[00:27:53.800 --> 00:28:00.000]   this is a promise for us because that passage, I mean the context, I mean in terms of other
[00:28:00.000 --> 00:28:07.400]   references, in terms of, I mean even the wording and stuff could be, could be legitimate."
[00:28:07.400 --> 00:28:10.760]   What are you going to say to that, okay?
[00:28:10.760 --> 00:28:15.980]   So here's another one, Proverbs 22, verse 6, this idea of train up a child in the way
[00:28:15.980 --> 00:28:17.800]   he should go.
[00:28:17.800 --> 00:28:21.660]   Even when he is old, he will not depart from it, okay?
[00:28:21.660 --> 00:28:26.180]   And the reason why I'm bringing these up is because earlier I mentioned, I'm going to
[00:28:26.180 --> 00:28:28.840]   be 100% honest, right?
[00:28:28.840 --> 00:28:37.760]   I honestly don't think that it's, you know, like because of crazy far out there teaching
[00:28:37.760 --> 00:28:41.120]   of interpretation that a lot of people have wrong interpretation.
[00:28:41.120 --> 00:28:49.180]   I kind of feel like what I said earlier is that because there is always personal interest,
[00:28:49.180 --> 00:28:53.600]   because there's always conditional hungers that we have and things that we're looking
[00:28:53.600 --> 00:28:58.000]   for, there can be misinterpretation of the Bible.
[00:28:58.000 --> 00:29:06.600]   And a lot of times when I see that, you know, maybe parents, of course, when we think about
[00:29:06.600 --> 00:29:11.840]   the salvation of our children, many, many times when we think about whether the kids
[00:29:11.840 --> 00:29:16.120]   are saved or not, if I think back to like previous youth group experience and all that
[00:29:16.120 --> 00:29:20.720]   kind of stuff and parents are unwilling to see like my child is potentially not saved
[00:29:20.720 --> 00:29:26.040]   or is questionable, but they're always just like, "No, they're Christian," you know?
[00:29:26.040 --> 00:29:29.640]   I kind of think like, man, there's so much personal investment in that.
[00:29:29.640 --> 00:29:32.600]   I get it, it's your child, you know?
[00:29:32.600 --> 00:29:37.200]   But even then, when you look at passages like this, this is not a promise that when you
[00:29:37.200 --> 00:29:41.500]   do X, Y, and Z for your kid, for sure he's going to be saved.
[00:29:41.500 --> 00:29:45.820]   And this is not a promise that when you do Y and Z for your child, for sure he's always
[00:29:45.820 --> 00:29:46.820]   going to be reigned in.
[00:29:46.820 --> 00:29:53.740]   I mean, truthfully speaking, God Himself says in Isaiah that He was the Father and His children
[00:29:53.740 --> 00:29:54.740]   went what?
[00:29:54.740 --> 00:29:56.240]   Astray.
[00:29:56.240 --> 00:29:59.120]   This is not a guarantee.
[00:29:59.120 --> 00:30:04.120]   But again, we talked about general statements of reality, general principles living.
[00:30:04.120 --> 00:30:06.320]   How should we be wise in our parenting?
[00:30:06.320 --> 00:30:09.480]   But these aren't guarantees and promises for us personally.
[00:30:09.480 --> 00:30:11.480]   Does that make sense?
[00:30:11.480 --> 00:30:12.480]   Okay.
[00:30:12.480 --> 00:30:19.960]   So my exhortation and challenge for us simply was for every passage, look at the specific
[00:30:19.960 --> 00:30:23.880]   use of proverbial and principle statements, okay?
[00:30:23.880 --> 00:30:26.400]   We're going to do one more exercise pertaining to this.
[00:30:26.400 --> 00:30:30.280]   But before I go on, any questions?
[00:30:30.280 --> 00:30:32.480]   Okay.
[00:30:32.480 --> 00:30:35.480]   I just throw it out there, you know?
[00:30:35.480 --> 00:30:36.600]   Alright.
[00:30:36.600 --> 00:30:41.040]   Take an example in Titus chapter 1, verse 15.
[00:30:41.040 --> 00:30:43.880]   Please take your Bibles and turn there.
[00:30:43.880 --> 00:30:45.000]   Oops.
[00:30:45.000 --> 00:30:46.000]   Okay.
[00:30:46.000 --> 00:30:49.280]   Please take your Bibles and turn there.
[00:30:49.280 --> 00:30:54.080]   I'm going to just for the sake of the example, read verse 13 through 16.
[00:30:54.080 --> 00:30:59.160]   And it says here, yeah?
[00:30:59.160 --> 00:31:04.720]   Just to give you guys context, Apostle Paul has taught Titus that there has to be qualifications
[00:31:04.720 --> 00:31:06.280]   for leaders.
[00:31:06.280 --> 00:31:07.660]   Why?
[00:31:07.660 --> 00:31:11.860]   Because they have to be able to teach and also to correct.
[00:31:11.860 --> 00:31:17.720]   And then he gives this exhortation and forewarning, there's going to be false teachers who are
[00:31:17.720 --> 00:31:23.640]   incredibly hurtful and incredibly strong, so to speak.
[00:31:23.640 --> 00:31:26.200]   And it's kind of summary form, they're going to come off super strong.
[00:31:26.200 --> 00:31:31.520]   So the elders and the teachers need to be strong themselves, that there has to be qualifications.
[00:31:31.520 --> 00:31:36.680]   And within this, in the description of those who are the false teachers, he says this,
[00:31:36.680 --> 00:31:38.480]   verse 13 through 16.
[00:31:38.480 --> 00:31:40.480]   This testimony is true.
[00:31:40.480 --> 00:31:45.960]   Therefore rebuke them sharply that they may be sound in faith, not devoting themselves
[00:31:45.960 --> 00:31:50.400]   to Jewish myths and commandments of people who turn away from the truth.
[00:31:50.400 --> 00:31:56.200]   And he gives a principle, or like, not a principle, but a maxim, like a general saying.
[00:31:56.200 --> 00:31:59.160]   To the pure, all things are pure.
[00:31:59.160 --> 00:32:02.840]   But to the defile and unbelieving, nothing is pure.
[00:32:02.840 --> 00:32:05.880]   But both their minds and their consciences are defiled.
[00:32:05.880 --> 00:32:09.560]   They profess to know God, but they deny him by their works.
[00:32:09.560 --> 00:32:14.960]   They are detestable, disobedient, unfit for any good work.
[00:32:14.960 --> 00:32:17.960]   Let's just do a quick exercise, okay?
[00:32:17.960 --> 00:32:24.040]   There have actually been many ways I've personally heard this statement be used.
[00:32:24.040 --> 00:32:29.400]   To the pure, all things are pure, but to the defiled and unbelieving, nothing is pure.
[00:32:29.400 --> 00:32:32.960]   I want you guys first to try and be creative, okay?
[00:32:32.960 --> 00:32:38.000]   So be bad Bible students and be a little creative, okay?
[00:32:38.000 --> 00:32:40.900]   How could this be used?
[00:32:40.900 --> 00:32:42.840]   To the pure, all things are pure.
[00:32:42.840 --> 00:32:46.840]   To the defiled, all things are defiled.
[00:32:46.840 --> 00:32:48.840]   Yes.
[00:32:48.840 --> 00:32:50.840]   Excellent.
[00:32:50.840 --> 00:32:59.840]   Oops, sorry, that's not the right one.
[00:32:59.840 --> 00:33:02.360]   I'm just gonna put these up.
[00:33:02.360 --> 00:33:04.640]   Don't judge me, my heart's pure, okay?
[00:33:04.640 --> 00:33:11.000]   The whole idea is, hey, to me, everything is pure.
[00:33:11.000 --> 00:33:15.960]   So the idea, focus on the to the pure, all things are pure, is kind of like to me, everything
[00:33:15.960 --> 00:33:17.400]   is pure.
[00:33:17.400 --> 00:33:22.240]   And then to the defiled, if you're defiled, then everything is defiled, right?
[00:33:22.240 --> 00:33:24.880]   And then, I should have just not put this up.
[00:33:24.880 --> 00:33:28.120]   What other ways can you think of?
[00:33:28.120 --> 00:33:35.000]   Well, I'm just gonna give that one, is the, I remember somebody, I quote this, we were
[00:33:35.000 --> 00:33:39.640]   in a team meeting, and then somebody was complaining, and he was like, man, to the defiled, everything
[00:33:39.640 --> 00:33:40.640]   is defiled.
[00:33:40.640 --> 00:33:45.400]   So he was like, if you're a complainer, everything is gonna look bad to you, right?
[00:33:45.400 --> 00:33:50.240]   So they just use this as kind of saying, like, there is a subjective sense in which, depending
[00:33:50.240 --> 00:33:54.240]   on who, the focus is on depending on what you are and who you are and how you perceive
[00:33:54.240 --> 00:33:58.480]   things, everything is gonna not be sufficient, okay?
[00:33:58.480 --> 00:34:00.160]   So how does it, what's your perspective?
[00:34:00.160 --> 00:34:02.600]   Is everything pure, or is everything defiled?
[00:34:02.600 --> 00:34:03.600]   That's the way.
[00:34:03.600 --> 00:34:10.440]   That's another way.
[00:34:10.440 --> 00:34:17.320]   Any other creative uses of, to the pure, all things are pure, but to the defiled and unbelieving,
[00:34:17.320 --> 00:34:20.320]   nothing is pure.
[00:34:20.320 --> 00:34:24.680]   Any thoughts?
[00:34:24.680 --> 00:34:26.920]   Okay.
[00:34:26.920 --> 00:34:35.600]   Well, I just wanted to do that exercise to think about that a little bit, because again,
[00:34:35.600 --> 00:34:43.600]   with Apostle Paul using a proverbial statement to just your regular reading of it, it sounds
[00:34:43.600 --> 00:34:44.600]   pretty choppy.
[00:34:44.600 --> 00:34:46.340]   It really does.
[00:34:46.340 --> 00:34:50.640]   But once you realize what he's saying, you realize, wow, he's using that as a poignant
[00:34:50.640 --> 00:34:54.000]   attack on those who are false teachers.
[00:34:54.000 --> 00:34:59.280]   You look at it in context, and the false teachers are the Jews, right?
[00:34:59.280 --> 00:35:02.720]   He talks about how they're devoting themselves to Jewish myths.
[00:35:02.720 --> 00:35:07.640]   In previous section in the passage, he talks about those who are false teachers, especially
[00:35:07.640 --> 00:35:10.360]   the ones of the circumcision, right?
[00:35:10.360 --> 00:35:12.240]   Especially the ones of the circumcision.
[00:35:12.240 --> 00:35:17.360]   So in this passage, when you look at that, you wanna focus on who he's talking about
[00:35:17.360 --> 00:35:19.040]   when he uses this proverb.
[00:35:19.040 --> 00:35:23.800]   So you ask the difference, not so much on like, oh, what could this possibly relate
[00:35:23.800 --> 00:35:26.960]   to, but who he's specifically talking about.
[00:35:26.960 --> 00:35:32.520]   There is a clear contrast between those who are pure and then those who are defiled.
[00:35:32.520 --> 00:35:38.040]   And when you look at the terminology specifically, that term pure has a ceremonial aspect to
[00:35:38.040 --> 00:35:39.040]   it.
[00:35:39.040 --> 00:35:43.280]   What is acceptable ceremonially to God, right?
[00:35:43.280 --> 00:35:46.520]   Versus what is defiled ceremony before God.
[00:35:46.520 --> 00:35:53.520]   And so the huge contrast should be in thinking about those whom God deems to be acceptable
[00:35:53.520 --> 00:35:56.080]   versus those who God deems to be defiled.
[00:35:56.080 --> 00:36:02.200]   And so, you know, when we think about this, I'm gonna give a specific passage for you.
[00:36:02.200 --> 00:36:06.320]   Jesus speaks to it almost precisely in Matthew 15.
[00:36:06.320 --> 00:36:10.000]   For the sake of time, I'm just gonna give you the summary version of that.
[00:36:10.000 --> 00:36:16.800]   The Pharisees come to Jesus complaining, what is wrong and what is up with your disciples?
[00:36:16.800 --> 00:36:20.620]   Why are they eating with their hands without washing it thoroughly?
[00:36:20.620 --> 00:36:23.840]   Why aren't they doing the ceremonial act of cleansing themselves?
[00:36:23.840 --> 00:36:28.520]   30 people, and then Jesus gets very frustrated.
[00:36:28.520 --> 00:36:30.720]   What do you care?
[00:36:30.720 --> 00:36:33.320]   What do you care about ceremonial cleanliness?
[00:36:33.320 --> 00:36:38.680]   When you lie about what's being devoted to your parents and then you elevate the ceremonies
[00:36:38.680 --> 00:36:42.080]   of man, but you neglect everything about what's acceptable to God.
[00:36:42.080 --> 00:36:46.320]   And then he talks about the heart and he says, what goes into a man by your hand does not
[00:36:46.320 --> 00:36:52.680]   make you defiled, but everything about your heart produces everything that's defiled.
[00:36:52.680 --> 00:36:56.720]   All the adultery, the thievery, and falsehood.
[00:36:56.720 --> 00:36:59.400]   And that's exactly what he's talking about here.
[00:36:59.400 --> 00:37:03.240]   That when the heart is pure, then what is coming out is pure.
[00:37:03.240 --> 00:37:09.440]   But when you are defiled, everything that is coming out is unacceptable to the Lord.
[00:37:09.440 --> 00:37:12.040]   It's all defiled, right?
[00:37:12.040 --> 00:37:17.040]   So again, proverbial statement that's used very specifically to attack the false teachers.
[00:37:17.040 --> 00:37:21.920]   And he's essentially, you know, reminiscent and quoting almost the same thing what Jesus
[00:37:21.920 --> 00:37:24.240]   is talking about, okay?
[00:37:24.240 --> 00:37:29.880]   Alright, so with that being said, with all the proverbial statements, I just want to
[00:37:29.880 --> 00:37:30.880]   give a warning.
[00:37:30.880 --> 00:37:35.440]   Someone could be like, well, you know, is that just talking about the heart then and
[00:37:35.440 --> 00:37:37.240]   what about the actions, don't they matter?
[00:37:37.240 --> 00:37:38.760]   And it's like, of course they do.
[00:37:38.760 --> 00:37:45.960]   Remember, proverbial statements does not have an addressing of every possible what ifs.
[00:37:45.960 --> 00:37:53.400]   Apostle Paul is using a general summary statement to talk about a specific application, okay?
[00:37:53.400 --> 00:37:54.400]   Any questions?
[00:37:54.400 --> 00:38:03.200]   Alright, then let's move forward to our second genre that we want to talk about tonight,
[00:38:03.200 --> 00:38:05.800]   which is biblical narratives.
[00:38:05.800 --> 00:38:09.400]   Alright, biblical narratives.
[00:38:09.400 --> 00:38:13.480]   Please turn your Bible over to Luke chapter 1, verse 1 through 4.
[00:38:13.480 --> 00:38:19.840]   Luke chapter 1, verse 1 through 4.
[00:38:19.840 --> 00:38:26.920]   And I really appreciate it when essentially at the forefront of the book, the book itself
[00:38:26.920 --> 00:38:31.560]   tells you what is the intended purpose, okay?
[00:38:31.560 --> 00:38:39.160]   And it basically says here, "Inasmuch as many have undertaken to compile an account of the
[00:38:39.160 --> 00:38:43.640]   things accomplished among us, just as they were handed down to us by those who from the
[00:38:43.640 --> 00:38:48.520]   beginning were eyewitnesses and servants of the world, it seemed fitting for me as well,
[00:38:48.520 --> 00:38:52.600]   having investigated everything carefully from the beginning, to write it out for you in
[00:38:52.600 --> 00:38:58.120]   a consecutive order, most excellent Theophilus, so that you may know the exact truth about
[00:38:58.120 --> 00:39:00.400]   the things you have been taught."
[00:39:00.400 --> 00:39:01.400]   Okay?
[00:39:01.400 --> 00:39:03.200]   I'm going to read you another one.
[00:39:03.200 --> 00:39:04.680]   You don't have to turn there for the sake of time.
[00:39:04.680 --> 00:39:07.040]   It comes from John chapter 20, verse 31.
[00:39:07.040 --> 00:39:12.800]   "These things are written so that you may believe that Jesus is the Christ, the Son
[00:39:12.800 --> 00:39:17.800]   of God, and that by believing you may have life in His name."
[00:39:17.800 --> 00:39:18.800]   Okay?
[00:39:18.800 --> 00:39:25.080]   Remember how I talked about genre has elements of function, intent, and purpose.
[00:39:25.080 --> 00:39:31.520]   And the gospel writers has given us very explicit statements about its purpose and intent.
[00:39:31.520 --> 00:39:32.520]   Okay?
[00:39:32.520 --> 00:39:39.400]   Now, to give you a definition of biblical narratives, I want to say these three statements,
[00:39:39.400 --> 00:39:40.400]   okay?
[00:39:40.400 --> 00:39:47.360]   For your blanks, it is that biblical narratives are historical redemptive stories.
[00:39:47.360 --> 00:39:48.520]   Okay?
[00:39:48.520 --> 00:39:55.480]   Biblical narratives are historical redemptive stories.
[00:39:55.480 --> 00:40:01.640]   And those three key terms I'm going to use as headings to talk about how we should and
[00:40:01.640 --> 00:40:05.120]   should not interpret biblical narratives.
[00:40:05.120 --> 00:40:06.520]   Okay?
[00:40:06.520 --> 00:40:11.320]   First, we should definitely read the Old Testament and all the narrative portions of the New
[00:40:11.320 --> 00:40:14.640]   Testament as historical accounts.
[00:40:14.640 --> 00:40:15.760]   Okay?
[00:40:15.760 --> 00:40:17.920]   As historical accounts.
[00:40:17.920 --> 00:40:25.040]   Meaning simply just that you should read them as real accounts of history in factual terms.
[00:40:25.040 --> 00:40:26.080]   Okay?
[00:40:26.080 --> 00:40:27.640]   In factual terms.
[00:40:27.640 --> 00:40:35.160]   So in biblical narratives, it is absolutely okay for you to ask, "Wow, what was that historical
[00:40:35.160 --> 00:40:36.320]   event like?"
[00:40:36.320 --> 00:40:39.240]   So it's actually okay for you to read up history books.
[00:40:39.240 --> 00:40:45.120]   Actually, it is not just okay, but imperative that you look up their historical context,
[00:40:45.120 --> 00:40:51.760]   that you go back so that you drop down into their situation.
[00:40:51.760 --> 00:40:53.680]   What was the scenery like?
[00:40:53.680 --> 00:40:59.560]   If you're reading the story, an account of, you know, in our BCC class, I say this all
[00:40:59.560 --> 00:41:01.240]   the time.
[00:41:01.240 --> 00:41:04.920]   Everything surrounding Christ, there is so much historical evidence that if you were
[00:41:04.920 --> 00:41:10.040]   an actual historian, it would be unprofessional of you.
[00:41:10.040 --> 00:41:11.040]   Right?
[00:41:11.040 --> 00:41:16.120]   It would be so biased of you to deny the existence of Christ because so much history describes
[00:41:16.120 --> 00:41:17.680]   the events of that time.
[00:41:17.680 --> 00:41:23.000]   Well we have then the obligation to go back and think about what was their context?
[00:41:23.000 --> 00:41:24.080]   What was their culture?
[00:41:24.080 --> 00:41:25.880]   How did they use their terms?
[00:41:25.880 --> 00:41:26.880]   Right?
[00:41:26.880 --> 00:41:29.400]   What was the interaction like between certain people?
[00:41:29.400 --> 00:41:35.680]   If there's any historical details that would paint a better picture for you of that historical
[00:41:35.680 --> 00:41:37.680]   event, you must.
[00:41:37.680 --> 00:41:38.680]   Why?
[00:41:38.680 --> 00:41:40.760]   Because they're real events.
[00:41:40.760 --> 00:41:42.440]   They're real events.
[00:41:42.440 --> 00:41:46.800]   And I think that it would be beneficial for us to read it with that kind of faith because
[00:41:46.800 --> 00:41:53.120]   truthfully speaking, that continues to create for us awe and wonder because all the miracles,
[00:41:53.120 --> 00:41:57.560]   all of the dealings of God, all the sufferings of the people, all the redemptions of the
[00:41:57.560 --> 00:42:04.200]   people, all these things are historical actual events that have happened.
[00:42:04.200 --> 00:42:05.800]   Okay?
[00:42:05.800 --> 00:42:13.440]   However, however, because there are historical events, we should not be reading them as morally
[00:42:13.440 --> 00:42:15.540]   permissible things.
[00:42:15.540 --> 00:42:19.560]   We don't read the history of the kings of England and then be like, "That's what we
[00:42:19.560 --> 00:42:20.560]   should do."
[00:42:20.560 --> 00:42:21.560]   You know what I mean?
[00:42:21.560 --> 00:42:22.560]   Yeah, assassinate my enemy.
[00:42:22.560 --> 00:42:26.800]   Like, what are you going to do with that?
[00:42:26.800 --> 00:42:31.440]   But a lot of times because we're reading historical narrative, we automatically think like, "Well,
[00:42:31.440 --> 00:42:33.040]   it's there in the Bible.
[00:42:33.040 --> 00:42:34.040]   He did it."
[00:42:34.040 --> 00:42:37.240]   That's just like doing one of these like, "Well, MacArthur did it," you know?
[00:42:37.240 --> 00:42:39.120]   "Well, he did it."
[00:42:39.120 --> 00:42:41.960]   We know we shouldn't be doing that kind of stuff.
[00:42:41.960 --> 00:42:49.240]   Actually I want to say that we know that from biblical narrative, not only is it not necessarily
[00:42:49.240 --> 00:42:54.040]   good for us to follow everything as examples, but actually most of the characters in the
[00:42:54.040 --> 00:42:56.400]   Old Testament are riddled with sin.
[00:42:56.400 --> 00:42:57.400]   Right?
[00:42:57.400 --> 00:43:01.760]   And what's really funny, what's super duper funny is that, I'm just going to give you
[00:43:01.760 --> 00:43:04.280]   a ridiculous example, okay?
[00:43:04.280 --> 00:43:07.280]   I don't know if you guys remember the story, so I'm going to give it to you a little bit
[00:43:07.280 --> 00:43:10.600]   here in Genesis chapter 30 through 32.
[00:43:10.600 --> 00:43:17.040]   Because he loves, you know, Rachel so much, he is willing to stay super duper long with
[00:43:17.040 --> 00:43:19.440]   Laban to work his land.
[00:43:19.440 --> 00:43:22.520]   You know, he works seven years and another seven years and then grand total he's there
[00:43:22.520 --> 00:43:24.520]   like 20 years.
[00:43:24.520 --> 00:43:29.120]   During that time, he knows he's going to depart at some point or another, so he makes this
[00:43:29.120 --> 00:43:35.800]   deal like, "Hey, I've worked so hard and amassed this huge wealth of cattle and possessions
[00:43:35.800 --> 00:43:36.800]   and stuff.
[00:43:36.800 --> 00:43:39.000]   I'm just going to take all the blemished ones."
[00:43:39.000 --> 00:43:40.000]   Right?
[00:43:40.000 --> 00:43:45.160]   And then what essentially happens is, Jacob in his scheming, deceptive ways, he takes
[00:43:45.160 --> 00:43:50.200]   this certain kind of branch that's spotted and he puts it by the watering hole of the
[00:43:50.200 --> 00:43:51.200]   animals.
[00:43:51.200 --> 00:43:54.760]   And then anytime there was a strong, like muscular lamb, he'd be like, "Here, buddy.
[00:43:54.760 --> 00:43:55.760]   Here, buddy."
[00:43:55.760 --> 00:43:58.720]   And they would drink by the branch and then all of a sudden they'd come out all spotted.
[00:43:58.720 --> 00:43:59.720]   You know?
[00:43:59.720 --> 00:44:02.800]   Number one, I remember so many Koreans saying, "See?
[00:44:02.800 --> 00:44:06.600]   What you should do is put a nice picture, a very picture of a pretty girl or boy on
[00:44:06.600 --> 00:44:10.640]   the wall by your house so that every time you leave, you would look at it and then your
[00:44:10.640 --> 00:44:11.640]   babies would be beautiful."
[00:44:11.640 --> 00:44:12.640]   Right?
[00:44:12.640 --> 00:44:14.480]   Have you guys ever heard that?
[00:44:14.480 --> 00:44:15.480]   Is it just my mom?
[00:44:15.480 --> 00:44:18.720]   And I'm always like, "Don't worry.
[00:44:18.720 --> 00:44:19.720]   My kids are good looking."
[00:44:19.720 --> 00:44:20.720]   All right?
[00:44:20.720 --> 00:44:25.040]   There was some hilarious, ridiculous thing about what you look at, that's what your baby
[00:44:25.040 --> 00:44:26.360]   is going to be because from that story.
[00:44:26.360 --> 00:44:28.680]   And they would always quote that.
[00:44:28.680 --> 00:44:33.080]   Or somebody would always quote that story about how shrewd you should be, that it's
[00:44:33.080 --> 00:44:35.720]   okay to receive the best from what you're working at.
[00:44:35.720 --> 00:44:37.200]   If you're going to work, then get the best.
[00:44:37.200 --> 00:44:38.200]   You know?
[00:44:38.200 --> 00:44:39.880]   It's like, "Dang, I don't know if..."
[00:44:39.880 --> 00:44:45.520]   I mean, if you should work, yeah, you should be a worker that's due his wage, but to use
[00:44:45.520 --> 00:44:50.920]   that passage as a means to be like, "It's okay as long as you come out on top," that's
[00:44:50.920 --> 00:44:53.040]   kind of shady.
[00:44:53.040 --> 00:44:54.040]   You know what I'm saying?
[00:44:54.040 --> 00:45:02.120]   But the fact of the matter is you cannot use Old Testament stories as permissions or this
[00:45:02.120 --> 00:45:03.120]   is the way it ought to be.
[00:45:03.120 --> 00:45:08.520]   I'm going to be honest, there are a lot of people who say to the churches, "Hey, this
[00:45:08.520 --> 00:45:10.080]   is what happened in the New Testament.
[00:45:10.080 --> 00:45:12.960]   How come we're not doing that?"
[00:45:12.960 --> 00:45:16.280]   Because there was never any instruction that we should do this.
[00:45:16.280 --> 00:45:17.440]   It's a story.
[00:45:17.440 --> 00:45:19.480]   It's a story of what's happened.
[00:45:19.480 --> 00:45:20.560]   Right?
[00:45:20.560 --> 00:45:26.820]   And so I remember also even in a counseling setting, someone had made a certain promise
[00:45:26.820 --> 00:45:29.200]   and they're like, "I just got to keep it."
[00:45:29.200 --> 00:45:33.560]   And then they quoted the whole like Jephthah story, you know, Judges chapter...
[00:45:33.560 --> 00:45:36.360]   I don't have it.
[00:45:36.360 --> 00:45:42.040]   It's like later on, Judges chapter 20 some, and then Jephthah makes this vow like, "Anything
[00:45:42.040 --> 00:45:44.400]   that comes out of my house, I'm going to sacrifice."
[00:45:44.400 --> 00:45:47.800]   I mean, first and foremost, why would you ever say something like that?
[00:45:47.800 --> 00:45:51.960]   So I said, "Moral of the story actually is stop making silly vows, man.
[00:45:51.960 --> 00:45:55.560]   Scripture says stop making silly vows because you can't even promise.
[00:45:55.560 --> 00:45:58.000]   You know, let your yes be yes and your no be no.
[00:45:58.000 --> 00:46:01.120]   Who are you that you're going to promise things for tomorrow?"
[00:46:01.120 --> 00:46:05.160]   But then he used that by saying like, "Even though it's like a bad idea, I should just
