
[00:00:00.000 --> 00:00:02.340]   (footsteps)
[00:34:49.260 --> 00:34:52.540]   you know, I had such a passion for evangelism
[00:34:52.540 --> 00:34:55.100]   and I thought, "What can I do?"
[00:34:55.100 --> 00:34:56.660]   So I used to go on the street and evangelize
[00:34:56.660 --> 00:34:59.900]   and I had an idea that Fullerton College
[00:34:59.900 --> 00:35:01.860]   had a public speaking class.
[00:35:01.860 --> 00:35:03.980]   And I said, "If I take that class,
[00:35:03.980 --> 00:35:06.900]   "they give me three opportunities to preach."
[00:35:06.900 --> 00:35:09.180]   Well, not preach, but public speaking.
[00:35:09.180 --> 00:35:10.940]   To me, it was preaching.
[00:35:10.940 --> 00:35:11.940]   You know, so I got in there.
[00:35:11.940 --> 00:35:14.900]   I took that whole class for the purpose
[00:35:14.900 --> 00:35:17.820]   of sharing the gospel, right?
[00:35:17.820 --> 00:35:19.140]   And the whole class, I would say,
[00:35:19.140 --> 00:35:20.780]   "Man, you know, I would have to go
[00:35:20.780 --> 00:35:24.100]   "and talk to strangers, but the teacher
[00:35:24.100 --> 00:35:26.780]   "is giving me about seven minutes
[00:35:26.780 --> 00:35:29.180]   "with a captivated audience
[00:35:29.180 --> 00:35:32.740]   "and I preach the gospel three times to these people."
[00:35:32.740 --> 00:35:37.740]   So all I'm asking is to be sober, to be intentional.
[00:35:37.740 --> 00:35:39.740]   There's all kinds of, especially if you're a student,
[00:35:39.740 --> 00:35:41.740]   if you're coworkers, there's all kinds of stuff.
[00:35:41.740 --> 00:35:44.820]   If they ask you, "Well, how can you," don't say no, right?
[00:35:44.820 --> 00:35:48.300]   You can't share the gospel with people
[00:35:48.300 --> 00:35:50.060]   that you refuse to be friends with.
[00:35:50.900 --> 00:35:52.900]   Become their friends, right?
[00:35:52.900 --> 00:35:54.620]   You don't have, you're in the world,
[00:35:54.620 --> 00:35:56.180]   you're not of the world.
[00:35:56.180 --> 00:35:58.460]   So become friends with them, hang out with them.
[00:35:58.460 --> 00:36:01.300]   Don't just hang out in your Christian bubble
[00:36:01.300 --> 00:36:02.260]   and then when it's time to evangelize,
[00:36:02.260 --> 00:36:03.500]   you have nobody to evangelize with
[00:36:03.500 --> 00:36:04.740]   'cause you don't know any non-Christians.
[00:36:04.740 --> 00:36:07.780]   Get in the habit of integrating, right?
[00:36:07.780 --> 00:36:09.860]   Whether you're a student or you're a worker, right?
[00:36:09.860 --> 00:36:11.580]   So pray for those opportunities.
[00:36:11.580 --> 00:36:14.900]   And then pray specifically as we have
[00:36:14.900 --> 00:36:16.580]   the Easter coming up and every Easter,
[00:36:16.580 --> 00:36:18.860]   we try to remind you to be sober
[00:36:18.860 --> 00:36:21.820]   and we wanna do it early this year, right?
[00:36:21.820 --> 00:36:25.020]   We already have a lot of non-Christians coming to church
[00:36:25.020 --> 00:36:27.260]   and we're really excited because we see so many of you
[00:36:27.260 --> 00:36:30.020]   inviting your coworkers and friends and family members
[00:36:30.020 --> 00:36:31.660]   who aren't Christians coming to church
[00:36:31.660 --> 00:36:34.740]   and so we're excited to see that you're actively doing that.
[00:36:34.740 --> 00:36:39.740]   But this Easter is a Sunday that a lot of non-Christians
[00:36:39.740 --> 00:36:42.340]   and nominal Christians who may not be true believers,
[00:36:42.340 --> 00:36:45.060]   may be confused about their faith, they're willing to come.
[00:36:45.060 --> 00:36:46.860]   So take advantage of that, right?
[00:36:46.860 --> 00:36:48.020]   Redeem this opportunity.
[00:36:48.020 --> 00:36:50.140]   So really pray specifically.
[00:36:50.140 --> 00:36:52.460]   If there's people in your life that you would like to invite
[00:36:52.460 --> 00:36:54.780]   even if they don't come, at least if you invite them,
[00:36:54.780 --> 00:36:57.580]   that may break the ice to be able to share the gospel
[00:36:57.580 --> 00:36:59.860]   with them in the future, okay?
[00:36:59.860 --> 00:37:02.620]   So what I would like you to do is take that piece of paper
[00:37:02.620 --> 00:37:07.340]   that we gave you and again, I want you to write down
[00:37:07.340 --> 00:37:09.300]   like point one, point two, point three, point four
[00:37:09.300 --> 00:37:10.940]   and write down as much as you can.
[00:37:10.940 --> 00:37:12.300]   And then after you do that,
[00:37:12.300 --> 00:37:14.900]   we're gonna take some time to pray, right?
[00:37:14.900 --> 00:37:17.140]   And again, the reason why I asked you to do that
[00:37:17.140 --> 00:37:19.060]   is because if you're not in the habit of,
[00:37:19.060 --> 00:37:22.140]   you can match the things that I'm asking you to pray for.
[00:37:22.140 --> 00:37:24.700]   And so once you've done that, again, just like last time,
[00:37:24.700 --> 00:37:25.860]   we're gonna take about 15 minutes
[00:37:25.860 --> 00:37:27.980]   and I'm gonna give you some time to pray.
[00:37:27.980 --> 00:37:31.300]   You can pray out loud, you can pray quietly, right?
[00:37:31.300 --> 00:37:33.380]   But just pray, persevere in prayer.
[00:37:33.380 --> 00:37:37.740]   Even if after three minutes, like man, this is hard, right?
[00:37:37.740 --> 00:37:39.420]   Again, these are muscles that you need
[00:37:39.420 --> 00:37:41.240]   to get in the habit of doing.
[00:37:41.240 --> 00:37:43.180]   So sit there and persevere in prayer.
[00:37:45.060 --> 00:37:49.300]   So again, if you need a pen, go get it, it's in the back.
[00:37:49.300 --> 00:37:53.860]   Or if you don't and you have a phone,
[00:37:53.860 --> 00:37:55.020]   you wanna type it in your phone,
[00:37:55.020 --> 00:37:56.420]   just type it into your phone.
[00:37:56.420 --> 00:37:59.460]   And just write down as much as you can
[00:37:59.460 --> 00:38:01.380]   and I'm gonna give you about five, six minutes
[00:38:01.380 --> 00:38:03.620]   and after that, we're gonna take some time to pray
[00:38:03.620 --> 00:38:04.980]   and then the priest is gonna come up
[00:38:04.980 --> 00:38:07.860]   and lead us in a few worship songs.
[00:38:07.860 --> 00:38:09.420]   And then after that, Pastor Mark's gonna come
[00:38:09.420 --> 00:38:11.820]   and he's gonna lead us in corporal prayer, okay?
[00:38:11.820 --> 00:38:13.820]   Thank you.

