
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:13:47.640 --> 00:13:52.280]   The NLP community was still just waking up to the fact
[00:13:52.280 --> 00:13:54.480]   that deep learning was going to change everything.
[00:13:54.480 --> 00:13:57.040]   And the amazing thing about most machine learning attributes
[00:13:57.040 --> 00:13:58.620]   is it's another example of the bitter lesson
[00:13:58.620 --> 00:14:00.120]   that we were talking about earlier, right?
[00:14:00.120 --> 00:14:02.720]   General purpose learning methods at scale
[00:14:02.720 --> 00:14:05.080]   with large volumes of compute and data
[00:14:05.080 --> 00:14:06.960]   are often better than specialist systems.
[00:14:06.960 --> 00:14:08.880]   So if you understand that really well,
[00:14:08.880 --> 00:14:10.960]   you're probably at an advantage to someone
[00:14:10.960 --> 00:14:12.720]   who only understands the NLP side
[00:14:12.720 --> 00:14:14.440]   but doesn't understand that.
[00:14:14.440 --> 00:14:16.280]   I don't know if it's understanding so much as
[00:14:16.280 --> 00:14:16.780]   believe.
[00:14:16.780 --> 00:14:18.640]   [LAUGHTER]
[00:14:18.640 --> 00:14:19.520]   I think you're right.
[00:14:19.520 --> 00:14:20.360]   It's a bit of both.
[00:14:20.360 --> 00:14:21.360]   [LAUGHTER]
[00:14:21.360 --> 00:14:23.720]   Because I don't even think we fully understand it today.
[00:14:23.720 --> 00:14:24.680]   One leads to the other.
[00:14:24.680 --> 00:14:25.400]   Yes.
[00:14:25.400 --> 00:14:26.040]   Yes.
[00:14:26.040 --> 00:14:28.440]   That you take the evidence seriously.
[00:14:28.440 --> 00:14:28.960]   Yeah.
[00:14:28.960 --> 00:14:31.480]   And then you extend it out, and it still works.
[00:14:31.480 --> 00:14:33.360]   And you just keep going.
[00:14:33.360 --> 00:14:34.280]   Yeah, absolutely.
[00:14:34.280 --> 00:14:38.320]   So you got the time size wrong on the positive side.
[00:14:38.320 --> 00:14:39.760]   At the time, we were right, I think.
[00:14:39.760 --> 00:14:40.260]   Really?
[00:14:40.260 --> 00:14:41.240]   OK, yeah, yeah.
[00:14:41.240 --> 00:14:42.880]   And I know we were roughly right,
[00:14:42.880 --> 00:14:45.520]   because we were spending a lot of time speaking to OpenAI.
[00:14:45.520 --> 00:14:47.760]   And we were asking them, like, how many--
[00:14:47.760 --> 00:14:50.160]   they were sending us customers, and we were discussing it.
[00:14:50.160 --> 00:14:51.440]   We were asking about API usage, like,
[00:14:51.440 --> 00:14:52.860]   how many big companies are there?
[00:14:52.860 --> 00:14:54.880]   And there was a small number at the time.
[00:14:54.880 --> 00:14:56.560]   But it just rocketed since then.
[00:14:56.560 --> 00:14:57.320]   OK.
[00:14:57.320 --> 00:15:01.360]   So you were planning to build very closely in partnership
[00:15:01.360 --> 00:15:02.720]   with OpenAI.
[00:15:02.720 --> 00:15:04.960]   And we've always tried to keep close partnerships
[00:15:04.960 --> 00:15:06.880]   with all of the large language model providers.
[00:15:06.880 --> 00:15:10.200]   It's very clear that, whilst open source is fantastic,
[00:15:10.200 --> 00:15:13.080]   the very frontier is within private companies.
[00:15:13.080 --> 00:15:14.520]   And they are building the platforms
[00:15:14.520 --> 00:15:16.400]   that the rest of us are building on top of.
[00:15:16.400 --> 00:15:18.320]   And so not OpenAI specifically.
[00:15:18.320 --> 00:15:20.240]   Like, we're model and platform agnostic.
[00:15:20.240 --> 00:15:23.120]   But we want to help developers build useful applications
[00:15:23.120 --> 00:15:24.240]   with large language models.
[00:15:24.240 --> 00:15:25.760]   Whether that's OpenAI, or Cohere,
[00:15:25.760 --> 00:15:27.300]   or an open source model, or Anthropic,
[00:15:27.300 --> 00:15:28.280]   we don't mind.
[00:15:28.280 --> 00:15:30.640]   But being close to the model providers,
[00:15:30.640 --> 00:15:32.520]   make it easier for their customers to succeed,
[00:15:32.520 --> 00:15:33.680]   benefits them.
[00:15:33.680 --> 00:15:35.760]   And then we also get to learn from them
[00:15:35.760 --> 00:15:37.680]   about what problems people are facing,
[00:15:37.680 --> 00:15:39.440]   what they're planning to do in the future.
[00:15:39.440 --> 00:15:41.760]   So I think that all of the large language model providers
[00:15:41.760 --> 00:15:43.680]   are investing a lot in developer ecosystem,
[00:15:43.680 --> 00:15:45.040]   and not just being close to HumanLoop,
[00:15:45.040 --> 00:15:47.680]   but to anyone else who's making it easier for their customers.
[00:15:47.680 --> 00:15:48.080]   Yeah.
[00:15:48.080 --> 00:15:48.600]   Awesome.
[00:15:48.600 --> 00:15:49.100]   OK.
[00:15:49.100 --> 00:15:50.440]   So you started the company.
[00:15:50.440 --> 00:15:52.720]   How did you split things between the co-founders?
[00:15:52.720 --> 00:15:53.960]   It happened very organically.
[00:15:53.960 --> 00:15:56.360]   Remember, all on paper, we look really similar.
[00:15:56.360 --> 00:15:58.860]   Peter also has a PhD in machine learning, amazing engineer,
[00:15:58.860 --> 00:16:00.360]   previously been a CTO.
[00:16:00.360 --> 00:16:02.160]   Jordan has a master's in machine learning,
[00:16:02.160 --> 00:16:04.560]   he's a really good engineer as well.
[00:16:04.560 --> 00:16:05.880]   As we came to work on it, it just
[00:16:05.880 --> 00:16:08.480]   turned out we had natural strengths and interests that
[00:16:08.480 --> 00:16:09.800]   happened very, very organically.
[00:16:09.800 --> 00:16:11.360]   So Jordan is the kind of person who's
[00:16:11.360 --> 00:16:12.720]   got an amazing taste for product.
[00:16:12.720 --> 00:16:14.200]   He just notices things day to day.
[00:16:14.200 --> 00:16:16.600]   If he finds a product experience he really likes,
[00:16:16.600 --> 00:16:17.640]   you see his eyes light up.
[00:16:17.640 --> 00:16:19.640]   He's paying attention to it all the time.
[00:16:19.640 --> 00:16:21.680]   And so it made a lot of sense that he, over time,
[00:16:21.680 --> 00:16:24.240]   gravitated towards user experience, the design,
[00:16:24.240 --> 00:16:25.920]   actually thinking through the developer experience,
[00:16:25.920 --> 00:16:27.920]   and leading on product.
[00:16:27.920 --> 00:16:31.800]   Peter's got phenomenal stamina, and amazing engineering
[00:16:31.800 --> 00:16:33.760]   knowledge, and amazing attention to detail,
[00:16:33.760 --> 00:16:36.220]   and naturally gravitated towards taking on leading
[00:16:36.220 --> 00:16:37.440]   the engineering team.
[00:16:37.440 --> 00:16:38.320]   And I like doing this.
[00:16:38.320 --> 00:16:39.880]   I like chatting to people on podcasts.
[00:16:39.880 --> 00:16:42.360]   I like speaking to customers a lot.
[00:16:42.360 --> 00:16:44.200]   That's probably my favorite part of the job.
[00:16:44.200 --> 00:16:46.680]   And so naturally, I kind of ended up doing more of that
[00:16:46.680 --> 00:16:47.400]   work.
[00:16:47.400 --> 00:16:49.880]   But it wasn't that we sat down initially and said, OK,
[00:16:49.880 --> 00:16:52.320]   you're going to be the person who does sales and invest--
[00:16:52.320 --> 00:16:53.800]   it was much more organic than that.
[00:16:53.800 --> 00:16:54.360]   Yeah, yeah.
[00:16:54.360 --> 00:16:55.040]   Awesome.
[00:16:55.040 --> 00:16:56.500]   And you had to pick your customers.
[00:16:56.500 --> 00:16:58.280]   So what did you end up picking?
[00:16:58.280 --> 00:17:01.640]   So in the end, our customer changed dramatically
[00:17:01.640 --> 00:17:03.880]   when we launched the latest iteration of HumaLoop.
[00:17:03.880 --> 00:17:06.560]   When we decided to focus much more on large language models,
[00:17:06.560 --> 00:17:08.680]   we suddenly went from a world in which we're building
[00:17:08.680 --> 00:17:10.840]   predominantly for machine learning engineers, people
[00:17:10.840 --> 00:17:13.840]   who knew a lot about ML, maybe had research backgrounds,
[00:17:13.840 --> 00:17:16.080]   to building for generalist software engineers who
[00:17:16.080 --> 00:17:17.440]   are much more product-focused.
[00:17:17.440 --> 00:17:18.040]   Yeah, engineers.
[00:17:18.040 --> 00:17:19.600]   Something that some people, I think,
[00:17:19.600 --> 00:17:21.320]   would refer to as an AI engineer.
[00:17:21.320 --> 00:17:22.400]   So I've heard.
[00:17:22.400 --> 00:17:24.440]   And these are people who are much more
[00:17:24.440 --> 00:17:26.760]   focused on the outcome, on the product experience,
[00:17:26.760 --> 00:17:28.280]   on building something useful.
[00:17:28.280 --> 00:17:31.640]   And they're much more ambivalent towards the means
[00:17:31.640 --> 00:17:32.800]   that achieve the end.
[00:17:32.800 --> 00:17:34.840]   And that works out as a much better customer for a tooling
[00:17:34.840 --> 00:17:36.600]   provider as well, because they don't fight you
[00:17:36.600 --> 00:17:37.680]   to build everything themselves.
[00:17:37.680 --> 00:17:38.600]   They want good tools.
[00:17:38.600 --> 00:17:40.040]   And they're happy to pay for them,
[00:17:40.040 --> 00:17:41.960]   because they're trying to get to a good outcome
[00:17:41.960 --> 00:17:43.360]   as quickly as possible.
[00:17:43.360 --> 00:17:46.600]   So we found a much better reception amongst that audience
[00:17:46.600 --> 00:17:48.760]   and also that we could add a lot more value to them,
[00:17:48.760 --> 00:17:51.760]   because we could bake in best practices and knowledge we had.
[00:17:51.760 --> 00:17:53.600]   And that would make their lives much easier.
[00:17:53.600 --> 00:17:56.080]   And they didn't need to know so much about machine learning.
[00:17:56.080 --> 00:17:57.240]   Where do you find them?
[00:17:57.240 --> 00:17:59.440]   Because this was in early 2021.
[00:17:59.440 --> 00:18:00.200]   Yeah.
[00:18:00.200 --> 00:18:02.960]   There were no chat GPT forums.
[00:18:02.960 --> 00:18:05.800]   It wasn't a widely discussed topic on Twitter.
[00:18:05.800 --> 00:18:08.360]   Where do you find these early adopter types?
[00:18:08.360 --> 00:18:11.000]   So we could see some people using GPT-3.
[00:18:11.000 --> 00:18:13.080]   And so we would directly reach out to companies
[00:18:13.080 --> 00:18:14.840]   that were building on GPT-3.
[00:18:14.840 --> 00:18:17.440]   And in the early days, when we first did it,
[00:18:17.440 --> 00:18:20.200]   before we did the pivot, we gave ourselves a two-week sales
[00:18:20.200 --> 00:18:20.760]   experiment.
[00:18:20.760 --> 00:18:23.200]   We said, let's take our designs and our initial idea,
[00:18:23.200 --> 00:18:26.160]   and let's see if we can get 10 paying customers in two weeks.
[00:18:26.160 --> 00:18:27.480]   And on the second day, we had 10--
[00:18:27.480 --> 00:18:28.800]   Paying for what, specifically?
[00:18:28.800 --> 00:18:31.800]   So we were just pitching them on being part of a development
[00:18:31.800 --> 00:18:32.400]   partnership.
[00:18:32.400 --> 00:18:34.640]   So we said, we're building a tool that
[00:18:34.640 --> 00:18:36.240]   will help you with prompt engineering
[00:18:36.240 --> 00:18:38.560]   and evaluating how good your prompts are.
[00:18:38.560 --> 00:18:39.800]   This is what it looks like.
[00:18:39.800 --> 00:18:41.360]   We're looking for design partners.
[00:18:41.360 --> 00:18:43.680]   It costs this much to be a design partner.
[00:18:43.680 --> 00:18:46.040]   And on the second day, we already had 10.
[00:18:46.040 --> 00:18:46.720]   Amazing.
[00:18:46.720 --> 00:18:48.520]   And so we were like, OK, there's a real problem here.
[00:18:48.520 --> 00:18:50.120]   Because people were feeling the pain.
[00:18:50.120 --> 00:18:51.960]   And they were showing us their jerry-rigged solutions
[00:18:51.960 --> 00:18:52.720]   for this.
[00:18:52.720 --> 00:18:54.840]   They were showing us how they would stitch together
[00:18:54.840 --> 00:18:57.760]   Excel spreadsheets, and Grafana, and Mixpanel,
[00:18:57.760 --> 00:19:00.280]   and the OpenAI Playground in these very
[00:19:00.280 --> 00:19:03.560]   kludgy pipelines to somehow quickly iterate on prompts,
[00:19:03.560 --> 00:19:05.720]   version them, collaborate as a team,
[00:19:05.720 --> 00:19:08.640]   find some way to measure things that were very subjective.
[00:19:08.640 --> 00:19:10.440]   And so we were like, OK, actually, there's
[00:19:10.440 --> 00:19:12.400]   a very clear need here.
[00:19:12.400 --> 00:19:13.720]   Let's go help these people.
[00:19:13.720 --> 00:19:14.520]   Yeah, excellent.
[00:19:14.520 --> 00:19:16.800]   So what is HumanLoop today?
[00:19:16.800 --> 00:19:18.920]   Yeah, so at its core, we help engineers
[00:19:18.920 --> 00:19:23.440]   to measure and optimize LLM applications,
[00:19:23.440 --> 00:19:26.440]   in particular, helping them do prompt engineering, management,
[00:19:26.440 --> 00:19:27.720]   and then evaluation.
[00:19:27.720 --> 00:19:29.360]   So evaluation is particularly difficult
[00:19:29.360 --> 00:19:31.040]   for large language models, because they
[00:19:31.040 --> 00:19:33.160]   tend to be used for much more subjective applications
[00:19:33.160 --> 00:19:35.080]   than traditional machine learning, definitely
[00:19:35.080 --> 00:19:36.080]   than traditional software.
[00:19:36.080 --> 00:19:38.600]   If you're coming from a pure software, non-ML background,
[00:19:38.600 --> 00:19:39.760]   then the first thing you have to learn
[00:19:39.760 --> 00:19:41.100]   when you start working with LLMs
[00:19:41.100 --> 00:19:44.400]   is this stuff is stochastic, which I think most people are
[00:19:44.400 --> 00:19:45.080]   not used to.
[00:19:45.080 --> 00:19:47.160]   So just playing with software that every time you run it
[00:19:47.160 --> 00:19:49.360]   is different, and you can't just write unit tests,
[00:19:49.360 --> 00:19:51.480]   is the first kind of painful lesson.
[00:19:51.480 --> 00:19:53.960]   But then it turns out that a big piece of these applications
[00:19:53.960 --> 00:19:55.240]   ends up in prompts.
[00:19:55.240 --> 00:19:57.280]   And these are natural language instructions,
[00:19:57.280 --> 00:19:59.440]   but they're having similar impact to what code has.
[00:19:59.440 --> 00:20:01.720]   So they need to be treated with the importance of code.
[00:20:01.720 --> 00:20:04.560]   And so iterating on that, managing it, versioning it,
[00:20:04.560 --> 00:20:06.360]   evaluating it, those are the problems
[00:20:06.360 --> 00:20:08.360]   that HumanLoop helps engineers with today.
[00:20:08.360 --> 00:20:10.020]   And in particular, we tend to be focused
[00:20:10.020 --> 00:20:13.480]   on companies that are at a certain scale,
[00:20:13.480 --> 00:20:16.320]   because one of the challenges that-- one,
[00:20:16.320 --> 00:20:17.880]   they tend to care more about evaluation.
[00:20:17.880 --> 00:20:19.000]   I think if you're a two-person startup,
[00:20:19.000 --> 00:20:20.540]   you sort of build something quick MVP
[00:20:20.540 --> 00:20:22.120]   and you YOLO it into production.
[00:20:22.120 --> 00:20:23.520]   But larger companies need to have
[00:20:23.520 --> 00:20:25.200]   some confidence of the product experience
[00:20:25.200 --> 00:20:26.680]   before they launch something.
[00:20:26.680 --> 00:20:29.200]   And also what we've found is that there's a lot more
[00:20:29.200 --> 00:20:31.840]   collaboration between engineers and non-engineers,
[00:20:31.840 --> 00:20:35.400]   between product managers and domain experts who
[00:20:35.400 --> 00:20:37.660]   are involved in the design, the prompt engineering,
[00:20:37.660 --> 00:20:40.460]   the evaluation, but are maybe not the engineering part.
[00:20:40.460 --> 00:20:42.040]   And they have to work together nicely.
[00:20:42.040 --> 00:20:44.440]   So giving them the right tools has been a really important
[00:20:44.440 --> 00:20:45.160]   part as well.
[00:20:45.160 --> 00:20:46.000]   Yeah.
[00:20:46.000 --> 00:20:47.760]   Something I've often talked about
[00:20:47.760 --> 00:20:50.560]   with other startups in this space is who is the buyer?
[00:20:50.560 --> 00:20:51.080]   Yeah.
[00:20:51.080 --> 00:20:52.640]   Because you talked about collaboration
[00:20:52.640 --> 00:20:56.080]   between the engineer and the PM or whoever.
[00:20:56.080 --> 00:20:58.760]   And it's not clear sometimes.
[00:20:58.760 --> 00:20:59.880]   Do you have a clear answer?
[00:20:59.880 --> 00:21:02.160]   It varies highly on company stage.
[00:21:02.160 --> 00:21:04.280]   So in the early days when we started HumanLoop,
[00:21:04.280 --> 00:21:05.680]   you said, where do we find our customers?
[00:21:05.680 --> 00:21:06.960]   They were all startups and scale-ups,
[00:21:06.960 --> 00:21:09.200]   because those were the only people building with GPT-3
[00:21:09.200 --> 00:21:10.200]   more than a year ago.
[00:21:10.200 --> 00:21:11.720]   There was no large companies.
[00:21:11.720 --> 00:21:13.960]   And there, it was always founder, CTO.
[00:21:13.960 --> 00:21:15.480]   Even if there were 10, 20-person companies,
[00:21:15.480 --> 00:21:17.000]   series A companies, always founder
[00:21:17.000 --> 00:21:18.840]   who was speaking to, reaching out to us,
[00:21:18.840 --> 00:21:19.880]   who was helping build it.
[00:21:19.880 --> 00:21:22.640]   So an example here, one of our earliest customers was Mem.
[00:21:22.640 --> 00:21:25.560]   And it was Dennis at Mem who was the person we were speaking to.
[00:21:25.560 --> 00:21:27.200]   Now that we're at a bit more at scale
[00:21:27.200 --> 00:21:29.000]   and we're speaking to larger companies,
[00:21:29.000 --> 00:21:30.440]   it's a little bit more varied.
[00:21:30.440 --> 00:21:33.960]   Surprisingly, it's still quite often senior management
[00:21:33.960 --> 00:21:35.520]   that first speaks to us.
[00:21:35.520 --> 00:21:38.040]   So with Duolingo, it was Severin, the CTO,
[00:21:38.040 --> 00:21:40.440]   was actually our first contact.
[00:21:40.440 --> 00:21:41.360]   Just inbound.
[00:21:41.360 --> 00:21:42.360]   Inbound.
[00:21:42.360 --> 00:21:45.240]   But increasingly now, it's people
[00:21:45.240 --> 00:21:48.080]   who are engineers who are actually working on projects.
[00:21:48.080 --> 00:21:50.920]   So it's like a senior staff engineer or something like that
[00:21:50.920 --> 00:21:52.640]   will reach out, book a demo.
[00:21:52.640 --> 00:21:54.440]   They'll probably sign up first and have a play.
[00:21:54.440 --> 00:21:55.760]   But then they tend to book a demo
[00:21:55.760 --> 00:21:58.360]   because they want to discuss data privacy
[00:21:58.360 --> 00:22:00.160]   and how things will be rolled out
[00:22:00.160 --> 00:22:03.120]   and going beyond just individual usage.
[00:22:03.120 --> 00:22:05.920]   But that's the usual flow, is we see them sign up.
[00:22:05.920 --> 00:22:06.880]   Sometimes we reach out to them.
[00:22:06.880 --> 00:22:08.400]   Often they'll reach out to us.
[00:22:08.400 --> 00:22:09.640]   And then the conversation starts.
[00:22:09.640 --> 00:22:10.520]   Yeah, yeah.
[00:22:10.520 --> 00:22:11.240]   Awesome.
[00:22:11.240 --> 00:22:14.360]   For people who want to get a better sense of Humaloop,
[00:22:14.360 --> 00:22:16.880]   the company, I think the website does a fantastic job
[00:22:16.880 --> 00:22:17.720]   of explaining it.
[00:22:17.720 --> 00:22:18.120]   Thank you.
[00:22:18.120 --> 00:22:19.320]   We're always working on it.
[00:22:19.320 --> 00:22:21.000]   It must have put in quite a lot of work.
[00:22:21.000 --> 00:22:23.720]   So it says here, Humaloop application platform
[00:22:23.720 --> 00:22:26.680]   includes a playground, monitoring, deployment,
[00:22:26.680 --> 00:22:29.640]   A/B testing, prop manager, evaluation, data store,
[00:22:29.640 --> 00:22:30.880]   and fine tuning.
[00:22:30.880 --> 00:22:32.240]   And based on our chat earlier, it
[00:22:32.240 --> 00:22:35.360]   seems like evaluation is kind of the more beta one that's
[00:22:35.360 --> 00:22:37.040]   in sort of like a private beta.
[00:22:37.040 --> 00:22:37.680]   That's correct, yeah.
[00:22:37.680 --> 00:22:39.080]   So we have evaluation and private.
[00:22:39.400 --> 00:22:41.320]   There's always been some aspect of evaluation.
[00:22:41.320 --> 00:22:43.200]   It was actually the first problem
[00:22:43.200 --> 00:22:44.840]   that we were solving for customers.
[00:22:44.840 --> 00:22:47.360]   But evaluation in Humaloop early on
[00:22:47.360 --> 00:22:50.720]   was driven entirely by end user feedback.
[00:22:50.720 --> 00:22:52.360]   So if you're building an LLM app,
[00:22:52.360 --> 00:22:53.960]   there's probably three different places
[00:22:53.960 --> 00:22:55.360]   where evaluation matters a lot.
[00:22:55.360 --> 00:22:57.040]   There's the evaluation that you need
[00:22:57.040 --> 00:22:59.320]   when you're iterating in design, and you haven't got something
[00:22:59.320 --> 00:23:00.320]   in production yet.
[00:23:00.320 --> 00:23:01.400]   But you just need feedback.
[00:23:01.400 --> 00:23:03.480]   As you're making changes, are you making things better?
[00:23:03.480 --> 00:23:04.640]   You're iterating on prompts.
[00:23:04.640 --> 00:23:07.320]   You're iterating on the context, trying out different models.
[00:23:07.320 --> 00:23:10.280]   How do you know that the changes are actually improving things?
[00:23:10.280 --> 00:23:12.680]   Then once you're in production, there's
[00:23:12.680 --> 00:23:15.640]   sort of a form of evaluation you need for monitoring.
[00:23:15.640 --> 00:23:17.440]   It seemed to work when I was in development,
[00:23:17.440 --> 00:23:19.280]   but now I'm putting a whole bunch of different customer
[00:23:19.280 --> 00:23:20.280]   inputs through it.
[00:23:20.280 --> 00:23:22.600]   Is it still performing the way that I expect it?
[00:23:22.600 --> 00:23:23.680]   And then the last one is something
[00:23:23.680 --> 00:23:26.140]   like equivalent to integration tests or something like this.
[00:23:26.140 --> 00:23:27.720]   Every time you make a change, how
[00:23:27.720 --> 00:23:30.100]   do you know you're not making it worse on the things that
[00:23:30.100 --> 00:23:31.000]   are already there?
[00:23:31.000 --> 00:23:33.080]   And so I think we always had a really good version
[00:23:33.080 --> 00:23:35.280]   of the monitoring user feedback version.
[00:23:35.280 --> 00:23:37.760]   But what we were missing was support for offline evaluation
[00:23:37.760 --> 00:23:39.840]   and being able to do evaluation during development
[00:23:39.840 --> 00:23:41.120]   or regression testing.
[00:23:41.120 --> 00:23:43.880]   And we're going to be launching something for that very soon.
[00:23:43.880 --> 00:23:45.880]   This is slightly unintuitive to me,
[00:23:45.880 --> 00:23:48.560]   because I would typically just assume all three
[00:23:48.560 --> 00:23:50.760]   are the same evals.
[00:23:50.760 --> 00:23:53.760]   Yeah, so they can't necessarily be the same evals just
[00:23:53.760 --> 00:23:58.480]   because you don't have the user feedback at the time
[00:23:58.480 --> 00:23:59.640]   that you're in development.
[00:23:59.640 --> 00:24:00.680]   I'm not thinking about user feedback.
[00:24:00.680 --> 00:24:02.100]   I'm just thinking about validating
[00:24:02.100 --> 00:24:03.280]   the output that you get.
[00:24:03.280 --> 00:24:04.720]   Yeah, so you're validating in similar ways.
[00:24:04.720 --> 00:24:06.560]   But if you're doing a really subjective task,
[00:24:06.560 --> 00:24:08.560]   then I think the only real ground truth
[00:24:08.560 --> 00:24:10.600]   is what your customers say is the right answer.
[00:24:10.600 --> 00:24:12.720]   If you're building copilot, do the customers
[00:24:12.720 --> 00:24:14.760]   accept the code suggestions or not?
[00:24:14.760 --> 00:24:16.920]   That is the thing that ultimately matters.
[00:24:16.920 --> 00:24:19.640]   And you can only have proxies for that in development.
[00:24:19.640 --> 00:24:22.400]   And so that was why those two things end up being different.
[00:24:22.400 --> 00:24:23.040]   Yeah.
[00:24:23.040 --> 00:24:26.520]   And in terms of the quality of feedback--
[00:24:26.520 --> 00:24:28.720]   so we did an episode with Amplitude,
[00:24:28.720 --> 00:24:32.520]   which is an analytics platform dedicated for collecting
[00:24:32.520 --> 00:24:34.280]   this kind of behavioral feedback.
[00:24:34.280 --> 00:24:35.760]   And you mentioned copilot.
[00:24:35.760 --> 00:24:38.000]   There was a very famous post about reverse engineering
[00:24:38.000 --> 00:24:41.200]   copilot that shows you the degree of feedback.
[00:24:41.200 --> 00:24:43.840]   I think typically when people implement these things,
[00:24:43.840 --> 00:24:45.840]   they implement it as a sort of thumbs up,
[00:24:45.840 --> 00:24:48.200]   thumbs down sort of binary feedback
[00:24:48.200 --> 00:24:52.280]   until you find that nobody does those feedback.
[00:24:52.280 --> 00:24:54.200]   I barely used the up/down on chat GPT.
[00:24:54.200 --> 00:24:56.040]   Yeah, so this was something we learned really
[00:24:56.040 --> 00:24:58.240]   early on in building Human Loop.
[00:24:58.240 --> 00:25:00.760]   And the feedback aspects of Human Loop
[00:25:00.760 --> 00:25:03.440]   were very customer-driven.
[00:25:03.440 --> 00:25:04.680]   So the people who were getting--
[00:25:04.680 --> 00:25:06.480]   amongst our early users, the people who were getting
[00:25:06.480 --> 00:25:09.000]   traction and who had built something that was working well
[00:25:09.000 --> 00:25:11.640]   had jerry-rigged some version of feedback collection
[00:25:11.640 --> 00:25:13.160]   and improvement themselves.
[00:25:13.160 --> 00:25:15.520]   And they were pushing for something better here.
[00:25:15.520 --> 00:25:18.440]   And they all were collecting usually three types
[00:25:18.440 --> 00:25:18.960]   of feedback.
[00:25:18.960 --> 00:25:20.480]   And Human Loop supports all three of these.
[00:25:20.480 --> 00:25:22.400]   So you have the thumbs up, thumbs down type feedback
[00:25:22.400 --> 00:25:23.760]   that you just described.
[00:25:23.760 --> 00:25:24.880]   You don't get much of it.
[00:25:24.880 --> 00:25:27.160]   It's useful when you get it, but you don't get that much.
[00:25:27.160 --> 00:25:28.280]   And then the other form of feedback--
[00:25:28.280 --> 00:25:29.560]   so we call that votes.
[00:25:29.560 --> 00:25:30.920]   And then you have actions.
[00:25:30.920 --> 00:25:33.720]   And these are the implicit signals of user feedback.
[00:25:33.720 --> 00:25:35.480]   So I can give a concrete example here.
[00:25:35.480 --> 00:25:37.560]   There's a company I really like called Pseudowrite.
[00:25:37.560 --> 00:25:39.640]   And Pseudowrite, founded by James Yu,
[00:25:39.640 --> 00:25:42.600]   and they're building an editor experience for fiction writers
[00:25:42.600 --> 00:25:43.360]   that helps them.
[00:25:43.360 --> 00:25:45.640]   So as they're writing their stories or novels,
[00:25:45.640 --> 00:25:46.480]   there's a sidebar.
[00:25:46.480 --> 00:25:47.840]   And you can highlight text.
[00:25:47.840 --> 00:25:50.040]   And you can say, help me come up with a different way
[00:25:50.040 --> 00:25:52.600]   of saying this or in a more evocative way.
[00:25:52.600 --> 00:25:54.520]   There's many different features built in.
[00:25:54.520 --> 00:25:57.840]   And they had built in early on analytics around,
[00:25:57.840 --> 00:25:59.520]   does the user accept a suggestion?
[00:25:59.520 --> 00:26:02.280]   Do they refresh and regenerate multiple times?
[00:26:02.280 --> 00:26:04.080]   How much do they edit the suggestion
[00:26:04.080 --> 00:26:05.880]   before including it in their story?
[00:26:05.880 --> 00:26:07.360]   Do they then share that?
[00:26:07.360 --> 00:26:09.200]   And all of those implicit signals
[00:26:09.200 --> 00:26:11.320]   correlate really well with the quality
[00:26:11.320 --> 00:26:12.440]   of the model or the prompt.
[00:26:12.440 --> 00:26:14.520]   And they were running experiments all the time
[00:26:14.520 --> 00:26:15.400]   to make these better.
[00:26:15.400 --> 00:26:17.920]   And you could just see it in their traction figures.
[00:26:17.920 --> 00:26:20.280]   As they figured out the right prompts, the right features,
[00:26:20.280 --> 00:26:22.280]   the things that people were actually including,
[00:26:22.280 --> 00:26:25.720]   the product became much more loved by their users.
[00:26:25.720 --> 00:26:26.480]   Was there a third?
[00:26:26.480 --> 00:26:27.360]   You said there was--
[00:26:27.360 --> 00:26:29.680]   And the third one is corrections.
[00:26:29.680 --> 00:26:31.480]   So this helps particularly when you
[00:26:31.480 --> 00:26:33.600]   want to do fine tuning later on.
[00:26:33.600 --> 00:26:36.480]   So anywhere you're exposing generated text to a user
[00:26:36.480 --> 00:26:38.360]   and they can edit it before using it,
[00:26:38.360 --> 00:26:39.400]   then that's worth logging.
[00:26:39.400 --> 00:26:41.860]   So a concrete example here is we have a couple of customers
[00:26:41.860 --> 00:26:43.240]   who do sales email generation.
[00:26:43.240 --> 00:26:44.480]   And they generate a draft.
[00:26:44.480 --> 00:26:45.600]   Someone edits it.
[00:26:45.600 --> 00:26:47.040]   And then they send the draft.
[00:26:47.040 --> 00:26:49.320]   And so they capture the edited drafts.
[00:26:49.320 --> 00:26:53.160]   And I think a lot of this is sort of preemptive.
[00:26:53.160 --> 00:26:56.400]   They don't necessarily use that captured data immediately.
[00:26:56.400 --> 00:26:59.480]   But it's there if they want it for fine tuning,
[00:26:59.480 --> 00:27:02.880]   for validating prompt changes, and anything like that.
[00:27:02.880 --> 00:27:03.720]   Exactly.
[00:27:03.720 --> 00:27:04.220]   Exactly.
[00:27:04.220 --> 00:27:05.600]   It's data that you want to have.
[00:27:05.600 --> 00:27:07.760]   And you want to have it in an accessible way such
[00:27:07.760 --> 00:27:09.340]   that you can improve things over time.
[00:27:09.340 --> 00:27:09.840]   Yeah.
[00:27:09.840 --> 00:27:13.200]   And you have a UI to expose it.
[00:27:13.200 --> 00:27:14.880]   But do you think that people use that UI?
[00:27:14.880 --> 00:27:18.480]   Or do they prefer to export it to, I don't know, Excel?
[00:27:18.480 --> 00:27:21.640]   Or how do people like to consume their data
[00:27:21.640 --> 00:27:23.280]   once they've captured it?
