
[00:00:00.000 --> 00:00:02.920]   (soft piano music)
[00:33:28.860 --> 00:33:37.860]   Eventually, I came to understand that I needed to make a decision to put my trust in him, confess my sins, repent of my life, and trust in his grace.
[00:33:37.860 --> 00:33:39.860]   I did this when I was 19 years old.
[00:33:39.860 --> 00:33:44.860]   During my teenage years, I was very unhappy with no real friends.
[00:33:44.860 --> 00:33:48.860]   I could be very critical and negative and would say hurtful words to those I loved.
[00:33:48.860 --> 00:33:58.860]   I found it hard to show or receive affection, I was hypersensitive to criticism, and would sink into depressive thoughts at the slightest negative experience.
[00:33:58.860 --> 00:34:02.860]   The friends I made at the fellowship group were the first real friends that I had.
[00:34:02.860 --> 00:34:07.860]   I think that their example and those of the youth leaders helped me to understand what love was.
[00:34:07.860 --> 00:34:12.860]   Experiencing at first hand the love of those who had Jesus in their hearts lifted me up.
[00:34:12.860 --> 00:34:23.860]   1 John 4, verses 7-12 reads, "Dear friends, let us love one another, for love comes from God.
[00:34:23.860 --> 00:34:26.860]   Everyone who loves has been born of God and knows God.
[00:34:26.860 --> 00:34:30.860]   Whoever does not love does not know God, because God is love.
[00:34:30.860 --> 00:34:32.860]   This is how God showed us his love among us.
[00:34:32.860 --> 00:34:36.860]   He sent his one and only Son into the world that we might live through him.
[00:34:36.860 --> 00:34:42.860]   This is love, not that we loved God, but that he loved us and sent his Son as an atoning sacrifice for our sins.
[00:34:42.860 --> 00:34:46.860]   Dear friends, since God so loved us, we also ought to love one another.
[00:34:46.860 --> 00:34:52.860]   No one has ever seen God, but if we love one another, God lives in us and his love is made complete in us."
[00:34:52.860 --> 00:35:01.860]   Understanding God's love demonstrated on the cross by Jesus' sacrifice for me, his love which was freely given and undeserved,
[00:35:01.860 --> 00:35:07.860]   God loved me first, and because of his sacrificial and unselfish love, I must have worth in his eyes.
[00:35:07.860 --> 00:35:10.860]   My new identity was rooted in his love.
[00:35:10.860 --> 00:35:18.860]   Over time I changed. My instinct was no longer to hurt or discourage, but to try and be constructive, encouraging, and more loving.
[00:35:18.860 --> 00:35:26.860]   As I said earlier, I was 19 when I put my trust in Jesus, and I wish I could say that ever since then I've been consistent and obedient in my faith.
[00:35:26.860 --> 00:35:34.860]   The truth of the matter is that there have been times I have stagnated and followed my own path, as well as times when I have drawn close and relied totally on him.
[00:35:34.860 --> 00:35:38.860]   I am constantly amazed at my capacity to sin and be selfish.
[00:35:38.860 --> 00:35:44.860]   I am a sinner, and yet I have hope as God has shown me his mercy and cleansed me with his grace.
[00:35:44.860 --> 00:35:47.860]   I cannot imagine going through this life without him.
[00:35:47.860 --> 00:35:53.860]   He has blessed me in so many ways. He has given me friends and mentors who have encouraged and disciplined me.
[00:35:53.860 --> 00:35:58.860]   He led me to Japan to live and serve with the OMF International, where I met my wife.
[00:35:58.860 --> 00:36:03.860]   In the tough times of sickness or uncertainty in a foreign land, he has been my comfort.
[00:36:03.860 --> 00:36:07.860]   When I came to America, he provided a job and community.
[00:36:07.860 --> 00:36:19.860]   He walked hand in hand with me and my wife in our struggle to have a family of our own.
[00:36:19.860 --> 00:36:24.860]   He blessed us with our two boys, Matthew and Sam. God is good.
[00:36:24.860 --> 00:36:33.860]   I grew up in the Presbyterian tradition and was sprinkled as an infant and then confirmed in my teens.
[00:36:33.860 --> 00:36:35.860]   Later I committed myself to Christ and was saved.
[00:36:35.860 --> 00:36:39.860]   At that time I did not perceive the requirement to be baptized as a believer.
[00:36:39.860 --> 00:36:41.860]   Recently I was confronted with my pride.
[00:36:41.860 --> 00:36:46.860]   As I studied God's word, my understanding and the importance of the ordinance of baptism has changed.
[00:36:46.860 --> 00:36:52.860]   So today I seek to satisfy the command of scripture and fulfill all righteousness and be baptized.
[00:36:52.860 --> 00:36:53.860]   Thank you.
[00:36:53.860 --> 00:37:04.860]   [Applause]
[00:37:17.860 --> 00:37:20.860]   Alan, do you understand when you're going into the water you're being united to Christ's death,
[00:37:20.860 --> 00:37:23.860]   and when you come out you're being united to his resurrected life?
[00:37:23.860 --> 00:37:24.860]   I do.
[00:37:24.860 --> 00:37:28.860]   And I baptize you in the name of the Father, the Son, and the Holy Spirit.
[00:37:28.860 --> 00:37:45.860]   [Applause]
[00:37:45.860 --> 00:37:48.860]   Alright, thank you Alan for that great testimony.
[00:37:48.860 --> 00:37:53.860]   We have to put his head down a little bit further so he doesn't get sprinkled again.
[00:37:53.860 --> 00:37:55.860]   [Laughter]
[00:37:55.860 --> 00:38:01.860]   Alright, if you can turn your Bibles with me to Luke chapter 6.
[00:38:01.860 --> 00:38:04.860]   We're going to be reading from verse 39 through 45.
[00:38:04.860 --> 00:38:07.860]   We're going to be in the text for a few weeks.
[00:38:07.860 --> 00:38:10.860]   Luke chapter 6, verse 39 to 45.
[00:38:14.860 --> 00:38:17.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:17.860 --> 00:38:20.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:20.860 --> 00:38:23.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:23.860 --> 00:38:26.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:27.860 --> 00:38:30.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:30.860 --> 00:38:33.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:33.860 --> 00:38:36.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:36.860 --> 00:38:39.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:39.860 --> 00:38:42.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:42.860 --> 00:38:45.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:45.860 --> 00:38:48.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:48.860 --> 00:38:51.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:51.860 --> 00:38:54.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:54.860 --> 00:38:57.860]   [Reading Luke 6 verse 39-40 on screen]
[00:38:57.860 --> 00:39:00.860]   [Reading Luke 6 verse 39-40 on screen]
[00:39:00.860 --> 00:39:03.860]   [Reading Luke 6 verse 39-40 on screen]
[00:39:03.860 --> 00:39:06.860]   [Reading Luke 6 verse 39-40 on screen]
[00:39:06.860 --> 00:39:09.860]   [Reading Luke 6 verse 39-40 on screen]
[00:39:09.860 --> 00:39:12.860]   [Reading Luke 6 verse 39-40 on screen]
[00:39:12.860 --> 00:39:15.860]   [Reading Luke 6 verse 39-40 on screen]
[00:39:15.860 --> 00:39:18.860]   Let's pray.
[00:39:18.860 --> 00:39:23.860]   Father, we pray for your Holy Spirit's illumination.
[00:39:23.860 --> 00:39:26.860]   Soften our hearts, open our ears.
[00:39:26.860 --> 00:39:29.860]   That we may hear your word.
[00:39:29.860 --> 00:39:33.860]   And that it would mold us, guide us, direct us, and build us.
[00:39:33.860 --> 00:39:37.860]   We entrust this time to you, Father. In Jesus' name we pray. Amen.
[00:39:37.860 --> 00:39:42.860]   [Silence]
[00:39:42.860 --> 00:39:49.860]   If you see someone who is acting childish, right?
[00:39:49.860 --> 00:39:53.860]   Maybe an adult that is maybe playing too much video games.
[00:39:53.860 --> 00:39:56.860]   Or maybe the way you're acting.
[00:39:56.860 --> 00:39:59.860]   And usually we would say in rebuke, "How old are you?"
[00:39:59.860 --> 00:40:02.860]   And we ask that question basically saying that you shouldn't be acting like that.
[00:40:02.860 --> 00:40:04.860]   You should be more mature than that.
[00:40:04.860 --> 00:40:09.860]   And so if you see a child maybe acting a certain way in junior high school,
[00:40:09.860 --> 00:40:13.860]   but then he's acting the same way in college, and then he's acting the same way after that,
[00:40:13.860 --> 00:40:15.860]   it's like, "How come you're not maturing?"
[00:40:15.860 --> 00:40:19.860]   So we expect people to physically mature in the way they handle things,
[00:40:19.860 --> 00:40:24.860]   in the way that they talk, the responsibility that they hold.
[00:40:24.860 --> 00:40:31.860]   And so if their life doesn't match the age and the responsibility that they have,
[00:40:31.860 --> 00:40:36.860]   automatically, again, they get rebuked or friends will be concerned.
[00:40:36.860 --> 00:40:41.860]   When it comes to spiritual matters, do we not expect the same thing?
[00:40:41.860 --> 00:40:48.860]   But in our culture, it has become normal for somebody who's been a Christian
[00:40:48.860 --> 00:40:53.860]   for 10, 20, 30, 40 years, and yet do not know anything more about their faith
[00:40:53.860 --> 00:40:56.860]   than they did when they first became Christians.
[00:40:56.860 --> 00:41:01.860]   So what was okay in the first year of your salvation, second year of your salvation,
[00:41:01.860 --> 00:41:04.860]   I don't know the scripture, what am I supposed to do, where's the Old Testament,
[00:41:04.860 --> 00:41:08.860]   where's the New Testament, but after about 30, 40 years,
[00:41:08.860 --> 00:41:11.860]   and you're still saying if somebody asks you a question, "Well, I don't know.
[00:41:11.860 --> 00:41:13.860]   I asked my pastor."
[00:41:13.860 --> 00:41:16.860]   And if that's the level of maturity that you have in your faith,
[00:41:16.860 --> 00:41:19.860]   again, something has gone wrong.
[00:41:19.860 --> 00:41:22.860]   It's just like two people getting into a covenant relationship, and they get married,
[00:41:22.860 --> 00:41:27.860]   and then they go back home, and outside of the paper that they signed,
[00:41:27.860 --> 00:41:30.860]   and outside of the community that acknowledges that they've been married,
[00:41:30.860 --> 00:41:34.860]   that that person is living his life like he did before he was married.
[00:41:34.860 --> 00:41:37.860]   And we say something has terribly gone wrong.
[00:41:37.860 --> 00:41:40.860]   God expects maturity.
[00:41:40.860 --> 00:41:44.860]   That when we first become Christians, that we move on toward maturity.
[00:41:44.860 --> 00:41:47.860]   In fact, the author of Hebrews 5, 12-14 says,
[00:41:47.860 --> 00:41:51.860]   "For though by this time you ought to be teachers,
[00:41:51.860 --> 00:41:56.860]   you have need again for someone to teach you the elementary principles of the oracles of God."
[00:41:56.860 --> 00:42:00.860]   In other words, you don't know anything more about your faith than when you first started,
[00:42:00.860 --> 00:42:04.860]   and you have come to need milk and not solid food.
[00:42:04.860 --> 00:42:08.860]   For everyone who partakes only of milk is not accustomed to the word of righteousness,
[00:42:08.860 --> 00:42:11.860]   for he is an infant.
[00:42:11.860 --> 00:42:15.860]   Milk is crucial when you're an infant,
[00:42:15.860 --> 00:42:19.860]   but if you're still drinking milk by the time you are two or three or four,
[00:42:19.860 --> 00:42:21.860]   you know something has gone wrong.
[00:42:21.860 --> 00:42:25.860]   And if you're still drinking only milk by the time you're five or six or seven,
[00:42:25.860 --> 00:42:28.860]   you may even have to be taken to the hospital.
[00:42:28.860 --> 00:42:31.860]   Something is wrong. It's going to impede your development.
[00:42:31.860 --> 00:42:35.860]   He said, "If that's all you can handle, you're just an infant,
[00:42:35.860 --> 00:42:37.860]   but solid food is for the mature,
[00:42:37.860 --> 00:42:42.860]   who because of practice have their senses trained to discern good and evil."
[00:42:42.860 --> 00:42:47.860]   Now, he's saying what he is saying in the text that we're reading because of what he has just said.
[00:42:47.860 --> 00:42:53.860]   For the last three weeks, we've been studying about Jesus' central command to love your neighbor.
[00:42:53.860 --> 00:42:57.860]   And to be more specific than that, to love your enemies,
[00:42:57.860 --> 00:43:00.860]   to good to those who are persecuting you,
[00:43:00.860 --> 00:43:02.860]   to bless those who curse you,
[00:43:02.860 --> 00:43:05.860]   pray for those who are out to get you.
[00:43:05.860 --> 00:43:10.860]   And he said this is not something that an immature Christian would ever consider doing.
[00:43:10.860 --> 00:43:12.860]   If you are an infant in your faith,
[00:43:12.860 --> 00:43:17.860]   the idea of even liking somebody that you don't feel comfortable with,
[00:43:17.860 --> 00:43:19.860]   you wouldn't even entertain that.
[00:43:19.860 --> 00:43:24.860]   So basically, Jesus is challenging the hearers to move on to maturity.
[00:43:24.860 --> 00:43:30.860]   That we need to continue to move on and someone who has practiced righteousness
[00:43:30.860 --> 00:43:33.860]   so that they are able to discern what is good and bad.
[00:43:33.860 --> 00:43:40.860]   An infant would perfectly satisfy living their life, picking and choosing who they like, who they don't like.
[00:43:40.860 --> 00:43:45.860]   So in the context that we're looking at, verse 39 to 45, that we're going to be on in a few weeks,
[00:43:45.860 --> 00:43:49.860]   Jesus tells us, if you were to look at it in a negative way,
[00:43:49.860 --> 00:43:53.860]   three different things that impedes maturity.
[00:43:53.860 --> 00:43:57.860]   What is the obstacle? Why are people not maturing?
[00:43:57.860 --> 00:43:59.860]   Or if you want to look at it in a positive way,
[00:43:59.860 --> 00:44:03.860]   what are the elements that are necessary for us to mature in our faith
[00:44:03.860 --> 00:44:06.860]   so that we may practice what Jesus has just taught us.
[00:44:06.860 --> 00:44:12.860]   To love our enemies and to give ourselves to people who are difficult for us to give to.
[00:44:12.860 --> 00:44:19.860]   So initially, I intended, I started this sermon thinking that we're going to cover all of this this week,
[00:44:19.860 --> 00:44:22.860]   but there's so much information on the first topic.
[00:44:22.860 --> 00:44:24.860]   I wanted to take some time to cover this.
[00:44:24.860 --> 00:44:30.860]   And so the first thing, the three things that he tells us that we're going to be covering in the next few weeks is,
[00:44:30.860 --> 00:44:34.860]   one, that we need to have right leadership.
[00:44:34.860 --> 00:44:38.860]   That's the first one. That's what we're going to be covering today in verse 39 and 40.
[00:44:38.860 --> 00:44:43.860]   And then second, that the focus of our sanctification, our maturity, has to be ourselves.
[00:44:43.860 --> 00:44:47.860]   Before we are concerned about what's going on outside of us.
[00:44:47.860 --> 00:44:52.860]   And third, the focus of our sanctification, our spiritual growth, has to be inward first.
[00:44:52.860 --> 00:44:57.860]   What we do outwardly is an out product of what is happening inside.
[00:44:57.860 --> 00:45:03.860]   So those are the three things that he mentions that in order for us to move on to maturity that we need to address.
[00:45:03.860 --> 00:45:07.860]   And so today, we're going to be focused on leadership.
[00:45:07.860 --> 00:45:13.860]   Again, as I mentioned, the Bible has so much on this topic that I can probably spend the next few months just talking about this,
[00:45:13.860 --> 00:45:18.860]   just combing through the verses on the subject of leadership.
[00:45:18.860 --> 00:45:24.860]   After he teaches this very difficult teaching of loving your neighbors, your enemies,
[00:45:24.860 --> 00:45:28.860]   he says in verse 39 to 40, and he also spoke a parable to them,
[00:45:28.860 --> 00:45:32.860]   "A blind man cannot guide a blind man, can he?
[00:45:32.860 --> 00:45:35.860]   Will they not both fall into a pit?
[00:45:35.860 --> 00:45:41.860]   A pupil is not above his teacher, but everyone after he has been fully trained will be like his teacher."
[00:45:41.860 --> 00:45:43.860]   So there's two things that he mentions here.
[00:45:43.860 --> 00:45:49.860]   One, it is an indictment against the leaders of Israel that they are blind.
[00:45:49.860 --> 00:45:55.860]   And the reason why Israel has fallen into a pit is because their leadership is also blind.
[00:45:55.860 --> 00:46:00.860]   And the reason why the things that Jesus is saying is so difficult for them to swallow
[00:46:00.860 --> 00:46:05.860]   is because they've been taught and they've been led by false leaders of Israel.
[00:46:05.860 --> 00:46:08.860]   The second aspect of it was that people is not above his teacher,
[00:46:08.860 --> 00:46:11.860]   but everyone after he has been fully trained will be like his teacher.
[00:46:11.860 --> 00:46:18.860]   That we ought to have proper focus on who this leader is, that we would become like that leader.
[00:46:18.860 --> 00:46:22.860]   So we're going to be focused on those two things that he mentions in these two verses.
[00:46:22.860 --> 00:46:27.860]   First, the clear indictment against the nation of Israel, the leadership.
[00:46:27.860 --> 00:46:34.860]   In Matthew 23, 2-7, he says, "The scribes and the Pharisees, who are the leaders of Israel,
[00:46:34.860 --> 00:46:39.860]   have seated themselves in the chair of Moses," meaning that they sit as teachers,
[00:46:39.860 --> 00:46:45.860]   who are teaching the Word of God, "Therefore, all that they tell you, do and observe."
[00:46:45.860 --> 00:46:47.860]   In other words, obey the Word of God.
[00:46:47.860 --> 00:46:52.860]   "But do not do according to their deeds, for they say things and do not do them.
[00:46:52.860 --> 00:46:57.860]   Listen to what they have to say, but do not practice what they practice."
[00:46:57.860 --> 00:47:00.860]   He says, "They tie up heavy burdens and lay them on men's shoulders,
[00:47:00.860 --> 00:47:04.860]   but they themselves are unwilling to move them with so much as a finger."
[00:47:04.860 --> 00:47:09.860]   So if you have leaders and teachers who are just teaching them what the Bible says,
[00:47:09.860 --> 00:47:15.860]   and yet they do not practice it, all they're doing is burdening them with what you ought to be doing.
[00:47:15.860 --> 00:47:21.860]   And so that's what he's describing, somebody who is constantly learning what they should be doing,
[00:47:21.860 --> 00:47:23.860]   without ever being practiced.
[00:47:23.860 --> 00:47:28.860]   So they're laying, week after week, month after month, year after year,
[00:47:28.860 --> 00:47:34.860]   a burden of what they should be doing, without ever truly finding freedom.
[00:47:34.860 --> 00:47:37.860]   And he said that's happening because these leaders are doing that.
[00:47:37.860 --> 00:47:42.860]   "They do all their deeds," he says, "to be noticed by men."
[00:47:42.860 --> 00:47:45.860]   Everything that they do is for themselves.
[00:47:45.860 --> 00:47:48.860]   Even as they teach, it's so that they can be recognized.
[00:47:48.860 --> 00:47:52.860]   They broaden their phylacteries, lengthen the tassels of their garments.
[00:47:52.860 --> 00:47:54.860]   All for show.
[00:47:54.860 --> 00:47:58.860]   "They love the place of honor at banquets and chief seats in the synagogues,
[00:47:58.860 --> 00:48:03.860]   and respectful greetings in the marketplace, and being called 'rabbi' by men."
[00:48:03.860 --> 00:48:08.860]   Now, if you think that was harsh, that's just the introduction.
[00:48:08.860 --> 00:48:12.860]   I was debating whether I should read this or not, but this section is too long.
[00:48:12.860 --> 00:48:17.860]   But the real indictment comes after that, in chapter 23, verse 13 to 16.
[00:48:17.860 --> 00:48:19.860]   He gives the eight woes.
[00:48:19.860 --> 00:48:22.860]   "Woe to you, leaders of Israel, woe to you."
[00:48:22.860 --> 00:48:25.860]   So there are separate eight woes.
[00:48:25.860 --> 00:48:28.860]   But in each of these woes, with the exception of one, he begins by saying,
[00:48:28.860 --> 00:48:35.860]   "Woe to you, hypocrites. Woe to you, hypocrites. Woe to you, hypocrites."
[00:48:35.860 --> 00:48:39.860]   And he says this seven separate times.
[00:48:39.860 --> 00:48:48.860]   So the underlying problem that Israelites were facing was they have leaders who are hypocrites.
[00:48:48.860 --> 00:48:56.860]   And a hypocrite basically is another word for an actor, somebody who is pretending to be somebody.
[00:48:56.860 --> 00:49:01.860]   Like, I don't know about you, but when I was young, my idol was Fonzie.
[00:49:01.860 --> 00:49:03.860]   Some of you guys who are a little bit older know who I'm talking about.
[00:49:03.860 --> 00:49:06.860]   So he was on Happy Days. He was the cool guy.
[00:49:06.860 --> 00:49:08.860]   He snaps his fingers and the girls would come to him.
[00:49:08.860 --> 00:49:11.860]   He's wearing a leather jacket, riding a motorcycle.
[00:49:11.860 --> 00:49:15.860]   And he's a tiny guy, but he would beat up everybody who came against him.
[00:49:15.860 --> 00:49:18.860]   And so he was the cool guy.
[00:49:18.860 --> 00:49:19.860]   So I thought, "Wow."
[00:49:19.860 --> 00:49:22.860]   Me and all my friends wanted to be like Fonzie.
[00:49:22.860 --> 00:49:25.860]   We were going around saying, "Hey."
[00:49:25.860 --> 00:49:28.860]   And then I saw another movie called Night Shift.
[00:49:28.860 --> 00:49:30.860]   And Fonzie's real name is Henry Winkler.
[00:49:30.860 --> 00:49:38.860]   And he played this frantic, constantly concerned about his outlook.
[00:49:38.860 --> 00:49:41.860]   So a complete opposite of who he was.
[00:49:41.860 --> 00:49:47.860]   I remember being confused as a young kid because it completely destroyed my image of Fonzie.
[00:49:47.860 --> 00:49:50.860]   Like, which is Fonzie? Which is the right guy?
[00:49:50.860 --> 00:49:53.860]   Obviously, he was just playing a role.
[00:49:53.860 --> 00:49:56.860]   Neither of them is actually him.
[00:49:56.860 --> 00:50:02.860]   But we have a tendency to look at the presentation that they have and say, "Oh, that's who he is."
[00:50:02.860 --> 00:50:04.860]   That's what an actor is. That's what a hypocrite is.
[00:50:04.860 --> 00:50:10.860]   A hypocrite is somebody who puts on a mask because he wants you to see him a certain way.
[00:50:10.860 --> 00:50:16.860]   And so he keeps saying over and over again to the nation of Israel that your leaders are hypocrites.
[00:50:16.860 --> 00:50:19.860]   They're hypocrites. They're hypocrites. Hypocrites.
[00:50:19.860 --> 00:50:27.860]   In fact, the primary problem that Israel was in the pits, in the spiritual state that they were in,
[00:50:27.860 --> 00:50:31.860]   is because their leaders who are blind led them into a pit.
[00:50:31.860 --> 00:50:33.860]   The blind was leading the blind.
[00:50:33.860 --> 00:50:35.860]   This is not new to the New Testament.
[00:50:35.860 --> 00:50:37.860]   We see this all in the Old Testament.
[00:50:37.860 --> 00:50:46.860]   In Jeremiah 6, 13-14, he says, "For from the least of them, even to the greatest of them, everyone is greedy for gain.
[00:50:46.860 --> 00:50:50.860]   And from prophet, even to the priest, everyone deals falsely.
[00:50:50.860 --> 00:50:56.860]   They have healed the brokenness of my people superficially, saying, 'Peace, peace,' but there is no peace."
[00:50:56.860 --> 00:51:02.860]   Now, the reason why they were saying, "Peace, peace," is because they were there for themselves.
[00:51:02.860 --> 00:51:05.860]   They weren't really concerned about the nation of Israel.
[00:51:05.860 --> 00:51:10.860]   If they were concerned about the nation of Israel, their primary problem was that they were sinning.
[00:51:10.860 --> 00:51:13.860]   They were rebelling against God.
[00:51:13.860 --> 00:51:16.860]   But they weren't in leadership because they were concerned about Israel.
[00:51:16.860 --> 00:51:20.860]   They were in leadership because they wanted glory. They wanted attention.
[00:51:20.860 --> 00:51:28.860]   So, in order to garner the affections of the nation, they had to give them what they wanted to hear.
[00:51:28.860 --> 00:51:34.860]   Just like Paul says to Timothy, that there's going to come a time when people are going to gather around themselves,
[00:51:34.860 --> 00:51:39.860]   leaders, who are not going to tell you the truth, but they're going to tickle their ears.
[00:51:39.860 --> 00:51:42.860]   And the reason why they're tickling their ears is because they want your affection.
[00:51:42.860 --> 00:51:46.860]   They want your approval. They want your honor.
[00:51:46.860 --> 00:51:52.860]   This is not new to the New Testament. God says that that was the problem with the Israelites.
[00:51:52.860 --> 00:51:55.860]   Their leaders were blind, leading them into a pit.
[00:51:55.860 --> 00:52:00.860]   In Jeremiah 23, 21, it says, "I did not send these prophets, but they ran.
[00:52:00.860 --> 00:52:04.860]   I did not speak to them, but they prophesied."
[00:52:04.860 --> 00:52:06.860]   I didn't even send them.
[00:52:06.860 --> 00:52:10.860]   What they're telling you has nothing to do with me.
[00:52:10.860 --> 00:52:18.860]   You know, today, if somebody wants to become a leader or a pastor, this is how simple it is.
[00:52:18.860 --> 00:52:21.860]   I want to be a pastor. I want to be able to teach.
[00:52:21.860 --> 00:52:24.860]   I was part of a campus ministry, and I really like leading people.
[00:52:24.860 --> 00:52:26.860]   This is what I want to do the rest of my life.
[00:52:26.860 --> 00:52:30.860]   And so I choose to go to seminary.
[00:52:30.860 --> 00:52:34.860]   And then when you get into seminary, you become a leader.
[00:52:34.860 --> 00:52:40.860]   Now, in all my life and hundreds of friends that I've had,
[00:52:40.860 --> 00:52:45.860]   I've never seen a single person get rejected from seminary. Not one.
[00:52:45.860 --> 00:52:50.860]   No matter what their character, no matter what their background, no matter what it is that they bring,
[00:52:50.860 --> 00:52:53.860]   if they say they want to go, they just go.
[00:52:53.860 --> 00:52:57.860]   If you know anybody that's been rejected by seminary, let me know.
[00:52:57.860 --> 00:52:59.860]   Because I've never heard of one.
[00:52:59.860 --> 00:53:01.860]   You just have to want to go.
[00:53:01.860 --> 00:53:03.860]   And if you want to go, you go.
[00:53:03.860 --> 00:53:07.860]   And once you go, because you're in seminary and you were trained in the Bible,
[00:53:07.860 --> 00:53:13.860]   you become a leader and you'll find a pulpit, you'll find a ministry somewhere that will welcome you in.
[00:53:13.860 --> 00:53:16.860]   And once you get in, eventually you'll get ordained,
[00:53:16.860 --> 00:53:19.860]   because you need to get ordained in order for you to run the church.
[00:53:19.860 --> 00:53:23.860]   And that's how simple it is to come into ministry.
[00:53:23.860 --> 00:53:27.860]   Let's say if I wanted to move church, right?
[00:53:27.860 --> 00:53:32.860]   And I decided, you know what, I want to go and see what's out there.
[00:53:32.860 --> 00:53:34.860]   And this is how usually it works.
[00:53:34.860 --> 00:53:36.860]   I will send out a resume.
[00:53:36.860 --> 00:53:41.860]   Basically, my resume is my education, my experiences, and what I've done.
[00:53:41.860 --> 00:53:43.860]   And basically, I send that out.
[00:53:43.860 --> 00:53:48.860]   And if they like what they see, they'll call me in, basically ask me to give a couple sermons.
[00:53:48.860 --> 00:53:53.860]   And I go to the church and if I give a sermon, if they like my sermon, I become their pastor.
[00:53:53.860 --> 00:53:56.860]   To lead the ministry, to represent Christ.
[00:53:56.860 --> 00:53:57.860]   And it's that simple.
[00:53:57.860 --> 00:54:03.860]   If somebody gives a good sermon that they like, that the congregation likes, you get voted and then you come in.
[00:54:03.860 --> 00:54:05.860]   There's no testing of character.
[00:54:05.860 --> 00:54:08.860]   There's no testing of background.
[00:54:08.860 --> 00:54:10.860]   You don't even do a credit check.
[00:54:10.860 --> 00:54:14.860]   To get a job at some of you guys, you need to have a decent credit.
[00:54:14.860 --> 00:54:15.860]   There's no credit check.
[00:54:15.860 --> 00:54:18.860]   You just have to want to do it and you're in.
[00:54:18.860 --> 00:54:25.860]   And so we have pulpits filled with people that will say, "I didn't send these people.
[00:54:25.860 --> 00:54:28.860]   They were never with me.
[00:54:28.860 --> 00:54:30.860]   And yet they are representing me."
[00:54:30.860 --> 00:54:34.860]   There's a reason when John the Baptist came on the scene, he didn't enter into Jerusalem.
[00:54:34.860 --> 00:54:36.860]   Remember, he was out in the wilderness.
[00:54:36.860 --> 00:54:41.860]   He was the first prophet that broke in after hundreds of years of silence.
[00:54:41.860 --> 00:54:47.860]   And instead of going to the epicenter of the Jewish religion, he ends up going to the outskirts.
[00:54:47.860 --> 00:54:58.860]   If you wanted to get baptized by him and hear from God, you had to leave the epicenter of the religious structure and go out into the wilderness.
[00:54:58.860 --> 00:55:05.860]   In the same way, when Jesus comes on the scene, takes the baton, Jesus goes even further out, way over to Galilee.
[00:55:05.860 --> 00:55:14.860]   So if you wanted to hear from him, you had to get on your horse or whatever you rode, and you had to go all the way up to Galilee to hear from him, to hear from God.
[00:55:14.860 --> 00:55:15.860]   That was not by accident.
[00:55:15.860 --> 00:55:20.860]   Basically, that was an indictment against the religious system of that time, that God has rejected all of them.
[00:55:20.860 --> 00:55:24.860]   The leadership, the temple worship, all of it had nothing to do with God.
[00:55:24.860 --> 00:55:28.860]   They were blind leading the blind.
[00:55:28.860 --> 00:55:35.860]   I started ministry in an immigrant church, the English ministry of a Korean-speaking first-generation congregation.
[00:55:35.860 --> 00:55:45.860]   I remember going to a conference where all the second-generation ministers, not just Korean, but Chinese, Mexican, and all different nationalities.
[00:55:45.860 --> 00:55:50.860]   We were all English-speaking people within an immigrant church.
[00:55:50.860 --> 00:55:59.860]   The whole conference was about the difficulties and the conflict that we run into because we can't speak the language or the culture is different than the English-speaking people.
[00:55:59.860 --> 00:56:05.860]   I remember it was so fascinating because every problem that we faced, they faced the same thing.
[00:56:05.860 --> 00:56:10.860]   Because there was a disconnect with the first generation.
[00:56:10.860 --> 00:56:17.860]   The problem that I saw in the immigrant church was because there was a disconnect with the first generation, with the adults,
[00:56:17.860 --> 00:56:22.860]   whoever became a pastor in the English-speaking ministry, you function like the senior pastor.
[00:56:22.860 --> 00:56:30.860]   Whether you were 20 or 25 or 30, without any training, without any guidance, once you got in, you're the senior pastor.
[00:56:30.860 --> 00:56:37.860]   The problem that they created was a lot of young kids were raising other kids.
[00:56:37.860 --> 00:56:40.860]   There weren't adults involved.
[00:56:40.860 --> 00:56:44.860]   Now, we can say that I wasn't raised in an immigrant church, so I didn't experience that.
[00:56:44.860 --> 00:56:55.860]   The problem with our generation today in the secular world is that if you're in business, you know that whatever it is that you're doing,
[00:56:55.860 --> 00:57:01.860]   in order for you to be successful, you need to market a lot of these things to younger kids.
[00:57:01.860 --> 00:57:05.860]   Because they're the ones who are moving about. They're the ones spending money. They're doing new things.
[00:57:05.860 --> 00:57:10.860]   Old people, you get money, you put it in the bank.
[00:57:10.860 --> 00:57:14.860]   They already have homes, so they don't tend to spend a lot of money.
