
[00:00:00.000 --> 00:00:03.240]   All right, everybody.
[00:23:51.580 --> 00:23:57.660]   It is not even appropriate for an individual to have received such grace, and yet their
[00:23:57.660 --> 00:24:01.220]   heart be filled with such complaint," right?
[00:24:01.220 --> 00:24:02.940]   That's what we're talking about.
[00:24:02.940 --> 00:24:12.780]   Now, as we think about this then, here is an interesting connection here, okay?
[00:24:12.780 --> 00:24:18.020]   And so again, whenever you guys do observations, I broke it down into these outlines for you
[00:24:18.020 --> 00:24:24.980]   guys, but the way I do these outlines is always simply by observing these transitions of thought.
[00:24:24.980 --> 00:24:29.780]   So earlier, if I saw a "for," then I was like, "Okay, this is a new paragraph."
[00:24:29.780 --> 00:24:34.340]   Or if I saw "but," then I realized, "Okay, he's contrasting two thoughts."
[00:24:34.340 --> 00:24:38.620]   And then over here, when he says, "So that," I got to ask myself the question, "Is this
[00:24:38.620 --> 00:24:41.180]   purpose?
[00:24:41.180 --> 00:24:44.500]   Is this just simply an effect that he wants to see?
[00:24:44.500 --> 00:24:45.500]   What is this?"
[00:24:45.500 --> 00:24:46.500]   Right?
[00:24:46.500 --> 00:24:50.700]   And this is really interesting, and he says, "I want you to walk in this manner appropriate
[00:24:50.700 --> 00:24:55.820]   to the gospel, worthy of the gospel, so that I can see and I can hear this.
[00:24:55.820 --> 00:25:02.380]   Whether I actually come out or whether I don't come out, I want to see and hear this in you."
[00:25:02.380 --> 00:25:04.700]   What does Apostle Paul want to see?
[00:25:04.700 --> 00:25:07.880]   And whenever you're doing your study and you see a laundry list of stuff, then you want
[00:25:07.880 --> 00:25:10.460]   to make sure you highlight that and you count it.
[00:25:10.460 --> 00:25:15.460]   First, he says, "I want to make sure that you're standing firm in one spirit, with one
[00:25:15.460 --> 00:25:23.140]   mind, striving together for the gospel."
[00:25:23.140 --> 00:25:27.980]   And as we see that, the things that Apostle Paul wants to see, is there any pattern?
[00:25:27.980 --> 00:25:30.540]   Is there any kind of emphasis here?
[00:25:30.540 --> 00:25:32.260]   And of course we see that.
[00:25:32.260 --> 00:25:34.380]   We see the term, this kind of military term.
[00:25:34.380 --> 00:25:37.420]   Yes, you're supposed to be strong, you're supposed to stand against these opponents,
[00:25:37.420 --> 00:25:42.580]   and you're supposed to hold your ground, but you're supposed to do that in one spirit,
[00:25:42.580 --> 00:25:43.580]   right?
[00:25:43.580 --> 00:25:45.580]   You're supposed to have one mind.
[00:25:45.580 --> 00:25:48.380]   This term literally means soul, okay?
[00:25:48.380 --> 00:25:53.540]   One mind, and what you're supposed to be doing with one mind is striving together, that you're
[00:25:53.540 --> 00:25:55.580]   actually laboring.
[00:25:55.580 --> 00:26:00.260]   You're trying and you're putting forth that effort, pursuing what?
[00:26:00.260 --> 00:26:02.300]   Greater faith in the gospel, okay?
[00:26:02.300 --> 00:26:03.960]   Greater faith in the gospel.
[00:26:03.960 --> 00:26:06.880]   But I want you guys to think about that for a moment.
[00:26:06.880 --> 00:26:12.080]   What Apostle Paul desires to see is an incredible unity.
[00:26:12.080 --> 00:26:15.640]   Apostle Paul desires to see an incredible oneness in the church.
[00:26:15.640 --> 00:26:19.680]   And if you guys know what's coming up, he's going to extrapolate that out to a greater
[00:26:19.680 --> 00:26:21.000]   emphasis in chapter two.
[00:26:21.000 --> 00:26:25.960]   And he's going to say, "This is so important for all of you, that you actually have this
[00:26:25.960 --> 00:26:30.800]   unity, not based upon, 'You know what guys, we need to sit down together and just spend
[00:26:30.800 --> 00:26:35.440]   some quality time, and we're going to do this week by week, because the more you stay together,
[00:26:35.440 --> 00:26:38.240]   the more unified we'll be.'"
[00:26:38.240 --> 00:26:40.760]   It's not based on quantity of time, is it?
[00:26:40.760 --> 00:26:45.520]   Because clearly Apostle Paul doesn't have quantity of time with these people.
[00:26:45.520 --> 00:26:49.680]   It's not talking about kind of like the solidarity that comes from, "You know, we all happen
[00:26:49.680 --> 00:26:51.440]   to be Jewish people.
[00:26:51.440 --> 00:26:54.320]   We all happen to be X people," whatever it may be.
[00:26:54.320 --> 00:26:56.880]   "We all happen to be people with the same experiences.
[00:26:56.880 --> 00:27:00.960]   We all happen to be people with the same kind of educational," you know, whatever, demographics
[00:27:00.960 --> 00:27:01.960]   and all that kind of stuff.
[00:27:01.960 --> 00:27:02.960]   No.
[00:27:02.960 --> 00:27:07.880]   There has to be a oneness in spirit and a oneness of striving together for the faith
[00:27:07.880 --> 00:27:09.240]   of the gospel.
[00:27:09.240 --> 00:27:10.240]   Why?
[00:27:10.240 --> 00:27:14.520]   What's really interesting, he says, "I want to make sure," and I'm going to highlight
[00:27:14.520 --> 00:27:20.640]   this in red, "that you not be alarmed," because it's kind of a negative way of saying a very
[00:27:20.640 --> 00:27:21.640]   similar thing.
[00:27:21.640 --> 00:27:22.640]   That doesn't show up.
[00:27:22.640 --> 00:27:23.640]   All right.
[00:27:23.640 --> 00:27:25.840]   We're just going to squiggle that.
[00:27:25.840 --> 00:27:27.920]   To not be alarmed.
[00:27:27.920 --> 00:27:32.080]   So I want you guys to kind of imagine this, right?
[00:27:32.080 --> 00:27:36.240]   The whole scenario is Apostle Paul is experiencing persecution.
[00:27:36.240 --> 00:27:42.720]   And remember his intent was, "I want to basically encourage you but also prepare you by explaining
[00:27:42.720 --> 00:27:47.880]   to you how I'm doing and how I'm making sense of this whole scenario, which perhaps you
[00:27:47.880 --> 00:27:50.800]   could be really discouraged by," right?
[00:27:50.800 --> 00:27:51.800]   Because why?
[00:27:51.800 --> 00:27:55.600]   Because Apostle Paul wants to make sure that the church is ready.
[00:27:55.600 --> 00:27:57.760]   You guys are going to experience the same stuff.
[00:27:57.760 --> 00:28:04.000]   And we need to continue, just like I already am, to strive for the cause of the advancement
[00:28:04.000 --> 00:28:05.480]   of the gospel.
[00:28:05.480 --> 00:28:10.520]   The only reason why we are here and not up there is because we need to continue to do
[00:28:10.520 --> 00:28:13.080]   the work that God has called us to.
[00:28:13.080 --> 00:28:14.080]   Okay.
[00:28:14.080 --> 00:28:16.780]   So with that in mind, think about this, right?
[00:28:16.780 --> 00:28:23.340]   If you were like in the military, or actually, let me use another example.
[00:28:23.340 --> 00:28:24.700]   Okay.
[00:28:24.700 --> 00:28:26.540]   Think about two different basketball players.
[00:28:26.540 --> 00:28:27.540]   All right.
[00:28:27.540 --> 00:28:28.540]   Hold on.
[00:28:28.540 --> 00:28:32.820]   Am I getting mixed up in the -- oh, man, I am getting mixed up.
[00:28:32.820 --> 00:28:33.820]   Sorry.
[00:28:33.820 --> 00:28:34.820]   Give me a second.
[00:28:34.820 --> 00:28:35.820]   Oh, no.
[00:28:35.820 --> 00:28:39.820]   I should have numbered my pages.
[00:28:39.820 --> 00:28:42.820]   All right.
[00:28:42.820 --> 00:28:44.820]   Okay.
[00:28:44.820 --> 00:28:48.820]   Well, let me think for a moment.
[00:28:48.820 --> 00:28:49.820]   Okay, okay.
[00:28:49.820 --> 00:28:52.900]   Think about a military scenario, right?
[00:28:52.900 --> 00:28:57.220]   As an example, think about a military scenario, and imagine you are the captain.
[00:28:57.220 --> 00:28:59.540]   And you know you have got to lead this platoon.
[00:28:59.540 --> 00:29:01.740]   You have got to march these guys over the hill.
[00:29:01.740 --> 00:29:08.500]   And you have got to basically overtake a fortified little machine gun or whatever it may be.
[00:29:08.500 --> 00:29:09.860]   And you are trying to get these guys ready.
[00:29:09.860 --> 00:29:11.500]   I want you guys to be sober.
[00:29:11.500 --> 00:29:13.060]   I want you guys to be alert.
[00:29:13.060 --> 00:29:15.140]   I want you guys to understand what is happening.
[00:29:15.140 --> 00:29:19.140]   I know we have already been marching for days, and we are tired, but remember, we need to
[00:29:19.140 --> 00:29:20.140]   win this battle.
[00:29:20.140 --> 00:29:22.620]   We are in this, right?
[00:29:22.620 --> 00:29:26.340]   Now you would be so encouraged if everyone was like, that's right, I signed up for this,
[00:29:26.340 --> 00:29:27.340]   you know.
[00:29:27.340 --> 00:29:31.660]   But on the flip side, you turn over, and these two bozos are like pointing the gun at each
[00:29:31.660 --> 00:29:32.660]   other.
[00:29:32.660 --> 00:29:34.700]   It is like, man, knock it off, or I will shoot you, you know.
[00:29:34.700 --> 00:29:38.860]   Or these two guys are completely like surprised, like, oh, they have machine guns, right?
[00:29:38.860 --> 00:29:40.740]   Like, they are just shocked.
[00:29:40.740 --> 00:29:41.740]   They have guns, right?
[00:29:41.740 --> 00:29:44.400]   Can you imagine?
[00:29:44.400 --> 00:29:45.400]   There is no way.
[00:29:45.400 --> 00:29:47.140]   And then everyone is like, you know what, forget it.
[00:29:47.140 --> 00:29:48.140]   We are going home, right?
[00:29:48.140 --> 00:29:50.460]   Like, there is no way you would continue to advance anything.
[00:29:50.460 --> 00:29:54.500]   Why do I bring that silly example up?
[00:29:54.500 --> 00:29:59.260]   Because you recognize how important unity is.
[00:29:59.260 --> 00:30:05.860]   You recognize how important unity is for any cause, especially a cause so weighty and important
[00:30:05.860 --> 00:30:12.340]   as the cause of Christ, to exalt His name, to display His glory.
[00:30:12.340 --> 00:30:13.860]   It is incredible, right?
[00:30:13.860 --> 00:30:19.660]   And so Apostle Paul makes of such kind of importance that he desires to see this church
[00:30:19.660 --> 00:30:22.580]   unified in the Spirit and striving together.
[00:30:22.580 --> 00:30:26.180]   Okay, moving to the last section here.
[00:30:26.180 --> 00:30:32.580]   Moving towards the last section, I am going to label this point three, which is point
[00:30:32.580 --> 00:30:35.620]   three, verse 29 through 30.
[00:30:35.620 --> 00:30:42.820]   This is to us, then, an incredible high calling, a privilege, and a great cause, right?
[00:30:42.820 --> 00:30:45.180]   I think I left the blank for you there.
[00:30:45.180 --> 00:30:50.900]   This is our incredible high calling, our privilege, and great cause.
[00:30:50.900 --> 00:30:52.540]   Why do I say this?
[00:30:52.540 --> 00:31:01.300]   Well, here what you have is verse 27 to 28.
[00:31:01.300 --> 00:31:07.860]   This is a long sentence all tied together that Apostle Paul desires to see them basically
[00:31:07.860 --> 00:31:13.020]   ready and prepared, unalarmed by the opponents, right?
[00:31:13.020 --> 00:31:19.860]   And what's really interesting about this is he says, by motivation, he says, "For to you
[00:31:19.860 --> 00:31:25.460]   it has been granted for Christ's sake, not only to believe in Him, but also to suffer
[00:31:25.460 --> 00:31:32.260]   for His sake, experiencing the same conflict which you saw in me and now here to be in
[00:31:32.260 --> 00:31:33.820]   me."
[00:31:33.820 --> 00:31:36.500]   So what you notice there is this.
[00:31:36.500 --> 00:31:44.420]   First, as he thinks about this whole section right here that is a command, and he says,
[00:31:44.420 --> 00:31:49.260]   "I want you to conduct yourself like this, and what I want to see in you is this unity,
[00:31:49.260 --> 00:31:53.380]   and I want you to be prepared in such a way where your eyes are wide open and you're not
[00:31:53.380 --> 00:31:56.100]   surprised by the opponents who are coming at you.
[00:31:56.100 --> 00:31:59.140]   You're not surprised by the suffering that's coming at you," right?
[00:31:59.140 --> 00:32:01.140]   That's what he's saying.
[00:32:01.140 --> 00:32:08.820]   Here likewise again, he says, "Because of this, it has been granted to you," okay?
[00:32:08.820 --> 00:32:16.460]   To not only believe, but to suffer for Christ's sake.
[00:32:16.460 --> 00:32:21.820]   What's really interesting about this is that goes pretty contrary to our instinctual, instinctual
[00:32:21.820 --> 00:32:24.140]   reaction to suffering.
[00:32:24.140 --> 00:32:28.940]   I believe for a lot of people, whenever they're faced with suffering, there is actually a
[00:32:28.940 --> 00:32:31.660]   process of trying to make sense of it all.
[00:32:31.660 --> 00:32:32.660]   Why?
[00:32:32.660 --> 00:32:34.820]   Why is this suffering happening, right?
[00:32:34.820 --> 00:32:38.260]   And then typically, even if you can't make sense of it, and you're trying to exercise
[00:32:38.260 --> 00:32:40.700]   trust in Christ, then you say something like, "You know what?
[00:32:40.700 --> 00:32:41.700]   I don't get it.
[00:32:41.700 --> 00:32:45.660]   I don't know why, but I'm pretty sure that God's going to carry me through it.
[00:32:45.660 --> 00:32:49.220]   He's going to lead me out of it, and sooner or later, He's going to have an open door,"
[00:32:49.220 --> 00:32:52.820]   meaning He's going to deliver me from all this, right?
[00:32:52.820 --> 00:32:57.220]   But then think about the kind of perception, think about the kind of perspective Apostle
[00:32:57.220 --> 00:33:02.220]   Paul has when he considers that suffering for the sake of Christ is not something that
[00:33:02.220 --> 00:33:07.800]   Christ is going to try to take you out of, but He has actually graced you with.
[00:33:07.800 --> 00:33:15.300]   The term for granted is the same word, the verb form of charis, which is grace.
[00:33:15.300 --> 00:33:22.460]   God has gifted it to you that you would believe upon the name of Jesus, but also that you'd
[00:33:22.460 --> 00:33:26.340]   be able to suffer for His name.
[00:33:26.340 --> 00:33:27.500]   Okay?
[00:33:27.500 --> 00:33:33.420]   Now I think this is where I wanted to use the basketball analogy, okay?
[00:33:33.420 --> 00:33:38.300]   I want you to think about this because I think as I was praying for this passage, I realized,
[00:33:38.300 --> 00:33:44.780]   you know, the umph, the conviction of this passage, I'm going to receive it differently
[00:33:44.780 --> 00:33:47.580]   based upon who I am and what I want.
[00:33:47.580 --> 00:33:52.500]   I want you to imagine a basketball team, and you have two players, right?
[00:33:52.500 --> 00:33:55.620]   The coach, he's got decisions to make.
[00:33:55.620 --> 00:33:56.620]   Why?
[00:33:56.620 --> 00:34:01.780]   Because it's the second overtime of the game, it's already gone forever, the last 30 seconds
[00:34:01.780 --> 00:34:04.780]   of the game, and he's got one play to make.
[00:34:04.780 --> 00:34:08.660]   He's got to make sure he's got the guys in there who know how to make the play and they're
[00:34:08.660 --> 00:34:10.340]   clutch.
[00:34:10.340 --> 00:34:15.780]   He looks at his team, and one of the guys, let's call him Mighty Mark, okay?
[00:34:15.780 --> 00:34:19.700]   He's sitting there and he's eager, he's like, "Put me in, coach!"
[00:34:19.700 --> 00:34:21.940]   He's just ready to go.
[00:34:21.940 --> 00:34:25.220]   And so the coach says, "Mark, get in there, man!
[00:34:25.220 --> 00:34:28.460]   No reserve, all out on the court, don't save anything, do it, man!"
[00:34:28.460 --> 00:34:30.060]   He's like, "Yes!
[00:34:30.060 --> 00:34:31.980]   I've been waiting for this!
[00:34:31.980 --> 00:34:36.180]   All the training, all the sweat, all the tears, all that money, I'm ready!"
[00:34:36.180 --> 00:34:38.500]   And he jumps in there, right?
[00:34:38.500 --> 00:34:42.540]   But then this other dude, we'll call him Scaredy Sam, right?
[00:34:42.540 --> 00:34:45.780]   He's sitting there like, "Oh my gosh, I hope he doesn't call on me."
[00:34:45.780 --> 00:34:48.900]   He pretends like he's about to have a cramp, so he's starting to massage his calf, and
[00:34:48.900 --> 00:34:50.740]   I was like, "I don't know!"
[00:34:50.740 --> 00:34:51.980]   You know?
[00:34:51.980 --> 00:34:55.380]   And the coach comes over and starts walking, and as soon as he starts walking, Scaredy
[00:34:55.380 --> 00:34:59.500]   Sam is like, "You know, that guy's got a pretty good jump shot!
[00:34:59.500 --> 00:35:00.500]   He's tall!"
[00:35:00.500 --> 00:35:01.500]   Right?
[00:35:01.500 --> 00:35:07.340]   Because I'm going to be honest, I think when it comes to Christian life, sometimes there
[00:35:07.340 --> 00:35:16.820]   is not this eager anticipation where we have this excitement like, "Put me in the game!
[00:35:16.820 --> 00:35:19.060]   Because I wanted to serve you!
[00:35:19.060 --> 00:35:20.900]   I've been looking for opportunities!"
[00:35:20.900 --> 00:35:21.900]   Right?
[00:35:21.900 --> 00:35:26.940]   I know the whole package of serving you means some discomfort, means burden, typically means
[00:35:26.940 --> 00:35:29.100]   some kind of pain, right?
[00:35:29.100 --> 00:35:34.580]   Whether it be frustrations, discomfort, or sometimes even physical like this.
[00:35:34.580 --> 00:35:35.940]   But I'll take it.
[00:35:35.940 --> 00:35:38.740]   I signed up for this.
[00:35:38.740 --> 00:35:39.740]   Right?
[00:35:39.740 --> 00:35:45.140]   As opposed to wondering and sitting back and thinking, "You know, I signed up, I love watching,
[00:35:45.140 --> 00:35:49.580]   but man, this is like a high, intense, stressful moment!"
[00:35:49.580 --> 00:35:50.580]   Right?
[00:35:50.580 --> 00:35:52.740]   That guy can do it.
[00:35:52.740 --> 00:35:55.680]   Not me, but that guy.
[00:35:55.680 --> 00:36:00.500]   But I realize as a kind of personal conviction as I read this, I realized, "You know what?
[00:36:00.500 --> 00:36:06.100]   Based on the condition of my heart, I will read verse 29 really differently."
[00:36:06.100 --> 00:36:07.180]   Right?
[00:36:07.180 --> 00:36:09.980]   I will read verse 29 really differently.
[00:36:09.980 --> 00:36:16.500]   And I want to leave then, you guys, with that kind of comment, which is, so far, there hasn't
[00:36:16.500 --> 00:36:18.500]   been a lot of direct commands.
[00:36:18.500 --> 00:36:23.660]   It begins in this passage here with verse 27, "Conduct yourself in a manner worthy of the
[00:36:23.660 --> 00:36:24.700]   gospel."
[00:36:24.700 --> 00:36:27.180]   You know there's more direct commands to come.
[00:36:27.180 --> 00:36:32.720]   But typically what Apostle Paul does is he inspires us with a perspective.
[00:36:32.720 --> 00:36:37.980]   And I challenge you, as we pray over this passage, do we have, like Apostle Paul, a
[00:36:37.980 --> 00:36:42.820]   kind of worldview, an ability to judge the various circumstances, to make sense of it
[00:36:42.820 --> 00:36:45.500]   all and say, "You know what?
[00:36:45.500 --> 00:36:47.580]   I'm not going to judge like the world and say, 'You know what?
[00:36:47.580 --> 00:36:50.460]   To live is always gain and to die just sucks.'"
[00:36:50.460 --> 00:36:51.460]   Right?
[00:36:51.460 --> 00:36:52.460]   What a tragedy.
[00:36:52.460 --> 00:36:53.460]   No.
[00:36:53.460 --> 00:36:56.180]   But we can actually judge through spiritual eyes.
[00:36:56.180 --> 00:36:57.780]   No, no, no, no.
[00:36:57.780 --> 00:37:00.060]   This looks bad, but this is good.
[00:37:00.060 --> 00:37:02.240]   Christ is exalted.
[00:37:02.240 --> 00:37:07.940]   Do we have, with spiritual eyes, verse 29, where we can see the various things in our
[00:37:07.940 --> 00:37:09.400]   lives, like, "You know what?
[00:37:09.400 --> 00:37:11.860]   This is a fat privilege for me."
[00:37:11.860 --> 00:37:12.860]   Why?
[00:37:12.860 --> 00:37:15.180]   Because it's right in line with my cause.
[00:37:15.180 --> 00:37:17.820]   It's right in line with my passion.
[00:37:17.820 --> 00:37:22.460]   When we all have that kind of worldview, we're going to have unity.
[00:37:22.460 --> 00:37:24.420]   We're going to have likeness of mind.
[00:37:24.420 --> 00:37:26.580]   We're going to have likeness of interpretation.
[00:37:26.580 --> 00:37:31.100]   We're going to have likeness of perspective, and we're going to have likeness of what is
[00:37:31.100 --> 00:37:33.920]   the striving and solution.
[00:37:33.920 --> 00:37:39.140]   So as a way to just kind of challenge us, by way of conclusion, this specific paragraph,
[00:37:39.140 --> 00:37:45.560]   this portion, was a challenge to have the kind of worldview that really is in likeness
[00:37:45.560 --> 00:37:47.580]   of one who is serving the Lord.
[00:37:47.580 --> 00:37:48.580]   Let's pray.
[00:37:48.580 --> 00:37:57.700]   Lord, we do want to thank you again for challenging us.
[00:37:57.700 --> 00:38:03.260]   We do recognize, God, that perhaps sometimes we're confused by the circumstances of our
[00:38:03.260 --> 00:38:07.900]   lives, and then, Lord, sometimes we're confused by the desires of our heart.
[00:38:07.900 --> 00:38:11.300]   Lord, sometimes we just don't know what we want.
[00:38:11.300 --> 00:38:18.160]   But we thank you so much because your Word guides us to want the things that are weighty,
[00:38:18.160 --> 00:38:21.100]   to want the things that matter to your heart.
[00:38:21.100 --> 00:38:25.860]   And I pray, Father Lord, that we would not be so confused and feel like everything is
[00:38:25.860 --> 00:38:29.420]   so nebulous, but, God, we would have such a clarity.
[00:38:29.420 --> 00:38:36.700]   We want to live with such clearness of conscience, clarity of vision, of purpose, and what's
[00:38:36.700 --> 00:38:39.820]   more, a clarity of what's right.
[00:38:39.820 --> 00:38:47.960]   And I ask God that he would challenge us then to wash away whatever is the muck of the world
[00:38:47.960 --> 00:38:52.540]   and God to continue to buy into what you tell us is the right path.
[00:38:52.540 --> 00:38:54.020]   Lord, we want to thank you again.
[00:38:54.020 --> 00:38:55.020]   It's in Christ's name we pray.
[00:38:55.020 --> 00:38:55.020]   Amen.
[00:38:55.020 --> 00:38:56.540]   Amen.
[00:38:56.540 --> 00:39:04.380]   [BLANK_AUDIO]

