
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:17:10.300 --> 00:17:11.780]   I'm not about what I need to do,
[00:17:11.780 --> 00:17:14.700]   my responsibility, my role.
[00:17:14.700 --> 00:17:17.620]   I want people to recognize me as a servant of God.
[00:17:17.620 --> 00:17:18.460]   No.
[00:17:18.460 --> 00:17:20.940]   If I have a true servant's heart,
[00:17:20.940 --> 00:17:24.360]   I see the purposes of God, and I lean into it.
[00:17:24.360 --> 00:17:26.140]   Does that make sense?
[00:17:26.140 --> 00:17:29.500]   And so, you know, I ask you this question.
[00:17:29.500 --> 00:17:33.140]   Have you asked, "Lord, what's your plan for me?"
[00:17:34.040 --> 00:17:36.380]   There is a way in which you need
[00:17:36.380 --> 00:17:37.940]   to answer previous questions.
[00:17:37.940 --> 00:17:40.860]   Do I understand how the Lord is working?
[00:17:40.860 --> 00:17:44.180]   What are his main objectives?
[00:17:44.180 --> 00:17:47.260]   What is his main purpose?
[00:17:47.260 --> 00:17:49.380]   That question needs to be asked.
[00:17:49.380 --> 00:17:51.660]   Because do you remember in Romans chapter nine,
[00:17:51.660 --> 00:17:53.340]   Apostle Paul asked this question.
[00:17:53.340 --> 00:17:54.180]   What if,
[00:17:54.180 --> 00:17:59.600]   what if God chose to show his wrath,
[00:17:59.600 --> 00:18:03.100]   and then he had objects of wrath?
[00:18:03.960 --> 00:18:04.800]   What if?
[00:18:04.800 --> 00:18:11.380]   What if God chose to show his long-suffering patience?
[00:18:11.380 --> 00:18:15.440]   What if God chose to reveal certain things
[00:18:15.440 --> 00:18:17.080]   in our day and in our life,
[00:18:17.080 --> 00:18:18.200]   but we're still sitting here, like,
[00:18:18.200 --> 00:18:21.040]   "I know, I know, but what's your plan for me?"
[00:18:21.040 --> 00:18:24.480]   Do you see the discrepancy?
[00:18:24.480 --> 00:18:26.000]   And so, my challenge to you is,
[00:18:26.000 --> 00:18:27.140]   if you've been wrestling with that,
[00:18:27.140 --> 00:18:29.900]   like I have in the past many times,
[00:18:29.900 --> 00:18:31.480]   there are greater purposes of God,
[00:18:31.480 --> 00:18:33.000]   greater than me, greater than you,
[00:18:33.000 --> 00:18:35.760]   greater than this church.
[00:18:35.760 --> 00:18:38.120]   And remember, that this is what Apostle Peter
[00:18:38.120 --> 00:18:40.280]   struggled with a lot with Jesus Christ,
[00:18:40.280 --> 00:18:42.440]   that when Jesus Christ said, "I'm going to die,"
[00:18:42.440 --> 00:18:44.340]   Apostle Peter would be the first one to be like,
[00:18:44.340 --> 00:18:46.960]   "Nah, not if you're with me.
[00:18:46.960 --> 00:18:48.080]   "I've got a sword."
[00:18:48.080 --> 00:18:52.420]   And Jesus is saying, "Get behind me.
[00:18:52.420 --> 00:18:53.720]   "Peter, get behind me."
[00:18:53.720 --> 00:18:58.600]   Jesus submitted to a greater plan of God.
[00:18:58.600 --> 00:19:01.240]   Here's Apostle Peter going against it.
[00:19:01.240 --> 00:19:03.480]   But I think after all the crucifixion
[00:19:03.480 --> 00:19:05.600]   and the resurrection and the Holy Spirit
[00:19:05.600 --> 00:19:07.080]   and all the things that Jesus is saying
[00:19:07.080 --> 00:19:08.320]   is coming to fruition,
[00:19:08.320 --> 00:19:10.880]   Apostle Peter now has greater sight to see.
[00:19:10.880 --> 00:19:14.760]   The purposes of God come to pass,
[00:19:14.760 --> 00:19:16.660]   and that's the final word.
[00:19:16.660 --> 00:19:19.960]   I don't have my own purposes.
[00:19:19.960 --> 00:19:22.480]   I buy into the purposes of the Lord.
[00:19:22.480 --> 00:19:25.160]   And if you turn with me to chapter three,
[00:19:25.160 --> 00:19:28.040]   chapter three, verse 19 through 22,
[00:19:28.040 --> 00:19:31.320]   Apostle Peter has different opportunities to preach.
[00:19:31.320 --> 00:19:34.640]   What essentially happens is there is this paralytic.
[00:19:34.640 --> 00:19:36.480]   He's been disabled since birth,
[00:19:36.480 --> 00:19:38.160]   but now he's almost 40 years old.
[00:19:38.160 --> 00:19:39.600]   Can you imagine?
[00:19:39.600 --> 00:19:41.640]   40 years old, begging all his life.
[00:19:41.640 --> 00:19:43.640]   He's at the temple gates.
[00:19:43.640 --> 00:19:45.880]   Apostle Peter and John heal this man,
[00:19:45.880 --> 00:19:47.320]   and the people go nuts.
[00:19:47.320 --> 00:19:49.920]   Oh my gosh, we have a miracle working on here, you know?
[00:19:49.920 --> 00:19:51.680]   And now you know what you know is
[00:19:51.680 --> 00:19:53.640]   that you've got these masses of people
[00:19:53.640 --> 00:19:55.880]   coming and clinging on their cloak
[00:19:55.880 --> 00:19:57.200]   and walking in their shadow,
[00:19:57.200 --> 00:19:59.400]   and people are being healed left and right,
[00:19:59.400 --> 00:20:01.920]   and miraculous things are happening.
[00:20:01.920 --> 00:20:04.600]   But then Apostle Peter again takes this opportunity
[00:20:04.600 --> 00:20:07.280]   to preach boldly, and look at what he says,
[00:20:07.280 --> 00:20:08.940]   verse 19 through 22.
[00:20:08.940 --> 00:20:11.600]   Masses of people are coming.
[00:20:11.600 --> 00:20:13.160]   You would think he would say great,
[00:20:13.160 --> 00:20:15.940]   but he says no, therefore repent and return,
[00:20:15.940 --> 00:20:18.280]   so that your sins may be wiped away,
[00:20:18.280 --> 00:20:20.160]   in order that tides of refreshing may come
[00:20:20.160 --> 00:20:21.400]   from the presence of the Lord,
[00:20:21.400 --> 00:20:23.640]   and that he may send Jesus.
[00:20:23.640 --> 00:20:25.000]   If you're a good student of the Bible,
[00:20:25.000 --> 00:20:29.280]   you notice you have purpose clauses.
[00:20:29.280 --> 00:20:34.040]   So that, in order that, that this may happen.
[00:20:34.040 --> 00:20:36.480]   And you gotta see his rationale.
[00:20:36.480 --> 00:20:39.520]   And he says that God may send Jesus,
[00:20:39.520 --> 00:20:40.880]   the Christ appointed for you,
[00:20:40.880 --> 00:20:43.280]   whom heaven must receive until the period
[00:20:43.280 --> 00:20:45.880]   of restoration of all things about which God spoke
[00:20:45.880 --> 00:20:48.320]   by the mouth of his prophets, from when?
[00:20:48.320 --> 00:20:50.160]   Ancient times.
[00:20:50.160 --> 00:20:52.500]   Moses said the Lord God will raise up for you
[00:20:52.500 --> 00:20:54.560]   a prophet like me from your brethren,
[00:20:54.560 --> 00:20:56.800]   and to him you shall give heed to everything
[00:20:56.800 --> 00:20:58.140]   he says to you.
[00:20:58.140 --> 00:21:03.560]   For me, what I see is Apostle Peter getting convicted
[00:21:03.560 --> 00:21:05.520]   about the purposes of God.
[00:21:05.520 --> 00:21:08.240]   Let me highlight for you from just that short little phrase
[00:21:08.240 --> 00:21:09.320]   exactly what I've been saying.
[00:21:09.320 --> 00:21:11.160]   He sees the purposes of God,
[00:21:11.160 --> 00:21:14.760]   saying God wants to see the forgiveness of sins.
[00:21:14.760 --> 00:21:19.000]   Do you have a conviction of that?
[00:21:19.000 --> 00:21:21.000]   Have you ever said I've bought into this vision,
[00:21:21.000 --> 00:21:23.560]   and I wanna see people forgiven?
[00:21:23.560 --> 00:21:25.440]   That would bring me so much joy,
[00:21:25.440 --> 00:21:28.160]   to see people forgiven.
[00:21:28.160 --> 00:21:31.560]   God wants to see the kingdom come in Christ.
[00:21:31.560 --> 00:21:33.760]   God wants to see the wrath of God,
[00:21:33.760 --> 00:21:36.560]   his own wrath, be avoided by the children of men.
[00:21:36.560 --> 00:21:39.440]   God wants to see blessings realized in the life of men.
[00:21:39.440 --> 00:21:43.000]   He wants to see obedience to the Son, the Lord of all.
[00:21:43.000 --> 00:21:48.400]   These are some purposes that we can attach ourselves to.
[00:21:48.400 --> 00:21:52.000]   And so my question to you is,
[00:21:52.000 --> 00:21:54.080]   if you need a readjusting,
[00:21:54.080 --> 00:21:56.800]   take this to heart.
[00:21:56.800 --> 00:21:59.640]   My challenge to you is see Apostle Peter
[00:21:59.640 --> 00:22:01.040]   and his convictions.
[00:22:01.040 --> 00:22:05.520]   And what's gonna happen is that as you do this,
[00:22:05.520 --> 00:22:09.760]   you will have greater clarity about your own life.
[00:22:09.760 --> 00:22:12.720]   You will start to realize, where do I fit?
[00:22:12.720 --> 00:22:14.600]   You need a bigger picture.
[00:22:14.600 --> 00:22:18.580]   If you start from you, your perspective is like this.
[00:22:18.580 --> 00:22:21.600]   It's like this.
[00:22:21.600 --> 00:22:23.240]   So that's the first point that we realize
[00:22:23.240 --> 00:22:25.360]   is we have to see the purposes of God
[00:22:25.360 --> 00:22:27.160]   and have conviction over it.
[00:22:27.160 --> 00:22:29.960]   So we saw the servant's purpose.
[00:22:29.960 --> 00:22:33.360]   Next, we see the servant's persistence.
[00:22:33.360 --> 00:22:35.440]   The servant's persistence.
[00:22:35.440 --> 00:22:39.840]   Apostle Peter sees the purposes of God,
[00:22:39.840 --> 00:22:41.480]   he's bought into it,
[00:22:41.480 --> 00:22:44.960]   and when he knows for certain that this is the will of God,
[00:22:44.960 --> 00:22:47.560]   you can't stop him.
[00:22:47.560 --> 00:22:48.640]   You can't stop him.
[00:22:49.840 --> 00:22:52.800]   You see, the story unfolds in the book of Acts.
[00:22:52.800 --> 00:22:54.160]   You would think, okay,
[00:22:54.160 --> 00:22:57.720]   the apostles are preaching with confidence and boldness,
[00:22:57.720 --> 00:23:01.000]   and then it says that 3,000 people come to faith.
[00:23:01.000 --> 00:23:05.240]   Can you imagine 3,000 people coming to faith?
[00:23:05.240 --> 00:23:08.440]   If you've ever been to a high school graduation,
[00:23:08.440 --> 00:23:10.200]   that's typically like 3,000 people.
[00:23:10.200 --> 00:23:12.440]   When you have a big auditorium
[00:23:12.440 --> 00:23:14.960]   with all the high schoolers in there, 3,000 people.
[00:23:14.960 --> 00:23:17.640]   Can you imagine that many people coming to faith
[00:23:17.640 --> 00:23:19.080]   after one sermon?
[00:23:19.080 --> 00:23:22.600]   For those of you guys who are logistical and administrative,
[00:23:22.600 --> 00:23:24.840]   that would be like a nightmare, right?
[00:23:24.840 --> 00:23:26.480]   Oh my God, what do we do?
[00:23:26.480 --> 00:23:27.560]   What do we do about discipleship?
[00:23:27.560 --> 00:23:29.280]   What do we do about even bathrooms?
[00:23:29.280 --> 00:23:30.920]   What do we do about this and that?
[00:23:30.920 --> 00:23:32.640]   But it was just amazing stuff happening,
[00:23:32.640 --> 00:23:35.360]   and God was providing, God was raising up leaders,
[00:23:35.360 --> 00:23:37.960]   God was using the ministry of the apostles and the teaching,
[00:23:37.960 --> 00:23:39.240]   and people were being devoted.
[00:23:39.240 --> 00:23:41.880]   There was fellowship, and things were going great.
[00:23:41.880 --> 00:23:45.440]   So you would think that after all this preaching,
[00:23:45.440 --> 00:23:48.160]   that the life of the pastor, the apostles,
[00:23:48.160 --> 00:23:49.240]   would be great too.
[00:23:49.240 --> 00:23:53.360]   In our day, I mean, if you have a church of 3,000 people,
[00:23:53.360 --> 00:23:55.400]   you're probably being shuttled around,
[00:23:55.400 --> 00:23:57.200]   you're being invited to guest speak,
[00:23:57.200 --> 00:23:58.960]   you're being invited to do reviews,
[00:23:58.960 --> 00:24:01.000]   and all this kind of awesome stuff.
[00:24:01.000 --> 00:24:04.360]   But the book of Acts reminds us,
[00:24:04.360 --> 00:24:06.600]   when there is significant growth,
[00:24:06.600 --> 00:24:09.920]   when there is advancement of the gospel in the kingdom,
[00:24:09.920 --> 00:24:12.200]   typically it's not all peachy.
[00:24:12.200 --> 00:24:15.280]   But rather, there is intense persecution.
[00:24:15.720 --> 00:24:17.640]   And that's exactly what happens.
[00:24:17.640 --> 00:24:20.160]   There is intense persecution such that
[00:24:20.160 --> 00:24:23.000]   it's quite profound, and we need to take a look.
[00:24:23.000 --> 00:24:24.920]   Chapter four, verse six through seven.
[00:24:24.920 --> 00:24:30.040]   So, Apostle Peter preaches,
[00:24:30.040 --> 00:24:32.200]   and there's all these people coming to faith,
[00:24:32.200 --> 00:24:34.520]   and then there's people who are being healed,
[00:24:34.520 --> 00:24:35.960]   and the gospel is going out,
[00:24:35.960 --> 00:24:38.640]   and the next thing you know, in verse,
[00:24:38.640 --> 00:24:40.520]   well, let me just start if I read from verse six,
[00:24:40.520 --> 00:24:41.360]   forgive the context,
[00:24:41.360 --> 00:24:43.960]   but many of those who had heard the message believed.
[00:24:43.960 --> 00:24:47.280]   And the number of men came to be about 5,000.
[00:24:47.280 --> 00:24:50.360]   On the next day, their rulers and elders, scribes,
[00:24:50.360 --> 00:24:52.320]   were gathered together in Jerusalem.
[00:24:52.320 --> 00:24:54.160]   And Annas and the high priest was there,
[00:24:54.160 --> 00:24:56.240]   and Caiaphas and John and Alexander,
[00:24:56.240 --> 00:24:59.200]   and all who were of high priestly descent.
[00:24:59.200 --> 00:25:00.800]   When they placed them in the center,
[00:25:00.800 --> 00:25:02.320]   they began to inquire,
[00:25:02.320 --> 00:25:06.240]   by what power or what name have you done this?
[00:25:06.240 --> 00:25:07.800]   Okay?
[00:25:07.800 --> 00:25:10.760]   So, what we have here is what I like to call
[00:25:10.760 --> 00:25:12.160]   organized crime.
[00:25:13.800 --> 00:25:17.680]   These high priests aren't supposed to be together like this,
[00:25:17.680 --> 00:25:19.840]   but Annas, who is like, you can think,
[00:25:19.840 --> 00:25:21.560]   grandfather high priest,
[00:25:21.560 --> 00:25:24.000]   and then his sons, Caiaphas and so forth,
[00:25:24.000 --> 00:25:26.200]   are high priests, is that lineage.
[00:25:26.200 --> 00:25:29.480]   He still has reigns, he can't let go.
[00:25:29.480 --> 00:25:30.320]   Okay?
[00:25:30.320 --> 00:25:31.600]   So, he gathered these people,
[00:25:31.600 --> 00:25:33.240]   and you notice how it says,
[00:25:33.240 --> 00:25:37.880]   the scribes and the elders and the rulers,
[00:25:37.880 --> 00:25:39.720]   and they all joined together.
[00:25:39.720 --> 00:25:42.360]   This is organized crime.
[00:25:42.360 --> 00:25:44.920]   People who wouldn't even normally get together,
[00:25:44.920 --> 00:25:46.040]   were getting together.
[00:25:46.040 --> 00:25:47.800]   It'd be like, in our day,
[00:25:47.800 --> 00:25:50.920]   Republicans, all conservative and stuff,
[00:25:50.920 --> 00:25:52.680]   and then, you know, the liberals,
[00:25:52.680 --> 00:25:54.160]   or maybe Democrats or whatnot,
[00:25:54.160 --> 00:25:55.360]   joining together and saying,
[00:25:55.360 --> 00:25:57.840]   we've got a problem, let's knock this out.
[00:25:57.840 --> 00:26:00.560]   So, for the time being, joint effort.
[00:26:00.560 --> 00:26:01.800]   That's what you have.
[00:26:01.800 --> 00:26:03.640]   And the persecution is quite intense,
[00:26:03.640 --> 00:26:05.320]   because it's not simply that,
[00:26:05.320 --> 00:26:07.280]   they're just interrogating them.
[00:26:07.280 --> 00:26:10.440]   You know that these people are going to arrest,
[00:26:10.440 --> 00:26:12.200]   they're going to beat,
[00:26:12.200 --> 00:26:14.280]   they're going to shame publicly.
[00:26:14.280 --> 00:26:16.760]   This is quite intense persecution.
[00:26:16.760 --> 00:26:19.920]   But how does Apostle Peter react to this?
[00:26:19.920 --> 00:26:22.040]   Verse 11 and 12.
[00:26:22.040 --> 00:26:26.320]   He is the stone which was rejected by you,
[00:26:26.320 --> 00:26:29.360]   the builders, but which became the chief cornerstone.
[00:26:29.360 --> 00:26:31.960]   And there is salvation in no one else.
[00:26:31.960 --> 00:26:33.440]   There is no other name under heaven
[00:26:33.440 --> 00:26:34.840]   that has been given among men,
[00:26:34.840 --> 00:26:37.480]   by which we must be saved.
[00:26:37.480 --> 00:26:38.320]   Amen.
[00:26:38.320 --> 00:26:41.000]   That's awesome.
[00:26:41.000 --> 00:26:43.120]   And if you don't catch what he's saying,
[00:26:43.120 --> 00:26:45.200]   he's looking at religious leaders
[00:26:45.200 --> 00:26:47.680]   who believe they literally are the way to God.
[00:26:47.680 --> 00:26:48.960]   High priests are what?
[00:26:48.960 --> 00:26:51.400]   Intermediaries between man and God.
[00:26:51.400 --> 00:26:54.000]   So, if you don't see what's profound
[00:26:54.000 --> 00:26:56.080]   about what he's saying, that's so bold.
[00:26:56.080 --> 00:27:00.080]   In front of the face of the religious leaders and scribes,
[00:27:00.080 --> 00:27:01.840]   there is salvation in no one else.
[00:27:01.840 --> 00:27:04.200]   You all don't even know God.
[00:27:04.200 --> 00:27:06.440]   Only in the name of Christ.
[00:27:06.440 --> 00:27:07.920]   Wow.
[00:27:07.920 --> 00:27:09.200]   That is such confidence,
[00:27:09.200 --> 00:27:12.760]   that was such boldness amongst the apostles.
[00:27:12.760 --> 00:27:16.760]   But the point that I'm making here
[00:27:16.760 --> 00:27:20.200]   is the fact that Apostle Peter is persistent.
[00:27:20.200 --> 00:27:21.920]   Because in the face of this persecution,
[00:27:21.920 --> 00:27:24.040]   take a look at this in verse 19.
[00:27:24.040 --> 00:27:32.240]   So, the Pharisees, the scribes, the high priests,
[00:27:32.240 --> 00:27:35.480]   they're going to command him now, knock it off.
[00:27:35.480 --> 00:27:36.700]   You keep doing this, we're gonna hurt you,
[00:27:36.700 --> 00:27:38.200]   that kind of stuff.
[00:27:38.200 --> 00:27:40.000]   But take a look at this in verse 19.
[00:27:40.000 --> 00:27:54.240]   Amen.
[00:27:54.240 --> 00:27:56.920]   Amen.
[00:27:56.920 --> 00:28:00.120]   Brothers and sisters,
[00:28:00.120 --> 00:28:02.280]   Christ has given us a grand purpose.
[00:28:02.280 --> 00:28:03.960]   You are all, every single one of you,
[00:28:03.960 --> 00:28:06.120]   although you are not in full vocation,
[00:28:06.120 --> 00:28:09.040]   a pastor, a missionary, or a Christian educator,
[00:28:09.040 --> 00:28:13.400]   whatever it may be, you have been called to be a witness.
[00:28:13.400 --> 00:28:15.240]   Every single one of us.
[00:28:15.240 --> 00:28:19.560]   We have been called to take a testimony and give it boldly.
[00:28:19.560 --> 00:28:22.720]   And I pray that every single person in our church
[00:28:22.720 --> 00:28:24.400]   would have this conviction.
[00:28:24.400 --> 00:28:28.560]   To be steadfast.
[00:28:28.560 --> 00:28:31.720]   To, in the face of persecution, to persist and say,
[00:28:31.720 --> 00:28:33.640]   I can't stop.
[00:28:35.240 --> 00:28:37.320]   And I pray for myself that as a pastor,
[00:28:37.320 --> 00:28:39.080]   I pray that this would be my heart.
[00:28:39.080 --> 00:28:43.720]   There is sometimes fear in me, you guys.
[00:28:43.720 --> 00:28:45.040]   Let me confess this to you.
[00:28:45.040 --> 00:28:47.400]   When I was at, you know, when I worked regular jobs
[00:28:47.400 --> 00:28:50.000]   and I'm like, okay, like I wanna share the gospel,
[00:28:50.000 --> 00:28:51.920]   I took him out to lunch, I wanna say something,
[00:28:51.920 --> 00:28:55.440]   but I don't know what to say 'cause it'd get awkward.
[00:28:55.440 --> 00:28:56.880]   There's fear.
[00:28:56.880 --> 00:28:59.200]   There's fear over my boss, the situation.
[00:28:59.200 --> 00:29:01.480]   In your classrooms, there's fear.
[00:29:01.480 --> 00:29:03.920]   Can I remind you, there's fear here.
[00:29:03.920 --> 00:29:04.760]   Why?
[00:29:04.760 --> 00:29:06.720]   Because these guys are murderers.
[00:29:06.720 --> 00:29:10.160]   And as chairman, these are names written in the gospels
[00:29:10.160 --> 00:29:12.880]   because these are the ones who murdered Jesus Christ.
[00:29:12.880 --> 00:29:15.200]   So essentially, Apostle Peter is looking at these guys
[00:29:15.200 --> 00:29:17.000]   knowing these guys can kill me.
[00:29:17.000 --> 00:29:18.600]   It's as though they have a gun.
[00:29:18.600 --> 00:29:22.120]   But in the face of that, they're bold.
[00:29:22.120 --> 00:29:24.080]   I can't stop preaching.
[00:29:24.080 --> 00:29:27.040]   We can't stop.
[00:29:27.040 --> 00:29:27.880]   Why?
[00:29:27.880 --> 00:29:30.520]   They're committed to obeying their master.
[00:29:30.520 --> 00:29:33.680]   They saw the master's purpose, they know where they fit,
[00:29:33.680 --> 00:29:36.520]   they are committed, they bought into the program,
[00:29:36.520 --> 00:29:38.880]   they can't stop preaching the good news.
[00:29:38.880 --> 00:29:41.600]   And that's something for us to learn.
[00:29:41.600 --> 00:29:46.400]   If you take a look, chapter four, verse 27, 28,
[00:29:46.400 --> 00:29:47.520]   this continues.
[00:29:47.520 --> 00:29:53.480]   Chapter four, verse 27 through 30,
[00:29:53.480 --> 00:29:57.200]   I'm gonna read a little bit more longer here, okay.
[00:29:57.200 --> 00:30:02.040]   So, they were persecuted, the apostles are released,
[00:30:02.040 --> 00:30:04.600]   they go back to their brothers and sisters to reconvene
[00:30:04.600 --> 00:30:06.840]   and to regroup and to gain strength.
[00:30:06.840 --> 00:30:08.680]   And then this is what Apostle Peter said.
[00:30:08.680 --> 00:30:11.160]   For truly in this city they were gathered together
[00:30:11.160 --> 00:30:14.720]   against your holy servants, Jesus, whom you anointed,
[00:30:14.720 --> 00:30:17.200]   both Herod and Pontius Pilate, along with the Gentiles
[00:30:17.200 --> 00:30:18.560]   and the peoples of Israel.
[00:30:18.560 --> 00:30:21.240]   You notice he's connecting what's happening with them
[00:30:21.240 --> 00:30:24.400]   to what's happening with Jesus, okay.
[00:30:24.400 --> 00:30:27.560]   Verse 28, to do whatever your hand and your purpose
[00:30:27.560 --> 00:30:29.880]   destined to occur, there's our thought again.
[00:30:29.880 --> 00:30:31.360]   This is what God has been doing.
[00:30:31.360 --> 00:30:34.520]   This is what you've purposed, let it be.
[00:30:34.520 --> 00:30:36.200]   And then he continues, verse 29.
[00:30:36.200 --> 00:30:38.920]   And now, Lord, take note of their threats and grant to
[00:30:38.920 --> 00:30:42.280]   that your bondservants may speak your word with confidence
[00:30:42.280 --> 00:30:44.760]   while you extend your hand to heal and the signs
[00:30:44.760 --> 00:30:47.560]   and wonders take place in the name of your holy servant,
[00:30:47.560 --> 00:30:50.200]   Jesus, and when they prayed, the place where they had
[00:30:50.200 --> 00:30:52.240]   gathered together was shaken.
[00:30:52.240 --> 00:30:54.280]   And they were all filled with the Holy Spirit
[00:30:54.280 --> 00:30:57.880]   and began to speak the word of God with boldness.
[00:30:58.960 --> 00:31:03.640]   That's so amazing to see that, what it means to be filled
[00:31:03.640 --> 00:31:08.640]   with the Spirit in this context, in light of the persecution,
[00:31:08.640 --> 00:31:13.640]   the injustice, the ridicule, the questioning,
[00:31:13.640 --> 00:31:17.600]   that their response was greater boldness.
[00:31:17.600 --> 00:31:20.040]   They prayed, God, we knew this was gonna happen.
[00:31:20.040 --> 00:31:22.240]   We knew the expectation, let's go.
[00:31:22.240 --> 00:31:25.180]   And when they were filled with this Holy Spirit,
[00:31:25.180 --> 00:31:28.760]   they preached with even greater confidence.
[00:31:28.760 --> 00:31:29.680]   But you know what?
[00:31:29.680 --> 00:31:31.880]   The story continues even further.
[00:31:31.880 --> 00:31:34.280]   Chapter five, the church has great fruit.
[00:31:34.280 --> 00:31:36.600]   There's people sacrificing and the church gets together
[00:31:36.600 --> 00:31:37.840]   and they're harmonious.
[00:31:37.840 --> 00:31:41.480]   But also, the apostles deal with sin in the church.
[00:31:41.480 --> 00:31:45.600]   Ananias and Sapphira, being all prideful and using it
[00:31:45.600 --> 00:31:48.040]   in an opportunity to elevate themselves.
[00:31:48.040 --> 00:31:49.420]   They deal with all this stuff.
[00:31:49.420 --> 00:31:51.480]   But in the end, they're still healing,
[00:31:51.480 --> 00:31:53.480]   they're still preaching, they're still being bold,
[00:31:53.480 --> 00:31:56.800]   and now even more and more people come to the Lord.
[00:31:56.800 --> 00:31:59.100]   Take a look at chapter five, verse 17.
[00:31:59.100 --> 00:32:02.240]   What happens is, the people who are in power
[00:32:02.240 --> 00:32:05.120]   become even more jealous.
[00:32:05.120 --> 00:32:08.840]   Now they become violent, now they become incredibly,
[00:32:08.840 --> 00:32:13.120]   their animosity just grows more and more.
[00:32:13.120 --> 00:32:15.760]   And so verse 17 says, but the high priest rose up
[00:32:15.760 --> 00:32:19.040]   along with the associates, that is a sect of the Sadducees.
[00:32:19.040 --> 00:32:21.640]   You know the Sadducees, they were like politically
[00:32:21.640 --> 00:32:23.480]   completely on the far end.
[00:32:23.480 --> 00:32:25.360]   They didn't believe in parts of the Old Testament,
[00:32:25.360 --> 00:32:26.840]   they didn't believe in the resurrection,
[00:32:26.840 --> 00:32:29.080]   they were so far from the religious leaders.
[00:32:29.080 --> 00:32:30.480]   But here they are in their jealousy,
[00:32:30.480 --> 00:32:33.160]   getting together to fight the apostles.
[00:32:33.160 --> 00:32:35.880]   Verse 18, they laid hands on the apostles,
[00:32:35.880 --> 00:32:37.080]   put them into jail.
[00:32:37.080 --> 00:32:39.320]   They arrested them.
[00:32:39.320 --> 00:32:43.320]   They had a APB out on them, they caught them,
[00:32:43.320 --> 00:32:47.000]   brought them in, and then they started to
[00:32:47.000 --> 00:32:49.480]   really put a heavy hand on them.
[00:32:49.480 --> 00:32:51.960]   But then, the way that they respond to me again
[00:32:51.960 --> 00:32:56.080]   shows and reveals what I believe to be
[00:32:56.080 --> 00:32:58.680]   a true servant's heart.
[00:32:58.680 --> 00:33:03.160]   Verse 28, in verse 28, this is what it says.
[00:33:03.160 --> 00:33:04.840]   I'll start from 27 actually.
[00:33:04.840 --> 00:33:06.640]   When they had brought them, they stood them
[00:33:06.640 --> 00:33:09.160]   before the council, and the high priest questioned them,
[00:33:09.160 --> 00:33:12.080]   saying, we gave you strict orders not to continue
[00:33:12.080 --> 00:33:14.720]   teaching in his name, and yet you have filled
[00:33:14.720 --> 00:33:17.320]   Jerusalem with your teaching, and intend to bring
[00:33:17.320 --> 00:33:20.280]   this man's blood upon us.
[00:33:20.280 --> 00:33:21.800]   Oh my goodness, how hypocritical.
[00:33:21.800 --> 00:33:22.920]   I would have just lost it.
[00:33:22.920 --> 00:33:23.760]   What?
[00:33:23.760 --> 00:33:25.520]   You know?
[00:33:25.520 --> 00:33:28.400]   Because if you remember, these guys were the ones
[00:33:28.400 --> 00:33:30.880]   who were egging for Christ's crucifixion,
[00:33:30.880 --> 00:33:33.400]   and when Pontius Pilate said, I don't see any fall
[00:33:33.400 --> 00:33:35.400]   in the sky, washed his hands and said,
[00:33:35.400 --> 00:33:38.160]   you know what, I am clear of this man's blood.
[00:33:38.160 --> 00:33:39.640]   Do you know what they said?
[00:33:39.640 --> 00:33:43.940]   Let his blood be on us, on us and our children.
[00:33:43.940 --> 00:33:45.600]   We want him dead, that's what they said,
[00:33:45.600 --> 00:33:47.400]   and here he is, like, look at what you're doing,
[00:33:47.400 --> 00:33:49.000]   you're putting the blood on us.
[00:33:49.000 --> 00:33:50.560]   Oh my goodness.
[00:33:50.560 --> 00:33:52.560]   But then, look at the response, verse 29.
[00:33:52.560 --> 00:33:55.980]   But Peter and the apostles answered,
[00:33:55.980 --> 00:33:59.640]   we must obey God rather than men.
[00:33:59.640 --> 00:34:01.600]   The God of our fathers raised up Jesus,
[00:34:01.600 --> 00:34:04.720]   whom you had put to death by hanging him on a cross.
[00:34:04.720 --> 00:34:07.560]   He is the one whom God exalted to the right hand
[00:34:07.560 --> 00:34:11.000]   as a prince and a savior to grant repentance to Israel
[00:34:11.000 --> 00:34:12.280]   and forgiveness of sins.
[00:34:12.280 --> 00:34:14.760]   Here he is again, taking this opportunity.
[00:34:14.760 --> 00:34:16.560]   He's not defending himself.
[00:34:18.080 --> 00:34:20.960]   He is persistent in doing the will of God.
[00:34:20.960 --> 00:34:23.600]   That's the servant's heart.
[00:34:23.600 --> 00:34:26.840]   I must obey God, I can do no other.
[00:34:26.840 --> 00:34:28.320]   I can't stop.
[00:34:28.320 --> 00:34:30.800]   What a heart.
[00:34:30.800 --> 00:34:32.440]   What dedication.
[00:34:32.440 --> 00:34:33.960]   What commitment.
[00:34:33.960 --> 00:34:35.340]   Why do I say that?
[00:34:35.340 --> 00:34:38.760]   Because when I'm afraid, I hide.
[00:34:38.760 --> 00:34:40.960]   I run, I dodge.
[00:34:40.960 --> 00:34:44.040]   When I'm hurt, my defenses go automatically up.
[00:34:45.160 --> 00:34:47.880]   I want to defend myself,
[00:34:47.880 --> 00:34:50.380]   and I'm willing sometimes to accuse other people.
